Genes,Transcript_Count,Norm_Symbol
HYAL3,7.0,HYAL3
MX2,13.0,MX2
MYOZ1,1.0,MYOZ1
HCAR2,1.0,HCAR2
RRAGB,6.0,RRAGB
GPHA2,3.0,GPHA2
CANT1,16.0,CANT1
RNASE9,11.0,RNASE9
EMILIN2,3.0,EMILIN2
METTL7B,2.0,METTL7B
TSHB,2.0,TSHB
KIF27,5.0,KIF27
ZCCHC4,6.0,ZCCHC4
SLC37A4,12.5,SLC37A4
CCDC169-SOHLH2,1.0,CCDC169-SOHLH2
HIST1H3A,1.0,HIST1H3A
GARNL3,22.0,GARNL3
ANKS6,7.0,ANKS6
H2BFWT,2.0,H2BFWT
SINHCAF,9.0,SINHCAF
FHAD1,22.0,FHAD1
KCNA5,1.0,KCNA5
PRCD,13.0,PRCD
MROH2A,8.0,MROH2A
PPP4R3A,12.0,PPP4R3A
LRRFIP1,15.0,LRRFIP1
POMGNT2,2.0,POMGNT2
PRDM7,6.0,PRDM7
TXNDC9,9.0,TXNDC9
ZNF263,8.0,ZNF263
ZNF286B,3.0,ZNF286B
LRP4,5.0,LRP4
FUNDC1,2.0,FUNDC1
CYB561A3,21.0,CYB561A3
SKP1,13.0,SKP1
SPRR3,4.0,SPRR3
ZIC4,17.0,ZIC4
DIS3L,14.0,DIS3L
NUP54,18.0,NUP54
FAM241A,1.0,FAM241A
AQR,6.0,AQR
TMEM86A,5.0,TMEM86A
RFX7,3.0,RFX7
RPL7A,9.0,RPL7A
PLEKHG4B,4.0,PLEKHG4B
PLAGL1,27.0,PLAGL1
DACH2,8.0,DACH2
LYPD6B,11.0,LYPD6B
ARHGEF1,23.0,ARHGEF1
RCAN2,4.0,RCAN2
LDLRAD4,19.0,LDLRAD4
RTP1,1.0,RTP1
DEFB103A,1.5,DEFB103A
CD300E,2.0,CD300E
BEX2,4.0,BEX2
DEF6,3.0,DEF6
COMMD6,13.0,COMMD6
TMEM176A,11.0,TMEM176A
TFAP2C,2.0,TFAP2C
ZMYM6,9.0,ZMYM6
NDN,1.0,NDN
PRR19,4.0,PRR19
DIP2A,13.0,DIP2A
C1orf53,3.0,C1orf53
AJAP1,3.0,AJAP1
WDR11,17.0,WDR11
RP9,4.0,RP9
TNFRSF6B,1.0,TNFRSF6B
LRCOL1,6.0,LRCOL1
GU182359.1,1.0,GU182359.1
ACSM3,15.0,ACSM3
ADGRE2,13.0,ADGRE2
MICAL3,19.0,MICAL3
CCDC170,3.0,CCDC170
CLEC3A,4.0,CLEC3A
CXorf66,1.0,CXorf66
TMX4,4.0,TMX4
KCTD13,12.0,KCTD13
DISP3,3.0,DISP3
PAGE2,3.0,PAGE2
CDHR3,14.0,CDHR3
CCDC158,5.0,CCDC158
SVOPL,7.0,SVOPL
MCUB,5.0,MCUB
PRAM1,4.0,PRAM1
MDH2,8.0,MDH2
SLC35B4,4.0,SLC35B4
AMMECR1L,2.0,AMMECR1L
LRRC17,5.0,LRRC17
C11orf40,2.0,C11orf40
WFDC9,1.0,WFDC9
PRRX1,8.0,PRRX1
GREB1,10.0,GREB1
TBRG4,17.0,TBRG4
SPTBN5,2.0,SPTBN5
MLIP,13.0,MLIP
PFKL,12.0,PFKL
HSF5,1.0,HSF5
FYN,29.0,FYN
SLAMF9,4.0,SLAMF9
SLC38A7,16.0,SLC38A7
NKTR,19.0,NKTR
OVCH1,3.0,OVCH1
SAMD8,4.0,SAMD8
KIF14,2.0,KIF14
SRRT,19.0,SRRT
TMEM98,9.0,TMEM98
THNSL2,10.0,THNSL2
TMX1,3.0,TMX1
FBXL22,4.0,FBXL22
DPYD,5.0,DPYD
RASAL1,10.0,RASAL1
GU182353.1,1.0,GU182353.1
AP1S3,8.0,AP1S3
HNRNPDL,10.0,HNRNPDL
BTBD3,15.0,BTBD3
ADTRP,10.0,ADTRP
BRCA1,34.0,BRCA1
GALNT8,6.0,GALNT8
ARR3,5.0,ARR3
NKIRAS2,14.0,NKIRAS2
FAM111A,11.0,FAM111A
P2RY14,3.0,P2RY14
C10orf71,2.0,C10orf71
CZIB,7.0,CZIB
FNDC5,8.0,FNDC5
SMC3,2.0,SMC3
FOXR2,1.0,FOXR2
SLC25A10,8.0,SLC25A10
TINCR,5.0,TINCR
EPG5,10.0,EPG5
OSTF1,1.0,OSTF1
COP1,11.0,COP1
PHKA2,8.0,PHKA2
ZNF860,2.0,ZNF860
GUCA1B,1.0,GUCA1B
WAS,7.0,WAS
ASNSD1,4.0,ASNSD1
ATF5,5.0,ATF5
TRPC1,5.0,TRPC1
SLC13A3,11.0,SLC13A3
AADAT,8.0,AADAT
TAFA1,4.0,TAFA1
MAPK8IP1,3.0,MAPK8IP1
C21orf62,4.0,C21orf62
MINDY3,6.0,MINDY3
OR51I2,2.0,OR51I2
TRPC3,5.0,TRPC3
WDR18,11.0,WDR18
CNGB1,9.0,CNGB1
HERC6,8.0,HERC6
IGLL5,3.0,IGLL5
DNAAF3,17.0,DNAAF3
PLXNB2,14.0,PLXNB2
ST6GALNAC5,5.0,ST6GALNAC5
DSG2,2.0,DSG2
PRRC2B,12.0,PRRC2B
AK7,5.0,AK7
ACVR1B,7.0,ACVR1B
NSG1,11.0,NSG1
VWCE,8.0,VWCE
EGLN3,11.0,EGLN3
ACTR2,5.0,ACTR2
PCIF1,3.0,PCIF1
TSPY1,2.0,TSPY1
TBC1D3F,1.0,TBC1D3F
ATP6V1G2,4.5,ATP6V1G2
PLPP5,15.0,PLPP5
CPED1,10.0,CPED1
CCDC18,10.0,CCDC18
MPV17L,3.0,MPV17L
ZNF234,4.0,ZNF234
CTH,5.0,CTH
RACGAP1,28.0,RACGAP1
DEFB130B,1.0,DEFB130B
BTBD8,7.0,BTBD8
RNF111,12.0,RNF111
RORA,14.0,RORA
NDRG1,29.0,NDRG1
FAM186B,5.0,FAM186B
SHISA7,2.0,SHISA7
ARRB2,20.0,ARRB2
AOPEP,22.0,AOPEP
S100A11,2.0,S100A11
FAM71C,1.0,FAM71C
USP19,10.0,USP19
IL31,1.0,IL31
DLGAP2,9.266666666666667,DLGAP2
DOP1B,4.0,DOP1B
PIWIL2,5.0,PIWIL2
SAT2,14.0,SAT2
ACD,15.0,ACD
OR6C65,1.0,OR6C65
SYT12,7.0,SYT12
B3GLCT,2.0,B3GLCT
KCNIP2,14.0,KCNIP2
CHURC1,8.0,CHURC1
ZFX,11.0,ZFX
PAGE4,4.0,PAGE4
MTHFSD,20.0,MTHFSD
UBA52,14.0,UBA52
C2orf50,2.0,C2orf50
SLC11A2,32.0,SLC11A2
TIMM8B,4.0,TIMM8B
HARBI1,3.0,HARBI1
P4HB,24.0,P4HB
FABP3,4.0,FABP3
FGF2,4.0,FGF2
ETF1,9.0,ETF1
PCDH20,1.0,PCDH20
FBXL13,12.0,FBXL13
PCDHGA8,2.0,PCDHGA8
KCNK9,12.0,KCNK9
ROGDI,16.0,ROGDI
RDH14,2.0,RDH14
RNF217,11.0,RNF217
C17orf58,4.0,C17orf58
DPEP2,9.0,DPEP2
SYPL2,2.0,SYPL2
PEX2,6.0,PEX2
MRFAP1L1,2.0,MRFAP1L1
KCNS1,2.0,KCNS1
ICMT,4.0,ICMT
DEFB106A,1.6666666666666667,DEFB106A
AC243547.3,2.0,AC243547.3
ABI3,4.0,ABI3
CUBN,7.0,CUBN
PCBP2,26.0,PCBP2
C9orf57,6.0,C9orf57
NLRP5,3.0,NLRP5
NEFM,6.0,NEFM
RPL23A,9.0,RPL23A
AC011530.1,4.0,AC011530.1
ZNRF2,2.0,ZNRF2
THAP6,13.0,THAP6
TBK1,21.0,TBK1
CALHM4,5.0,CALHM4
OR10A4,1.0,OR10A4
NFASC,25.0,NFASC
TMEM91,14.0,TMEM91
SCN1B,8.0,SCN1B
CD209,11.0,CD209
DCUN1D5,11.0,DCUN1D5
PACRG,11.0,PACRG
CAAP1,7.0,CAAP1
AP1B1,11.0,AP1B1
SCYGR3,1.0,SCYGR3
ATP1B4,3.0,ATP1B4
RAB27B,4.0,RAB27B
OR4K15,2.0,OR4K15
AC011455.3,1.0,AC011455.3
JAKMIP3,25.0,JAKMIP3
RNF212B,9.0,RNF212B
ZNF621,8.0,ZNF621
PDE6D,5.0,PDE6D
ADCY4,19.0,ADCY4
UNC13B,11.0,UNC13B
CCDC77,12.0,CCDC77
SAMD14,10.0,SAMD14
CHCHD4,3.0,CHCHD4
SPEG,22.0,SPEG
CHRNA6,5.0,CHRNA6
NCDN,6.0,NCDN
C4orf47,4.0,C4orf47
APOBEC1,2.0,APOBEC1
TRMT5,3.0,TRMT5
TMIE,3.0,TMIE
FAM107B,29.0,FAM107B
IMPACT,7.0,IMPACT
DAD1,5.0,DAD1
CFAP69,13.0,CFAP69
SLC25A18,6.0,SLC25A18
KCTD16,2.0,KCTD16
NREP,23.0,NREP
ENPEP,5.0,ENPEP
LRRTM3,3.0,LRRTM3
SLC25A23,13.0,SLC25A23
KCNE4,2.0,KCNE4
PFKFB4,15.0,PFKFB4
GSDMA,3.0,GSDMA
WDR89,4.0,WDR89
CR788250.1,1.0,CR788250.1
NUBP2,16.0,NUBP2
GPAT2,10.0,GPAT2
COPZ1,18.0,COPZ1
PIGC,7.0,PIGC
SOD2,12.818181818181818,SOD2
PSG7,6.0,PSG7
NFE2L1,23.0,NFE2L1
LIPC,7.0,LIPC
NDUFS5,2.0,NDUFS5
CHST14,2.0,CHST14
RWDD2B,7.0,RWDD2B
ART1,2.0,ART1
KLF9,1.0,KLF9
PIKFYVE,9.0,PIKFYVE
ALDH3A2,26.0,ALDH3A2
GK3P,1.0,GK3P
CYTH3,11.0,CYTH3
HIST1H4H,4.0,HIST1H4H
HCST,2.0,HCST
PROKR1,1.0,PROKR1
RBM33,10.0,RBM33
HNF4G,4.0,HNF4G
TSBP1,6.45,TSBP1
NSUN3,8.0,NSUN3
FMO5,9.0,FMO5
CFHR1,5.0,CFHR1
GREB1L,11.0,GREB1L
NUBPL,13.0,NUBPL
SAGE1,3.0,SAGE1
SLC52A3,5.0,SLC52A3
SEBOX,1.0,SEBOX
DNAH1,8.0,DNAH1
ZNF76,11.0,ZNF76
IL7,11.0,IL7
IRX5,5.0,IRX5
VAV2,5.0,VAV2
MAPRE1,1.0,MAPRE1
COG6,12.0,COG6
ROR1,4.0,ROR1
PPP4R4,5.5,PPP4R4
OR4N4,1.0,OR4N4
TMEM241,17.0,TMEM241
ANXA2R,2.0,ANXA2R
ZFYVE28,11.0,ZFYVE28
ITPA,10.0,ITPA
TRO,25.0,TRO
DSG3,1.0,DSG3
MBD3L4,1.0,MBD3L4
IFI44L,10.0,IFI44L
MTERF4,22.0,MTERF4
SLC39A4,9.0,SLC39A4
UQCRH,5.0,UQCRH
SDCBP,13.0,SDCBP
CCHCR1,20.616438356164387,CCHCR1
ACTN2,13.0,ACTN2
BTBD17,1.0,BTBD17
BBC3,6.0,BBC3
HNRNPCL4,1.0,HNRNPCL4
TXNRD2,21.0,TXNRD2
ZNF747,3.0,ZNF747
STX2,4.0,STX2
LARGE1,16.0,LARGE1
TADA2B,5.0,TADA2B
PSMD2,20.0,PSMD2
TNFSF15,2.0,TNFSF15
TRIM16,26.0,TRIM16
AC023491.2,1.0,AC023491.2
SYT8,14.0,SYT8
FRG1,7.0,FRG1
SPTY2D1,3.0,SPTY2D1
TUBA4B,3.0,TUBA4B
NUP98,21.0,NUP98
HSFY1,4.0,HSFY1
HMGA1,6.0,HMGA1
FOXD4L4,1.0,FOXD4L4
DENND6B,5.0,DENND6B
ARHGDIG,4.0,ARHGDIG
HPSE,7.0,HPSE
INPP5F,21.0,INPP5F
HIST1H3E,2.0,HIST1H3E
TFF1,1.0,TFF1
GU182343.1,1.0,GU182343.1
SLURP2,2.0,SLURP2
TFAM,4.0,TFAM
SLC35A1,5.0,SLC35A1
RAB5A,8.0,RAB5A
KCNG4,2.0,KCNG4
SYTL2,30.0,SYTL2
FILIP1,4.0,FILIP1
CARMIL2,12.0,CARMIL2
CA5B,10.0,CA5B
RBFOX1,24.0,RBFOX1
DHODH,9.0,DHODH
BRPF3,12.0,BRPF3
LIG1,21.0,LIG1
SLC22A15,3.0,SLC22A15
CCDC30,58.0,CCDC30
CASP8,20.0,CASP8
BDKRB1,4.0,BDKRB1
TNFSF10,6.0,TNFSF10
MYO15B,36.0,MYO15B
THRSP,1.0,THRSP
MYMX,2.0,MYMX
ZNF606,9.0,ZNF606
SOX2,1.0,SOX2
CYP2U1,3.0,CYP2U1
PRSS56,3.0,PRSS56
CSNK1E,15.0,CSNK1E
ZNF573,19.0,ZNF573
FCRL2,5.0,FCRL2
ZXDA,1.0,ZXDA
AC104109.3,1.0,AC104109.3
LAT2,11.0,LAT2
PKDREJ,1.0,PKDREJ
IFNA5,1.0,IFNA5
AC008763.3,1.0,AC008763.3
FER,10.0,FER
HOXD12,2.0,HOXD12
CACNG3,1.0,CACNG3
ASXL2,4.0,ASXL2
HMGCL,9.0,HMGCL
CRLF2,4.0,CRLF2
RPL24,6.0,RPL24
UCK2,9.0,UCK2
OR6N1,3.0,OR6N1
DCAF8L1,1.0,DCAF8L1
BAD,7.0,BAD
EDA,13.0,EDA
CLN5,20.0,CLN5
HIST1H2AB,1.0,HIST1H2AB
RDM1,14.526315789473687,RDM1
ZNRF1,11.0,ZNRF1
RP1,8.0,RP1
TENT5D,2.0,TENT5D
CDK2AP2,5.0,CDK2AP2
DNAH14,19.0,DNAH14
AC092881.1,43.0,AC092881.1
PHAX,5.0,PHAX
WDR37,7.0,WDR37
ABCB4,13.0,ABCB4
DNAJC10,12.0,DNAJC10
BARD1,15.0,BARD1
SYNGR3,6.0,SYNGR3
GZMM,2.0,GZMM
TAS2R20,1.0,TAS2R20
FUS,13.0,FUS
TOX3,5.0,TOX3
ISY1,7.0,ISY1
VWA7,5.0,VWA7
HTR1E,1.0,HTR1E
C17orf53,5.0,C17orf53
CCDC155,15.0,CCDC155
PNRC1,3.0,PNRC1
AK8,5.0,AK8
GU182351.7,1.0,GU182351.7
PIK3C2G,7.0,PIK3C2G
RERG,9.0,RERG
FAM236D,2.0,FAM236D
AL121899.2,1.0,AL121899.2
MAPT,17.03030303030303,MAPT
LGALS8,28.0,LGALS8
SH3TC1,25.0,SH3TC1
P4HA2,21.0,P4HA2
AC010319.2,1.0,AC010319.2
SYT6,10.0,SYT6
GJE1,1.0,GJE1
CR354443.1,2.0,CR354443.1
YARS2,3.0,YARS2
CAV1,9.0,CAV1
ADH1A,3.0,ADH1A
DRAP1,9.0,DRAP1
SMG8,6.0,SMG8
GBP5,5.0,GBP5
MFSD14B,2.0,MFSD14B
ZNF729,1.0,ZNF729
NYNRIN,2.0,NYNRIN
MYL5,9.0,MYL5
ELMOD1,7.0,ELMOD1
REP15,1.0,REP15
TMEM186,2.0,TMEM186
PPIAL4E,1.0,PPIAL4E
TSC22D2,6.0,TSC22D2
OR14C36,1.0,OR14C36
ANKRD44,13.0,ANKRD44
OR9G1,1.6666666666666667,OR9G1
NME1,10.0,NME1
FOXP3,9.0,FOXP3
NEUROD2,2.0,NEUROD2
MT1B,2.0,MT1B
UGT1A8,1.0,UGT1A8
C6orf89,4.0,C6orf89
C1QTNF7,7.0,C1QTNF7
STX5,8.0,STX5
BTBD11,7.0,BTBD11
ZNF92,5.0,ZNF92
TRIM58,1.0,TRIM58
MUC2,4.8,MUC2
TCEA1,15.0,TCEA1
NOP9,4.0,NOP9
SEMA4B,20.0,SEMA4B
LRRC24,2.0,LRRC24
NEU1,5.0,NEU1
AL110118.4,3.0,AL110118.4
ATOH1,1.0,ATOH1
RPS6KA3,16.0,RPS6KA3
FARP2,23.0,FARP2
EXOC5,11.0,EXOC5
DDX51,6.0,DDX51
RBM12,6.0,RBM12
OR2A14,2.0,OR2A14
NUP188,11.0,NUP188
MRPL55,34.0,MRPL55
CIZ1,29.0,CIZ1
AC097637.1,2.0,AC097637.1
CNDP2,29.0,CNDP2
TM2D2,10.0,TM2D2
TLX1,5.0,TLX1
ASB4,3.0,ASB4
TSEN54,11.0,TSEN54
MAP2K5,12.0,MAP2K5
GSG1,10.0,GSG1
XKR3,1.0,XKR3
CSRNP3,7.0,CSRNP3
APH1A,9.0,APH1A
PPP1R35,5.0,PPP1R35
UPK3B,5.0,UPK3B
SETD2,9.0,SETD2
CREBBP,20.0,CREBBP
PLXNB3,9.0,PLXNB3
TSPAN4,20.0,TSPAN4
Z82206.1,1.0,Z82206.1
PDGFRA,10.0,PDGFRA
C16orf87,4.0,C16orf87
TAGLN3,7.0,TAGLN3
ALG1L,2.0,ALG1L
AC055839.2,1.0,AC055839.2
ZNF774,5.0,ZNF774
FAM163B,2.0,FAM163B
LGMN,19.0,LGMN
RAB40A,2.0,RAB40A
DUSP9,3.0,DUSP9
CBR4,7.0,CBR4
ZNF862,6.0,ZNF862
BTF3,9.0,BTF3
B4GALT7,8.0,B4GALT7
MPI,24.0,MPI
AC008977.1,4.0,AC008977.1
MUC1,29.0,MUC1
TTC13,9.0,TTC13
MTBP,8.0,MTBP
CC2D2B,11.0,CC2D2B
C3orf56,1.0,C3orf56
PPP3CA,9.0,PPP3CA
AAAS,20.0,AAAS
GSTT1,15.0,GSTT1
CT47A6,1.0,CT47A6
KCTD12,1.0,KCTD12
C17orf51,29.0,C17orf51
MIA3,11.0,MIA3
KRTAP9-3,1.0,KRTAP9-3
TRPM6,5.0,TRPM6
DNAL1,9.0,DNAL1
KHDC3L,1.0,KHDC3L
DEFB125,2.0,DEFB125
TARSL2,7.0,TARSL2
TIGD2,2.0,TIGD2
ASCL5,2.0,ASCL5
KRT222,4.0,KRT222
ZFAND3,7.0,ZFAND3
SLC2A4,5.0,SLC2A4
NT5C1B-RDH14,2.0,NT5C1B-RDH14
C10orf95,1.0,C10orf95
TESPA1,14.0,TESPA1
MRTFB,13.0,MRTFB
SYNPR,15.0,SYNPR
TLK1,12.0,TLK1
NCOR1,27.0,NCOR1
RBM20,4.0,RBM20
CEP104,11.0,CEP104
ZNF613,7.0,ZNF613
ZNF227,13.0,ZNF227
SNX10,9.0,SNX10
DSG1,2.0,DSG1
SERPINB3,2.0,SERPINB3
NKX6-2,2.0,NKX6-2
DLX3,2.0,DLX3
RNF219,1.0,RNF219
STON1-GTF2A1L,6.0,STON1-GTF2A1L
CROCC2,3.0,CROCC2
MAB21L2,1.0,MAB21L2
KRTAP19-8,1.0,KRTAP19-8
WWP1,11.0,WWP1
PASD1,2.0,PASD1
RASA4,17.0,RASA4
SCUBE2,14.0,SCUBE2
UQCRHL,1.0,UQCRHL
TRNT1,20.0,TRNT1
MAP2K1,3.0,MAP2K1
DPYSL3,9.0,DPYSL3
DRAXIN,1.0,DRAXIN
ZNF322,8.0,ZNF322
GPR148,1.0,GPR148
IFIT3,2.0,IFIT3
LAS1L,5.0,LAS1L
ALDH2,5.0,ALDH2
PPIAL4C,1.0,PPIAL4C
MZB1,8.0,MZB1
USP17L10,2.0,USP17L10
IL4,4.0,IL4
PGAP3,11.0,PGAP3
SERBP1,8.0,SERBP1
GPR68,5.0,GPR68
ZNF219,13.0,ZNF219
CNTRL,12.0,CNTRL
PROCA1,10.0,PROCA1
PSMG4,10.0,PSMG4
CATIP,5.0,CATIP
ANP32A,11.0,ANP32A
OR1F1,1.0,OR1F1
C2orf68,5.0,C2orf68
TATDN1,21.0,TATDN1
WFDC1,5.0,WFDC1
CR547123.1,1.0,CR547123.1
RRAGA,1.0,RRAGA
RAB3IP,18.0,RAB3IP
TMEM234,12.0,TMEM234
HARS2,20.0,HARS2
DEFB118,1.0,DEFB118
BNIP1,5.0,BNIP1
POU4F1,1.0,POU4F1
MANF,6.0,MANF
ASNA1,5.0,ASNA1
PPDPF,4.0,PPDPF
USP21,10.0,USP21
GPR179,3.0,GPR179
C17orf107,2.0,C17orf107
PAX5,18.0,PAX5
IL2RB,7.0,IL2RB
GK2,1.0,GK2
RPL36,8.0,RPL36
RFC5,9.0,RFC5
DUT,11.0,DUT
FCER2,7.0,FCER2
BX004987.1,1.0,BX004987.1
DOLK,1.0,DOLK
EFCAB3,6.0,EFCAB3
DPM3,3.0,DPM3
CABP5,2.0,CABP5
HMBS,32.0,HMBS
CCDC7,16.0,CCDC7
RREB1,10.0,RREB1
TAF12,4.0,TAF12
CYP2F1,6.0,CYP2F1
DBR1,4.0,DBR1
CTSL,6.0,CTSL
SMAP1,6.0,SMAP1
PLB1,12.0,PLB1
SLC26A3,5.0,SLC26A3
TBC1D1,19.0,TBC1D1
RRAD,5.0,RRAD
GOLGA6A,4.0,GOLGA6A
CLPTM1L,15.6,CLPTM1L
NPHS2,2.0,NPHS2
BTBD7,8.0,BTBD7
TIRAP,7.0,TIRAP
DAPP1,4.0,DAPP1
CLTC,15.0,CLTC
AL353572.3,1.0,AL353572.3
EFHD2,2.0,EFHD2
RSPH1,3.0,RSPH1
PTGES2,14.0,PTGES2
MAP3K15,4.0,MAP3K15
OR52E2,1.0,OR52E2
HDAC10,22.0,HDAC10
CACNA1D,31.0,CACNA1D
DUSP22,16.0,DUSP22
CU633846.1,3.0,CU633846.1
GU182355.2,1.0,GU182355.2
ATP13A4,11.0,ATP13A4
AIF1,5.833333333333332,AIF1
TEX101,3.0,TEX101
GCGR,6.0,GCGR
AQP8,2.0,AQP8
KLF13,5.0,KLF13
CCRL2,7.0,CCRL2
TRA2A,12.0,TRA2A
ZNF689,6.0,ZNF689
PIP4K2A,8.0,PIP4K2A
CNBD1,7.0,CNBD1
USP38,3.0,USP38
MCRIP1,12.0,MCRIP1
OR1B1,1.0,OR1B1
TIMM21,6.0,TIMM21
MAP3K5,2.0,MAP3K5
NPPA,3.0,NPPA
PALM2,5.0,PALM2
PEG3,18.0,PEG3
MPP4,12.0,MPP4
MTA2,7.0,MTA2
KRTAP7-1,1.0,KRTAP7-1
TC2N,6.5,TC2N
TNFRSF19,5.0,TNFRSF19
AMY1A,5.0,AMY1A
ACOXL,10.0,ACOXL
MAGEB18,1.0,MAGEB18
ARMS2,1.0,ARMS2
TCTA,6.0,TCTA
KPNB1,14.0,KPNB1
POFUT1,5.0,POFUT1
STOML2,5.0,STOML2
DNAJB12,6.0,DNAJB12
FRMD8,9.0,FRMD8
RBM26,7.0,RBM26
TIMM50,19.0,TIMM50
FAM47A,2.0,FAM47A
MTMR6,2.0,MTMR6
CD1B,2.0,CD1B
CCDC172,3.0,CCDC172
ZBTB24,1.0,ZBTB24
RTP2,1.0,RTP2
CFAP57,8.0,CFAP57
VEGFA,32.0,VEGFA
REEP5,7.0,REEP5
CR933783.1,1.0,CR933783.1
MICU2,8.0,MICU2
CXCL11,2.0,CXCL11
SYT2,2.0,SYT2
ZSWIM3,1.0,ZSWIM3
RHEBL1,4.0,RHEBL1
RUNX2,12.0,RUNX2
ARHGEF10,15.5,ARHGEF10
ZNF346,10.0,ZNF346
AL713999.1,1.0,AL713999.1
TOLLIP,13.0,TOLLIP
AC024940.7,4.0,AC024940.7
CASD1,6.0,CASD1
LAMP1,3.0,LAMP1
EML4,8.0,EML4
ETHE1,6.0,ETHE1
VWA3B,21.0,VWA3B
BAG6,32.46987951807229,BAG6
IBA57,3.0,IBA57
ERVFRD-1,2.0,ERVFRD-1
ME3,12.0,ME3
APOBEC3A,4.6,APOBEC3A
SLF2,6.0,SLF2
AGPAT3,18.0,AGPAT3
P2RY10,4.0,P2RY10
SMIM11A,8.0,SMIM11A
STX8,12.0,STX8
C16orf92,4.0,C16orf92
GUCY1B1,8.0,GUCY1B1
FLI1,9.0,FLI1
ADAM29,14.0,ADAM29
TSPY9P,1.0,TSPY9P
PIWIL1,8.538461538461537,PIWIL1
C2orf76,6.0,C2orf76
GPX1,8.0,GPX1
MTERF1,8.0,MTERF1
FST,5.0,FST
AC243837.4,2.0,AC243837.4
POU2F1,17.0,POU2F1
DIRC1,2.0,DIRC1
WDR45B,10.0,WDR45B
MAGEF1,1.0,MAGEF1
NPBWR2,1.0,NPBWR2
FILIP1L,10.0,FILIP1L
CENPE,8.0,CENPE
TIGD7,8.0,TIGD7
EGFR,11.0,EGFR
SPDYE9P,2.0,SPDYE9P
S1PR3,7.0,S1PR3
WASHC1,2.0,WASHC1
LMAN2L,9.0,LMAN2L
ESRRB,8.0,ESRRB
IKBKB,33.0,IKBKB
TTC7A,16.0,TTC7A
LGALS16,2.0,LGALS16
SHROOM1,8.0,SHROOM1
FAM185A,8.0,FAM185A
MMRN1,4.0,MMRN1
RXFP2,2.0,RXFP2
FTCD,11.111111111111109,FTCD
UTP20,4.0,UTP20
ZFP41,5.0,ZFP41
TRMT1,23.0,TRMT1
ANO10,17.0,ANO10
GAS8,20.0,GAS8
KLHL29,4.0,KLHL29
TAS2R43,1.0,TAS2R43
WNK4,6.0,WNK4
CRH,1.0,CRH
ZNF77,2.0,ZNF77
SOCS2,12.0,SOCS2
ADO,1.0,ADO
RPRD2,4.0,RPRD2
NICN1,8.0,NICN1
SLC6A2,10.0,SLC6A2
EIF1AD,11.0,EIF1AD
TMPRSS11B,3.0,TMPRSS11B
ENTR1,11.0,ENTR1
MID1,12.0,MID1
TAF1A,7.0,TAF1A
MRPS2,8.0,MRPS2
NCS1,3.0,NCS1
COG2,9.0,COG2
NCMAP,2.0,NCMAP
NEGR1,5.0,NEGR1
GRINA,10.0,GRINA
CNOT7,13.0,CNOT7
TSPAN32,17.0,TSPAN32
GNAL,10.0,GNAL
AKR7L,5.0,AKR7L
RBM22,8.0,RBM22
LAMTOR4,12.0,LAMTOR4
DSG4,2.0,DSG4
ZDHHC21,2.0,ZDHHC21
SENP5,7.0,SENP5
SUPT6H,12.0,SUPT6H
OR4K5,1.0,OR4K5
WDR72,8.0,WDR72
IFI27L2,6.0,IFI27L2
SPEF2,16.0,SPEF2
PPFIA1,27.0,PPFIA1
SIRPD,3.0,SIRPD
INSL3,3.0,INSL3
LY6G6F,1.0,LY6G6F
TMEM198,4.0,TMEM198
SLC38A3,9.0,SLC38A3
HIST1H4D,1.0,HIST1H4D
TMEM232,13.0,TMEM232
PIGN,51.0,PIGN
P2RY4,1.0,P2RY4
RIBC1,5.0,RIBC1
PRKAG2,36.0,PRKAG2
SLC25A28,4.0,SLC25A28
KCNB2,1.0,KCNB2
ATG14,2.0,ATG14
MUC21,2.833333333333333,MUC21
GLRX,7.0,GLRX
EPB41L4B,2.0,EPB41L4B
AC171558.3,1.0,AC171558.3
MTMR7,9.0,MTMR7
GALNT16,10.0,GALNT16
MAP6,4.0,MAP6
MRPS6,5.0,MRPS6
LRRC63,3.0,LRRC63
XKR9,5.0,XKR9
TBX20,2.0,TBX20
CORO1B,10.0,CORO1B
GOLGA6L2,4.0,GOLGA6L2
EXTL3,14.0,EXTL3
AC092143.1,1.0,AC092143.1
AGAP3,26.0,AGAP3
HRH1,4.0,HRH1
CHST1,3.0,CHST1
BCAS1,4.0,BCAS1
GUCY1A1,13.0,GUCY1A1
HSF4,25.0,HSF4
SGCG,1.0,SGCG
MFSD5,5.0,MFSD5
TMEM39A,12.0,TMEM39A
ZNF568,16.0,ZNF568
SSH1,9.0,SSH1
PDZD4,9.0,PDZD4
PNLIPRP3,1.0,PNLIPRP3
TMPRSS15,3.0,TMPRSS15
CCDC6,3.0,CCDC6
HBA1,4.0,HBA1
GPR26,1.0,GPR26
PCDHB9,3.0,PCDHB9
LRRK2,9.0,LRRK2
SMG7,16.0,SMG7
TLR10,8.0,TLR10
MFSD14C,12.0,MFSD14C
COMMD1,8.0,COMMD1
CHAC1,3.0,CHAC1
MCAT,4.0,MCAT
RPS3,20.0,RPS3
KU645198.1,2.0,KU645198.1
URB2,2.0,URB2
PMEPA1,8.0,PMEPA1
KIAA2012,4.0,KIAA2012
RAB3B,1.0,RAB3B
SPTLC2,6.0,SPTLC2
LTB4R2,5.0,LTB4R2
PARL,13.0,PARL
