Genes,Amino_Acid_Length,Norm_Symbol
AFF4,595.5,AFF4
APCS,223.0,APCS
TMEM201,444.0,TMEM201
MIP,263.0,MIP
IFI16,420.09090909090907,IFI16
PPP1R1B,176.5,PPP1R1B
MRPS14,94.0,MRPS14
IL23A,189.0,IL23A
TAF9B,251.0,TAF9B
DDHD1,702.8,DDHD1
SLC30A7,279.6666666666667,SLC30A7
KPNA3,306.0,KPNA3
GDF9,383.6,GDF9
MFHAS1,1052.0,MFHAS1
ARMC12,273.0,ARMC12
CCDC183,426.0,CCDC183
RABL6,491.75,RABL6
ZPR1,250.33333333333331,ZPR1
EEF1AKMT4-ECE2,883.0,EEF1AKMT4-ECE2
DDAH2,250.80952380952382,DDAH2
BUD13,407.33333333333326,BUD13
IL4I1,273.25,IL4I1
NDUFB10,160.75,NDUFB10
EEF1AKMT4,255.0,EEF1AKMT4
PPIL6,244.57142857142856,PPIL6
AVL9,563.25,AVL9
KIRREL1,644.5,KIRREL1
SLC22A25,326.0,SLC22A25
STOML2,269.5,STOML2
ZNF45,543.75,ZNF45
MRPL33,62.66666666666666,MRPL33
DNAH10,1526.8,DNAH10
VCAM1,543.8,VCAM1
RNF40,401.33333333333326,RNF40
ZNF250,222.0,ZNF250
TAF5L,396.75,TAF5L
FMO1,438.2,FMO1
AC106886.5,3053.0,AC106886.5
AMPD2,460.21428571428567,AMPD2
CABP4,191.0,CABP4
MROH9,540.3333333333334,MROH9
TMEM134,133.57142857142858,TMEM134
HIST3H2A,130.0,HIST3H2A
OBSCN,5056.222222222223,OBSCN
LRRC10,277.0,LRRC10
DIRAS3,229.0,DIRAS3
AC021660.3,70.0,AC021660.3
BLZF1,270.2,BLZF1
KRTAP6-1,71.0,KRTAP6-1
ISG20L2,353.0,ISG20L2
ARL14EPL,152.0,ARL14EPL
CLDN17,224.0,CLDN17
CHTOP,183.16666666666663,CHTOP
RNF126,222.66666666666663,RNF126
CNPY2,114.6,CNPY2
TRIM72,373.0,TRIM72
HSPH1,590.6666666666666,HSPH1
GTF2IRD2B,443.4,GTF2IRD2B
GLRX5,147.0,GLRX5
S100A4,101.0,S100A4
MAPK12,280.0,MAPK12
TSHZ1,615.75,TSHZ1
CYP2A13,494.0,CYP2A13
PIAS1,309.6,PIAS1
NCKAP5L,1169.0,NCKAP5L
ERICH2,156.0,ERICH2
CYP21A2,406.0,CYP21A2
IQGAP3,1609.5,IQGAP3
WDR92,231.0,WDR92
C15orf61,108.5,C15orf61
DEFA1B,94.0,DEFA1B
C2orf42,188.6,C2orf42
MRPL44,332.0,MRPL44
MCHR1,359.0,MCHR1
C1D,150.75,C1D
ADAMTS14,1224.5,ADAMTS14
SLC35B2,321.6666666666667,SLC35B2
WDFY1,312.5,WDFY1
GNPTAB,319.42857142857144,GNPTAB
SASH1,493.0,SASH1
NFIB,385.95,NFIB
DOCK11,1523.0,DOCK11
UTP6,229.0,UTP6
SPATA18,297.1666666666667,SPATA18
ZNHIT3,69.75,ZNHIT3
KIF1BP,270.90909090909093,KIF1BP
TMEM216,125.66666666666669,TMEM216
TM2D1,147.375,TM2D1
CYSRT1,184.0,CYSRT1
DEC1,70.0,DEC1
IMPG1,453.5,IMPG1
AP1G1,274.6,AP1G1
MME,382.8571428571428,MME
BAX,153.11111111111111,BAX
NDUFS7,175.33333333333337,NDUFS7
UEVLD,309.5,UEVLD
AC126755.2,242.0,AC126755.2
ECI1,263.5,ECI1
ANO6,741.4,ANO6
ACAP1,329.6666666666667,ACAP1
SYT15,320.2,SYT15
NMUR2,415.0,NMUR2
TBRG4,345.8,TBRG4
RASSF8,257.5,RASSF8
MAPK7,438.0,MAPK7
SEMA3F,443.8571428571428,SEMA3F
ARF6,175.0,ARF6
LILRA6,394.08,LILRA6
NDRG1,191.52941176470588,NDRG1
LPAR3,353.0,LPAR3
HIST1H2AL,130.0,HIST1H2AL
HIST1H4J,103.0,HIST1H4J
GALNT6,184.75,GALNT6
HIST1H2AI,130.0,HIST1H2AI
CXorf21,301.0,CXorf21
N4BP2,860.5,N4BP2
HAS1,418.8,HAS1
SLC4A8,879.5,SLC4A8
INCA1,228.5,INCA1
MAGEB3,346.0,MAGEB3
DRP2,820.6,DRP2
DDR1,410.52307692307687,DDR1
BOD1L1,1117.0,BOD1L1
AMDHD1,181.0,AMDHD1
PCDHGB5,870.5,PCDHGB5
MTRF1L,256.0,MTRF1L
TWF1,194.5,TWF1
PCDHGA6,875.0,PCDHGA6
PCDHGC3,471.6,PCDHGC3
ELF5,201.0,ELF5
GALNT10,428.0,GALNT10
C11orf87,197.0,C11orf87
SMAGP,68.125,SMAGP
DAZAP2,134.55555555555554,DAZAP2
BMP8B,402.0,BMP8B
FCN2,294.0,FCN2
PRAC1,57.0,PRAC1
TSPAN2,201.33333333333331,TSPAN2
SCOC,111.36363636363636,SCOC
FAM184B,1060.0,FAM184B
SPHK2,408.1818181818182,SPHK2
AL031777.3,159.66666666666666,AL031777.3
CINP,182.5,CINP
HACL1,325.6,HACL1
OR2B3,313.0,OR2B3
KPNB1,438.25,KPNB1
IFNK,207.0,IFNK
MMP9,707.0,MMP9
CAVIN3,277.0,CAVIN3
GPLD1,840.0,GPLD1
AC006538.2,105.0,AC006538.2
SLC36A2,255.8,SLC36A2
POLR2I,79.0,POLR2I
KLC3,395.83333333333326,KLC3
NOMO1,933.25,NOMO1
PCDHB11,614.5,PCDHB11
USP49,396.0,USP49
DUS3L,233.5,DUS3L
HDGFL1,251.0,HDGFL1
CATSPERD,798.0,CATSPERD
QDPR,155.28571428571428,QDPR
KIR2DL5A,375.0,KIR2DL5A
FXYD2,64.5,FXYD2
RNF103-CHMP3,236.0,RNF103-CHMP3
ATP2B4,648.8333333333334,ATP2B4
GNB1,225.83333333333331,GNB1
PABPC4,337.8333333333333,PABPC4
TRPM6,1589.75,TRPM6
DNAH11,3434.0,DNAH11
MCAM,646.0,MCAM
ETS1,303.8333333333333,ETS1
CYB5R2,201.57142857142856,CYB5R2
ABHD14B,206.0,ABHD14B
PUM1,629.3333333333334,PUM1
TMEM183A,376.0,TMEM183A
NDUFA7,91.25,NDUFA7
OR4C13,309.0,OR4C13
ZNF502,446.75,ZNF502
AC007240.1,214.0,AC007240.1
KLRC4,158.0,KLRC4
OR52B2,323.0,OR52B2
CYP4Z1,505.0,CYP4Z1
THRB,315.4736842105263,THRB
PSMC4,402.5,PSMC4
CEP83,423.0,CEP83
SOCS2,146.41666666666666,SOCS2
HIST1H2AG,130.0,HIST1H2AG
MACROD2,280.4,MACROD2
KDM5B,811.0526315789474,KDM5B
ENTPD2,483.5,ENTPD2
CLIP2,663.6,CLIP2
DBNDD2,173.55555555555554,DBNDD2
RNF14,242.92857142857144,RNF14
LOXL4,756.0,LOXL4
WEE1,283.0,WEE1
CCPG1,341.0,CCPG1
LNX2,690.0,LNX2
DCLRE1B,335.8,DCLRE1B
IGFBP1,244.0,IGFBP1
CASR,1061.25,CASR
PHGR1,82.0,PHGR1
SHISA4,197.0,SHISA4
HFE,249.33333333333331,HFE
SARDH,584.7142857142858,SARDH
MAPRE2,227.6,MAPRE2
ADI1,142.0,ADI1
SPANXN2,180.0,SPANXN2
MFSD6,304.375,MFSD6
BRDT,382.75,BRDT
ADSSL1,250.16666666666663,ADSSL1
PROCA1,200.6,PROCA1
LEXM,416.0,LEXM
DLL3,475.0,DLL3
HLA-DMB,186.94736842105263,HLA-DMB
SRRM1,583.0,SRRM1
KITLG,154.66666666666666,KITLG
DHRS2,241.0,DHRS2
SLC2A11,271.42857142857144,SLC2A11
LDOC1,146.0,LDOC1
TMTC3,403.25,TMTC3
RGL2,461.5,RGL2
GIMD1,217.0,GIMD1
OR14J1,321.0,OR14J1
GALR3,368.0,GALR3
C12orf50,295.0,C12orf50
ARSJ,366.0,ARSJ
TMC1,573.375,TMC1
FRG1,120.4,FRG1
LCAT,167.71428571428572,LCAT
CITED4,184.0,CITED4
MGAT4C,414.0,MGAT4C
RPF2,163.75,RPF2
TMF1,987.25,TMF1
RASSF9,435.0,RASSF9
WFDC12,111.0,WFDC12
WFDC5,173.5,WFDC5
H1F0,194.0,H1F0
SYN3,265.2,SYN3
SPON1,807.0,SPON1
ICK,632.0,ICK
FAM110C,321.0,FAM110C
MINK1,664.7142857142858,MINK1
TEX37,180.0,TEX37
MAGT1,300.75,MAGT1
HNRNPUL1,414.61111111111114,HNRNPUL1
MSRB1,132.8,MSRB1
PDE7A,361.75,PDE7A
KCNQ5,683.0769230769231,KCNQ5
MVK,210.28571428571428,MVK
AGPAT1,283.0,AGPAT1
ITGAM,748.0,ITGAM
ZNF776,204.66666666666663,ZNF776
OR10G3,313.0,OR10G3
GPRIN1,1008.0,GPRIN1
COA5,73.5,COA5
OR5K1,308.0,OR5K1
ATP1B1,245.33333333333331,ATP1B1
SNAPIN,136.0,SNAPIN
NUDT16,193.66666666666663,NUDT16
FNDC9,202.0,FNDC9
DDX18,442.0,DDX18
NAXE,264.3333333333333,NAXE
MAP3K1,1512.0,MAP3K1
COL6A5,1400.8,COL6A5
ZNF705E,300.0,ZNF705E
MAEL,382.75,MAEL
DAO,198.5,DAO
FMNL1,529.0,FMNL1
FLG,4061.0,FLG
MMP13,447.66666666666674,MMP13
UBE2A,115.14285714285714,UBE2A
NKRF,695.0,NKRF
TADA1,335.0,TADA1
RORC,355.33333333333326,RORC
EPS8L1,560.5,EPS8L1
CCDC172,258.0,CCDC172
PSEN1,201.04545454545453,PSEN1
CAPSL,196.5,CAPSL
AC139491.7,310.0,AC139491.7
CCDC62,509.0,CCDC62
AC008537.1,66.0,AC008537.1
DEFB107A,70.0,DEFB107A
DEFB107B,70.0,DEFB107B
CDC42BPA,1234.6666666666667,CDC42BPA
CLEC5A,129.0,CLEC5A
BGLAP,100.0,BGLAP
LIPJ,260.0,LIPJ
TPM1,197.88,TPM1
RNLS,277.3333333333333,RNLS
AC084121.8,464.0,AC084121.8
ZNF782,467.0,ZNF782
NABP1,134.57142857142858,NABP1
IL6ST,492.6,IL6ST
AL772284.2,324.0,AL772284.2
EPHA10,423.875,EPHA10
APEX1,176.71428571428572,APEX1
KIAA1324,398.5555555555555,KIAA1324
OSTM1,253.0,OSTM1
AC011604.2,717.5,AC011604.2
C1R,347.27272727272725,C1R
PRSS36,621.25,PRSS36
GLIPR1L1,142.75,GLIPR1L1
GPR42,346.0,GPR42
NCF1,187.75,NCF1
GAL3ST2,392.0,GAL3ST2
GZMM,237.5,GZMM
ZNF676,591.0,ZNF676
CKAP4,314.0,CKAP4
KIAA0586,978.3,KIAA0586
SYPL1,201.4,SYPL1
PPP1R17,129.5,PPP1R17
IFITM10,135.0,IFITM10
ZFP57,488.1363636363636,ZFP57
SETD2,1470.833333333333,SETD2
KRTAP5-5,220.0,KRTAP5-5
MS4A10,267.0,MS4A10
CETN3,143.16666666666666,CETN3
KRT6B,564.0,KRT6B
MS4A15,193.25,MS4A15
SH3BP5L,393.0,SH3BP5L
AGER,277.3636363636364,AGER
PPTC7,304.0,PPTC7
SUSD4,440.33333333333326,SUSD4
Z82190.2,600.0,Z82190.2
ERVMER34-1,563.0,ERVMER34-1
GFRA4,250.0,GFRA4
NIP7,114.4,NIP7
TMEM123,117.5,TMEM123
KDELR3,217.0,KDELR3
AC026464.3,156.0,AC026464.3
CASP9,244.8,CASP9
RIT1,176.2,RIT1
CERCAM,281.75,CERCAM
PATL2,318.5,PATL2
CER1,267.0,CER1
STC2,159.33333333333334,STC2
ZUP1,429.0,ZUP1
ZNF609,871.0,ZNF609
PMPCA,396.66666666666674,PMPCA
SNAPC4,960.0,SNAPC4
TCP11X1,201.33333333333331,TCP11X1
SUPT16H,319.25,SUPT16H
AKR1D1,249.25,AKR1D1
ARFGAP1,255.78571428571428,ARFGAP1
CDH23,1040.9375,CDH23
MEAF6,188.8,MEAF6
SPATA2L,252.0,SPATA2L
APLF,342.25,APLF
ATXN7L1,460.71428571428567,ATXN7L1
ZMPSTE24,475.0,ZMPSTE24
RPL26L1,124.33333333333331,RPL26L1
PRR35,571.0,PRR35
TBCA,96.57142857142857,TBCA
PSMB7,243.5,PSMB7
PLPBP,153.2,PLPBP
MYO18A,1025.4444444444443,MYO18A
LYPLAL1,229.0,LYPLAL1
ISG15,157.5,ISG15
SLC22A12,458.8,SLC22A12
MAP6D1,171.33333333333334,MAP6D1
AC131160.1,408.0,AC131160.1
PLA2G12A,148.66666666666666,PLA2G12A
FAM102B,357.5,FAM102B
SLC2A7,512.0,SLC2A7
SLC35D2,200.8,SLC35D2
KCNH3,618.5,KCNH3
XPNPEP2,428.5,XPNPEP2
TMCO2,182.0,TMCO2
EEF2K,646.75,EEF2K
CFI,457.8,CFI
TLN2,1477.5,TLN2
HPDL,371.0,HPDL
PPP1R21,364.28571428571433,PPP1R21
DGKA,218.52380952380955,DGKA
HSD17B3,203.75,HSD17B3
CCDC106,202.625,CCDC106
SPATA17,220.5,SPATA17
WASHC4,400.4285714285714,WASHC4
PLEKHA5,724.7,PLEKHA5
ZNF580,124.16666666666669,ZNF580
ZNF581,182.5,ZNF581
SEMA3D,535.5,SEMA3D
IRF9,214.28571428571428,IRF9
CPSF7,221.94736842105263,CPSF7
AD000671.1,55.0,AD000671.1
C12orf45,163.16666666666666,C12orf45
POLR2M,184.0,POLR2M
RPGRIP1,537.8,RPGRIP1
HMGN3,102.0,HMGN3
TMEM235,207.16666666666663,TMEM235
KLC4,312.57142857142856,KLC4
AC011455.2,588.0,AC011455.2
DPYD,599.0,DPYD
CENPM,114.83333333333331,CENPM
PSG4,213.58333333333331,PSG4
ZNF865,546.0,ZNF865
FHAD1,621.2,FHAD1
DNAJC25,212.0,DNAJC25
CD22,339.6666666666667,CD22
KMT2B,2715.0,KMT2B
GU182355.1,304.0,GU182355.1
GRIK3,895.5,GRIK3
NBPF4,652.5,NBPF4
LIN37,120.5,LIN37
AD000671.2,97.0,AD000671.2
RPS12,132.0,RPS12
FIZ1,187.0,FIZ1
SLC35E3,219.0,SLC35E3
PSG5,320.5,PSG5
ZNF524,219.33333333333331,ZNF524
ZNF579,288.5,ZNF579
MRPL2,164.6,MRPL2
ABR,334.21568627450984,ABR
ZNF467,370.5,ZNF467
SARS2,316.5,SARS2
TRIM32,492.66666666666674,TRIM32
LILRA1,393.25,LILRA1
ELAC2,358.5,ELAC2
ALAS1,485.66666666666674,ALAS1
KIR2DS1,291.53846153846155,KIR2DS1
SLC38A1,433.1428571428572,SLC38A1
AC006518.,166.0,AC006518.
WNT3,355.0,WNT3
AC012314.6,253.0,AC012314.6
AC012314.1,84.0,AC012314.1
MLXIP,369.0,MLXIP
TMEM120B,254.25,TMEM120B
FASTKD2,563.5,FASTKD2
AK5,282.6,AK5
PKLR,406.83333333333326,PKLR
FAM92B,271.0,FAM92B
P2RX7,191.0,P2RX7
ZSWIM4,709.0,ZSWIM4
SRSF9,149.66666666666666,SRSF9
ADAM23,590.3333333333334,ADAM23
NOB1,181.33333333333331,NOB1
KIR3DP1,328.0,KIR3DP1
SLC17A7,389.66666666666674,SLC17A7
TFRC,479.6,TFRC
GFY,518.0,GFY
OR2T1,356.25,OR2T1
OR2T6,308.0,OR2T6
OR2T12,320.0,OR2T12
OR2L5,312.0,OR2L5
ARF3,116.33333333333331,ARF3
AC118470.1,46.0,AC118470.1
GCSAML,106.6,GCSAML
PYURF,114.0,PYURF
HERC3,415.75,HERC3
HLA-DRB4,266.0,HLA-DRB4
KIF26B,1929.666666666667,KIF26B
SDCCAG8,499.57142857142856,SDCCAG8
CD48,221.33333333333331,CD48
BCLAF1,657.875,BCLAF1
CCDC60,246.66666666666663,CCDC60
CD164L2,173.5,CD164L2
IER5,327.0,IER5
SUDS3,328.0,SUDS3
FAM98C,207.8,FAM98C
AC009879.2,88.0,AC009879.2
AL139011.2,369.66666666666674,AL139011.2
ATP8B2,805.0,ATP8B2
LMAN2,272.6,LMAN2
NOXO1,313.6,NOXO1
RPS19,111.28571428571428,RPS19
ASB8,110.3125,ASB8
PPM1K,170.0,PPM1K
CDK2AP2,97.66666666666669,CDK2AP2
DVL3,406.33333333333326,DVL3
KDELR2,145.33333333333334,KDELR2
PLEKHF1,192.0,PLEKHF1
KIAA0040,112.5,KIAA0040
GSTM5,183.75,GSTM5
BMP4,268.25,BMP4
LRRC40,602.0,LRRC40
DHX37,750.6666666666665,DHX37
DLX5,256.3333333333333,DLX5
SERPINC1,361.5,SERPINC1
TAGAP,401.75,TAGAP
OR10X1,326.0,OR10X1
LRRTM4,472.0,LRRTM4
AL355102.2,75.0,AL355102.2
BDKRB2,373.0,BDKRB2
FCHO1,328.76,FCHO1
KCNK6,313.0,KCNK6
CENPL,359.33333333333326,CENPL
SDS,220.0,SDS
PFKM,379.92307692307685,PFKM
SLC2A14,263.10526315789474,SLC2A14
AC009690.1,227.0,AC009690.1
DISC1,523.1428571428571,DISC1
NUP62,227.07142857142856,NUP62
KDF1,302.5,KDF1
AL358472.7,80.0,AL358472.7
LCN15,184.0,LCN15
GNPNAT1,161.0,GNPNAT1
ZNF280C,673.5,ZNF280C
ZNF404,551.5,ZNF404
PLEK2,175.6,PLEK2
PTOV1,282.1,PTOV1
ZNF254,379.4285714285714,ZNF254
CDK12,1082.75,CDK12
ZNF814,195.72727272727272,ZNF814
KRTAP7-1,87.0,KRTAP7-1
KRTAP8-1,63.0,KRTAP8-1
ETV3,327.5,ETV3
RASAL1,797.75,RASAL1
VAMP1,116.75,VAMP1
CTSS,166.0,CTSS
CD27,260.0,CD27
PEAR1,581.0,PEAR1
KRTAP21-1,79.0,KRTAP21-1
KRTAP20-2,65.0,KRTAP20-2
KRTAP20-1,56.0,KRTAP20-1
PLA2G2D,103.5,PLA2G2D
ADAMTSL5,203.0,ADAMTSL5
SRP72,501.4,SRP72
ZNF85,235.0,ZNF85
KRTAP27-1,207.0,KRTAP27-1
MTF1,753.0,MTF1
FAHD1,236.5,FAHD1
LVRN,548.5,LVRN
GALNS,167.66666666666666,GALNS
MIER3,309.125,MIER3
S100A3,101.0,S100A3
GUK1,220.15384615384616,GUK1
USP17L8,530.0,USP17L8
MED1,578.25,MED1
PLA2G2E,142.0,PLA2G2E
LCE1E,108.0,LCE1E
CEP57L1,242.72727272727272,CEP57L1
MGA,1709.333333333333,MGA
AC003002.2,72.0,AC003002.2
CUZD1,273.0,CUZD1
ABHD10,159.5,ABHD10
HHATL,257.5,HHATL
SCUBE3,993.0,SCUBE3
PIGF,128.6,PIGF
ADCK5,227.75,ADCK5
RIIAD1,97.0,RIIAD1
EFCAB5,682.375,EFCAB5
SLC35E1,243.75,SLC35E1
OR2J3,305.7,OR2J3
GNAL,269.125,GNAL
OTUD7B,635.0,OTUD7B
USP11,518.0,USP11
ANTXR1,361.0,ANTXR1
PTEN,427.0,PTEN
MON1B,267.25,MON1B
AC008764.1,427.0,AC008764.1
MTMR11,674.5,MTMR11
AMELY,199.0,AMELY
CHURC1-FNTB,183.0,CHURC1-FNTB
AQP9,273.3333333333333,AQP9
PIP4P1,179.0,PIP4P1
HIKESHI,153.5,HIKESHI
UNC13A,1699.5,UNC13A
ATXN2,662.2272727272727,ATXN2
HIST2H2AB,130.0,HIST2H2AB
CGN,393.0,CGN
DNAJC18,132.88888888888889,DNAJC18
PFKFB1,348.0,PFKFB1
NEU4,288.61538461538464,NEU4
GGNBP2,264.0,GGNBP2
WDR47,553.1111111111112,WDR47
SH3BGRL3,90.5,SH3BGRL3
NBPF9,899.375,NBPF9
PRR15L,103.0,PRR15L
NSG2,139.66666666666666,NSG2
SLCO1C1,552.6,SLCO1C1
LIMS1,247.45454545454547,LIMS1
SEPT14,432.0,SEPT14
KIAA1324L,522.875,KIAA1324L
PALMD,524.3333333333334,PALMD
RSPH6A,615.3333333333334,RSPH6A
SSR2,122.4,SSR2
SLC25A10,228.2,SLC25A10
AC139530.2,442.0,AC139530.2
AL049697.1,622.0,AL049697.1
CRYBA1,145.0,CRYBA1
STON1-GTF2A1L,1164.25,STON1-GTF2A1L
KHDRBS3,191.42857142857144,KHDRBS3
PLCH2,1159.0,PLCH2
ARSI,360.33333333333326,ARSI
MTHFD2L,209.85714285714286,MTHFD2L
PAK4,370.5,PAK4
AEBP2,282.14285714285717,AEBP2
DUSP8,625.0,DUSP8
CNTNAP2,505.375,CNTNAP2
CDC14B,418.75,CDC14B
SLC6A7,651.0,SLC6A7
KDM4A,451.0,KDM4A
CCDC112,458.75,CCDC112
SLC22A2,444.5,SLC22A2
ZMAT1,638.0,ZMAT1
TIMM22,194.0,TIMM22
TRPV6,363.28571428571433,TRPV6
SRY,204.0,SRY
MAG,359.33333333333326,MAG
SSC5D,683.0,SSC5D
CCDC195,201.0,CCDC195
CA4,147.8,CA4
SLC22A1,376.8571428571428,SLC22A1
TFAP2B,329.0,TFAP2B
NFYB,181.66666666666663,NFYB
RPL7L1,188.25,RPL7L1
ZBTB32,336.75,ZBTB32
STAC,261.5,STAC
KCTD3,398.66666666666674,KCTD3
GAMT,206.5,GAMT
ARFGEF1,852.6,ARFGEF1
CT62,136.0,CT62
RAD51D,154.3125,RAD51D
CLDN20,219.0,CLDN20
CLK4,223.7142857142857,CLK4
SPA17,151.0,SPA17
SEC11A,151.75,SEC11A
WIPI1,253.33333333333331,WIPI1
C12orf42,236.16666666666663,C12orf42
TATDN3,162.38461538461542,TATDN3
RTN4IP1,311.0,RTN4IP1
PLEKHN1,506.5,PLEKHN1
IRAK1BP1,168.25,IRAK1BP1
BIRC5,108.0,BIRC5
SULT1C2,234.85714285714286,SULT1C2
CAMSAP1,1513.0,CAMSAP1
CBFA2T2,497.75,CBFA2T2
LCLAT1,192.27272727272728,LCLAT1
LOXL3,514.0,LOXL3
OR8D2,311.0,OR8D2
TAS2R20,309.0,TAS2R20
SLC10A5,438.0,SLC10A5
ZBTB3,230.66666666666663,ZBTB3
TAS2R19,299.0,TAS2R19
TAS2R43,305.6666666666667,TAS2R43
ITGA7,486.76923076923083,ITGA7
GABBR1,727.1627906976744,GABBR1
OR10D3,312.0,OR10D3
NEK1,908.1428571428572,NEK1
LHFPL4,247.0,LHFPL4
TBC1D3H,549.0,TBC1D3H
PRR4,104.0,PRR4
SMIM23,166.66666666666666,SMIM23
TAS2R31,309.0,TAS2R31
RBM41,333.0,RBM41
THY1,136.66666666666666,THY1
MTRNR2L7,24.0,MTRNR2L7
LOXHD1,941.1666666666665,LOXHD1
PRH2,166.0,PRH2
PDCL2,241.0,PDCL2
PSMA4,190.61538461538458,PSMA4
CCL7,75.66666666666667,CCL7
TBC1D3I,377.0,TBC1D3I
PRAM1,425.0,PRAM1
SEMA5B,852.5454545454545,SEMA5B
HDAC2,184.25,HDAC2
TSR2,191.0,TSR2
PPP2R1A,238.28571428571428,PPP2R1A
TBC1D3G,549.0,TBC1D3G
INA,499.0,INA
STAT4,286.42857142857144,STAT4
DHDH,227.0,DHDH
FGD1,961.0,FGD1
OR10P1,313.0,OR10P1
GPC5,314.3333333333333,GPC5
FAM187B,369.0,FAM187B
TAF8,236.0,TAF8
TAS2R8,309.0,TAS2R8
ITGAL,335.8,ITGAL
OTX2,192.28571428571428,OTX2
OR6C70,312.0,OR6C70
POLR3K,108.0,POLR3K
ZNF165,485.0,ZNF165
GLYATL3,222.0,GLYATL3
CHRNB3,233.5,CHRNB3
OR6C4,309.0,OR6C4
CSNK1A1,206.8181818181818,CSNK1A1
TIE1,758.5,TIE1
OR6C2,312.0,OR6C2
RAP1B,116.42857142857143,RAP1B
ALX4,411.0,ALX4
TRIM35,286.3333333333333,TRIM35
TMED10,186.0,TMED10
POPDC3,196.0,POPDC3
RAB11FIP5,988.5,RAB11FIP5
TMIE,138.33333333333334,TMIE
NCOA5,341.5,NCOA5
PICALM,296.8333333333333,PICALM
PRKCZ,165.61111111111111,PRKCZ
CENPQ,268.0,CENPQ
RETNLB,111.0,RETNLB
ATP4A,534.5,ATP4A
TCTEX1D4,221.0,TCTEX1D4
DEFB134,66.0,DEFB134
PTCH1,639.6111111111112,PTCH1
MS4A2,161.33333333333334,MS4A2
SLC22A14,435.66666666666674,SLC22A14
COL24A1,712.75,COL24A1
ANKRD13D,365.0,ANKRD13D
KLF9,244.0,KLF9
CCDC140,163.0,CCDC140
PRR23B,265.0,PRR23B
DBX2,339.0,DBX2
PLK3,646.0,PLK3
B3GAT2,287.0,B3GAT2
NFIA,353.53846153846155,NFIA
C1orf210,113.0,C1orf210
LDLRAP1,308.0,LDLRAP1
OPA3,161.66666666666666,OPA3
USP2,333.4,USP2
TTC4,387.0,TTC4
SLC2A4RG,387.0,SLC2A4RG
GPR4,362.0,GPR4
SMAP1,331.1666666666667,SMAP1
LRP1B,1614.5,LRP1B
CBLN1,175.33333333333337,CBLN1
DECR2,151.1818181818182,DECR2
AC012314.26,253.0,AC012314.26
BX248413.,137.0,BX248413.
KLF7,176.11111111111111,KLF7
PODXL,469.33333333333326,PODXL
NXPH4,172.0,NXPH4
TSLP,127.0,TSLP
OR1C1,314.0,OR1C1
AC073610.2,62.0,AC073610.2
YY1,190.25,YY1
OR6F1,308.0,OR6F1
SCCPDH,429.0,SCCPDH
TMEM38A,207.0,TMEM38A
HLA-DRB1,259.8,HLA-DRB1
DDX23,276.5,DDX23
SLC2A12,617.0,SLC2A12
TECPR1,365.25,TECPR1
BHLHA15,189.0,BHLHA15
KCNN3,580.25,KCNN3
OCM2,109.0,OCM2
BNIP2,308.5,BNIP2
SLAMF7,226.88888888888889,SLAMF7
GPR6,369.5,GPR6
OR13C5,318.0,OR13C5
AC010616.1,354.0,AC010616.1
TDO2,173.33333333333337,TDO2
C3AR1,314.0,C3AR1
HSPA4,671.3333333333334,HSPA4
REV1,571.8,REV1
REG1B,157.5,REG1B
TRIM13,337.6666666666667,TRIM13
MTHFS,129.5,MTHFS
RPS2,178.77777777777774,RPS2
GSTO1,208.4,GSTO1
TMED3,172.75,TMED3
OR10Z1,313.0,OR10Z1
KIAA1211L,327.8,KIAA1211L
TMTC1,727.2,TMTC1
TBX5,463.25,TBX5
IMPDH1,414.8571428571428,IMPDH1
RSPH3,433.33333333333326,RSPH3
DEPDC1,420.0,DEPDC1
APBB3,361.33333333333326,APBB3
NELFCD,596.0,NELFCD
BDKRB1,330.0,BDKRB1
C17orf78,217.0,C17orf78
ABCA5,556.8181818181819,ABCA5
C14orf132,93.0,C14orf132
SDSL,190.66666666666663,SDSL
DMP1,505.0,DMP1
AC009690.3,481.0,AC009690.3
TNFSF4,158.0,TNFSF4
ATP7A,613.8,ATP7A
SLC25A13,474.66666666666674,SLC25A13
TMC7,698.0,TMC7
EXOC8,725.0,EXOC8
MYRFL,536.6,MYRFL
FAR2,238.0,FAR2
RASGRF1,1006.3333333333335,RASGRF1
FGFR1OP,376.33333333333326,FGFR1OP
CRTC2,400.25,CRTC2
BCKDHA,305.2,BCKDHA
CCDC171,684.0,CCDC171
ZNF551,428.0,ZNF551
OR10G2,310.0,OR10G2
NEK3,291.8888888888889,NEK3
KIFAP3,751.5,KIFAP3
USP42,554.1666666666666,USP42
GRIN3A,1115.0,GRIN3A
INTS3,559.3333333333334,INTS3
DBT,401.0,DBT
PPP1R14A,117.6,PPP1R14A
CBY3,242.0,CBY3
CPA1,262.6,CPA1
LRRC39,337.0,LRRC39
MDN1,3108.75,MDN1
MYO1H,728.6666666666665,MYO1H
FSTL3,93.0,FSTL3
ARL9,158.33333333333334,ARL9
ZNF724,265.0,ZNF724
ARMC1,175.4,ARMC1
S100A1,82.0,S100A1
FN1,1941.4615384615383,FN1
ZBTB38,487.73333333333335,ZBTB38
RCHY1,198.875,RCHY1
RNF20,350.0,RNF20
SORD,227.5,SORD
LELP1,98.0,LELP1
ADAM10,170.25,ADAM10
SVOP,269.0,SVOP
TSACC,115.625,TSACC
VN1R1,353.0,VN1R1
