Genes,Isoform_No,Norm_Symbol
AC009690.1,1,AC009690.1
DISC1,21,DISC1
NUP62,14,NUP62
KDF1,2,KDF1
AL358472.7,1,AL358472.7
LCN15,1,LCN15
GNPNAT1,4,GNPNAT1
ZNF280C,2,ZNF280C
ZNF404,2,ZNF404
PLEK2,5,PLEK2
PTOV1,10,PTOV1
ZNF254,7,ZNF254
CDK12,4,CDK12
ZNF814,11,ZNF814
KRTAP7-1,1,KRTAP7-1
KRTAP8-1,1,KRTAP8-1
ETV3,2,ETV3
RASAL1,4,RASAL1
VAMP1,4,VAMP1
CTSS,5,CTSS
CD27,1,CD27
PEAR1,4,PEAR1
KRTAP21-1,1,KRTAP21-1
KRTAP20-2,1,KRTAP20-2
KRTAP20-1,1,KRTAP20-1
PLA2G2D,2,PLA2G2D
ADAMTSL5,6,ADAMTSL5
SRP72,5,SRP72
ZNF85,23,ZNF85
KRTAP27-1,1,KRTAP27-1
MTF1,1,MTF1
FAHD1,4,FAHD1
LVRN,6,LVRN
GALNS,6,GALNS
MIER3,8,MIER3
S100A3,2,S100A3
GUK1,13,GUK1
USP17L8,1,USP17L8
MED1,4,MED1
PLA2G2E,1,PLA2G2E
LCE1E,3,LCE1E
CEP57L1,22,CEP57L1
MGA,9,MGA
AC003002.2,1,AC003002.2
CUZD1,5,CUZD1
ABHD10,4,ABHD10
HHATL,8,HHATL
SCUBE3,1,SCUBE3
PIGF,5,PIGF
ADCK5,8,ADCK5
RIIAD1,2,RIIAD1
EFCAB5,8,EFCAB5
SLC35E1,4,SLC35E1
OR2J3,10,OR2J3
GNAL,8,GNAL
OTUD7B,2,OTUD7B
USP11,4,USP11
ANTXR1,4,ANTXR1
PTEN,4,PTEN
MON1B,8,MON1B
AC008764.1,1,AC008764.1
MTMR11,2,MTMR11
AMELY,2,AMELY
CHURC1-FNTB,4,CHURC1-FNTB
AQP9,3,AQP9
PIP4P1,4,PIP4P1
HIKESHI,4,HIKESHI
UNC13A,4,UNC13A
ATXN2,22,ATXN2
HIST2H2AB,1,HIST2H2AB
CGN,5,CGN
DNAJC18,9,DNAJC18
PFKFB1,4,PFKFB1
NEU4,26,NEU4
GGNBP2,8,GGNBP2
WDR47,9,WDR47
SH3BGRL3,2,SH3BGRL3
NBPF9,8,NBPF9
PRR15L,1,PRR15L
NSG2,6,NSG2
SLCO1C1,5,SLCO1C1
LIMS1,11,LIMS1
SEPT14,1,SEPT14
KIAA1324L,8,KIAA1324L
PALMD,3,PALMD
RSPH6A,3,RSPH6A
SSR2,10,SSR2
SLC25A10,5,SLC25A10
AC139530.2,1,AC139530.2
AL049697.1,1,AL049697.1
CRYBA1,2,CRYBA1
STON1-GTF2A1L,4,STON1-GTF2A1L
KHDRBS3,7,KHDRBS3
PLCH2,8,PLCH2
ARSI,3,ARSI
MTHFD2L,7,MTHFD2L
PAK4,10,PAK4
AEBP2,7,AEBP2
DUSP8,6,DUSP8
CNTNAP2,8,CNTNAP2
CDC14B,8,CDC14B
SLC6A7,2,SLC6A7
KDM4A,3,KDM4A
CCDC112,4,CCDC112
SLC22A2,2,SLC22A2
ZMAT1,2,ZMAT1
TIMM22,3,TIMM22
TRPV6,7,TRPV6
SRY,1,SRY
MAG,6,MAG
SSC5D,4,SSC5D
CCDC195,1,CCDC195
CA4,5,CA4
SLC22A1,7,SLC22A1
TFAP2B,2,TFAP2B
NFYB,3,NFYB
RPL7L1,4,RPL7L1
ZBTB32,4,ZBTB32
STAC,4,STAC
KCTD3,3,KCTD3
GAMT,4,GAMT
ARFGEF1,5,ARFGEF1
CT62,1,CT62
RAD51D,16,RAD51D
CLDN20,1,CLDN20
CLK4,7,CLK4
SPA17,2,SPA17
SEC11A,8,SEC11A
WIPI1,6,WIPI1
C12orf42,6,C12orf42
TATDN3,13,TATDN3
RTN4IP1,2,RTN4IP1
PLEKHN1,4,PLEKHN1
IRAK1BP1,4,IRAK1BP1
BIRC5,9,BIRC5
SULT1C2,7,SULT1C2
CAMSAP1,3,CAMSAP1
CBFA2T2,8,CBFA2T2
LCLAT1,11,LCLAT1
LOXL3,7,LOXL3
OR8D2,1,OR8D2
TAS2R20,3,TAS2R20
SLC10A5,1,SLC10A5
ZBTB3,3,ZBTB3
TAS2R19,3,TAS2R19
TAS2R43,3,TAS2R43
ITGA7,13,ITGA7
GABBR1,43,GABBR1
OR10D3,3,OR10D3
NEK1,7,NEK1
LHFPL4,1,LHFPL4
TBC1D3H,2,TBC1D3H
PRR4,11,PRR4
SMIM23,3,SMIM23
TAS2R31,3,TAS2R31
RBM41,4,RBM41
THY1,6,THY1
MTRNR2L7,1,MTRNR2L7
LOXHD1,12,LOXHD1
PRH2,6,PRH2
PDCL2,1,PDCL2
PSMA4,13,PSMA4
CCL7,3,CCL7
TBC1D3I,9,TBC1D3I
PRAM1,2,PRAM1
SEMA5B,11,SEMA5B
HDAC2,12,HDAC2
TSR2,1,TSR2
PPP2R1A,7,PPP2R1A
TBC1D3G,2,TBC1D3G
INA,1,INA
STAT4,7,STAT4
DHDH,4,DHDH
FGD1,1,FGD1
OR10P1,1,OR10P1
GPC5,3,GPC5
FAM187B,1,FAM187B
TAF8,8,TAF8
TAS2R8,3,TAS2R8
ITGAL,10,ITGAL
OTX2,7,OTX2
OR6C70,1,OR6C70
POLR3K,1,POLR3K
ZNF165,1,ZNF165
GLYATL3,2,GLYATL3
CHRNB3,2,CHRNB3
OR6C4,3,OR6C4
CSNK1A1,11,CSNK1A1
TIE1,2,TIE1
OR6C2,3,OR6C2
RAP1B,28,RAP1B
ALX4,1,ALX4
TRIM35,3,TRIM35
TMED10,2,TMED10
POPDC3,2,POPDC3
RAB11FIP5,2,RAB11FIP5
TMIE,3,TMIE
NCOA5,2,NCOA5
PICALM,18,PICALM
PRKCZ,18,PRKCZ
CENPQ,1,CENPQ
RETNLB,1,RETNLB
ATP4A,2,ATP4A
TCTEX1D4,1,TCTEX1D4
DEFB134,4,DEFB134
PTCH1,18,PTCH1
MS4A2,3,MS4A2
SLC22A14,3,SLC22A14
COL24A1,4,COL24A1
ANKRD13D,7,ANKRD13D
KLF9,1,KLF9
CCDC140,1,CCDC140
PRR23B,1,PRR23B
DBX2,1,DBX2
PLK3,1,PLK3
B3GAT2,2,B3GAT2
NFIA,13,NFIA
C1orf210,2,C1orf210
LDLRAP1,1,LDLRAP1
OPA3,3,OPA3
USP2,5,USP2
TTC4,1,TTC4
SLC2A4RG,1,SLC2A4RG
GPR4,1,GPR4
SMAP1,6,SMAP1
LRP1B,4,LRP1B
CBLN1,3,CBLN1
DECR2,22,DECR2
AC012314.26,1,AC012314.26
BX248413.,1,BX248413.
KLF7,9,KLF7
PODXL,3,PODXL
NXPH4,2,NXPH4
TSLP,3,TSLP
OR1C1,2,OR1C1
AC073610.2,1,AC073610.2
YY1,4,YY1
OR6F1,3,OR6F1
SCCPDH,1,SCCPDH
TMEM38A,2,TMEM38A
HLA-DRB1,10,HLA-DRB1
DDX23,6,DDX23
SLC2A12,1,SLC2A12
TECPR1,4,TECPR1
BHLHA15,2,BHLHA15
KCNN3,4,KCNN3
OCM2,1,OCM2
BNIP2,6,BNIP2
SLAMF7,9,SLAMF7
GPR6,2,GPR6
OR13C5,1,OR13C5
AC010616.1,1,AC010616.1
TDO2,6,TDO2
C3AR1,2,C3AR1
HSPA4,3,HSPA4
REV1,5,REV1
REG1B,2,REG1B
TRIM13,6,TRIM13
MTHFS,4,MTHFS
RPS2,9,RPS2
GSTO1,5,GSTO1
TMED3,4,TMED3
OR10Z1,2,OR10Z1
KIAA1211L,5,KIAA1211L
TMTC1,5,TMTC1
TBX5,4,TBX5
IMPDH1,14,IMPDH1
RSPH3,3,RSPH3
DEPDC1,4,DEPDC1
APBB3,9,APBB3
NELFCD,2,NELFCD
BDKRB1,3,BDKRB1
C17orf78,4,C17orf78
ABCA5,11,ABCA5
C14orf132,4,C14orf132
SDSL,6,SDSL
DMP1,2,DMP1
AC009690.3,1,AC009690.3
TNFSF4,2,TNFSF4
ATP7A,5,ATP7A
SLC25A13,3,SLC25A13
TMC7,3,TMC7
EXOC8,1,EXOC8
MYRFL,5,MYRFL
FAR2,7,FAR2
RASGRF1,3,RASGRF1
FGFR1OP,3,FGFR1OP
CRTC2,4,CRTC2
BCKDHA,5,BCKDHA
CCDC171,3,CCDC171
ZNF551,3,ZNF551
OR10G2,1,OR10G2
NEK3,9,NEK3
KIFAP3,4,KIFAP3
USP42,6,USP42
GRIN3A,1,GRIN3A
INTS3,12,INTS3
DBT,2,DBT
PPP1R14A,5,PPP1R14A
CBY3,2,CBY3
CPA1,5,CPA1
LRRC39,4,LRRC39
MDN1,4,MDN1
MYO1H,3,MYO1H
FSTL3,6,FSTL3
ARL9,3,ARL9
ZNF724,3,ZNF724
ARMC1,5,ARMC1
S100A1,4,S100A1
FN1,13,FN1
ZBTB38,15,ZBTB38
RCHY1,8,RCHY1
RNF20,4,RNF20
SORD,4,SORD
LELP1,1,LELP1
ADAM10,8,ADAM10
SVOP,3,SVOP
TSACC,8,TSACC
VN1R1,1,VN1R1
ZNF548,11,ZNF548
DNAJC16,6,DNAJC16
TXNDC16,3,TXNDC16
ARID1A,10,ARID1A
LCE5A,1,LCE5A
C4orf54,1,C4orf54
ZNF749,2,ZNF749
CRCT1,1,CRCT1
TRAPPC2B,2,TRAPPC2B
LCE3E,1,LCE3E
FES,11,FES
DAPP1,2,DAPP1
LCE3D,1,LCE3D
ZNF772,9,ZNF772
AFF1,8,AFF1
MAP3K14,4,MAP3K14
LCE3C,1,LCE3C
LCE3B,1,LCE3B
TMCO4,2,TMCO4
LIPN,1,LIPN
LCE3A,1,LCE3A
GU182359.1,1,GU182359.1
LCE2D,1,LCE2D
DEFB103A,4,DEFB103A
LCE2C,1,LCE2C
ZNF99,2,ZNF99
ILDR2,7,ILDR2
PCSK4,3,PCSK4
REEP6,3,REEP6
THEM5,2,THEM5
RPL19,4,RPL19
SLC47A2,4,SLC47A2
CDKN2D,2,CDKN2D
FAM24B,2,FAM24B
ALDH9A1,1,ALDH9A1
GJB6,15,GJB6
TMEM213,4,TMEM213
AREG,2,AREG
PBX1,13,PBX1
OPA1,27,OPA1
FP565260.1,2,FP565260.1
DMGDH,6,DMGDH
CCDC190,3,CCDC190
PLEKHO1,2,PLEKHO1
SRRM5,2,SRRM5
TERF2,10,TERF2
DIABLO,14,DIABLO
AC048338.1,1,AC048338.1
CCHCR1,77,CCHCR1
GU182355.3,1,GU182355.3
ANO2,5,ANO2
AC073612.1,1,AC073612.1
TLR9,1,TLR9
C2orf83,2,C2orf83
SAMHD1,19,SAMHD1
ATP2A2,6,ATP2A2
PDE4DIP,27,PDE4DIP
AC126283.2,1,AC126283.2
AKR7A3,1,AKR7A3
HS2ST1,3,HS2ST1
KIF18B,3,KIF18B
HKDC1,1,HKDC1
MORF4L1,13,MORF4L1
MTERF4,12,MTERF4
CAPN15,5,CAPN15
FOXN2,3,FOXN2
ZSCAN31,17,ZSCAN31
TRAPPC6B,5,TRAPPC6B
FAM124B,3,FAM124B
SLC38A8,3,SLC38A8
SREBF2,4,SREBF2
PDCD11,3,PDCD11
UROD,5,UROD
BHLHE23,2,BHLHE23
CKB,7,CKB
NUP37,5,NUP37
EBI3,1,EBI3
UGT1A10,2,UGT1A10
SEC24D,7,SEC24D
UBE2Z,6,UBE2Z
CLCA2,1,CLCA2
PHIP,1,PHIP
MS4A4A,6,MS4A4A
LRRC46,4,LRRC46
CSF2,1,CSF2
STK19,22,STK19
THAP1,3,THAP1
AL590132.1,2,AL590132.1
SCRN2,9,SCRN2
ADAMTS16,2,ADAMTS16
CRISP2,3,CRISP2
OTUD1,1,OTUD1
ZNF212,5,ZNF212
TEX10,3,TEX10
TC2N,10,TC2N
TTC8,15,TTC8
ZNF18,7,ZNF18
METTL14,5,METTL14
CEP126,3,CEP126
IL3,1,IL3
TMEM256,4,TMEM256
OSGIN1,6,OSGIN1
TMEM256-PLSCR3,8,TMEM256-PLSCR3
CCL1,1,CCL1
TTPA,1,TTPA
MLYCD,1,MLYCD
ACTR1B,1,ACTR1B
HMGCLL1,8,HMGCLL1
UQCRC2,16,UQCRC2
DENND1A,4,DENND1A
NUP62CL,4,NUP62CL
MRPL1,2,MRPL1
ARMCX6,3,ARMCX6
RASSF6,4,RASSF6
NME3,5,NME3
SEMA3E,5,SEMA3E
MYO1B,10,MYO1B
CCL13,2,CCL13
FAM69C,2,FAM69C
GUCA1C,3,GUCA1C
TMCC1,7,TMCC1
PLSCR3,22,PLSCR3
CCL8,1,CCL8
FTL,1,FTL
JDP2,5,JDP2
STK40,4,STK40
DCT,3,DCT
CDKL4,4,CDKL4
KRAS,4,KRAS
DNAH9,7,DNAH9
CD40,4,CD40
XPO6,11,XPO6
GGH,1,GGH
MINDY4,1,MINDY4
PRSS50,2,PRSS50
LASP1,7,LASP1
RNF208,2,RNF208
INMT,2,INMT
SYNCRIP,4,SYNCRIP
AC004691.2,1,AC004691.2
NODAL,2,NODAL
TNFSF8,2,TNFSF8
KCTD16,2,KCTD16
ZNF567,6,ZNF567
KLHL24,11,KLHL24
BDP1,12,BDP1
PPP4R3A,9,PPP4R3A
DIDO1,7,DIDO1
HSBP1,3,HSBP1
AC002310.4,1,AC002310.4
ZNF764,2,ZNF764
NDUFB4,5,NDUFB4
NKX6-3,2,NKX6-3
PLXND1,6,PLXND1
NIPAL2,2,NIPAL2
MARK3,12,MARK3
PRPSAP1,6,PRPSAP1
PRR32,1,PRR32
FMNL2,2,FMNL2
EIF4EBP2,1,EIF4EBP2
FIBCD1,5,FIBCD1
C18orf63,1,C18orf63
NHLRC2,1,NHLRC2
TOM1,14,TOM1
GTF2H2C_2,5,GTF2H2C_2
C13orf42,1,C13orf42
IL17B,1,IL17B
MFSD2A,4,MFSD2A
CYR61,1,CYR61
NDUFS6,2,NDUFS6
NUTF2,4,NUTF2
ANGPT2,4,ANGPT2
NIPA2,6,NIPA2
WDR63,6,WDR63
SH3RF1,4,SH3RF1
CLDN4,3,CLDN4
GK,12,GK
COL19A1,3,COL19A1
LPCAT1,5,LPCAT1
B9D1,17,B9D1
FGGY,13,FGGY
LDLR,9,LDLR
ASTE1,8,ASTE1
RGPD3,2,RGPD3
ISX,2,ISX
KCNT1,15,KCNT1
OR4D5,1,OR4D5
OR6T1,1,OR6T1
C3orf38,2,C3orf38
OR10S1,2,OR10S1
METTL27,2,METTL27
ZNF654,2,ZNF654
C17orf99,3,C17orf99
YPEL5,5,YPEL5
PIP4K2B,4,PIP4K2B
OR10G6,1,OR10G6
HNMT,5,HNMT
CGGBP1,5,CGGBP1
OR10G4,3,OR10G4
OR10G9,1,OR10G9
OR10G8,2,OR10G8
PSMA2,5,PSMA2
LMBRD1,27,LMBRD1
FAM25A,1,FAM25A
OR10G7,2,OR10G7
LTB,9,LTB
IL36G,3,IL36G
SYNGR2,7,SYNGR2
EXD1,3,EXD1
TMEM270,2,TMEM270
SYNC,4,SYNC
TNFAIP2,8,TNFAIP2
SNCG,2,SNCG
FGD4,11,FGD4
SMN2,28,SMN2
GARS,4,GARS
CHCHD4,2,CHCHD4
CCDC83,3,CCDC83
SBSN,3,SBSN
ADIRF,3,ADIRF
ENC1,6,ENC1
MRPL32,3,MRPL32
THAP10,2,THAP10
ATE1,7,ATE1
MMRN2,5,MMRN2
AC010132.3,2,AC010132.3
TMEM191C,6,TMEM191C
LRRC49,19,LRRC49
ACCS,3,ACCS
AC005154.5,1,AC005154.5
C7orf25,6,C7orf25
YBX3,3,YBX3
HIST1H2BO,1,HIST1H2BO
RBM6,12,RBM6
GGCT,8,GGCT
LRRFIP2,11,LRRFIP2
GFM2,6,GFM2
GRM1,5,GRM1
SLC15A5,1,SLC15A5
MCF2L2,6,MCF2L2
RPS8,2,RPS8
ETNPPL,8,ETNPPL
VKORC1,8,VKORC1
CASP7,10,CASP7
SLC39A6,4,SLC39A6
MIPOL1,9,MIPOL1
CR2,4,CR2
PRSS53,1,PRSS53
EIF3J,5,EIF3J
IPCEF1,8,IPCEF1
PARD6G,3,PARD6G
ZNF646,4,ZNF646
MAP3K9,6,MAP3K9
AC135050.2,3,AC135050.2
AL365214.3,3,AL365214.3
CCNI,6,CCNI
LST1,158,LST1
DLST,9,DLST
TUBA3D,1,TUBA3D
CCKAR,1,CCKAR
SPC24,7,SPC24
IL36A,1,IL36A
MZT2A,2,MZT2A
C8orf44,3,C8orf44
FOXL2,2,FOXL2
ARHGAP31,2,ARHGAP31
OR2H1,32,OR2H1
CRAT,7,CRAT
SGK3,11,SGK3
ZNF613,5,ZNF613
BMP15,1,BMP15
TSTA3,16,TSTA3
HERC2,9,HERC2
ZNF771,4,ZNF771
MESP1,1,MESP1
NR3C1,13,NR3C1
CR1,7,CR1
DCTPP1,5,DCTPP1
B3GNT5,6,B3GNT5
CACNA2D1,4,CACNA2D1
ZNF350,5,ZNF350
NSA2,3,NSA2
FAM153C,6,FAM153C
IL36B,2,IL36B
CCNG2,5,CCNG2
APIP,2,APIP
OR2B2,1,OR2B2
AGO4,1,AGO4
HEXB,6,HEXB
BOK,1,BOK
ADGRL3,15,ADGRL3
MESP2,2,MESP2
RAB32,1,RAB32
NPIPB4,12,NPIPB4
ZFP90,16,ZFP90
DMRTA2,2,DMRTA2
IL36RN,4,IL36RN
LACRT,3,LACRT
SYDE2,1,SYDE2
TMEM260,9,TMEM260
VCPKMT,3,VCPKMT
C1orf52,2,C1orf52
PDHX,6,PDHX
RALB,7,RALB
HSD17B14,4,HSD17B14
PISD,10,PISD
CMA1,2,CMA1
FAM120C,3,FAM120C
FAF1,3,FAF1
ADAM18,10,ADAM18
WDR89,4,WDR89
ZNF615,13,ZNF615
PIEZO2,10,PIEZO2
APOM,21,APOM
PCF11,5,PCF11
SGPP1,2,SGPP1
LIPH,5,LIPH
DCD,3,DCD
OPRM1,19,OPRM1
CTSG,1,CTSG
PAEP,9,PAEP
SUSD2,1,SUSD2
HACE1,9,HACE1
AC104452.1,5,AC104452.1
NCR3,39,NCR3
PPA1,3,PPA1
MGST1,10,MGST1
FAM169A,7,FAM169A
DDX21,2,DDX21
GZMB,9,GZMB
MUCL1,3,MUCL1
LMO1,3,LMO1
LARP6,4,LARP6
BAG6,166,BAG6
FBXO15,10,FBXO15
CIZ1,13,CIZ1
RPS6KB1,7,RPS6KB1
IL27,2,IL27
PLEKHA4,7,PLEKHA4
PCGF1,1,PCGF1
HIPK4,1,HIPK4
DRG1,4,DRG1
UCP3,3,UCP3
MYCL,4,MYCL
OR2B6,1,OR2B6
EIF5,10,EIF5
PLD3,16,PLD3
GZMH,3,GZMH
LMO3,29,LMO3
ANKRD42,8,ANKRD42
STMN4,6,STMN4
VWA5A,5,VWA5A
ARHGAP32,5,ARHGAP32
MDK,10,MDK
BTK,4,BTK
RPS6KL1,10,RPS6KL1
ANKRD28,5,ANKRD28
PDE6C,1,PDE6C
ZFP14,2,ZFP14
NUDT10,2,NUDT10
SMC5,1,SMC5
VCY,1,VCY
TMEM39A,8,TMEM39A
ST8SIA2,3,ST8SIA2
SFI1,12,SFI1
ZFP82,2,ZFP82
VCY1B,1,VCY1B
CXorf67,1,CXorf67
EXT2,6,EXT2
AFP,2,AFP
SHISA6,4,SHISA6
ATG4B,13,ATG4B
ESRRA,6,ESRRA
SOS2,4,SOS2
CCDC90B,15,CCDC90B
RNFT1,5,RNFT1
CHP1,6,CHP1
KDM8,6,KDM8
N4BP3,1,N4BP3
UBALD2,3,UBALD2
HOOK1,2,HOOK1
NUPR1,3,NUPR1
AC092073.1,2,AC092073.1
RTN2,6,RTN2
CR1L,2,CR1L
GPI,27,GPI
ZNF804A,2,ZNF804A
TUBA1B,6,TUBA1B
XRCC6,6,XRCC6
NUDT11,1,NUDT11
TRMT112,5,TRMT112
CENPVL3,1,CENPVL3
CENPVL2,1,CENPVL2
AC005702.1,1,AC005702.1
HELT,3,HELT
FOXL2NB,2,FOXL2NB
TMEM184B,6,TMEM184B
PPP1R15A,2,PPP1R15A
NDST3,1,NDST3
PPT2,90,PPT2
RPL21,7,RPL21
IMPA1,11,IMPA1
CD46,11,CD46
TMEM145,3,TMEM145
TESPA1,13,TESPA1
ZGPAT,6,ZGPAT
TK1,5,TK1
OOSP3,1,OOSP3
CWC25,10,CWC25
GAPDHS,3,GAPDHS
AL354761.1,1,AL354761.1
CENPVL1,1,CENPVL1
PCNX1,5,PCNX1
GLT6D1,2,GLT6D1
RHOH,14,RHOH
THAP11,1,THAP11
PDIA6,7,PDIA6
BCL10,4,BCL10
AGO1,3,AGO1
COL9A3,3,COL9A3
CENPT,14,CENPT
PPM1N,8,PPM1N
SPOPL,3,SPOPL
C19orf47,8,C19orf47
FRA10AC1,1,FRA10AC1
TMEM147,4,TMEM147
DDAH1,4,DDAH1
AOX1,4,AOX1
CXCL13,1,CXCL13
LILRA5,16,LILRA5
ANPEP,5,ANPEP
FBXW9,3,FBXW9
MARCH6,6,MARCH6
TLX2,2,TLX2
WNK3,5,WNK3
LILRA4,6,LILRA4
SOS1,4,SOS1
GLRA1,3,GLRA1
AL121845.3,3,AL121845.3
PTGES3L,4,PTGES3L
CDKN2C,3,CDKN2C
GNG14,2,GNG14
RTEL1-TNFRSF6B,1,RTEL1-TNFRSF6B
ADGB,10,ADGB
NPM1,6,NPM1
ABL1,3,ABL1
CREBBP,7,CREBBP
PGF,4,PGF
GRPEL2,3,GRPEL2
ARHGAP29,3,ARHGAP29
MYH11,8,MYH11
MROH1,5,MROH1
ZBTB46,3,ZBTB46
PPT2-EGFL8,11,PPT2-EGFL8
CDK5RAP1,5,CDK5RAP1
IL1F10,2,IL1F10
TULP2,5,TULP2
TNFRSF6B,1,TNFRSF6B
AARSD1,6,AARSD1
ZNF566,7,ZNF566
NOC2L,1,NOC2L
LIME1,6,LIME1
FOXA1,2,FOXA1
ZNF623,6,ZNF623
NSMCE4A,2,NSMCE4A
TTC6,8,TTC6
AUH,2,AUH
ZNF614,4,ZNF614
GSPT2,1,GSPT2
MUM1,8,MUM1
ZNF383,5,ZNF383
LCN9,2,LCN9
CYP2J2,4,CYP2J2
EIF4ENIF1,9,EIF4ENIF1
AC023509.3,1,AC023509.3
C1orf185,4,C1orf185
SERF1B,21,SERF1B
NPFF,1,NPFF
TIMM21,3,TIMM21
ARFRP1,8,ARFRP1
SOHLH1,2,SOHLH1
TGM4,4,TGM4
ATF7,8,ATF7
NFIL3,1,NFIL3
RNF11,1,RNF11
SAMD11,13,SAMD11
ABCD3,3,ABCD3
TCFL5,2,TCFL5
AC012309.1,3,AC012309.1
CTDSP2,6,CTDSP2
NPFFR1,1,NPFFR1
DGKD,12,DGKD
ZNF420,8,ZNF420
ANKRD30A,4,ANKRD30A
RAMP3,3,RAMP3
EIF2B2,4,EIF2B2
RMND5B,8,RMND5B
THAP4,4,THAP4
PTGES3L-AARSD1,7,PTGES3L-AARSD1
LGALS9B,4,LGALS9B
PDCD2L,2,PDCD2L
ATP6V1C2,4,ATP6V1C2
MRPL36,5,MRPL36
OOSP1,4,OOSP1
ACTG1,13,ACTG1
ZNF260,4,ZNF260
OOSP4A,2,OOSP4A
ZNF585B,8,ZNF585B
AFM,1,AFM
RHO,1,RHO
UNC5D,6,UNC5D
ZNF841,5,ZNF841
ZNF382,7,ZNF382
CTAGE9,1,CTAGE9
SEPHS2,1,SEPHS2
OR2A4,1,OR2A4
HNRNPDL,10,HNRNPDL
CNOT6L,6,CNOT6L
MLIP,12,MLIP
H1FOO,2,H1FOO
ENPP3,5,ENPP3
ZNF432,6,ZNF432
CFAP126,1,CFAP126
RAC3,3,RAC3
HLA-DPB1,31,HLA-DPB1
MTERF2,6,MTERF2
PHETA1,5,PHETA1
TAF13,2,TAF13
PYCR2,5,PYCR2
SUSD1,6,SUSD1
TMEM263,7,TMEM263
ARL4C,2,ARL4C
RBP5,3,RBP5
HEBP1,4,HEBP1
SNRPA,7,SNRPA
HIST2H3C,1,HIST2H3C
HIST2H4A,4,HIST2H4A
GPRC5D,3,GPRC5D
TMEM132A,6,TMEM132A
KLHL18,4,KLHL18
TMEM109,2,TMEM109
C19orf54,9,C19orf54
TUBGCP6,4,TUBGCP6
GU182357.3,1,GU182357.3
TMEM63A,3,TMEM63A
MYL2,2,MYL2
FCGR1A,2,FCGR1A
KIR2DL2,19,KIR2DL2
PROSER3,12,PROSER3
AC104151.1,1,AC104151.1
MPND,8,MPND
BSG,11,BSG
C1orf159,13,C1orf159
CEP120,8,CEP120
AC142391.1,1,AC142391.1
KIF21A,10,KIF21A
TMEM272,3,TMEM272
CAPZB,5,CAPZB
ABO,6,ABO
CAPS2,8,CAPS2
AL162377.3,1,AL162377.3
BAZ1A,7,BAZ1A
SRP9,5,SRP9
HLA-DOA,14,HLA-DOA
FETUB,7,FETUB
SND1,2,SND1
LHFPL2,2,LHFPL2
WDFY2,2,WDFY2
DEFB4B,3,DEFB4B
LRRC4,4,LRRC4
ZNRD1,32,ZNRD1
ATG12,6,ATG12
KIAA2012,3,KIAA2012
ZFP69B,3,ZFP69B
ZNF583,4,ZNF583
AP3S1,3,AP3S1
TMBIM6,22,TMBIM6
HTR3D,4,HTR3D
MED22,16,MED22
AP000349.,1,AP000349.
AC012314.4,2,AC012314.4
GIPC2,1,GIPC2
JOSD2,4,JOSD2
DLK1,5,DLK1
AC020909.1,1,AC020909.1
CAMKK2,13,CAMKK2
CCDC28A,3,CCDC28A
GVQW2,1,GVQW2
HEBP2,4,HEBP2
PCYT1A,11,PCYT1A
TCTEX1D2,3,TCTEX1D2
C12orf43,7,C12orf43
CENPBD1,1,CENPBD1
CD5,2,CD5
UNC119B,1,UNC119B
STK17B,5,STK17B
SIN3B,5,SIN3B
POP5,2,POP5
SLC9A3R2,7,SLC9A3R2
FAM13A,12,FAM13A
OR2T27,3,OR2T27
SATL1,5,SATL1
OR2W3,1,OR2W3
SLC6A12,6,SLC6A12
OR14K1,1,OR14K1
OR2B11,3,OR2B11
ZNF605,2,ZNF605
CKS1B,3,CKS1B
GPR1,20,GPR1
KLHDC9,2,KLHDC9
KLF18,1,KLF18
RDH16,1,RDH16
POLE,5,POLE
HSD17B6,7,HSD17B6
MC1R,3,MC1R
LRCOL1,4,LRCOL1
B3GNT10,2,B3GNT10
AHDC1,5,AHDC1
DPP9,18,DPP9
RNASEL,2,RNASEL
RGS7,5,RGS7
GPR3,1,GPR3
PRKAB1,6,PRKAB1
MTO1,12,MTO1
FOXJ2,2,FOXJ2
FOXC1,2,FOXC1
AC009879.3,1,AC009879.3
RRS1,1,RRS1
MAP3K6,4,MAP3K6
MTR,3,MTR
C8orf33,5,C8orf33
SMARCD1,7,SMARCD1
DUS4L,12,DUS4L
RBMS2,7,RBMS2
BRWD3,1,BRWD3
ZNF831,2,ZNF831
PIGM,1,PIGM
ZRANB2,3,ZRANB2
MXD3,6,MXD3
AP1M2,9,AP1M2
SEMA6C,6,SEMA6C
ABCB8,13,ABCB8
ROBO4,2,ROBO4
TENT5D,2,TENT5D
LIPT1,6,LIPT1
PNRC1,3,PNRC1
CRIPT,1,CRIPT
BRPF1,6,BRPF1
NAA11,2,NAA11
HLA-DRA,15,HLA-DRA
LIPF,4,LIPF
ABHD15,1,ABHD15
MEDAG,2,MEDAG
QKI,15,QKI
CPSF1,10,CPSF1
DENR,2,DENR
ABHD16A,26,ABHD16A
TTC39B,6,TTC39B
SART3,9,SART3
UNCX,1,UNCX
MMACHC,2,MMACHC
ZIM2,8,ZIM2
HK2,2,HK2
NOS1AP,5,NOS1AP
IRGQ,3,IRGQ
L34079.1,1,L34079.1
SPATA46,2,SPATA46
ZNF835,2,ZNF835
GLIPR1,4,GLIPR1
ZFAND2A,4,ZFAND2A
ETHE1,5,ETHE1
CHMP1B,1,CHMP1B
