Genes,Domain Number,Norm_Symbol
GRK5,2,GRK5
SPATA7,1,SPATA7
PSMA3,2,PSMA3
ANAPC15,1,ANAPC15
BST2,1,BST2
TMPRSS11A,2,TMPRSS11A
CDH22,2,CDH22
APP,6,APP
CREB3,1,CREB3
GNRHR,1,GNRHR
ARMH4,1,ARMH4
CLDN25,1,CLDN25
DAGLA,1,DAGLA
JUND,2,JUND
NPR3,1,NPR3
ARAP3,5,ARAP3
TMEM258,1,TMEM258
CPD,2,CPD
KDM5A,6,KDM5A
TMPRSS11D,2,TMPRSS11D
C9orf24,1,C9orf24
NXF2,3,NXF2
KMT2E,2,KMT2E
VEGFD,1,VEGFD
BACE2,1,BACE2
CCZ1B,1,CCZ1B
PTPN21,4,PTPN21
SRARP,1,SRARP
TMPRSS11F,2,TMPRSS11F
FRMD6,3,FRMD6
KMT2B,6,KMT2B
DBN1,1,DBN1
SASH1,4,SASH1
LAMTOR1,1,LAMTOR1
TGFBR2,2,TGFBR2
C19orf25,1,C19orf25
ELOVL6,1,ELOVL6
USP25,2,USP25
GAREM2,1,GAREM2
GUCD1,1,GUCD1
MYRF,4,MYRF
CPLANE1,1,CPLANE1
NPFFR2,1,NPFFR2
TMEM175,1,TMEM175
RSPH10B2,1,RSPH10B2
MRPL32,1,MRPL32
EPS15L1,1,EPS15L1
ACTR10,1,ACTR10
U2AF1L4,2,U2AF1L4
SMIM18,1,SMIM18
WNT7A,1,WNT7A
PTPRU,3,PTPRU
APC2,8,APC2
ZNF563,2,ZNF563
NXNL2,1,NXNL2
OR51E2,1,OR51E2
OR51C1P,1,OR51C1P
GTF2E2,2,GTF2E2
EXT2,2,EXT2
CLDN15,1,CLDN15
GDAP1,2,GDAP1
UCP1,1,UCP1
SORCS3,3,SORCS3
GU182347.5,1,GU182347.5
AP003108.2,1,AP003108.2
RASGEF1A,2,RASGEF1A
GRID2IP,2,GRID2IP
JPH1,1,JPH1
PDE8B,3,PDE8B
SHISA9,1,SHISA9
SNTG1,1,SNTG1
SLCO4C1,2,SLCO4C1
WFDC10A,1,WFDC10A
CLCNKA,2,CLCNKA
MOB2,1,MOB2
SLC4A10,2,SLC4A10
ANXA1,1,ANXA1
HSPB7,1,HSPB7
SOX4,1,SOX4
BAALC,1,BAALC
WT1,2,WT1
FBN3,5,FBN3
PDE1A,2,PDE1A
SLC22A8,1,SLC22A8
FXYD4,1,FXYD4
COLEC11,2,COLEC11
TBR1,2,TBR1
FZD6,2,FZD6
RGS10,1,RGS10
RASSF1,3,RASSF1
LRRCC1,1,LRRCC1
N6AMT1,1,N6AMT1
EIF3G,2,EIF3G
OLAH,1,OLAH
FADS1,2,FADS1
MAGEA9B,1,MAGEA9B
CHMP7,1,CHMP7
HSFX2,1,HSFX2
MEX3C,2,MEX3C
SLC39A2,1,SLC39A2
EDA,2,EDA
P2RY11,1,P2RY11
CRIM1,3,CRIM1
BCAP29,2,BCAP29
CETN3,1,CETN3
MED10,1,MED10
LRFN2,3,LRFN2
PPAN,1,PPAN
PTPRG,3,PTPRG
FEN1,2,FEN1
GFRA4,1,GFRA4
EIF2B4,1,EIF2B4
TMEM187,1,TMEM187
PPAN-P2RY11,2,PPAN-P2RY11
FAH,2,FAH
SNTB2,2,SNTB2
C3orf14,1,C3orf14
CPSF7,1,CPSF7
VLDLR,4,VLDLR
MVB12A,1,MVB12A
P2RY2,1,P2RY2
RNF111,2,RNF111
HIC1,2,HIC1
PTDSS1,1,PTDSS1
EEF1B2,2,EEF1B2
TBRG4,3,TBRG4
AAMDC,1,AAMDC
S1PR3,2,S1PR3
IGF2R,2,IGF2R
SLC11A1,1,SLC11A1
UBE2QL1,1,UBE2QL1
SRR,1,SRR
PCDH1,3,PCDH1
RPL17,1,RPL17
ADAMTS3,5,ADAMTS3
WDR41,1,WDR41
SNX13,4,SNX13
USF2,1,USF2
EPHA1,5,EPHA1
PHF6,1,PHF6
CNTNAP2,2,CNTNAP2
PITHD1,1,PITHD1
GTF3C2,1,GTF3C2
TAS2R60,1,TAS2R60
RORB,2,RORB
STXBP6,2,STXBP6
SHC3,2,SHC3
ITPR1,5,ITPR1
FIS1,2,FIS1
INTS4,1,INTS4
RPL17-C18orf32,1,RPL17-C18orf32
COPS4,2,COPS4
SHROOM2,3,SHROOM2
C18orf32,1,C18orf32
METTL17,1,METTL17
CTPS2,2,CTPS2
SDHAF2,1,SDHAF2
OLIG1,1,OLIG1
S100G,2,S100G
RALGAPA1,1,RALGAPA1
RTN1,1,RTN1
TMEM185A,1,TMEM185A
AC022414.1,2,AC022414.1
ZYX,1,ZYX
FAM219A,1,FAM219A
IZUMO3,1,IZUMO3
CDH7,2,CDH7
MAPK1,1,MAPK1
ZMYND10,1,ZMYND10
TAS2R41,1,TAS2R41
MICAL3,4,MICAL3
OLIG2,1,OLIG2
SF1,3,SF1
SGSM2,3,SGSM2
ADARB1,2,ADARB1
PPP1R32,1,PPP1R32
SNX22,1,SNX22
HTR6,1,HTR6
PRKAR2A,2,PRKAR2A
CKS2,1,CKS2
SLTM,2,SLTM
OR51F1,1,OR51F1
PPIB,1,PPIB
OR51T1,1,OR51T1
FRMD7,4,FRMD7
ARL14EP,1,ARL14EP
OR51A2,1,OR51A2
SLC22A10,1,SLC22A10
EEF1D,2,EEF1D
OR51A4,1,OR51A4
OR51F2,1,OR51F2
CDK5R1,1,CDK5R1
SLC22A24,2,SLC22A24
LRRC63,1,LRRC63
DNAI1,1,DNAI1
MMP26,1,MMP26
OR51G2,1,OR51G2
ALX4,2,ALX4
IFITM10,1,IFITM10
OR51A7,1,OR51A7
NMB,1,NMB
SLC22A25,1,SLC22A25
NMI,2,NMI
OR51G1,1,OR51G1
AC068580.4,3,AC068580.4
ACBD7,1,ACBD7
OR51S1,1,OR51S1
FKBP3,2,FKBP3
OR52R1,1,OR52R1
SMG6,3,SMG6
LSM4,1,LSM4
PCDHB1,3,PCDHB1
TMCO4,1,TMCO4
PCDHB2,3,PCDHB2
EML5,3,EML5
RPP38,1,RPP38
FKBPL,1,FKBPL
CCNL2,2,CCNL2
GRAPL,2,GRAPL
NSUN2,1,NSUN2
DPP6,2,DPP6
FZR1,2,FZR1
DPF1,2,DPF1
IFT22,1,IFT22
MINDY2,1,MINDY2
RTP3,1,RTP3
STAT4,4,STAT4
RPE,1,RPE
NRIP2,1,NRIP2
LRRC9,1,LRRC9
PCDHB3,3,PCDHB3
C2orf73,1,C2orf73
SEC14L3,1,SEC14L3
TSR1,2,TSR1
REC8,2,REC8
PCDHB11,3,PCDHB11
MAGEA11,2,MAGEA11
PCDHB8,3,PCDHB8
ITFG2,1,ITFG2
PCDHB7,3,PCDHB7
PCDHB5,3,PCDHB5
PCDHB4,3,PCDHB4
ZZEF1,2,ZZEF1
ROCK2,2,ROCK2
AWAT2,1,AWAT2
HSFX1,1,HSFX1
NMT2,2,NMT2
NRG4,1,NRG4
CTSD,2,CTSD
OTUD3,1,OTUD3
PCDHB12,3,PCDHB12
PCDHB9,3,PCDHB9
MAGEA9,1,MAGEA9
OTUD6A,1,OTUD6A
NUDT9,1,NUDT9
PCDHB10,3,PCDHB10
ADRA2B,1,ADRA2B
EVL,2,EVL
TALDO1,1,TALDO1
PCDHB16,3,PCDHB16
PCDHB14,3,PCDHB14
CTXND1,1,CTXND1
LTA,1,LTA
EXOSC10,3,EXOSC10
PCDHB6,3,PCDHB6
TNFAIP6,2,TNFAIP6
PCDHB15,3,PCDHB15
PCDHB13,3,PCDHB13
MPPED2,1,MPPED2
FKBP4,3,FKBP4
GOLGA8J,1,GOLGA8J
ASTL,1,ASTL
MAGEA8,2,MAGEA8
SEC14L4,1,SEC14L4
WRAP53,1,WRAP53
P2RY6,1,P2RY6
FBXO22,2,FBXO22
C1GALT1,1,C1GALT1
PRDM16,2,PRDM16
NAPRT,2,NAPRT
PLA2G2E,1,PLA2G2E
LRRC2,1,LRRC2
DEGS2,2,DEGS2
DUSP2,2,DUSP2
TMEM232,1,TMEM232
TDGF1,1,TDGF1
USP9X,1,USP9X
ZNF442,4,ZNF442
NDUFB1,1,NDUFB1
LIN37,1,LIN37
PPM1F,1,PPM1F
MFSD12,1,MFSD12
CHMP4B,1,CHMP4B
ERCC6L2,3,ERCC6L2
NGLY1,3,NGLY1
PSENEN,1,PSENEN
MKRN1,4,MKRN1
GU182347.3,1,GU182347.3
PIR,2,PIR
KANSL1L,1,KANSL1L
COX7A2,1,COX7A2
PGPEP1,1,PGPEP1
AP000812.5,1,AP000812.5
C15orf65,1,C15orf65
OXSM,2,OXSM
AP000812.4,1,AP000812.4
KIF5B,1,KIF5B
SYNGAP1,3,SYNGAP1
C19orf71,1,C19orf71
GDF15,1,GDF15
DAG1,2,DAG1
GRM3,3,GRM3
HSFX4,1,HSFX4
SPOPL,2,SPOPL
DELE1,1,DELE1
GATA3,1,GATA3
BMX,4,BMX
SEC11A,1,SEC11A
VIT,2,VIT
VPS13D,6,VPS13D
SDC2,1,SDC2
TOP3B,2,TOP3B
PLCL1,5,PLCL1
OXCT1,1,OXCT1
FBXL7,2,FBXL7
SMIM14,1,SMIM14
RAB27A,1,RAB27A
ADAM33,4,ADAM33
ZNF490,4,ZNF490
HMG20B,1,HMG20B
INPP5K,2,INPP5K
PLAC8,1,PLAC8
AC008758.1,2,AC008758.1
PDE7B,1,PDE7B
BASP1,1,BASP1
AC008758.5,1,AC008758.5
ZNF558,3,ZNF558
NTHL1,2,NTHL1
GPR1,1,GPR1
TTC27,1,TTC27
ZNF799,3,ZNF799
OTOG,4,OTOG
ZNF564,4,ZNF564
SYAP1,1,SYAP1
TUBA8,2,TUBA8
ATP6AP2,1,ATP6AP2
HOPX,1,HOPX
PPP6R3,1,PPP6R3
IGBP1,1,IGBP1
ZNF443,3,ZNF443
TNF,1,TNF
ZNF709,2,ZNF709
TAS2R38,1,TAS2R38
UGDH,3,UGDH
TMEM252,1,TMEM252
CDH19,2,CDH19
ZC3H14,1,ZC3H14
MAP4K4,2,MAP4K4
TPD52L2,1,TPD52L2
LTB,1,LTB
VNN3,1,VNN3
ZNF791,3,ZNF791
SLC25A46,1,SLC25A46
FAM124A,1,FAM124A
COL4A3,2,COL4A3
ETS1,2,ETS1
RALY,1,RALY
E2F5,2,E2F5
GADL1,1,GADL1
NXPH2,1,NXPH2
ZBTB9,1,ZBTB9
PI15,1,PI15
COL10A1,2,COL10A1
PEX26,1,PEX26
PLA2G2A,1,PLA2G2A
MFF,1,MFF
FOLR3,1,FOLR3
RAMP3,1,RAMP3
DNAAF4,1,DNAAF4
EIF2S2,1,EIF2S2
NT5DC1,1,NT5DC1
R3HCC1,1,R3HCC1
GTF2H2C_2,2,GTF2H2C_2
LYPLA2,1,LYPLA2
CSNK2A3,1,CSNK2A3
APOB,4,APOB
TSPYL4,1,TSPYL4
OR9A4,1,OR9A4
IPO4,3,IPO4
RBIS,1,RBIS
PIGB,1,PIGB
GALNT18,2,GALNT18
CCNT2,1,CCNT2
CDYL,2,CDYL
TNS3,4,TNS3
CTHRC1,1,CTHRC1
FBLN7,3,FBLN7
LY6G5B,1,LY6G5B
CLEC5A,1,CLEC5A
JADE2,3,JADE2
DNAJC10,2,DNAJC10
PLEKHA1,1,PLEKHA1
ACMSD,1,ACMSD
SECISBP2,1,SECISBP2
CHST14,1,CHST14
SPARCL1,3,SPARCL1
DSEL,1,DSEL
SLC35C2,1,SLC35C2
TIAL1,1,TIAL1
EIF4E1B,1,EIF4E1B
SLC5A11,1,SLC5A11
HSPB6,2,HSPB6
GTF2F1,1,GTF2F1
MDP1,1,MDP1
FDX1,1,FDX1
SLC1A2,1,SLC1A2
FOLR1,1,FOLR1
TP53,4,TP53
MYOD1,3,MYOD1
HPRT1,1,HPRT1
MBD3L1,2,MBD3L1
NLRX1,2,NLRX1
CAAP1,1,CAAP1
TSSK4,1,TSSK4
PLA2G5,1,PLA2G5
CALHM6,1,CALHM6
SORCS1,3,SORCS1
WBP1L,1,WBP1L
ACTG2,1,ACTG2
STRN,2,STRN
HTRA1,4,HTRA1
RHD,1,RHD
CHMP4A,1,CHMP4A
MRPL20,1,MRPL20
RGCC,1,RGCC
TUBGCP6,2,TUBGCP6
DSE,1,DSE
ZNF831,1,ZNF831
NEDD8,1,NEDD8
CYP17A1,1,CYP17A1
CHCHD4,1,CHCHD4
COL26A1,2,COL26A1
LOXL2,2,LOXL2
FRZB,2,FRZB
PLD4,3,PLD4
MRPL43,1,MRPL43
Z84488.2,1,Z84488.2
GOLGA8T,1,GOLGA8T
TSPYL1,1,TSPYL1
HNRNPF,2,HNRNPF
FLI1,2,FLI1
ENTPD4,1,ENTPD4
ZDBF2,1,ZDBF2
COQ2,1,COQ2
SPINT4,1,SPINT4
TWNK,1,TWNK
RAP2C,1,RAP2C
SEC14L6,1,SEC14L6
ARHGEF17,1,ARHGEF17
STARD7,1,STARD7
FGL1,1,FGL1
TXLNG,1,TXLNG
TM9SF1,1,TM9SF1
MBLAC2,1,MBLAC2
EDN3,1,EDN3
RAPGEFL1,1,RAPGEFL1
POLR3G,1,POLR3G
SLC7A7,1,SLC7A7
BAG3,2,BAG3
NOMO3,1,NOMO3
NEDD8-MDP1,2,NEDD8-MDP1
MAPK7,1,MAPK7
AL136295.1,2,AL136295.1
CDC5L,2,CDC5L
DCAF13,3,DCAF13
MTFR2,1,MTFR2
USP5,4,USP5
TBC1D9,2,TBC1D9
TSPAN17,1,TSPAN17
IQCE,1,IQCE
SAP130,1,SAP130
ARL4D,1,ARL4D
DCC,4,DCC
SLC22A9,1,SLC22A9
RBBP7,2,RBBP7
KCNC1,2,KCNC1
SPINK2,1,SPINK2
SEMA4G,2,SEMA4G
MUC16,1,MUC16
OR1M1,1,OR1M1
TRERF1,2,TRERF1
THRSP,1,THRSP
MBNL3,3,MBNL3
ANKFY1,6,ANKFY1
SIGLEC1,4,SIGLEC1
OR7G2,1,OR7G2
ERCC4,1,ERCC4
OR7G1,1,OR7G1
LRRC19,2,LRRC19
OR7G3,1,OR7G3
NDUFC2,1,NDUFC2
MYO1D,3,MYO1D
SUPT3H,1,SUPT3H
NDUFC2-KCTD14,1,NDUFC2-KCTD14
TCEA2,3,TCEA2
KCTD14,1,KCTD14
OR11H12,1,OR11H12
RNF150,2,RNF150
RSRP1,1,RSRP1
PLAA,3,PLAA
PACSIN1,2,PACSIN1
CYB5D2,1,CYB5D2
CPEB4,2,CPEB4
PLA2G2D,1,PLA2G2D
HECW1,5,HECW1
ANKRD65,2,ANKRD65
IRAK1,3,IRAK1
B9D1,1,B9D1
ZNF239,1,ZNF239
UNC5CL,3,UNC5CL
ARNT2,3,ARNT2
RUNX2,2,RUNX2
VWA1,2,VWA1
APBA2,2,APBA2
CPQ,1,CPQ
RASA3,4,RASA3
WDR35,1,WDR35
C9orf16,1,C9orf16
PLA2G2F,1,PLA2G2F
SGCZ,1,SGCZ
NT5C2,1,NT5C2
RIMS2,3,RIMS2
PLA2G2C,1,PLA2G2C
UBXN10,1,UBXN10
MARCH11,1,MARCH11
PCDH17,2,PCDH17
TMEM184B,1,TMEM184B
WFDC3,1,WFDC3
CPSF2,4,CPSF2
ITIH3,3,ITIH3
KCNJ15,2,KCNJ15
GPI,1,GPI
SLC22A1,1,SLC22A1
PRIM2,1,PRIM2
SH2D3C,2,SH2D3C
DGUOK,1,DGUOK
TSPYL5,1,TSPYL5
DGKQ,4,DGKQ
PAXIP1,3,PAXIP1
ATP6V0A4,1,ATP6V0A4
PCSK4,3,PCSK4
AC012213.5,1,AC012213.5
SERGEF,2,SERGEF
CNNM2,2,CNNM2
AC211486.7,1,AC211486.7
SLC25A32,1,SLC25A32
DOK3,1,DOK3
TMEM213,1,TMEM213
C18orf63,1,C18orf63
ZNF622,2,ZNF622
SPDEF,2,SPDEF
MFAP4,1,MFAP4
AC211486.8,1,AC211486.8
DIPK1C,2,DIPK1C
FAM110C,2,FAM110C
AC211486.6,1,AC211486.6
IDUA,1,IDUA
MCU,1,MCU
ZNF485,2,ZNF485
NOA1,1,NOA1
FHL3,1,FHL3
MPND,3,MPND
TRO,1,TRO
AS3MT,1,AS3MT
SLC23A1,1,SLC23A1
B4GALNT3,2,B4GALNT3
TPH1,1,TPH1
TDRD7,2,TDRD7
BORCS7,1,BORCS7
SLC26A1,2,SLC26A1
KIAA1549,1,KIAA1549
SAR1B,1,SAR1B
ABCC8,2,ABCC8
NFYA,1,NFYA
METTL14,1,METTL14
GCHFR,1,GCHFR
EPN2,1,EPN2
ANXA10,1,ANXA10
PAIP2,1,PAIP2
SFTPB,3,SFTPB
REST,1,REST
PDZD4,1,PDZD4
ZNF579,1,ZNF579
ADCK2,1,ADCK2
UTP11,1,UTP11
POU3F1,2,POU3F1
SEC24A,5,SEC24A
PLAAT5,1,PLAAT5
HK3,2,HK3
PRC1,1,PRC1
AC092073.1,1,AC092073.1
POM121C,1,POM121C
CFAP97D2,1,CFAP97D2
FGFR3,4,FGFR3
ANKRD26,4,ANKRD26
CTDSP1,1,CTDSP1
PDCD2L,1,PDCD2L
DNAJC17,2,DNAJC17
RSPO3,1,RSPO3
MYL10,1,MYL10
NDUFB2,1,NDUFB2
CENPW,1,CENPW
UNC5A,5,UNC5A
ZNF592,2,ZNF592
TRIM73,2,TRIM73
ARHGAP20,2,ARHGAP20
PDLIM7,2,PDLIM7
ALPK3,2,ALPK3
SLC15A1,1,SLC15A1
TRIM52,2,TRIM52
ATAD3C,2,ATAD3C
ZNF317,2,ZNF317
DLG2,6,DLG2
SLC4A11,1,SLC4A11
ZNF32,1,ZNF32
OR7D2,1,OR7D2
NCR3,1,NCR3
TAF7,1,TAF7
SLC25A2,1,SLC25A2
CD276,3,CD276
LAMA3,6,LAMA3
TMEM30A,1,TMEM30A
CDKL3,1,CDKL3
STK36,2,STK36
MSMP,1,MSMP
ZFYVE19,1,ZFYVE19
ABHD17C,1,ABHD17C
OR7D4,1,OR7D4
TPI1,1,TPI1
TCAF2,2,TCAF2
DENND2A,3,DENND2A
OR7E24,1,OR7E24
RGP1,1,RGP1
ERCC8,1,ERCC8
PPP2CA,1,PPP2CA
TCAF2C,2,TCAF2C
SPSB2,2,SPSB2
ADAM2,4,ADAM2
AC104109.3,1,AC104109.3
ZNF699,2,ZNF699
RNF25,1,RNF25
ABRA,1,ABRA
RACK1,1,RACK1
ZDHHC4,1,ZDHHC4
ENO2,2,ENO2
CYBRD1,1,CYBRD1
TET3,2,TET3
NXF2B,3,NXF2B
LST1,1,LST1
AFDN,4,AFDN
WASHC1,1,WASHC1
CCDC32,1,CCDC32
OIT3,2,OIT3
TRPM6,4,TRPM6
MED26,3,MED26
TMPRSS11B,2,TMPRSS11B
AC244489.1,1,AC244489.1
TIMM10B,1,TIMM10B
PLA2G12B,1,PLA2G12B
TLN2,6,TLN2
XPC,4,XPC
SSBP4,1,SSBP4
BOLA3,1,BOLA3
TSTD2,3,TSTD2
KRTCAP3,1,KRTCAP3
DNM1,4,DNM1
SLC38A1,1,SLC38A1
JPT2,1,JPT2
YIF1B,1,YIF1B
PKD1L1,4,PKD1L1
ILRUN,2,ILRUN
LSM3,1,LSM3
DNHD1,8,DNHD1
CA5B,1,CA5B
ZNF524,3,ZNF524
TCP11X2,1,TCP11X2
FIZ1,1,FIZ1
TCF7,2,TCF7
NTRK3,6,NTRK3
ZNF865,2,ZNF865
CLTRN,1,CLTRN
SLC28A1,3,SLC28A1
CALR3,1,CALR3
ZNF784,1,ZNF784
DHX35,3,DHX35
TMEM43,1,TMEM43
NCBP1,3,NCBP1
SPINT2,1,SPINT2
ST3GAL5,1,ST3GAL5
BRAF,3,BRAF
FAM171A1,1,FAM171A1
LRRC23,3,LRRC23
C19orf44,1,C19orf44
CCDC106,1,CCDC106
ACE2,2,ACE2
TMOD1,1,TMOD1
TMA7,1,TMA7
ZNF581,2,ZNF581
ARFIP2,1,ARFIP2
C19orf33,1,C19orf33
ZNF580,1,ZNF580
VPS33B,1,VPS33B
RNF14,2,RNF14
VPS26C,1,VPS26C
VWA8,1,VWA8
MT4,1,MT4
AC011479.1,2,AC011479.1
GPATCH11,2,GPATCH11
ZDHHC8,1,ZDHHC8
ADAMTS17,5,ADAMTS17
MT3,1,MT3
PCDHGC5,4,PCDHGC5
TDRD15,1,TDRD15
PPP1R14A,1,PPP1R14A
PCDHGA6,4,PCDHGA6
ISYNA1,2,ISYNA1
STIMATE-MUSTN1,2,STIMATE-MUSTN1
MUSTN1,1,MUSTN1
OR4C13,1,OR4C13
PCDHGA10,4,PCDHGA10
C5orf47,1,C5orf47
MT2A,1,MT2A
SKP1,2,SKP1
PCDHGA4,4,PCDHGA4
CCL3L1,1,CCL3L1
PCDHGB1,4,PCDHGB1
TTBK1,1,TTBK1
PCDHGA12,4,PCDHGA12
OR4C12,1,OR4C12
OR4C45,1,OR4C45
PCDHGA3,4,PCDHGA3
COL28A1,3,COL28A1
NINJ2,1,NINJ2
PCDH12,2,PCDH12
IFT172,1,IFT172
INPP5F,3,INPP5F
PCDHGA2,4,PCDHGA2
PRMT2,2,PRMT2
UBE2K,2,UBE2K
PCDHGA1,4,PCDHGA1
PCDHGC3,4,PCDHGC3
NXT1,1,NXT1
TBCK,3,TBCK
CDCA5,1,CDCA5
USP24,1,USP24
GSR,2,GSR
PHACTR3,1,PHACTR3
RHOBTB1,2,RHOBTB1
LINC02218,1,LINC02218
ZNF251,2,ZNF251
SLC2A5,1,SLC2A5
AP3S1,1,AP3S1
MT1E,1,MT1E
EPHX2,2,EPHX2
PCDHGA8,4,PCDHGA8
INSYN1,1,INSYN1
SLC25A37,1,SLC25A37
USP28,1,USP28
ITIH4,3,ITIH4
MT1M,1,MT1M
ETV4,2,ETV4
PCDHGA5,4,PCDHGA5
ATG12,1,ATG12
PCDHGC4,3,PCDHGC4
EIF2AK2,2,EIF2AK2
UST,1,UST
FOLR2,1,FOLR2
RELT,1,RELT
DNAJC1,2,DNAJC1
CCDC188,1,CCDC188
LRRC3B,3,LRRC3B
OXER1,1,OXER1
SATB2,4,SATB2
GALE,2,GALE
STIMATE,1,STIMATE
PCDHGB4,4,PCDHGB4
EBLN1,1,EBLN1
MT1A,1,MT1A
PCDHGB5,4,PCDHGB5
PCDHGB3,4,PCDHGB3
MAU2,1,MAU2
PCDHGB6,4,PCDHGB6
PCDHGA9,4,PCDHGA9
WDR4,1,WDR4
PCDHGA11,4,PCDHGA11
MCMBP,1,MCMBP
DMP1,1,DMP1
PTPN20,1,PTPN20
LTN1,1,LTN1
PCDHGB2,4,PCDHGB2
STT3B,1,STT3B
PCDHGA7,4,PCDHGA7
DRAP1,1,DRAP1
U2AF2,1,U2AF2
AC106774.4,1,AC106774.4
IBSP,1,IBSP
TAF11L2,1,TAF11L2
DHX8,4,DHX8
PCDHGB7,4,PCDHGB7
FILIP1,1,FILIP1
MT1B,1,MT1B
AIMP1,1,AIMP1
HSF5,1,HSF5
MIOS,1,MIOS
LRP1B,7,LRP1B
REEP6,1,REEP6
MT1F,1,MT1F
MBLAC1,1,MBLAC1
USP18,1,USP18
DDX21,3,DDX21
NSFL1C,3,NSFL1C
TBC1D23,2,TBC1D23
OARD1,1,OARD1
C9orf40,1,C9orf40
LETM1,1,LETM1
CNPY4,1,CNPY4
PUS7,1,PUS7
CAMLG,1,CAMLG
PCM1,1,PCM1
RPL37,1,RPL37
SEC24D,5,SEC24D
TMX3,2,TMX3
DOCK11,4,DOCK11
ISL2,2,ISL2
CARNMT1,1,CARNMT1
SIRPB2,1,SIRPB2
VNN2,1,VNN2
SLC26A4,2,SLC26A4
PLPP3,1,PLPP3
CRIP3,1,CRIP3
MOB1A,1,MOB1A
MESD,1,MESD
CHERP,3,CHERP
ZC3H8,3,ZC3H8
MT1G,1,MT1G
ALKAL2,1,ALKAL2
RGS19,1,RGS19
ADGRV1,4,ADGRV1
MYO10,8,MYO10
RPN2,1,RPN2
TAF11L3,1,TAF11L3
MT1H,1,MT1H
TAF11L4,1,TAF11L4
TAF11L5,1,TAF11L5
TAF11L6,1,TAF11L6
GRM8,3,GRM8
SLC35E1,1,SLC35E1
MT1X,1,MT1X
SLC38A5,1,SLC38A5
TBC1D21,1,TBC1D21
ADGRB3,5,ADGRB3
ZDHHC16,1,ZDHHC16
UIMC1,1,UIMC1
SLC22A7,1,SLC22A7
CLCN4,2,CLCN4
TAF11L7,1,TAF11L7
FAM168A,1,FAM168A
ANGPT1,1,ANGPT1
ALS2CL,2,ALS2CL
EPN1,1,EPN1
LYSMD3,1,LYSMD3
RSPH6A,1,RSPH6A
SLC17A2,1,SLC17A2
DRG2,3,DRG2
CD82,1,CD82
PHOX2B,1,PHOX2B
GCNT4,1,GCNT4
CDK9,2,CDK9
CARD6,1,CARD6
NLRP9,5,NLRP9
DUT,1,DUT
CHRFAM7A,2,CHRFAM7A
HAAO,1,HAAO
TAF11L8,1,TAF11L8
TAF11L9,1,TAF11L9
OR4C46,1,OR4C46
TAF11L10,1,TAF11L10
CEMIP,3,CEMIP
ZC3H6,1,ZC3H6
TCAF1,2,TCAF1
TSPO2,1,TSPO2
CALHM5,1,CALHM5
HMGCL,1,HMGCL
CIZ1,1,CIZ1
CALHM4,1,CALHM4
P4HA1,2,P4HA1
ANKRD31,3,ANKRD31
SULF1,2,SULF1
CIAO1,1,CIAO1
MEPE,1,MEPE
TAF6,2,TAF6
GPR173,1,GPR173
TRAPPC3L,1,TRAPPC3L
MTMR4,2,MTMR4
APOBEC2,1,APOBEC2
NCKAP1,1,NCKAP1
OR2F2,1,OR2F2
ADGRG6,4,ADGRG6
DDX60,2,DDX60
OR2F1,1,OR2F1
TM7SF2,1,TM7SF2
BDP1,1,BDP1
CNDP2,2,CNDP2
RPP40,1,RPP40
DNTTIP1,1,DNTTIP1
LOXL1,1,LOXL1
BMP10,2,BMP10
FOXD4,1,FOXD4
ABCA1,2,ABCA1
POLB,5,POLB
GPR157,1,GPR157
UBE2G1,1,UBE2G1
SNRPC,1,SNRPC
CEND1,1,CEND1
LGALS12,1,LGALS12
CDC16,2,CDC16
OR6B1,1,OR6B1
MYO18A,3,MYO18A
CYYR1,1,CYYR1
OR2A5,1,OR2A5
OR2A25,1,OR2A25
RRAGC,1,RRAGC
NDUFAF2,1,NDUFAF2
SLC38A2,1,SLC38A2
OR2A12,1,OR2A12
EXT1,2,EXT1
MYO15A,5,MYO15A
NSMCE3,1,NSMCE3
ADH1C,2,ADH1C
ATG4A,1,ATG4A
RHBDL2,1,RHBDL2
MTM1,2,MTM1
FAM189A1,1,FAM189A1
TAF11L11,1,TAF11L11
POFUT2,1,POFUT2
NPR2,4,NPR2
TAF11L12,1,TAF11L12
SRD5A1,1,SRD5A1
GJA9,1,GJA9
TAF11L13,1,TAF11L13
TAF11L14,1,TAF11L14
NDUFV3,1,NDUFV3
PLAAT4,1,PLAAT4
SLC33A1,1,SLC33A1
H3.Y,1,H3.Y
AP2S1,1,AP2S1
NOVA1,1,NOVA1
MOSPD1,1,MOSPD1
PLAAT2,1,PLAAT2
FZD1,2,FZD1
TMEM40,1,TMEM40
NIT2,1,NIT2
CLBA1,1,CLBA1
GOLGA8R,1,GOLGA8R
ADH1B,2,ADH1B
SMIM15,1,SMIM15
C7orf26,1,C7orf26
PROP1,1,PROP1
E2F4,2,E2F4
RSPO2,1,RSPO2
OR4A5,1,OR4A5
APOL4,1,APOL4
WDR83OS,1,WDR83OS
ZNF853,1,ZNF853
ADCY1,2,ADCY1
ALKBH5,1,ALKBH5
AKAP7,2,AKAP7
DHPS,1,DHPS
FTCDNL1,1,FTCDNL1
CSMD1,2,CSMD1
L1CAM,4,L1CAM
PXDNL,5,PXDNL
XPO1,6,XPO1
KIF1BP,1,KIF1BP
VPS51,1,VPS51
AP4M1,2,AP4M1
HSF1,2,HSF1
WNT5A,1,WNT5A
