Genes,Chromosome,Norm_Symbol
OR2F2,7,OR2F2
ZNF44,19,ZNF44
NQO1,16,NQO1
STYX,14,STYX
PLP1,X,PLP1
POPDC2,3,POPDC2
HK3,5,HK3
VPS11,11,VPS11
KRIT1,7,KRIT1
NPIPB5,16,NPIPB5
PLIN2,9,PLIN2
RAB11FIP2,10,RAB11FIP2
CTH,1,CTH
OCRL,X,OCRL
CNTN4,3,CNTN4
FMO3,1,FMO3
ZNF461,19,ZNF461
PLA2G6,22,PLA2G6
TDRD9,14,TDRD9
TYSND1,10,TYSND1
NIPBL,5,NIPBL
UROS,10,UROS
ANAPC13,3,ANAPC13
LGI3,8,LGI3
CCRL2,3,CCRL2
SHANK2,11,SHANK2
KIF1BP,10,KIF1BP
ZNF814,19,ZNF814
PNPO,17,PNPO
AOPEP,9,AOPEP
OR5H1,3,OR5H1
SLC5A7,2,SLC5A7
XAB2,19,XAB2
MAP3K5,6,MAP3K5
FMNL2,2,FMNL2
AGAP1,2,AGAP1
CYP11B1,8,CYP11B1
DUSP12,1,DUSP12
GBP3,1,GBP3
CMIP,16,CMIP
CD96,3,CD96
GYPC,2,GYPC
NR1I3,1,NR1I3
WIPI2,7,WIPI2
GRIA2,4,GRIA2
ADA,20,ADA
C5AR1,19,C5AR1
CCDC172,10,CCDC172
HCN1,5,HCN1
TRA2A,7,TRA2A
PLD6,17,PLD6
MAP1LC3B,16,MAP1LC3B
RPE65,1,RPE65
NFKB2,10,NFKB2
RRP1,21,RRP1
TAF5L,1,TAF5L
GDF2,10,GDF2
RFK,9,RFK
VEPH1,3,VEPH1
ARHGDIG,16,ARHGDIG
CDC25B,20,CDC25B
DUSP3,17,DUSP3
MACROD2,20,MACROD2
MGAT4C,12,MGAT4C
PRDM6,5,PRDM6
OR2A1,7,OR2A1
HYAL3,3,HYAL3
LYRM7,5,LYRM7
OR10A3,11,OR10A3
PRDM4,12,PRDM4
CCN2,6,CCN2
HIST1H4D,6,HIST1H4D
FCHO1,19,FCHO1
SMAD4,18,SMAD4
BCL2L13,22,BCL2L13
FEM1A,19,FEM1A
STN1,10,STN1
TIMP2,17,TIMP2
DCAF10,9,DCAF10
SATB1,3,SATB1
HSPA4,5,HSPA4
N4BP3,5,N4BP3
PUS7,7,PUS7
RPS6,9,RPS6
MEDAG,13,MEDAG
MVP,16,MVP
INO80,15,INO80
ALPI,2,ALPI
KCNJ10,1,KCNJ10
XKR3,22,XKR3
KBTBD13,15,KBTBD13
ADAP2,17,ADAP2
MAP2K6,17,MAP2K6
CYP26B1,2,CYP26B1
NDST1,5,NDST1
BTBD8,1,BTBD8
SRP68,17,SRP68
ARHGDIA,17,ARHGDIA
DMRTB1,1,DMRTB1
VAPB,20,VAPB
SOX10,22,SOX10
SMYD3,1,SMYD3
CDKL4,2,CDKL4
RASGRF1,15,RASGRF1
RPS6KA6,X,RPS6KA6
TRAV8-2,14,TRAV8-2
SNAPC4,9,SNAPC4
MCM9,6,MCM9
PPP6C,9,PPP6C
OR5M10,11,OR5M10
VAPA,18,VAPA
PTK7,6,PTK7
SH2B3,12,SH2B3
ZSWIM7,17,ZSWIM7
OR1B1,9,OR1B1
SHMT2,12,SHMT2
EBAG9,8,EBAG9
TIMM44,19,TIMM44
PITX3,10,PITX3
CREB3L1,11,CREB3L1
RINL,19,RINL
FARP2,2,FARP2
WDR62,19,WDR62
DCDC2B,1,DCDC2B
PTPDC1,9,PTPDC1
SLC25A20,3,SLC25A20
SSC5D,19,SSC5D
FCGR1A,1,FCGR1A
ARIH1,15,ARIH1
CWC15,11,CWC15
IGKV1-9,2,IGKV1-9
C2CD3,11,C2CD3
EIF4E,4,EIF4E
TJP1,15,TJP1
FAF1,1,FAF1
FOXR2,X,FOXR2
MGAT4D,4,MGAT4D
POLD3,11,POLD3
CITED2,6,CITED2
TTI1,20,TTI1
VASN,16,VASN
CEP135,4,CEP135
IMPA2,18,IMPA2
MZB1,5,MZB1
DUSP27,1,DUSP27
MAPK7,17,MAPK7
CKB,14,CKB
PHKG2,16,PHKG2
PPT2,6,PPT2
SETD1B,12,SETD1B
GADD45G,9,GADD45G
PDCD2,6,PDCD2
DMC1,22,DMC1
NBR1,17,NBR1
TTC1,5,TTC1
TTC21A,3,TTC21A
PCDHB4,5,PCDHB4
DOHH,19,DOHH
RAB5B,12,RAB5B
SLC1A4,2,SLC1A4
FKBP7,2,FKBP7
ZNF221,19,ZNF221
RNF207,1,RNF207
PIEZO2,18,PIEZO2
PIK3R6,17,PIK3R6
ADPRM,17,ADPRM
DPP4,2,DPP4
AKT1S1,19,AKT1S1
USP17L21,4,USP17L21
PRKAB2,1,PRKAB2
ADAMTSL3,15,ADAMTSL3
JMJD1C,10,JMJD1C
DDX47,12,DDX47
HPS6,10,HPS6
EBF3,10,EBF3
DBNL,7,DBNL
CHRNA6,8,CHRNA6
MUC13,3,MUC13
NQO2,6,NQO2
SLC17A2,6,SLC17A2
CDC42SE1,1,CDC42SE1
CUTC,10,CUTC
ABCC10,6,ABCC10
BAX,19,BAX
OR2T34,1,OR2T34
HIST1H2BB,6,HIST1H2BB
CEP68,2,CEP68
TM2D1,1,TM2D1
TMC3,15,TMC3
KRT71,12,KRT71
COQ3,6,COQ3
CXCL13,4,CXCL13
CD274,9,CD274
INTS12,4,INTS12
SCNN1B,16,SCNN1B
STAC2,17,STAC2
PTPN22,1,PTPN22
SNX13,7,SNX13
CDK12,17,CDK12
WSB2,12,WSB2
CNOT7,8,CNOT7
CCDC120,X,CCDC120
HSD17B10,X,HSD17B10
CHMP2A,19,CHMP2A
OR4C6,11,OR4C6
SLC33A1,3,SLC33A1
TIE1,1,TIE1
MZF1,19,MZF1
AKT1,14,AKT1
PCDHA10,5,PCDHA10
OR1A2,17,OR1A2
ADH7,4,ADH7
MEOX2,7,MEOX2
MYCN,2,MYCN
OR13J1,9,OR13J1
PDE1C,7,PDE1C
DCTN5,16,DCTN5
IRF3,19,IRF3
STAT5A,17,STAT5A
SLC4A10,2,SLC4A10
C10orf90,10,C10orf90
RUVBL1,3,RUVBL1
SMAD2,18,SMAD2
GPR78,4,GPR78
ZBTB7A,19,ZBTB7A
SLA2,20,SLA2
CWC27,5,CWC27
MAGI3,1,MAGI3
FGF10,5,FGF10
HS3ST4,16,HS3ST4
APCDD1,18,APCDD1
LMAN2L,2,LMAN2L
SMC1B,22,SMC1B
TEFM,17,TEFM
TRBV16,7,TRBV16
VPS13D,1,VPS13D
JUN,1,JUN
ESR2,14,ESR2
FCRL1,1,FCRL1
SNX27,1,SNX27
OR4X2,11,OR4X2
ZFAND5,9,ZFAND5
ZKSCAN1,7,ZKSCAN1
NLGN4Y,Y,NLGN4Y
PMAIP1,18,PMAIP1
AMTN,4,AMTN
SLC25A13,7,SLC25A13
MIF4GD,17,MIF4GD
DENND6B,22,DENND6B
NR4A2,2,NR4A2
KRTAP16-1,17,KRTAP16-1
USP17L29,4,USP17L29
ALDH2,12,ALDH2
CCNF,16,CCNF
LRRC41,1,LRRC41
NR3C2,4,NR3C2
NSUN6,10,NSUN6
ZNF879,5,ZNF879
TERF2IP,16,TERF2IP
RANBP6,9,RANBP6
SERPINB10,18,SERPINB10
OR3A3,17,OR3A3
SPANXD,X,SPANXD
ZSCAN21,7,ZSCAN21
FOXN4,12,FOXN4
VOPP1,7,VOPP1
USP36,17,USP36
TP53INP1,8,TP53INP1
FKBPL,6,FKBPL
PFAS,17,PFAS
POLD2,7,POLD2
STX1A,7,STX1A
IREB2,15,IREB2
SDHAF1,19,SDHAF1
STAR,8,STAR
ERC1,12,ERC1
DBT,1,DBT
PODXL,7,PODXL
ADI1,2,ADI1
IGHV4-34,14,IGHV4-34
SHROOM3,4,SHROOM3
ETV3L,1,ETV3L
SLC44A5,1,SLC44A5
FCHO2,5,FCHO2
CST8,20,CST8
LIMK2,22,LIMK2
GPR68,14,GPR68
CDC45,22,CDC45
PCMT1,6,PCMT1
ND3,NAN,ND3
RAD9A,11,RAD9A
GALT,9,GALT
FOXO1,13,FOXO1
AP1G2,14,AP1G2
TESC,12,TESC
INTS7,1,INTS7
CLEC4C,12,CLEC4C
ZIM2,19,ZIM2
SLC2A3,12,SLC2A3
CFAP61,20,CFAP61
SFXN5,2,SFXN5
NPIPB9,16,NPIPB9
ANGPT1,8,ANGPT1
DNAJB9,7,DNAJB9
NPNT,4,NPNT
EXD2,14,EXD2
TRAV16,14,TRAV16
VTA1,6,VTA1
OR8U1,11,OR8U1
ZFYVE26,14,ZFYVE26
ZNF707,8,ZNF707
LIN37,19,LIN37
LETM1,4,LETM1
FAM209B,20,FAM209B
STMN2,8,STMN2
PIH1D3,X,PIH1D3
KLK14,19,KLK14
ISY1-RAB43,3,ISY1-RAB43
YBX2,17,YBX2
GLYATL2,11,GLYATL2
PLXNA2,1,PLXNA2
FGF1,5,FGF1
HEBP2,6,HEBP2
BLZF1,1,BLZF1
CLDN22,4,CLDN22
CCR3,3,CCR3
CACYBP,1,CACYBP
CTDSP1,2,CTDSP1
MC1R,16,MC1R
SLC30A4,15,SLC30A4
EVPLL,17,EVPLL
B3GALNT2,1,B3GALNT2
GPR6,6,GPR6
TXNRD2,22,TXNRD2
PEX11B,1,PEX11B
GTF2F2,13,GTF2F2
DCAF8,1,DCAF8
GNPTG,16,GNPTG
BCLAF1,6,BCLAF1
GEMIN5,5,GEMIN5
TEX10,9,TEX10
REV1,2,REV1
DAZAP2,12,DAZAP2
TCEA1,8,TCEA1
CHEK2,22,CHEK2
COL11A1,1,COL11A1
OR4F6,15,OR4F6
ST6GALNAC3,1,ST6GALNAC3
CLEC18B,16,CLEC18B
HAL,12,HAL
ENKUR,10,ENKUR
ENOX2,X,ENOX2
PRDM2,1,PRDM2
VTI1B,14,VTI1B
DHH,12,DHH
PPIAL4F,1,PPIAL4F
ZNF524,19,ZNF524
ZNF721,4,ZNF721
EFNB1,X,EFNB1
CTAGE1,18,CTAGE1
FBXO33,14,FBXO33
TST,22,TST
COL7A1,3,COL7A1
AGT,1,AGT
OR10A5,11,OR10A5
RAC1,7,RAC1
YPEL2,17,YPEL2
CEBPA,19,CEBPA
CYP4A11,1,CYP4A11
RNF19B,1,RNF19B
NADK2,5,NADK2
UGGT2,13,UGGT2
LDLR,19,LDLR
AAMP,2,AAMP
AKR1A1,1,AKR1A1
NDFIP1,5,NDFIP1
TNFRSF13B,17,TNFRSF13B
MAFK,7,MAFK
C12orf4,12,C12orf4
PARK7,1,PARK7
C1orf35,1,C1orf35
CORO2B,15,CORO2B
PHLDA2,11,PHLDA2
PEAK1,15,PEAK1
ZAR1,4,ZAR1
PTPRU,1,PTPRU
TSPO,22,TSPO
TBC1D21,15,TBC1D21
TPH2,12,TPH2
ZNF354C,5,ZNF354C
CERS4,19,CERS4
CHRM1,11,CHRM1
MRE11,11,MRE11
HMGCR,5,HMGCR
PCDHGB1,5,PCDHGB1
PDE6C,10,PDE6C
HIF1AN,10,HIF1AN
RGR,10,RGR
TIGIT,3,TIGIT
VCPIP1,8,VCPIP1
KLK3,19,KLK3
BDNF,11,BDNF
MIER3,5,MIER3
ZFP1,16,ZFP1
TCF7L1,2,TCF7L1
ADGRG4,X,ADGRG4
DCAF4,14,DCAF4
STK3,8,STK3
TEX2,17,TEX2
KRT1,12,KRT1
ZNF114,19,ZNF114
SLC25A35,17,SLC25A35
SYNE4,19,SYNE4
TBC1D13,9,TBC1D13
TLCD1,17,TLCD1
CCL3,17,CCL3
ZNF550,19,ZNF550
PPP1R13B,14,PPP1R13B
SLC2A14,12,SLC2A14
TGOLN2,2,TGOLN2
CERS5,12,CERS5
SLC4A4,4,SLC4A4
CRABP1,15,CRABP1
SLC25A29,14,SLC25A29
NRAP,10,NRAP
ERP27,12,ERP27
MCCC1,3,MCCC1
ZNF628,19,ZNF628
BRD8,5,BRD8
STON2,14,STON2
COA7,1,COA7
NCOR2,12,NCOR2
UGT2B15,4,UGT2B15
PANK2,20,PANK2
RUSC1,1,RUSC1
SMPD3,16,SMPD3
KCNK5,6,KCNK5
KRT222,17,KRT222
MOCS3,20,MOCS3
DECR2,16,DECR2
PDE3B,11,PDE3B
STAT6,12,STAT6
PPP1R14C,6,PPP1R14C
GPR27,3,GPR27
AP4S1,14,AP4S1
PDCD2L,19,PDCD2L
RAD54B,8,RAD54B
LGALS3BP,17,LGALS3BP
RGMB,5,RGMB
CCDC151,19,CCDC151
UBA3,3,UBA3
IGHG1,14,IGHG1
DST,6,DST
TRPM6,9,TRPM6
ST6GALNAC4,9,ST6GALNAC4
PTPN12,7,PTPN12
WDR6,3,WDR6
PSTPIP2,18,PSTPIP2
IGHG2,14,IGHG2
DSTN,20,DSTN
STAP2,19,STAP2
LRRC75B,22,LRRC75B
FTH1,11,FTH1
CHMP6,17,CHMP6
SYTL3,6,SYTL3
DQX1,2,DQX1
ACSL1,4,ACSL1
SLC25A45,11,SLC25A45
ARHGAP12,10,ARHGAP12
OR4K1,14,OR4K1
NOS1,12,NOS1
CD3D,11,CD3D
CEP164,11,CEP164
PKD1,16,PKD1
UBE2D1,10,UBE2D1
TIGD5,8,TIGD5
SKIL,3,SKIL
DNAH11,7,DNAH11
EPHB1,3,EPHB1
INMT,7,INMT
MRPL14,6,MRPL14
SIRT4,12,SIRT4
SLC15A3,11,SLC15A3
RERE,1,RERE
WDR61,15,WDR61
SYNJ2,6,SYNJ2
TMEM201,1,TMEM201
LAMP5,20,LAMP5
SLCO4C1,5,SLCO4C1
PADI3,1,PADI3
YEATS4,12,YEATS4
TSPAN19,12,TSPAN19
UGT3A1,5,UGT3A1
ZNF716,7,ZNF716
KCMF1,2,KCMF1
SH3D19,4,SH3D19
XRN2,20,XRN2
USP20,9,USP20
CDKN3,14,CDKN3
ND4,NAN,ND4
AIFM2,10,AIFM2
C6orf47,6,C6orf47
OR1J2,9,OR1J2
KCNE3,11,KCNE3
ZXDC,3,ZXDC
NACA2,17,NACA2
ZNF780B,19,ZNF780B
EHMT2,6,EHMT2
ARHGDIB,12,ARHGDIB
PPP2R1A,19,PPP2R1A
SLC4A7,3,SLC4A7
NR2F1,5,NR2F1
CLEC4D,12,CLEC4D
FGF6,12,FGF6
CHRM3,1,CHRM3
ARHGAP5,14,ARHGAP5
BTBD2,19,BTBD2
EIF4EBP3,5,EIF4EBP3
LRRC14,8,LRRC14
NUDT6,4,NUDT6
LMTK3,19,LMTK3
FKTN,9,FKTN
AKAP1,17,AKAP1
NDUFAF3,3,NDUFAF3
RASGRP3,2,RASGRP3
TBC1D10C,11,TBC1D10C
TBC1D17,19,TBC1D17
PDRG1,20,PDRG1
NMUR2,5,NMUR2
GIMAP6,7,GIMAP6
PBRM1,3,PBRM1
PGR,11,PGR
CEP63,3,CEP63
GRIK1,21,GRIK1
ORC4,2,ORC4
EXOSC8,13,EXOSC8
IFT27,22,IFT27
CEP128,14,CEP128
CMKLR1,12,CMKLR1
EPB41L4B,9,EPB41L4B
NCK1,3,NCK1
NRG1,8,NRG1
HAS1,19,HAS1
ACAN,15,ACAN
APOL4,22,APOL4
PHLDB2,3,PHLDB2
KCNT2,1,KCNT2
HCN4,15,HCN4
SBF1,22,SBF1
APOL5,22,APOL5
ZDHHC19,3,ZDHHC19
PITX2,4,PITX2
RANBP10,16,RANBP10
ARL1,12,ARL1
EDNRB,13,EDNRB
FNTB,14,FNTB
ISG20L2,1,ISG20L2
LCORL,4,LCORL
PGAM5,12,PGAM5
KLHL3,5,KLHL3
CWC22,2,CWC22
ADM,11,ADM
TAF9B,X,TAF9B
ARMS2,10,ARMS2
TEAD1,11,TEAD1
CHAMP1,13,CHAMP1
RHOT2,16,RHOT2
ZNF687,1,ZNF687
YPEL4,11,YPEL4
BHLHE22,8,BHLHE22
NEGR1,1,NEGR1
GLRA2,X,GLRA2
GLI4,8,GLI4
GTF2E2,8,GTF2E2
KEL,7,KEL
SLC25A23,19,SLC25A23
OR5AU1,14,OR5AU1
SLC25A5,X,SLC25A5
SYNGR4,19,SYNGR4
TMEM41B,11,TMEM41B
GABPA,21,GABPA
RPL7A,9,RPL7A
LRRC49,15,LRRC49
CAST,5,CAST
PPP1R3E,14,PPP1R3E
ADAM15,1,ADAM15
TIAM1,21,TIAM1
MROH2B,5,MROH2B
OR52N5,11,OR52N5
ACTR3,2,ACTR3
RAB8B,15,RAB8B
GTF2H4,6,GTF2H4
MEF2A,15,MEF2A
SERGEF,11,SERGEF
COX7C,5,COX7C
DTNA,18,DTNA
TSPYL2,X,TSPYL2
NIFK,2,NIFK
RCCD1,15,RCCD1
CTSV,9,CTSV
OR10H1,19,OR10H1
ZNF239,10,ZNF239
RAB19,7,RAB19
CD3E,11,CD3E
OR8G5,11,OR8G5
SETD7,4,SETD7
SEMA4F,2,SEMA4F
SMPD4,2,SMPD4
TRNAU1AP,1,TRNAU1AP
AXIN2,17,AXIN2
TRMT10B,9,TRMT10B
IL13RA1,X,IL13RA1
PHF20,20,PHF20
COL19A1,6,COL19A1
KIF5C,2,KIF5C
RAB9B,X,RAB9B
HMCN1,1,HMCN1
DDI2,1,DDI2
IGKV2-28,2,IGKV2-28
FAM47E-STBD1,4,FAM47E-STBD1
AFF4,5,AFF4
PLEKHG2,19,PLEKHG2
FGF18,5,FGF18
ELK3,12,ELK3
RIMS4,20,RIMS4
PCYOX1,2,PCYOX1
COX16,14,COX16
ASB4,7,ASB4
ZFAT,8,ZFAT
GALR1,18,GALR1
DRG2,17,DRG2
RGS7,1,RGS7
ECD,10,ECD
ZNF574,19,ZNF574
ATP2B4,1,ATP2B4
FAM57A,17,FAM57A
RPS14,5,RPS14
LDLRAD3,11,LDLRAD3
CDK13,7,CDK13
CMBL,5,CMBL
SGTA,19,SGTA
EIF4G1,3,EIF4G1
ND6,NAN,ND6
DCHS2,4,DCHS2
ARFIP1,4,ARFIP1
SMAD5,5,SMAD5
RIMBP3,22,RIMBP3
CRYZ,1,CRYZ
XKR4,8,XKR4
CEACAM20,19,CEACAM20
POMT2,14,POMT2
COA1,7,COA1
MRGPRG,11,MRGPRG
ASB5,4,ASB5
DMRT1,9,DMRT1
TMEM225,11,TMEM225
HNRNPDL,4,HNRNPDL
ZFR,5,ZFR
TRABD2A,2,TRABD2A
AQP4,18,AQP4
MEF2D,1,MEF2D
OR6Y1,1,OR6Y1
OCM,7,OCM
PAX8,2,PAX8
HSD3B2,1,HSD3B2
RUNX1,21,RUNX1
IGHV2-5,14,IGHV2-5
EME2,16,EME2
CD164L2,1,CD164L2
MORN2,2,MORN2
HTATIP2,11,HTATIP2
FAM72A,1,FAM72A
XPNPEP1,10,XPNPEP1
MTIF3,13,MTIF3
MAP2K5,15,MAP2K5
BLOC1S1,12,BLOC1S1
AC007040.2,2,AC007040.2
EPHB2,1,EPHB2
TARS2,1,TARS2
EVL,14,EVL
MGMT,10,MGMT
OR5P2,11,OR5P2
RPL15,3,RPL15
FMO5,1,FMO5
TUBE1,6,TUBE1
SLC6A20,3,SLC6A20
KIF3C,2,KIF3C
APOBEC2,6,APOBEC2
OR2G2,1,OR2G2
HNRNPCL1,1,HNRNPCL1
EGLN2,19,EGLN2
RGPD5,2,RGPD5
HBA2,16,HBA2
COLCA2,11,COLCA2
EDC4,16,EDC4
GDE1,16,GDE1
WBP2,17,WBP2
LOXHD1,18,LOXHD1
M6PR,12,M6PR
APBA3,19,APBA3
PRAMEF19,1,PRAMEF19
ASXL3,18,ASXL3
ATP6V1E1,22,ATP6V1E1
LY6D,8,LY6D
PRG2,11,PRG2
MAP3K1,5,MAP3K1
SCAMP5,15,SCAMP5
POC1B,12,POC1B
FXR2,17,FXR2
CTSG,14,CTSG
VN1R1,19,VN1R1
CYSLTR2,13,CYSLTR2
POLR3G,5,POLR3G
CUL7,6,CUL7
SETD2,3,SETD2
DYM,18,DYM
P2RY8,X,P2RY8
UBXN10,1,UBXN10
C3orf38,3,C3orf38
ZNF2,2,ZNF2
SCFD1,14,SCFD1
TRIP10,19,TRIP10
TAS2R14,12,TAS2R14
ZNF764,16,ZNF764
DLG3,X,DLG3
KANK2,19,KANK2
USP50,15,USP50
ZIC5,13,ZIC5
CTSL,9,CTSL
UBE2M,19,UBE2M
ESCO2,8,ESCO2
OR1N1,9,OR1N1
ZBED5,11,ZBED5
TOM1L2,17,TOM1L2
HERC1,15,HERC1
SMAD7,18,SMAD7
TRAV41,14,TRAV41
ZSCAN31,6,ZSCAN31
NOP2,12,NOP2
CFAP58,10,CFAP58
PLCH1,3,PLCH1
SUMO2,17,SUMO2
KLHDC2,14,KLHDC2
CDK19,6,CDK19
TAS2R50,12,TAS2R50
MCHR2,6,MCHR2
OMA1,1,OMA1
PHF20L1,8,PHF20L1
MED15,22,MED15
KLC3,19,KLC3
PIK3CG,7,PIK3CG
AUNIP,1,AUNIP
RIC1,9,RIC1
SLU7,5,SLU7
KNSTRN,15,KNSTRN
MTM1,X,MTM1
TNNC1,3,TNNC1
OR2T33,1,OR2T33
OR10A6,11,OR10A6
DDX23,12,DDX23
CTDSPL2,15,CTDSPL2
ITGA7,12,ITGA7
S100PBP,1,S100PBP
BSPRY,9,BSPRY
KLC2,11,KLC2
NT5M,17,NT5M
RBBP8,18,RBBP8
MTRF1,13,MTRF1
NBAS,2,NBAS
SCG3,15,SCG3
OR5K3,3,OR5K3
VPS41,7,VPS41
OTUD5,X,OTUD5
NACC2,9,NACC2
IGSF9B,11,IGSF9B
ANXA7,10,ANXA7
STRA6,15,STRA6
CHRM2,7,CHRM2
MAST4,5,MAST4
SH2B1,16,SH2B1
SLC2A9,4,SLC2A9
NET1,NAN,NET1
ATP6V1C1,8,ATP6V1C1
NOL4L,20,NOL4L
RBMY1E,Y,RBMY1E
IMPA1,8,IMPA1
ITSN1,21,ITSN1
ATG7,3,ATG7
ADTRP,6,ADTRP
KRTAP4-11,17,KRTAP4-11
BEST2,19,BEST2
C1QL1,17,C1QL1
ETFB,19,ETFB
ABCG5,2,ABCG5
MYT1,20,MYT1
DAGLA,11,DAGLA
RBM23,14,RBM23
TUBGCP5,15,TUBGCP5
ZNF761,19,ZNF761
NOTUM,17,NOTUM
GFRA2,8,GFRA2
MAN2A1,5,MAN2A1
JAK1,1,JAK1
RNASE2,14,RNASE2
KRTAP5-6,11,KRTAP5-6
ACOX3,4,ACOX3
CHIC1,X,CHIC1
GOSR2,17,GOSR2
SSU72P8,7,SSU72P8
UBE2J1,6,UBE2J1
SLC22A8,11,SLC22A8
SLC16A5,17,SLC16A5
BRD3,9,BRD3
DLGAP4,20,DLGAP4
S1PR5,19,S1PR5
SLC5A2,16,SLC5A2
CDH2,18,CDH2
RRP8,11,RRP8
ATP2B1,12,ATP2B1
ANP32B,9,ANP32B
WDPCP,2,WDPCP
MBD3L5,19,MBD3L5
NDUFA10,2,NDUFA10
ECI2,6,ECI2
PGAM1,10,PGAM1
RFC2,7,RFC2
ELMO1,7,ELMO1
SERPINB8,18,SERPINB8
PHF14,7,PHF14
PEX26,22,PEX26
KRTAP19-1,21,KRTAP19-1
LAG3,12,LAG3
TBX18,6,TBX18
RAD52,12,RAD52
USE1,19,USE1
RHOQ,2,RHOQ
OSBPL2,20,OSBPL2
RBM22,5,RBM22
FAT2,5,FAT2
SLC13A3,20,SLC13A3
ADGRG1,16,ADGRG1
NSD1,5,NSD1
KRI1,19,KRI1
KRT3,12,KRT3
TRDN,6,TRDN
ISCA1,9,ISCA1
CRK,17,CRK
GDPGP1,15,GDPGP1
PROKR1,2,PROKR1
SCGB3A2,5,SCGB3A2
ZNF320,19,ZNF320
NSMCE2,8,NSMCE2
GIMAP8,7,GIMAP8
DMP1,4,DMP1
ADAL,15,ADAL
ADCY3,2,ADCY3
ARHGAP19,10,ARHGAP19
MPHOSPH10,2,MPHOSPH10
TNP2,16,TNP2
CHP2,16,CHP2
CD6,11,CD6
CRYGB,2,CRYGB
IGHV3OR16-8,16,IGHV3OR16-8
CYTH3,7,CYTH3
SPEF1,20,SPEF1
OTX1,2,OTX1
FOLR1,NAN,FOLR1
NRSN1,6,NRSN1
RUVBL2,19,RUVBL2
SURF2,9,SURF2
KRTAP19-6,21,KRTAP19-6
ALDH8A1,6,ALDH8A1
PAXBP1,21,PAXBP1
TWF1,12,TWF1
AARS,16,AARS
PTPN9,15,PTPN9
ZNF701,19,ZNF701
EIF3M,11,EIF3M
PAPSS2,10,PAPSS2
NRG4,15,NRG4
RPL10L,14,RPL10L
CDC14B,9,CDC14B
BNIP3,10,BNIP3
LIPT1,2,LIPT1
TRIM14,9,TRIM14
COQ10A,12,COQ10A
GK,X,GK
KRTAP11-1,21,KRTAP11-1
WARS2,1,WARS2
BOK,2,BOK
SPDL1,5,SPDL1
TMEM63A,1,TMEM63A
MSX1,4,MSX1
IMPDH1,7,IMPDH1
EIF2AK1,7,EIF2AK1
MBD4,3,MBD4
SLIT1,10,SLIT1
LIMD1,3,LIMD1
HERC6,4,HERC6
ZNF655,7,ZNF655
RTKN2,10,RTKN2
SEC14L2,22,SEC14L2
CHST15,10,CHST15
ESPL1,12,ESPL1
LTC4S,5,LTC4S
NSMCE1,16,NSMCE1
RABL6,9,RABL6
GOLGA7B,10,GOLGA7B
ZNF385C,17,ZNF385C
CTLA4,2,CTLA4
ATXN2,12,ATXN2
RET,10,RET
RAB9A,X,RAB9A
EXOG,3,EXOG
ARFGEF3,6,ARFGEF3
NAP1L2,X,NAP1L2
PRR5L,11,PRR5L
ANKRD37,4,ANKRD37
LIX1,5,LIX1
TRIM39,6,TRIM39
TBL3,16,TBL3
TMEM120B,12,TMEM120B
NRP1,10,NRP1
DCAF6,1,DCAF6
INO80B-WBP1,2,INO80B-WBP1
TMEM230,20,TMEM230
ZNF224,19,ZNF224
SART3,12,SART3
GTF2I,7,GTF2I
GNG11,7,GNG11
PCSK6,15,PCSK6
GPR1,2,GPR1
ILF3,19,ILF3
SV2B,15,SV2B
P4HA1,10,P4HA1
CXCL1,4,CXCL1
TKTL1,X,TKTL1
SRPX2,X,SRPX2
MAP3K3,17,MAP3K3
CT45A6,X,CT45A6
OR52D1,11,OR52D1
STK17A,7,STK17A
CTR9,11,CTR9
DEFA4,8,DEFA4
AGXT,2,AGXT
DNAJC8,1,DNAJC8
C4A,6,C4A
NSMCE3,15,NSMCE3
COPS6,7,COPS6
ZMIZ2,7,ZMIZ2
BCS1L,2,BCS1L
S100A5,1,S100A5
TRBV3-1,7,TRBV3-1
CENPT,16,CENPT
ZKSCAN2,16,ZKSCAN2
NSG2,5,NSG2
MYO1E,15,MYO1E
SHISA9,16,SHISA9
CCL13,17,CCL13
LMLN,3,LMLN
SOX3,X,SOX3
FOXF2,6,FOXF2
ZNF782,9,ZNF782
CCNQ,X,CCNQ
SENP3-EIF4A1,17,SENP3-EIF4A1
PIK3CD,1,PIK3CD
IGDCC3,15,IGDCC3
PLSCR3,17,PLSCR3
RNF167,17,RNF167
TPM1,15,TPM1
AMBN,4,AMBN
PCDHA1,5,PCDHA1
GPR52,1,GPR52
MPZL1,1,MPZL1
RECQL4,8,RECQL4
P2RY1,3,P2RY1
AP5Z1,7,AP5Z1
HIST1H1B,6,HIST1H1B
DNTT,10,DNTT
JMJD7-PLA2G4B,15,JMJD7-PLA2G4B
CTTNBP2NL,1,CTTNBP2NL
LAMTOR2,1,LAMTOR2
TP63,3,TP63
NABP1,2,NABP1
CFTR,7,CFTR
PRKCE,2,PRKCE
AOX1,2,AOX1
GLRA4,X,GLRA4
ADH1B,4,ADH1B
KLF3,4,KLF3
PRAMEF8,1,PRAMEF8
OR7G1,19,OR7G1
LEO1,15,LEO1
INTS3,1,INTS3
GZMH,14,GZMH
BMP1,8,BMP1
UBXN2B,8,UBXN2B
CEBPD,8,CEBPD
CATSPER3,5,CATSPER3
NKTR,3,NKTR
PLN,6,PLN
AMER2,13,AMER2
NCR3,6,NCR3
