Genes,Average Gene Length,Norm_Symbol
AC010422.8,13763.0,AC010422.8
WDR83OS,1342.0,WDR83OS
CFAP70,105100.0,CFAP70
PCDHA2,217495.0,PCDHA2
USP19,12892.0,USP19
TAOK3,223106.0,TAOK3
AC010422.5,4569.0,AC010422.5
AC008764.1,149137.0,AC008764.1
PCDHA4,205418.0,PCDHA4
RAB21,45423.0,RAB21
RAMACL,1990.0,RAMACL
LRP5L,53959.0,LRP5L
WDR83,9030.0,WDR83
C19orf44,24958.0,C19orf44
RNASET2,27687.0,RNASET2
SHQ1,112637.0,SHQ1
TMEM56,80252.0,TMEM56
PCDHA8,171160.0,PCDHA8
COL8A1,160751.0,COL8A1
ATG2B,84146.0,ATG2B
AVPI1,9817.0,AVPI1
RASGEF1A,72384.0,RASGEF1A
PCDHA10,156464.0,PCDHA10
DEFB104A,4729.0,DEFB104A
LRTOMT,30451.0,LRTOMT
CASP14,8813.0,CASP14
SEMA6A,131318.0,SEMA6A
NFE2,8904.0,NFE2
MRPS16,3850.0,MRPS16
PAWR,115985.0,PAWR
HAX1,3364.0,HAX1
MCM2,24026.0,MCM2
NRG3,1111985.0,NRG3
HNRNPA1,6895.0,HNRNPA1
NUDT13,21453.0,NUDT13
TMEM169,20917.0,TMEM169
PCDHA7,178099.0,PCDHA7
RNF122,19374.0,RNF122
PCDHA3,211319.0,PCDHA3
AC099850.2,17660.0,AC099850.2
SLC39A11,424471.2,SLC39A11
PCDHA11,144161.0,PCDHA11
SMG8,5847.0,SMG8
FBXL13,261613.0,FBXL13
SMIM7,29691.0,SMIM7
DUSP26,8693.0,DUSP26
MAN2B1,20231.0,MAN2B1
SCRIB,24656.0,SCRIB
ARX,12726.0,ARX
PECR,86626.0,PECR
PRR11,49206.0,PRR11
AFAP1L2,109932.0,AFAP1L2
CLIC1,9183.0,CLIC1
E2F5,40004.0,E2F5
PCDHA6,184389.0,PCDHA6
ANKRD45,60301.0,ANKRD45
AVEN,172977.0,AVEN
FXYD4,4699.0,FXYD4
SLC9C2,102612.0,SLC9C2
MREG,91512.0,MREG
GSKIP,23836.0,GSKIP
AL159163.1,98030.0,AL159163.1
CHRM5,98737.0,CHRM5
RPS6KA2,497087.0,RPS6KA2
TOMM7,10224.0,TOMM7
SUDS3,41478.0,SUDS3
PCDHA5,190743.0,PCDHA5
CHODL,366110.0,CHODL
NSD2,110814.0,NSD2
DENND3,78530.0,DENND3
MFAP2,6333.0,MFAP2
SEC24D,115860.0,SEC24D
TPTE2,113885.0,TPTE2
AL139142.2,73777.0,AL139142.2
TEX50,1792.0,TEX50
CKMT1B,11847.0,CKMT1B
CD8B2,56933.0,CD8B2
RBIS,6373.0,RBIS
CXCR6,7418.0,CXCR6
AP000812.4,3405.0,AP000812.4
ZNF366,67507.0,ZNF366
KRT79,12885.0,KRT79
FYCO1,77925.0,FYCO1
KIAA0753,62564.0,KIAA0753
NUMA1,77829.0,NUMA1
IL13RA1,67402.0,IL13RA1
G6PC,12572.0,G6PC
FAM163A,73035.0,FAM163A
ZNF639,15552.0,ZNF639
VPS26B,23117.0,VPS26B
DDAH2,3579.0,DDAH2
KRT78,11288.0,KRT78
C16orf70,38581.0,C16orf70
AL160272.2,368157.0,AL160272.2
DHPS,6163.0,DHPS
CCDC163,6213.0,CCDC163
KCNJ15,151808.0,KCNJ15
TLR4,20560.0,TLR4
ANO7,36868.0,ANO7
SLC7A13,107083.0,SLC7A13
XPNPEP1,58787.0,XPNPEP1
MGAT3,35182.0,MGAT3
FBN1,237543.0,FBN1
MYC,7517.0,MYC
PLEKHA2,72677.0,PLEKHA2
ANGEL2,23685.0,ANGEL2
TXNDC17,3783.0,TXNDC17
FEZF1,9388.0,FEZF1
NCAPD3,75335.0,NCAPD3
STRC,19237.0,STRC
FPGS,19730.0,FPGS
TTC26,58242.0,TTC26
DNA2,58057.0,DNA2
AC004706.3,11837.0,AC004706.3
SRRM4,181510.0,SRRM4
ABLIM1,336948.0,ABLIM1
FAM90A1,6358.0,FAM90A1
MED31,8323.0,MED31
HNRNPF,23549.0,HNRNPF
ABCA2,21688.0,ABCA2
PPP4R2,72414.0,PPP4R2
TOR1AIP2,37836.0,TOR1AIP2
LRRC17,32111.0,LRRC17
CERS6,319275.0,CERS6
B3GNT9,2894.0,B3GNT9
RMDN1,46100.0,RMDN1
IL7R,26908.0,IL7R
OR1I1,10759.0,OR1I1
HSPB8,42489.0,HSPB8
UPF3A,24216.0,UPF3A
NEK3,27222.0,NEK3
ASB8,33424.0,ASB8
FAM180B,2501.0,FAM180B
C1QTNF4,4744.0,C1QTNF4
IL16,154483.0,IL16
EBLN2,1678.0,EBLN2
NFE4,15334.0,NFE4
GXYLT2,110065.0,GXYLT2
SPC25,88713.63461538461,SPC25
SBNO2,57206.98327759197,SBNO2
HTRA4,14435.0,HTRA4
CADPS,477070.0,CADPS
PCDH10,59312.0,PCDH10
AC010422.3,4566.0,AC010422.3
BX276092.9,3982.0,BX276092.9
ZMYM1,83687.0,ZMYM1
PLBD2,33063.0,PLBD2
SYDE1,7584.0,SYDE1
PRKAB1,13760.0,PRKAB1
NOSTRIN,61287.23076923077,NOSTRIN
RUNX3,65610.0,RUNX3
KLHL20,71751.0,KLHL20
GLB1L2,46467.0,GLB1L2
ASS1,56345.0,ASS1
TOR1AIP1,42958.0,TOR1AIP1
COQ10B,21885.0,COQ10B
GBA,10334.434554973825,GBA
MAGEB18,2392.0,MAGEB18
ANO5,483423.0,ANO5
CXorf49,3780.0,CXorf49
MAGEB6B,1223.0,MAGEB6B
SULT4A1,38004.0,SULT4A1
CTNNAL1,70953.0,CTNNAL1
SLC8B1,60734.0,SLC8B1
ILVBL,10802.0,ILVBL
MAGEB6,3206.0,MAGEB6
JAM3,83076.0,JAM3
NEK5,95481.0,NEK5
FBXO30,21293.0,FBXO30
TMEM233,49301.0,TMEM233
CCDC60,206328.0,CCDC60
CCSER1,1474378.0,CCSER1
SHPRH,100178.0,SHPRH
AC011330.3,18075.0,AC011330.3
DDR1,19685.42278127184,DDR1
SPAG11A,20991.0,SPAG11A
CXorf49B,3780.0,CXorf49B
CATSPER2,39615.0,CATSPER2
SLC35E1,22584.0,SLC35E1
ZADH2,14026.0,ZADH2
SPATA2L,5348.0,SPATA2L
CAPN10,30971.0,CAPN10
SIX1,14845.0,SIX1
SLC9A2,91611.0,SLC9A2
DNAJC28,6190.5,DNAJC28
MFN1,47227.0,MFN1
ABITRAM,16344.0,ABITRAM
AC008764.4,82473.0,AC008764.4
ZCCHC12,3144.0,ZCCHC12
GHITM,14059.0,GHITM
CCDC197,21638.0,CCDC197
RNF128,103222.0,RNF128
PRKCG,28462.0,PRKCG
CYP26C1,8742.0,CYP26C1
WWP1,135682.0,WWP1
CYP26A1,4410.0,CYP26A1
ATXN1L,39292.0,ATXN1L
CCR10,5028.0,CCR10
TM2D2,8016.0,TM2D2
CHERP,24543.0,CHERP
PODXL2,43617.0,PODXL2
FAM160B1,78088.0,FAM160B1
CNTNAP1,17462.0,CNTNAP1
ACTN1,105297.0,ACTN1
IST1,85203.0,IST1
STARD5,15130.0,STARD5
NEMP1,32420.0,NEMP1
C10orf99,11493.0,C10orf99
ATPAF2,61800.0,ATPAF2
PRR36,5671.0,PRR36
PLD1,210546.0,PLD1
LARP1B,161645.0,LARP1B
ABTB1,7991.0,ABTB1
DDX24,31625.0,DDX24
GLCCI1,125476.0,GLCCI1
IRAK4,30599.0,IRAK4
PDZK1,37296.0,PDZK1
ZNHIT2,1305.0,ZNHIT2
SLC45A4,101139.0,SLC45A4
FAM126A,124759.0,FAM126A
MFSD9,22258.0,MFSD9
G6PC2,8757.5,G6PC2
MYADML2,7588.0,MYADML2
LRRC8E,13516.0,LRRC8E
AK7,97299.0,AK7
FAM3A,10083.0,FAM3A
TRUB1,39481.0,TRUB1
PSMC6,21412.0,PSMC6
PYCR1,10028.0,PYCR1
LPAR1,165195.0,LPAR1
PIP4K2A,179724.0,PIP4K2A
UMAD1,327309.0,UMAD1
DRC3,44076.0,DRC3
CALR3,17135.0,CALR3
ATRNL1,855634.0,ATRNL1
CMSS1,363895.0,CMSS1
DHX57,78205.0,DHX57
RPA3,82089.0,RPA3
IL17RB,19226.0,IL17RB
CEP164,98709.0,CEP164
RNF115,85227.0,RNF115
FEM1C,23867.0,FEM1C
NPDC1,6716.0,NPDC1
GPR35,25829.0,GPR35
FUBP3,59387.0,FUBP3
DTWD2,152473.0,DTWD2
COPS7A,7861.0,COPS7A
GNB4,55388.0,GNB4
OTUB2,22942.5,OTUB2
POLR3C,20314.0,POLR3C
GK2,1941.0,GK2
TRADD,5724.0,TRADD
CILP,16713.0,CILP
MVD,11226.0,MVD
DGUOK,32135.0,DGUOK
CRTAP,33794.0,CRTAP
AL807752.6,9195.0,AL807752.6
KCNG4,21083.0,KCNG4
TBC1D15,87541.0,TBC1D15
LONRF3,43741.0,LONRF3
SALL4,20190.0,SALL4
FUT7,2836.0,FUT7
RHOG,13981.0,RHOG
SCRN3,33845.0,SCRN3
FILIP1L,284372.0,FILIP1L
CAVIN4,9827.0,CAVIN4
RBM6,160038.0,RBM6
SYVN1,12753.0,SYVN1
MARVELD1,4977.0,MARVELD1
WFDC1,34998.0,WFDC1
YTHDC1,39702.0,YTHDC1
EMC7,17845.0,EMC7
CD160,19817.0,CD160
GFRA1,216542.0,GFRA1
PARP16,66158.0,PARP16
PDZRN3,242510.0,PDZRN3
IL4R,51110.0,IL4R
KRT18,4035.0,KRT18
ASB18,69537.0,ASB18
MAGEB5,2101.0,MAGEB5
MPHOSPH8,39782.0,MPHOSPH8
PLPPR1,296417.0,PLPPR1
TMEM212,95366.0,TMEM212
GBX2,3150.0,GBX2
MTCH2,27562.0,MTCH2
CCDC172,55581.0,CCDC172
TMED7,19782.0,TMED7
GRID2,1506191.0,GRID2
ATXN3,62125.0,ATXN3
TMED7-TICAM2,47519.0,TMED7-TICAM2
RNF214,53829.0,RNF214
DDX21,28898.0,DDX21
KRT8,52767.0,KRT8
CIT,191529.0,CIT
PNLIPRP3,50110.0,PNLIPRP3
GDPD1,55503.0,GDPD1
DISP3,58396.0,DISP3
GTF3C5,27828.0,GTF3C5
TICAM2,23829.0,TICAM2
SLC45A3,22658.0,SLC45A3
SDSL,15896.0,SDSL
ZFYVE27,23786.0,ZFYVE27
KIF13B,195846.0,KIF13B
DMXL1,211366.0,DMXL1
GLE1,37588.0,GLE1
STIM1,238683.0,STIM1
CDHR1,25084.0,CDHR1
OTOGL,281342.0,OTOGL
NCR3LG1,25615.0,NCR3LG1
PDS5B,191567.0,PDS5B
SLC7A5,39484.0,SLC7A5
SDS,33856.0,SDS
FAU,1547.0,FAU
PSPC1,108267.0,PSPC1
HMGXB4,38355.0,HMGXB4
FBXL8,4638.0,FBXL8
TBC1D8B,73477.0,TBC1D8B
OR2K2,2700.0,OR2K2
TMPRSS15,216763.0,TMPRSS15
BACE1,31052.0,BACE1
ST6GAL2,85508.0,ST6GAL2
LHX5,10247.0,LHX5
CENPT,19654.0,CENPT
MRPL49,5188.0,MRPL49
SNAI3,8819.0,SNAI3
ACTR8,15086.0,ACTR8
FAM169A,89392.0,FAM169A
FBXO44,8952.0,FBXO44
SLC25A16,49525.0,SLC25A16
HSF4,5264.0,HSF4
PNLIP,21924.0,PNLIP
PKD1L3,70440.0,PKD1L3
SYNPR,388609.0,SYNPR
CELSR2,26212.0,CELSR2
MPZL3,25675.0,MPZL3
CR2,35665.0,CR2
AL022312.1,212.0,AL022312.1
ZNF821,35656.0,ZNF821
MIEF1,18700.0,MIEF1
TBC1D30,100516.0,TBC1D30
CLDN2,30697.0,CLDN2
SELENOK,7545.0,SELENOK
KIF1BP,54823.0,KIF1BP
RIPPLY1,3278.0,RIPPLY1
FN3K,15581.0,FN3K
RNF41,19758.0,RNF41
MORC4,186341.0,MORC4
FNDC3B,362091.0,FNDC3B
KLF5,22565.0,KLF5
CAPSL,34491.0,CAPSL
AL772284.2,3147.0,AL772284.2
PTPRQ,278093.0,PTPRQ
FBXO2,18767.0,FBXO2
ZFAND6,78825.0,ZFAND6
GFM2,45941.0,GFM2
GLT1D1,131541.0,GLT1D1
SNTN,26352.0,SNTN
PICALM,112707.0,PICALM
PABPC4L,5456.0,PABPC4L
CPNE9,26082.0,CPNE9
SFRP5,5248.0,SFRP5
PGBD4,6603.0,PGBD4
SIX4,14812.0,SIX4
POLH,39510.0,POLH
CA5A,55034.0,CA5A
LAMB2,12004.0,LAMB2
RTL1,23969.0,RTL1
KCNJ11,3472.0,KCNJ11
DRD3,70755.0,DRD3
TAF8,36948.0,TAF8
PLSCR5,29661.0,PLSCR5
DEFB103A,1302.25,DEFB103A
SEC61A2,40324.0,SEC61A2
MYF6,1840.0,MYF6
LAMTOR1,17402.0,LAMTOR1
CHAMP1,23144.0,CHAMP1
C3orf49,29274.0,C3orf49
MYF5,2759.0,MYF5
GMNN,11168.0,GMNN
ADD3,139197.0,ADD3
DEFB4A,2080.0,DEFB4A
TET1,134150.0,TET1
SYF2,10226.0,SYF2
CACNA2D3,952010.0,CACNA2D3
P3H2,165709.0,P3H2
AC074143.2,2430.0,AC074143.2
LAIR1,17772.40759493671,LAIR1
ZNF705B,13905.333333333336,ZNF705B
THOC7,29998.0,THOC7
GTPBP2,23948.0,GTPBP2
PNPLA5,12335.0,PNPLA5
ATF4,2990.0,ATF4
SEMA3F,34030.0,SEMA3F
GRK3,164619.0,GRK3
BICDL1,104625.0,BICDL1
B3GAT1,33738.0,B3GAT1
ADGRA1,60746.0,ADGRA1
HSPE1,3309.0,HSPE1
MAP2K7,10635.0,MAP2K7
TSHZ1,79195.0,TSHZ1
IL18BP,7174.0,IL18BP
PNLIPRP1,18790.0,PNLIPRP1
GPR20,10767.0,GPR20
STYX,44823.0,STYX
ATXN7,115841.68131868132,ATXN7
ZNF80,2947.0,ZNF80
PTP4A3,43860.27272727273,PTP4A3
HSPD1,30153.0,HSPD1
SYNPO2,210559.0,SYNPO2
IGDCC3,50875.0,IGDCC3
MAG,21682.0,MAG
RTL5,4791.0,RTL5
MTMR14,52960.0,MTMR14
RAB35,22403.0,RAB35
RNF166,9926.0,RNF166
USP17L3,1592.0,USP17L3
WIF1,70679.0,WIF1
NHSL2,250932.0,NHSL2
NDUFAF5,36573.0,NDUFAF5
PRDM12,18387.0,PRDM12
USP17L8,1592.0,USP17L8
TMEM132D,832300.0,TMEM132D
ZIC1,116871.0,ZIC1
HEXB,82624.0,HEXB
ZNF487,46340.0,ZNF487
LRIT2,5094.0,LRIT2
KCNN3,172826.0,KCNN3
RBM19,149587.0,RBM19
KIAA1210,71944.0,KIAA1210
ZIC4,20814.0,ZIC4
GIN1,34138.0,GIN1
NUTF2,25644.0,NUTF2
PGR,100900.0,PGR
GRIK4,477204.0,GRIK4
XCR1,10718.0,XCR1
SMIM21,18227.0,SMIM21
CLDN1,16739.0,CLDN1
CNTN3,258572.0,CNTN3
DIRAS2,33030.0,DIRAS2
CA1,51406.0,CA1
CRTAC1,165828.0,CRTAC1
MOB4,38128.0,MOB4
CLDN16,89602.0,CLDN16
PGRMC1,8221.0,PGRMC1
ARID2,178334.0,ARID2
ANAPC15,6402.0,ANAPC15
CCR3,103102.0,CCR3
THAP11,2113.0,THAP11
IGDCC4,41463.0,IGDCC4
UQCC1,109465.0,UQCC1
ACTL6A,25521.0,ACTL6A
ITGA5,24005.0,ITGA5
RBM5,30113.0,RBM5
TMEM207,21221.0,TMEM207
TSNAXIP1,25383.0,TSNAXIP1
LRIT1,9868.0,LRIT1
CCR1,6602.0,CCR1
GLCE,111633.0,GLCE
LRTM1,48857.0,LRTM1
RGR,29294.0,RGR
ZNF239,18274.0,ZNF239
DARS2,34155.0,DARS2
ENC1,14018.0,ENC1
SLC25A43,55142.0,SLC25A43
FZD10,3281.0,FZD10
PPP4R3C,3130.0,PPP4R3C
TRPS1,401177.0,TRPS1
CD22,28100.0,CD22
KNDC1,66193.0,KNDC1
NSA2,13122.0,NSA2
ZNF485,11485.0,ZNF485
GOLGA7B,21737.0,GOLGA7B
NUDT5,30814.0,NUDT5
ANKRD29,63985.0,ANKRD29
TMEM38A,28884.0,TMEM38A
PIWIL1,34738.99206349206,PIWIL1
SAMM50,55089.0,SAMM50
TIGIT,33375.0,TIGIT
CCR2,7194.0,CCR2
ZNF385A,22165.0,ZNF385A
RPS19BP1,3668.0,RPS19BP1
SLC25A5,2974.0,SLC25A5
SLC17A6,41406.0,SLC17A6
LRP1,84858.0,LRP1
CCR5,5352.0,CCR5
SCFD1,113700.0,SCFD1
UTF1,1341.0,UTF1
VENTX,4073.0,VENTX
METTL21C,8760.0,METTL21C
GHSR,3323.0,GHSR
ZNF32,5021.0,ZNF32
CCDC168,29701.0,CCDC168
FTSJ3,10579.0,FTSJ3
SFPQ,16767.0,SFPQ
PARVB,173738.0,PARVB
TNFSF10,17967.0,TNFSF10
UBN2,77880.0,UBN2
CD46,43456.0,CD46
CCRL2,5831.0,CCRL2
C17orf100,41484.0,C17orf100
HSPE1-MOB4,50313.0,HSPE1-MOB4
ZFP64,152645.0,ZFP64
CDC123,54624.0,CDC123
ZBTB20,832770.0,ZBTB20
CACNG7,34606.0,CACNG7
PMVK,11979.0,PMVK
PPP1R21,74793.0,PPP1R21
SLC13A5,28854.0,SLC13A5
RSRP1,95964.0,RSRP1
MRPL47,16369.0,MRPL47
NABP2,7839.0,NABP2
YPEL2,70074.0,YPEL2
GTSF1,17652.0,GTSF1
AP000812.5,30005.0,AP000812.5
PSMC5,4874.0,PSMC5
NCEH1,80969.0,NCEH1
IL1RAP,145699.0,IL1RAP
AQP10,4235.0,AQP10
KBTBD12,72439.0,KBTBD12
AP2S1,12856.0,AP2S1
SYCP3,10824.0,SYCP3
CA3,75604.0,CA3
XRCC5,98839.0,XRCC5
GPR84,2042.0,GPR84
RUVBL1,92589.5,RUVBL1
STAT6,36731.0,STAT6
CA13,63486.0,CA13
PNPLA3,40749.0,PNPLA3
GNG4,103069.0,GNG4
RHD,58052.0,RHD
EXOSC2,11173.0,EXOSC2
TBX5,54511.0,TBX5
CHPT1,47193.0,CHPT1
GCN1,67513.0,GCN1
CLEC6A,22404.0,CLEC6A
SUSD5,68767.0,SUSD5
PTTG2,730.0,PTTG2
CA2,17525.0,CA2
TOM1,48717.0,TOM1
KLHL7,72156.0,KLHL7
TBC1D1,248091.0,TBC1D1
ANGPT2,63758.0,ANGPT2
PSMD6,13461.0,PSMD6
AC124319.1,137920.0,AC124319.1
ENTPD2,5954.0,ENTPD2
C6orf132,41501.0,C6orf132
SEC61A1,20042.0,SEC61A1
SYK,96762.0,SYK
NOTCH3,41957.0,NOTCH3
CINP,21814.0,CINP
TWF1,12652.0,TWF1
KDM5C,34101.0,KDM5C
AGTR1,45224.0,AGTR1
RDM1,12707.0,RDM1
LEMD3,78772.0,LEMD3
HTR5A,17068.0,HTR5A
PPFIA2,501578.0,PPFIA2
ZNF839,25325.0,ZNF839
TNS2,17403.0,TNS2
PAPOLA,65678.0,PAPOLA
KL,49720.0,KL
MGLL,363128.0,MGLL
PCDH18,13576.0,PCDH18
MMACHC,13082.0,MMACHC
PILRA,32566.0,PILRA
TBX3,13920.0,TBX3
NDUFB5,22957.0,NDUFB5
SLC38A6,102619.0,SLC38A6
SAPCD2,8430.0,SAPCD2
PRDX1,12011.0,PRDX1
SLC35A2,8778.0,SLC35A2
ADAM8,14448.0,ADAM8
AC138647.1,4099.0,AC138647.1
AGBL2,55798.0,AGBL2
MCPH1,241912.0,MCPH1
FANCA,79108.0,FANCA
TMEM245,104812.0,TMEM245
GPR155,55523.0,GPR155
CACNG8,27175.0,CACNG8
GMNC,39552.0,GMNC
C8orf33,14220.0,C8orf33
RIPOR2,237888.0,RIPOR2
MPZL2,11120.0,MPZL2
PRAG1,68762.0,PRAG1
FRRS1L,37002.0,FRRS1L
FRMD8,26904.0,FRMD8
SPDYE3,14494.0,SPDYE3
RIMBP2,320144.0,RIMBP2
ENDOV,22921.0,ENDOV
EEFSEC,255176.5,EEFSEC
NLE1,13574.0,NLE1
CLEC4D,12891.0,CLEC4D
ZNF768,2817.0,ZNF768
KLF12,308967.0,KLF12
MARCH4,114618.0,MARCH4
TMEM117,553795.0,TMEM117
CACNG6,20381.0,CACNG6
AC002310.4,8929.0,AC002310.4
ZNF747,4980.0,ZNF747
OR5T2,2499.5,OR5T2
CLEC4E,7658.0,CLEC4E
GUCA1A,24643.0,GUCA1A
ECT2,70792.0,ECT2
OR5T3,1022.0,OR5T3
ATP8B2,25751.0,ATP8B2
OR5T1,2328.0,OR5T1
PILRB,15557.0,PILRB
OR8H1,2758.875,OR8H1
TPH2,247773.0,TPH2
RPLP0,4536.0,RPLP0
AL096814.1,8013.0,AL096814.1
TMEM182,282995.0,TMEM182
OSTN,66374.0,OSTN
AL096814.2,24650.0,AL096814.2
UAP1L1,7022.0,UAP1L1
ANKRD52,20577.0,ANKRD52
EPB41L4B,148989.0,EPB41L4B
SCN10A,119484.0,SCN10A
NABP1,18591.0,NABP1
EPHX3,6516.0,EPHX3
ATOH1,2211.0,ATOH1
TRHDE,583491.0,TRHDE
TRMT5,9907.0,TRMT5
CD3E,11630.0,CD3E
UTS2B,63368.0,UTS2B
MNAT1,235223.0,MNAT1
R3HCC1L,110273.0,R3HCC1L
SLC39A5,7797.0,SLC39A5
CENPL,25170.0,CENPL
CPA3,31907.0,CPA3
RBM41,54403.0,RBM41
FNDC8,9117.0,FNDC8
IL6R,64257.0,IL6R
RPL37A,80991.0,RPL37A
TNFAIP8,130996.0,TNFAIP8
CPB1,69085.0,CPB1
CCDC50,69574.0,CCDC50
ZBTB37,35467.0,ZBTB37
SLC44A2,42100.0,SLC44A2
GUCA1B,11672.0,GUCA1B
PSRC1,3630.0,PSRC1
IBTK,77768.0,IBTK
ARHGAP35,86401.0,ARHGAP35
MRPS10,11054.0,MRPS10
ZNF880,15878.0,ZNF880
TMPRSS11E,50146.0,TMPRSS11E
LOXL4,20504.0,LOXL4
MYOZ2,52005.0,MYOZ2
BANP,128074.0,BANP
SMARCAL1,70639.0,SMARCAL1
FNBP4,50926.0,FNBP4
ABL1,173729.0,ABL1
STX2,49666.0,STX2
SLC10A6,25795.0,SLC10A6
ST8SIA6,139174.0,ST8SIA6
PTBP2,102073.0,PTBP2
AL512428.1,12425.0,AL512428.1
PSMB5,18687.0,PSMB5
ARMH2,1568.0,ARMH2
USP53,82930.0,USP53
TEX30,7923.0,TEX30
MSRB2,26434.0,MSRB2
GNPTAB,85460.0,GNPTAB
ZNF276,20525.0,ZNF276
NPIPA7,14899.0,NPIPA7
GAP43,98166.0,GAP43
UGT2B15,24037.0,UGT2B15
BRD4,97026.0,BRD4
ARMC3,110499.0,ARMC3
PSMB11,1164.0,PSMB11
GABRG2,162920.0,GABRG2
PAQR5,108833.0,PAQR5
POGK,16897.0,POGK
UGT2B10,15616.0,UGT2B10
DNAJB8,4809.0,DNAJB8
EIF4B,36051.0,EIF4B
AQP12B,6488.0,AQP12B
PIAS3,11314.0,PIAS3
ATXN7L3B,7603.0,ATXN7L3B
CCSER2,189935.0,CCSER2
ACADL,38321.0,ACADL
PYDC2,293.0,PYDC2
AC027237.1,34181.0,AC027237.1
MORN2,53110.0,MORN2
GNPNAT1,16475.0,GNPNAT1
GATA2,13758.0,GATA2
CLDN23,2168.0,CLDN23
VPS9D1,13764.0,VPS9D1
GAS2,187546.0,GAS2
NKAIN3,751061.0,NKAIN3
MSRB3,212787.0,MSRB3
HACD1,28342.0,HACD1
CAVIN2,12778.0,CAVIN2
ZNF511-PRAP1,43119.0,ZNF511-PRAP1
FGF12,628369.0,FGF12
CALY,12863.0,CALY
CDK11A,21978.0,CDK11A
TMEFF2,245890.0,TMEFF2
ARHGEF33,85608.0,ARHGEF33
THEMIS,210545.87719298247,THEMIS
C10orf142,2080.0,C10orf142
UBE2F-SCLY,132398.0,UBE2F-SCLY
PRAP1,5315.0,PRAP1
DLEC1,84820.0,DLEC1
NUDT17,3324.0,NUDT17
DHX40,42787.0,DHX40
CCDC184,2342.0,CCDC184
AQP12A,6638.0,AQP12A
ETNK1,65590.0,ETNK1
TGFBR3L,2952.0,TGFBR3L
UBE2F,75955.0,UBE2F
STARD13,247493.0,STARD13
SLC7A11,78252.0,SLC7A11
TUBGCP2,33707.0,TUBGCP2
LUC7L2,83098.0,LUC7L2
NAB2,6433.0,NAB2
USP13,136361.0,USP13
MB21D2,121041.0,MB21D2
UGT2A3,23334.5,UGT2A3
VIRMA,65840.0,VIRMA
KCNC2,169791.0,KCNC2
MRO,30282.0,MRO
EZH2,76938.0,EZH2
FANCF,2951.0,FANCF
TSNARE1,191102.0,TSNARE1
NUP62CL,83006.0,NUP62CL
CXCL12,16328.0,CXCL12
SPATA16,251878.0,SPATA16
PTPN3,122847.0,PTPN3
KAT6A,122515.0,KAT6A
FMC1-LUC7L2,81239.0,FMC1-LUC7L2
IMPDH1,17975.0,IMPDH1
DUSP4,17620.0,DUSP4
FMC1,6871.0,FMC1
MYOF,175905.0,MYOF
MSH5,20695.37971872687,MSH5
ACAA1,34113.0,ACAA1
AC093827.5,49706.0,AC093827.5
ATP13A5,104053.0,ATP13A5
ZNF511,4248.0,ZNF511
MMEL1,42362.5,MMEL1
QRFP,4110.0,QRFP
AFF1,206052.0,AFF1
SPRYD3,15088.0,SPRYD3
RPN1,61106.0,RPN1
LTF,49589.0,LTF
OR10AD1,1304.0,OR10AD1
IQCA1,183388.0,IQCA1
MED13L,323847.0,MED13L
AC073082.1,123433.0,AC073082.1
LHCGR,68956.0,LHCGR
PLAAT1,36613.0,PLAAT1
DRAM1,134550.0,DRAM1
MED15,91719.0,MED15
PHKG1,12713.0,PHKG1
OR8K1,1022.5,OR8K1
FERMT2,95167.0,FERMT2
ATP13A4,194144.0,ATP13A4
INSIG1,12459.0,INSIG1
PXN,55332.0,PXN
RPS6KC1,223541.0,RPS6KC1
PYROXD2,31617.0,PYROXD2
C4orf36,16217.0,C4orf36
GYG1,36327.0,GYG1
EGFR,192611.0,EGFR
TTC34,165928.25806451612,TTC34
GTF2A1L,115350.0,GTF2A1L
DCAF5,102269.0,DCAF5
FIBCD1,36848.0,FIBCD1
PRXL2B,4978.0,PRXL2B
TADA1,19754.0,TADA1
MAN1B1,22198.0,MAN1B1
ACSS3,324796.0,ACSS3
GLIPR1L1,35921.0,GLIPR1L1
CXorf56,27259.0,CXorf56
SLC35E2A,21161.0,SLC35E2A
EIF3H,124795.0,EIF3H
CCAR1,71365.0,CCAR1
ICA1,149503.0,ICA1
SUMF2,16668.0,SUMF2
PRICKLE2,353240.0,PRICKLE2
IFI27L1,22554.5,IFI27L1
UGT3A1,50018.0,UGT3A1
CAPS2,114949.0,CAPS2
RNF133,1444.0,RNF133
MOG,15384.350326797388,MOG
CEL,9883.0,CEL
RAD21,28931.0,RAD21
RAN,5641.0,RAN
STON1-GTF2A1L,246592.0,STON1-GTF2A1L
DCAF8L2,158439.0,DCAF8L2
RNF148,1254.0,RNF148
PHOSPHO1,7404.0,PHOSPHO1
CADPS2,568348.0,CADPS2
WIPF1,123344.0,WIPF1
KATNBL1,69422.0,KATNBL1
BRINP1,215977.0,BRINP1
SRGN,16702.0,SRGN
AICDA,10697.0,AICDA
LYST,222599.0,LYST
WASHC3,49222.0,WASHC3
TBC1D23,64259.0,TBC1D23
LIN7A,145405.0,LIN7A
H1FNT,1299.0,H1FNT
STON1,69130.0,STON1
LSAMP,1337026.0,LSAMP
ECPAS,124053.0,ECPAS
ACKR3,14567.0,ACKR3
NLGN1,890360.0,NLGN1
ANKRD20A4,43748.0,ANKRD20A4
NWD1,97987.0,NWD1
OR8J1,6195.5,OR8J1
MAGEB10,15024.0,MAGEB10
