Genes,Average_GC,Norm_Symbol
PDLIM5,36.88999999999999,PDLIM5
HGS,60.60000000000001,HGS
ADAP2,48.03,ADAP2
SDCCAG8,39.81,SDCCAG8
CEACAM19,47.31,CEACAM19
OSTC,39.57,OSTC
SLC5A8,38.290000000000006,SLC5A8
NOS1,47.35,NOS1
BCL10,39.27,BCL10
GOLGA6L9,47.47,GOLGA6L9
B3GALNT2,40.22,B3GALNT2
ZDHHC23,43.72,ZDHHC23
SHC3,42.72,SHC3
TUBB2A,56.17,TUBB2A
RADIL,53.13,RADIL
BPIFB6,50.97,BPIFB6
ME2,38.57999999999999,ME2
BTN3A3,44.07,BTN3A3
COL28A1,38.55,COL28A1
CD101,42.66,CD101
TMEM273,47.39,TMEM273
SVEP1,37.88,SVEP1
TMEM156,39.0,TMEM156
DHX8,47.76,DHX8
SMIM6,55.57,SMIM6
AC010646.1,57.69,AC010646.1
CLEC2L,50.4,CLEC2L
CPTP,65.25,CPTP
MRPS7,50.48,MRPS7
ITLN2,48.23,ITLN2
AC092442.1,49.17,AC092442.1
CYP1B1,44.41,CYP1B1
VGLL1,43.63,VGLL1
OR4E1,39.62,OR4E1
UBL4B,57.31,UBL4B
CPNE2,54.03,CPNE2
ASCC3,34.11,ASCC3
PDE7A,37.7,PDE7A
TSPAN19,34.17,TSPAN19
ZNF524,62.18,ZNF524
C14orf180,62.78,C14orf180
DPH3,40.33,DPH3
CDK12,44.39,CDK12
MAP3K14,49.97,MAP3K14
RAD51AP1,36.4,RAD51AP1
DCAF17,37.36,DCAF17
EIF4H,45.4,EIF4H
PTF1A,60.38,PTF1A
TANC2,37.68,TANC2
CHRM3,38.67,CHRM3
APLP1,57.02,APLP1
C5orf58,40.02,C5orf58
TUBB,52.9925,TUBB
SDHAF2,45.09,SDHAF2
GGA2,47.76,GGA2
DALRD3,60.06,DALRD3
SRPRA,49.57,SRPRA
KCTD19,47.44,KCTD19
PTDSS1,43.71,PTDSS1
PRIMPOL,41.26,PRIMPOL
PXDC1,52.63,PXDC1
ID2,49.24,ID2
MYO7B,51.02,MYO7B
ATG16L1,45.33000000000001,ATG16L1
NDUFAF6,42.88,NDUFAF6
RPL41,46.23,RPL41
TMC2,42.82,TMC2
PINLYP,51.83,PINLYP
CELSR2,60.19,CELSR2
BTBD16,45.42,BTBD16
RAPGEF6,37.88,RAPGEF6
NCR3LG1,44.5,NCR3LG1
MTERF3,38.81,MTERF3
SP4,38.35,SP4
ZC3HAV1L,46.53,ZC3HAV1L
FAM193A,45.62,FAM193A
OTUD6B,34.94,OTUD6B
MYL12B,40.76,MYL12B
MBNL2,40.24,MBNL2
HIST2H3PS2,43.01,HIST2H3PS2
ANGPT4,50.62,ANGPT4
KANSL3,44.51,KANSL3
AUTS2,41.07,AUTS2
XPNPEP3,41.48,XPNPEP3
DISC1,42.18,DISC1
CR1L,40.5,CR1L
ACOT9,44.6,ACOT9
KTI12,55.37,KTI12
MAOA,40.27,MAOA
WDSUB1,39.11,WDSUB1
KLF8,38.82,KLF8
AL133414.3,49.32,AL133414.3
TLR9,60.76,TLR9
N4BP2L2,39.02,N4BP2L2
SEC61A2,43.14,SEC61A2
RNF44,60.08,RNF44
LAMB2,57.34,LAMB2
SYCE2,50.06,SYCE2
VIM,46.3,VIM
BMPR2,41.15,BMPR2
TRIM64,39.06,TRIM64
ZBTB8A,43.45,ZBTB8A
SLC17A5,42.17,SLC17A5
IRF2BP1,68.55,IRF2BP1
AC011476.9,50.12,AC011476.9
CTSK,42.94,CTSK
RPF1,37.21,RPF1
AC107871.1,50.05,AC107871.1
TAFA3,50.43,TAFA3
PAK4,56.17,PAK4
FBXO45,41.25,FBXO45
STOML3,38.23,STOML3
SBF1,60.68,SBF1
LAYN,44.3,LAYN
CCT7,46.07,CCT7
OR9K2,34.18,OR9K2
HAUS2,42.07999999999999,HAUS2
FAM76A,43.35000000000001,FAM76A
ANKRD39,51.5,ANKRD39
SKOR1,60.16,SKOR1
RNASEL,41.52,RNASEL
ITPRID1,38.14,ITPRID1
A2M,37.18,A2M
TRIM10,45.77125,TRIM10
OPN1MW3,53.18,OPN1MW3
KCNK10,43.94,KCNK10
GADD45GIP1,54.98,GADD45GIP1
CTRC,51.84,CTRC
RGS13,35.72,RGS13
GNG4,48.07,GNG4
HIST2H2AA3,61.75,HIST2H2AA3
ARHGAP25,41.82999999999999,ARHGAP25
ZNF577,41.0,ZNF577
ARMC12,46.92,ARMC12
KPRP,56.06,KPRP
ARHGAP11A,37.82272727272728,ARHGAP11A
PTCD2,40.38,PTCD2
GRM1,37.18,GRM1
MYOM2,46.615,MYOM2
EXOC3L2,52.63,EXOC3L2
RTN3,42.12,RTN3
FSCN3,48.27,FSCN3
VASH2,48.23,VASH2
CA8,39.03,CA8
GNAO1,49.46,GNAO1
SLC2A5,47.92,SLC2A5
ZSWIM6,38.18,ZSWIM6
ACP6,43.65,ACP6
RIT2,35.68,RIT2
AL031777.3,47.53,AL031777.3
SLC44A1,38.86,SLC44A1
HSFX4,43.76,HSFX4
ITM2A,36.96,ITM2A
COX6A2,72.38,COX6A2
P2RY8,48.23,P2RY8
AC099489.1,50.71,AC099489.1
ZFHX3,43.39000000000001,ZFHX3
NHLH2,46.33000000000001,NHLH2
CX3CR1,46.15,CX3CR1
ITGA5,52.45,ITGA5
SART1,55.2,SART1
MLST8,61.92999999999999,MLST8
CCDC127,51.76,CCDC127
SVIL,43.61,SVIL
AC092718.3,43.9,AC092718.3
NAA11,38.11,NAA11
ZFP36L2,55.93,ZFP36L2
SH3D21,54.09,SH3D21
ABHD2,44.01,ABHD2
ACBD4,54.45,ACBD4
KHDRBS1,43.61,KHDRBS1
ZNF267,38.78,ZNF267
MEGF10,38.94,MEGF10
CMTR2,39.60888888888889,CMTR2
EN1,58.19,EN1
PDE10A,40.96,PDE10A
RPS18,46.730769230769226,RPS18
TBXAS1,44.8,TBXAS1
H2AFY,47.07,H2AFY
GDPD1,40.88,GDPD1
TATDN2,46.98,TATDN2
RNASEK-C17orf49,57.47,RNASEK-C17orf49
PATE4,40.33,PATE4
PTTG1,39.32,PTTG1
TMEM9B,42.66,TMEM9B
SCUBE3,49.96,SCUBE3
MMGT1,39.98,MMGT1
YY1,45.55,YY1
ZNF704,40.26,ZNF704
PSMD3,49.73,PSMD3
RENBP,55.76,RENBP
PIK3CA,35.78,PIK3CA
OR2T12,36.92,OR2T12
CCL17,53.49,CCL17
SLC3A2,48.27,SLC3A2
LRRTM2,38.26,LRRTM2
AC141272.1,54.51,AC141272.1
C6orf15,57.69166666666666,C6orf15
SLC44A5,36.99,SLC44A5
TCTEX1D2,45.15,TCTEX1D2
MYH6,53.35,MYH6
DPCD,50.18,DPCD
PTPRB,39.77,PTPRB
ITGA8,39.98,ITGA8
PPIL6,42.9,PPIL6
MTO1,42.61,MTO1
ZNF724,40.39,ZNF724
F2R,42.64,F2R
SEMA4D,51.34000000000002,SEMA4D
ELOA3,64.78,ELOA3
TCEAL6,58.24,TCEAL6
ICAM5,64.04,ICAM5
TRIM36,40.18,TRIM36
OR9G9,47.93,OR9G9
XAGE1B,42.82,XAGE1B
SURF6,52.81,SURF6
LAMA5,61.89,LAMA5
Z84492.2,56.45,Z84492.2
OAT,42.49,OAT
CFAP70,39.86,CFAP70
FCSK,55.18,FCSK
RASAL2,36.99,RASAL2
TMEM167B,43.73,TMEM167B
TBC1D30,41.44,TBC1D30
FAM240C,60.03,FAM240C
ACOT13,41.43,ACOT13
THOC7,39.87,THOC7
YLPM1,39.69,YLPM1
MUTYH,51.03,MUTYH
CT476828.16,73.35,CT476828.16
PLAAT2,47.86,PLAAT2
SMTN,54.79,SMTN
P2RX1,55.64,P2RX1
ABHD4,48.25,ABHD4
SNTB2,58.98500000000001,SNTB2
RPL38,48.98,RPL38
SRGN,42.48,SRGN
RCHY1,34.99,RCHY1
GOT1L1,48.9,GOT1L1
ZNF300,36.58,ZNF300
CD151,63.30999999999998,CD151
FAM174B,44.69,FAM174B
EPX,51.82,EPX
P2RY13,37.46,P2RY13
FRZB,36.55,FRZB
MRPL50,35.68,MRPL50
COQ8B,52.65999999999999,COQ8B
C4orf17,37.58,C4orf17
MAP4K5,37.27,MAP4K5
AJUBA,52.84000000000002,AJUBA
CPSF1,59.96,CPSF1
PODXL,50.47,PODXL
ZNF699,42.77,ZNF699
TAS2R40,47.56,TAS2R40
CCDC8,59.3,CCDC8
ORAI3,54.21,ORAI3
SLC30A7,35.85,SLC30A7
FEZF1,49.07,FEZF1
CLEC2A,38.73,CLEC2A
EFCAB1,40.09,EFCAB1
IL3,49.74,IL3
LPIN2,41.63,LPIN2
KRTAP4-4,54.76,KRTAP4-4
SMIM32,67.01,SMIM32
PWP1,40.53,PWP1
MED4,40.77,MED4
NGFR,56.75,NGFR
SPEN,43.04,SPEN
TMEM265,49.78,TMEM265
NGF,43.8,NGF
IZUMO3,40.17,IZUMO3
CAMK2N1,57.49,CAMK2N1
WASHC5,40.13,WASHC5
NBEAL1,37.7,NBEAL1
BHLHE23,73.85,BHLHE23
C17orf78,42.975,C17orf78
C11orf16,49.88,C11orf16
ADAT1,44.65,ADAT1
CCDC87,55.16,CCDC87
PAX7,52.35999999999999,PAX7
RAN,44.77,RAN
SYN3,45.93,SYN3
ENAM,38.31,ENAM
OR4X2,48.49,OR4X2
TMPRSS7,39.94,TMPRSS7
TGOLN2,47.55,TGOLN2
LDB2,40.2,LDB2
NUBP1,50.62,NUBP1
NUDT10,46.89,NUDT10
PLCH1,39.53,PLCH1
TMEM56,38.99,TMEM56
ZC3H18,51.75,ZC3H18
C16orf74,53.1,C16orf74
CCNYL1,41.55,CCNYL1
PRY,41.46,PRY
CDC37L1,36.8,CDC37L1
CYB5A,44.27,CYB5A
FHDC1,44.96,FHDC1
VTA1,35.53,VTA1
NKX2-1,62.3,NKX2-1
REXO4,51.72,REXO4
TAS2R13,35.92,TAS2R13
SHB,51.0,SHB
ESRRG,38.06,ESRRG
ZNF793,42.72,ZNF793
INHBB,56.09,INHBB
LMO4,41.87,LMO4
HK2,47.62,HK2
TCTE1,50.79,TCTE1
HIST1H2AI,59.64,HIST1H2AI
SCRT1,66.53,SCRT1
CARNMT1,37.56,CARNMT1
NR3C2,38.42,NR3C2
MYSM1,37.78,MYSM1
TMEM184C,38.71,TMEM184C
CACNG6,49.52,CACNG6
IGSF3,46.14,IGSF3
TCEAL9,43.77,TCEAL9
C6,36.68,C6
AK4,42.62,AK4
XPC,45.2,XPC
CST7,56.39,CST7
RTP3,51.7,RTP3
AC092824.3,49.19,AC092824.3
FKBP10,56.17999999999999,FKBP10
KRT40,41.71,KRT40
THG1L,42.92,THG1L
CENPJ,41.37,CENPJ
MAS1,44.8,MAS1
ZNF630,43.63999999999999,ZNF630
CENPW,35.46,CENPW
CCND2,49.13,CCND2
UBB,51.44,UBB
AFMID,51.08,AFMID
METTL21A,40.89999999999999,METTL21A
FAIM,40.46,FAIM
FAM156A,46.56,FAM156A
MTLN,40.57,MTLN
RAB44,50.19,RAB44
GSKIP,38.94,GSKIP
MAPKAPK5,43.64,MAPKAPK5
GALNT14,46.29,GALNT14
RHOQ,43.97,RHOQ
TTC21A,49.23,TTC21A
C18orf21,41.17000000000001,C18orf21
OR51G2,41.19,OR51G2
ZBTB7B,60.41,ZBTB7B
SUDS3,44.37,SUDS3
HLA-DPA1,42.75205128205128,HLA-DPA1
C19orf47,50.5,C19orf47
AC011476.5,50.12,AC011476.5
COL4A5,35.75,COL4A5
BMP15,44.63,BMP15
CEP70,39.55,CEP70
FMN2,39.28,FMN2
TFAP2E,52.56,TFAP2E
NEO1,38.73,NEO1
KLRD1,37.43,KLRD1
GADD45G,66.26,GADD45G
LSM2,48.11833333333334,LSM2
ARHGAP31,43.44,ARHGAP31
LINC00514,61.3,LINC00514
TMEM139,47.5,TMEM139
PLPPR3,67.64285714285715,PLPPR3
CD7,65.78,CD7
LAX1,46.18,LAX1
MC3R,56.64,MC3R
SFTA3,40.89,SFTA3
CYP4F8,47.79,CYP4F8
NKRF,42.93,NKRF
AC008770.4,45.28,AC008770.4
DOK2,60.15,DOK2
RNASEH1,44.2,RNASEH1
TEX2,43.57999999999999,TEX2
SMURF1,42.72,SMURF1
POR,50.98,POR
WIZ,58.15999999999998,WIZ
STX3,43.38999999999999,STX3
MYD88,54.38999999999999,MYD88
TENT2,36.28,TENT2
CITED1,56.77,CITED1
KRTAP5-10,59.52,KRTAP5-10
MTMR8,38.96,MTMR8
H2AFV,41.41,H2AFV
SMYD5,50.95000000000001,SMYD5
CD180,42.96,CD180
INSM2,57.49,INSM2
VAMP5,52.19,VAMP5
AEBP2,40.32999999999999,AEBP2
THSD1,43.26,THSD1
DPH1,56.54,DPH1
TMEM275,51.39,TMEM275
ISG20L2,50.3,ISG20L2
TH,65.25,TH
PLA2G2F,56.01,PLA2G2F
AGAP4,41.11,AGAP4
DRD5,58.24,DRD5
MAML3,41.6,MAML3
TPP2,37.69,TPP2
EZHIP,60.81,EZHIP
TRIM52,43.45,TRIM52
LMNTD2,67.02499999999999,LMNTD2
GPR25,72.71,GPR25
OSBPL10,42.45,OSBPL10
DYRK1B,57.16999999999998,DYRK1B
AKAP3,38.99,AKAP3
DPH7,52.78,DPH7
KRTAP11-1,53.18,KRTAP11-1
AGL,36.33,AGL
ITPR2,38.26,ITPR2
PCYOX1L,50.1,PCYOX1L
MZT2A,51.73,MZT2A
ROR2,44.96,ROR2
C14orf178,42.44,C14orf178
TARS2,48.52,TARS2
CCDC149,43.48,CCDC149
ARHGAP4,58.13999999999999,ARHGAP4
SOGA3,39.44,SOGA3
KLF1,61.59,KLF1
TMEM117,37.35,TMEM117
CHD6,41.09,CHD6
NCKAP1,35.82,NCKAP1
TOMM7,41.61,TOMM7
AC138894.1,48.12,AC138894.1
TRIM43,39.6,TRIM43
RRM2B,37.99,RRM2B
CCDC160,40.28,CCDC160
RPS6KA5,38.79,RPS6KA5
RASGEF1B,39.05,RASGEF1B
TCTEX1D1,37.26,TCTEX1D1
TEX36,42.63,TEX36
ITLN1,47.47,ITLN1
PRR35,68.26,PRR35
PLA2G4D,51.47,PLA2G4D
CBLN3,60.48,CBLN3
CEACAM8,44.38,CEACAM8
PMP22,45.52,PMP22
TRRAP,46.32,TRRAP
FKBP4,51.53,FKBP4
ARRB1,52.02,ARRB1
SHQ1,39.56,SHQ1
DLX4,59.0,DLX4
WDR12,39.21,WDR12
RASA3,56.8,RASA3
ZNF576,50.29,ZNF576
LDOC1,38.91,LDOC1
DEFB112,35.14,DEFB112
RPEL1,39.58,RPEL1
LSAMP,37.2,LSAMP
ZNF528,43.66,ZNF528
NAIF1,54.62,NAIF1
TRPV1,52.60000000000001,TRPV1
LRIG3,39.12,LRIG3
NPEPPS,41.25,NPEPPS
KLK2,48.07,KLK2
SPRR1B,42.64,SPRR1B
REG1A,44.65,REG1A
RHPN1,64.97,RHPN1
NDUFB9,45.43,NDUFB9
RELN,37.49,RELN
SLC9A2,40.47,SLC9A2
P3H3,56.25,P3H3
TMEM56-RWDD3,39.33,TMEM56-RWDD3
SCAF8,37.66,SCAF8
CNNM2,42.59,CNNM2
CYP19A1,44.07000000000001,CYP19A1
PROK2,39.37,PROK2
CEACAM16,54.2,CEACAM16
C16orf70,47.85,C16orf70
ITGA9,44.64000000000001,ITGA9
FAM236C,59.47,FAM236C
AGPAT4,45.36,AGPAT4
HIST1H2BO,59.32,HIST1H2BO
USP17L19,51.64,USP17L19
SCYGR7,67.01,SCYGR7
MAFIP,45.64,MAFIP
SUMO1,41.66,SUMO1
ADAMTSL3,39.81,ADAMTSL3
TBCEL,36.59,TBCEL
MARCH11,39.41,MARCH11
KU645196.2,48.36,KU645196.2
SPDYE8P,49.98,SPDYE8P
DCDC1,36.55,DCDC1
HAUS4,45.59000000000002,HAUS4
TMEM220,40.31,TMEM220
CHRNA3,47.02,CHRNA3
INAFM1,71.55,INAFM1
AFAP1L1,46.21,AFAP1L1
OTUD4,37.41,OTUD4
SERPINE2,43.2,SERPINE2
PTCH2,53.29,PTCH2
ZNF727,37.48,ZNF727
KIAA1257,47.21,KIAA1257
OR52E6,45.07,OR52E6
UBR3,36.88,UBR3
FAM71A,55.44,FAM71A
MAGOH,41.43,MAGOH
VKORC1,55.01,VKORC1
AVP,67.96,AVP
DIO3,60.8,DIO3
TMEM255A,43.2,TMEM255A
RELL1,42.83000000000001,RELL1
SPATA31A6,52.97,SPATA31A6
RFC2,48.96,RFC2
TTC27,39.46,TTC27
SNRNP200,47.24,SNRNP200
SENP7,37.56,SENP7
CT45A2,42.84,CT45A2
WBP4,38.67,WBP4
TRIM63,49.92,TRIM63
FIGNL1,43.84000000000002,FIGNL1
SYNJ2BP,39.55,SYNJ2BP
GPR87,39.89,GPR87
GKN1,36.83,GKN1
MTRNR2L6,39.015,MTRNR2L6
DBX1,54.7,DBX1
SPIDR,40.78,SPIDR
MYOM1,40.55,MYOM1
ATF7,42.93,ATF7
PPM1L,38.44,PPM1L
AMPD3,44.290000000000006,AMPD3
KRTAP3-2,48.86,KRTAP3-2
ZMAT3,39.67,ZMAT3
ACIN1,45.36,ACIN1
UBN2,39.02,UBN2
DOCK9,41.77999999999999,DOCK9
GYPA,36.61000000000001,GYPA
ZPBP,36.38,ZPBP
RFX5,49.78,RFX5
ATP5PD,47.61,ATP5PD
COA6,43.86,COA6
ANKS1B,37.84000000000001,ANKS1B
SMNDC1,37.32,SMNDC1
MAGEC1,51.98,MAGEC1
C11orf86,59.9,C11orf86
LRRC69,36.91,LRRC69
PKP4,38.59,PKP4
OR2T2,45.992,OR2T2
MAGEA4,59.13,MAGEA4
IGKV1D-33,43.02,IGKV1D-33
ZNF786,46.13,ZNF786
PTGDS,66.35,PTGDS
USP10,43.62,USP10
RPS25,47.62,RPS25
C2orf73,38.88,C2orf73
TAX1BP1,36.81,TAX1BP1
ARGLU1,37.63,ARGLU1
C11orf94,62.5,C11orf94
FAM110D,58.17,FAM110D
ACTR1B,58.67,ACTR1B
PDLIM4,56.95000000000001,PDLIM4
RRH,37.03,RRH
ALG12,55.65,ALG12
DRD4,67.00999999999999,DRD4
CCDC196,36.74,CCDC196
PBDC1,42.82,PBDC1
AP002748.4,50.14,AP002748.4
THOC5,47.17,THOC5
TMEM229B,48.53,TMEM229B
INSRR,55.62,INSRR
IFNA4,42.13,IFNA4
NUTM2A,58.55,NUTM2A
OGDHL,55.46,OGDHL
RPL32,47.39999999999999,RPL32
FZD10,58.38,FZD10
TIMP2,52.6,TIMP2
PRLH,65.28,PRLH
ADGRG4,39.12,ADGRG4
BOP1,62.31,BOP1
NID2,43.25,NID2
NCKAP5L,52.89,NCKAP5L
SUPT4H1,47.01,SUPT4H1
SMIM10L2B,61.8,SMIM10L2B
CSMD2,45.21,CSMD2
NXNL1,50.83,NXNL1
SPATA5L1,41.46,SPATA5L1
GU182353.4,48.09,GU182353.4
RSAD2,40.0,RSAD2
ERVK3-1,45.5,ERVK3-1
EPHB3,58.43,EPHB3
OR6C2,35.01,OR6C2
FAM83B,35.84,FAM83B
CEP83,37.69,CEP83
ANKRD20A4,36.2,ANKRD20A4
LARP7,37.75,LARP7
AP1G1,40.73,AP1G1
IL17D,52.71,IL17D
NEBL,39.04,NEBL
CAND1,36.87,CAND1
ANKRD62,36.42,ANKRD62
FZR1,60.71,FZR1
TRMT2A,63.27999999999999,TRMT2A
ZKSCAN5,46.16,ZKSCAN5
GCFC2,36.38999999999999,GCFC2
TNRC18,54.68,TNRC18
MINDY2,39.89,MINDY2
IL20RB,41.89,IL20RB
SPRTN,41.57,SPRTN
PLD1,38.86000000000001,PLD1
CTNND2,39.45,CTNND2
GSAP,40.16,GSAP
FAM90A1,54.22,FAM90A1
ARMC2,41.61,ARMC2
CTNNA2,38.64999999999999,CTNNA2
SLC6A3,55.46,SLC6A3
KIR2DS4,48.6415,KIR2DS4
VNN1,38.11,VNN1
ARID5B,40.32,ARID5B
WWC2,39.32,WWC2
AC246795.5,42.93,AC246795.5
CDH2,37.18,CDH2
CHMP1A,58.52,CHMP1A
KRT74,52.83,KRT74
KNDC1,59.37,KNDC1
JAG2,65.88,JAG2
ZFP1,42.26,ZFP1
TMEM141,62.16,TMEM141
STMN3,59.38000000000001,STMN3
MYO7A,55.05,MYO7A
MRPL15,43.26,MRPL15
PRAMEF25,47.49249999999999,PRAMEF25
DRG1,44.41,DRG1
M6PR,42.37,M6PR
FASTKD5,44.47,FASTKD5
COX4I1,50.84,COX4I1
MAGED4,60.02,MAGED4
TSG101,39.61,TSG101
FBLN7,49.52,FBLN7
STEAP3,51.67,STEAP3
EMD,62.14,EMD
ZNF222,42.04,ZNF222
OGN,36.68,OGN
BACE2,45.56,BACE2
PLA2G2D,50.59,PLA2G2D
NDUFAF8,58.82,NDUFAF8
RBMS1,39.2,RBMS1
MRPS16,47.47,MRPS16
GLYAT,39.37,GLYAT
BHLHA9,76.39,BHLHA9
SLC35C2,53.97000000000001,SLC35C2
PLA2G4E,50.21,PLA2G4E
EPHA3,34.59,EPHA3
KRT12,43.26333333333334,KRT12
COL4A4,41.0,COL4A4
CFAP58,39.87,CFAP58
SPNS3,53.26,SPNS3
TLCD1,60.34,TLCD1
CSGALNACT2,38.92,CSGALNACT2
FAM149A,44.15999999999999,FAM149A
VASP,54.67,VASP
STPG1,44.09,STPG1
MRPL47,38.56,MRPL47
NOTCH1,63.46,NOTCH1
BPY2C,42.58,BPY2C
LCP2,44.62,LCP2
MDM4,42.52,MDM4
MORC4,39.76,MORC4
SUGP2,50.0,SUGP2
PBLD,43.3,PBLD
SSBP1,40.14470588235295,SSBP1
THSD8,53.07,THSD8
CCDC28A,39.18,CCDC28A
OR4K1,36.09,OR4K1
HIST1H4J,62.2,HIST1H4J
CDK5RAP2,43.21,CDK5RAP2
C12orf74,40.77,C12orf74
DMRTC2,52.25,DMRTC2
APMAP,46.35,APMAP
TBC1D10C,61.91,TBC1D10C
HDAC2,38.55,HDAC2
PLCXD2,39.37,PLCXD2
TMEM209,37.56,TMEM209
ARPIN-AP3S2,45.41,ARPIN-AP3S2
ACTG1,61.09000000000001,ACTG1
AMER3,55.57,AMER3
POC1A,51.67,POC1A
OR51A2,42.99,OR51A2
PLGLB1,39.59,PLGLB1
TARBP1,40.31,TARBP1
ZNF564,44.24,ZNF564
TLN1,51.07,TLN1
DCC,37.01,DCC
KPNA5,35.56,KPNA5
RPL12,51.25,RPL12
OTOA,44.79,OTOA
TAF1L,46.61,TAF1L
IGFBP1,48.88,IGFBP1
AP2M1,54.13,AP2M1
RHCE,46.8,RHCE
TEDC2,62.03,TEDC2
TENT5A,36.03,TENT5A
C3orf18,55.98,C3orf18
CCDC3,43.73,CCDC3
AP3M2,41.4,AP3M2
TDRD5,36.77,TDRD5
NEPRO,39.06,NEPRO
FAM155A,37.4,FAM155A
ENPP6,44.68,ENPP6
GAGE2E,45.19,GAGE2E
RAB14,39.61,RAB14
SRY,46.39,SRY
FGF11,56.8,FGF11
QKI,36.38999999999999,QKI
DNM3,37.28000000000001,DNM3
KIAA1522,54.42,KIAA1522
OR51B4,44.8,OR51B4
RAB29,46.01,RAB29
DMXL1,37.58,DMXL1
SERPINF2,57.08500000000002,SERPINF2
UQCRFS1,41.59,UQCRFS1
RNF8,43.66,RNF8
SORCS2,53.70000000000001,SORCS2
NAGA,53.29,NAGA
ADGRG2,42.96,ADGRG2
CHSY3,35.96,CHSY3
MCMBP,41.74,MCMBP
TDP2,38.83,TDP2
VAV1,47.39,VAV1
INHA,58.09,INHA
DPEP1,59.08,DPEP1
LIM2,49.17,LIM2
PRMT9,39.64,PRMT9
C12orf50,35.94,C12orf50
ESRRA,57.07,ESRRA
MAT1A,50.27,MAT1A
CSN1S1,31.44,CSN1S1
TRAK2,37.71,TRAK2
CEP170B,64.32,CEP170B
DDB1,47.67000000000001,DDB1
RND2,53.84,RND2
LAG3,57.37,LAG3
POU5F1,51.67409090909089,POU5F1
SAMD12,39.63,SAMD12
SPAG5,46.2,SPAG5
ZNF492,39.02,ZNF492
LUZP6,35.59,LUZP6
PCNX3,60.5,PCNX3
NARS2,38.77,NARS2
DGKQ,60.54,DGKQ
C4orf50,49.24,C4orf50
SCN2A,35.7,SCN2A
L3HYPDH,42.5,L3HYPDH
STRN4,57.35,STRN4
CCDC114,52.38,CCDC114
LUC7L2,40.36,LUC7L2
SHOX2,46.27,SHOX2
TSC22D3,48.75,TSC22D3
DBF4,36.72,DBF4
AL162596.1,46.46,AL162596.1
KRTAP2-3,55.43,KRTAP2-3
GPR82,35.16,GPR82
STAG3,47.11,STAG3
C15orf53,39.74,C15orf53
CHD1,35.16,CHD1
SOWAHD,65.51,SOWAHD
GTF2H2C,38.56,GTF2H2C
AIMP1,36.71,AIMP1
CACNA2D2,56.52,CACNA2D2
R3HDM2,43.16,R3HDM2
CRYGA,43.39,CRYGA
ZFP36,59.08000000000001,ZFP36
TGFB1,53.13,TGFB1
PRAC2,52.41,PRAC2
SH3GLB1,36.11,SH3GLB1
BID,52.51,BID
TRIM40,42.65625,TRIM40
BCL2L15,41.52,BCL2L15
RBSN,44.4,RBSN
FAM189A1,43.62000000000001,FAM189A1
THOC3,43.01,THOC3
SPINT3,42.98,SPINT3
SNAP23,42.25,SNAP23
BBS4,40.76,BBS4
NEK11,38.71,NEK11
RBM24,41.38,RBM24
MMP12,38.4,MMP12
KCNA1,47.17,KCNA1
MRO,44.16,MRO
BAIAP2L1,46.78,BAIAP2L1
HIST1H3F,60.83,HIST1H3F
ACAA2,39.53,ACAA2
SPANXN3,46.53,SPANXN3
NBPF10,41.59,NBPF10
CNPY4,50.57,CNPY4
AC090527.2,42.92,AC090527.2
C12orf60,38.55,C12orf60
TMEM178B,43.29,TMEM178B
SIPA1,60.74,SIPA1
PLPBP,43.58,PLPBP
CA14,50.69,CA14
FAM186A,43.76,FAM186A
MTRNR2L4,41.88,MTRNR2L4
SKI,57.61,SKI
DUOXA2,58.64,DUOXA2
HEY2,43.64,HEY2
C11orf24,52.04999999999999,C11orf24
CS,46.15,CS
ITPK1,53.85,ITPK1
TMEM260,39.13,TMEM260
FAM13A,38.27,FAM13A
TSPOAP1,57.84000000000001,TSPOAP1
ARHGAP32,36.86,ARHGAP32
DTNA,37.99,DTNA
OCEL1,58.65999999999998,OCEL1
PPP1R14B,65.52,PPP1R14B
ADAM33,61.2,ADAM33
DDX43,40.78,DDX43
GABPB2,44.85,GABPB2
AC023055.1,42.96,AC023055.1
SLC35F6,52.66,SLC35F6
ADM2,63.62,ADM2
ATMIN,44.63,ATMIN
RPS6KA1,53.51,RPS6KA1
NR1H3,50.86,NR1H3
PREX1,50.48,PREX1
HYAL4,39.21,HYAL4
OSBPL8,36.48,OSBPL8
POLN,43.94,POLN
HAO1,37.89,HAO1
ERLEC1,38.1,ERLEC1
AL121758.1,53.26,AL121758.1
CFTR,36.59,CFTR
IK,45.21,IK
AC012314.19,57.07,AC012314.19
FCGR3A,44.74,FCGR3A
PPP1R13B,44.5,PPP1R13B
ZBED1,49.62,ZBED1
ATG16L2,52.71,ATG16L2
IDH1,41.27,IDH1
APOD,45.96,APOD
ANKRD50,35.15,ANKRD50
TNN,45.69,TNN
ARFGAP1,59.73,ARFGAP1
NUP62,54.28999999999999,NUP62
PIGH,43.92000000000001,PIGH
C1orf198,47.8,C1orf198
EDEM2,45.8,EDEM2
C11orf42,46.27,C11orf42
GUCY2F,39.92,GUCY2F
SPTB,48.21,SPTB
IFITM10,57.655,IFITM10
WNT2B,44.59,WNT2B
RARB,40.14,RARB
HIC1,65.48,HIC1
CADPS,40.0,CADPS
IMMP2L,36.11000000000001,IMMP2L
PPM1D,41.0,PPM1D
CGNL1,43.81,CGNL1
KRT33A,48.36,KRT33A
