Genes,CDS_Length,Norm_Symbol
ADAMTS12,4123.641509433963,ADAMTS12
TUBAL3,1281.0,TUBAL3
MED19,670.1739130434783,MED19
TXN2,411.35294117647067,TXN2
NCOR2,5681.304054054054,NCOR2
PLET1,624.0,PLET1
GYG2,1216.6078431372548,GYG2
SLC35F3,1376.4,SLC35F3
CDX4,855.0,CDX4
GPR37L1,1446.0,GPR37L1
PET117,246.0,PET117
CD248,2274.0,CD248
TFAM,684.4736842105264,TFAM
CDK17,1238.7384615384615,CDK17
PCCA,1374.1082474226805,PCCA
GLMN,1285.767857142857,GLMN
PPIL6,771.76,PPIL6
AREG,789.0,AREG
DAPL1,395.72222222222223,DAPL1
NAIP,3485.7112970711296,NAIP
SLC29A1,1055.125,SLC29A1
ANKRD11,2267.8176795580107,ANKRD11
SCGB1D4,252.0,SCGB1D4
KIAA1549,5829.0,KIAA1549
RBPMS,474.7317073170732,RBPMS
KCNK2,803.3703703703702,KCNK2
CST1,426.0,CST1
SUMF2,751.1478873239438,SUMF2
ALG2,813.8571428571429,ALG2
WFDC6,327.5,WFDC6
ARPC5,443.0,ARPC5
COX7B,182.25,COX7B
MRPL20,380.7,MRPL20
PGD,837.7857142857142,PGD
CCDC140,492.0,CCDC140
QRFP,411.0,QRFP
GU182347.4,1128.0,GU182347.4
GSTT2,735.0,GSTT2
MON2,4086.5271966527202,MON2
BMPR2,2087.684210526316,BMPR2
MED12,5948.801369863014,MED12
CASQ1,929.4375,CASQ1
LEFTY2,1044.3333333333333,LEFTY2
DEFB127,300.0,DEFB127
SLC6A18,1887.0,SLC6A18
DLX3,720.0,DLX3
CNN2,683.375,CNN2
PMP2,306.42857142857144,PMP2
ZACN,841.08,ZACN
RIMBP3,4920.0,RIMBP3
FAM25C,270.0,FAM25C
MIR1915HG,411.0,MIR1915HG
EFCAB11,357.2,EFCAB11
MSH2,2420.8496240601503,MSH2
TEX29,347.76923076923083,TEX29
KRTAP19-6,177.0,KRTAP19-6
DNPEP,835.9072847682119,DNPEP
AC242843.1,764.4375,AC242843.1
SPERT,1119.6,SPERT
CAPN3,1342.368932038835,CAPN3
BEX1,378.0,BEX1
HOMER2,866.96,HOMER2
NCL,1265.2424242424242,NCL
RHBDD2,644.4705882352941,RHBDD2
UBE2Q2L,396.0,UBE2Q2L
PRODH2,1201.892857142857,PRODH2
CPNE5,1189.8545454545454,CPNE5
DNAJA1,1194.0,DNAJA1
RPP40,889.0833333333335,RPP40
PCP4,135.85714285714286,PCP4
C15orf65,366.0,C15orf65
DICER1,5020.621118012423,DICER1
TEN1,266.0,TEN1
PRMT2,983.6888888888888,PRMT2
AC009163.4,351.1428571428572,AC009163.4
RHPN2,1252.8620689655172,RHPN2
SMIM1,170.46153846153842,SMIM1
N4BP2,3016.581818181818,N4BP2
DCAF5,1960.7142857142856,DCAF5
TGIF2LX,726.0,TGIF2LX
SGPP2,1200.0,SGPP2
GPIHBP1,555.0,GPIHBP1
CASTOR2,990.0,CASTOR2
BEX2,390.5,BEX2
DYTN,1226.7368421052631,DYTN
TROAP,1021.9090909090908,TROAP
OR4K15,1011.0,OR4K15
TMEM41A,501.0,TMEM41A
DBF4,884.5531914893618,DBF4
DOK6,852.5454545454545,DOK6
MECP2,623.7857142857142,MECP2
TRMT2B,1480.6363636363635,TRMT2B
ABCB6,1631.6333333333334,ABCB6
ANKRD13A,993.2727272727273,ANKRD13A
HAPLN2,828.4166666666665,HAPLN2
DOC2B,1239.0,DOC2B
TMED8,978.0,TMED8
SLC7A5,1125.0,SLC7A5
AC142391.1,618.0,AC142391.1
UNC5CL,1557.0,UNC5CL
ZCRB1,539.7272727272727,ZCRB1
MAN2B2,2924.909090909091,MAN2B2
TRMO,731.6086956521739,TRMO
NUFIP1,1488.0,NUFIP1
SNRNP70,692.5692307692308,SNRNP70
RSL24D1,337.4,RSL24D1
DNAH1,10260.961165048544,DNAH1
TAF1B,947.7857142857144,TAF1B
TAF4,1719.219512195122,TAF4
AL049697.1,1869.0,AL049697.1
ATP1A1,2545.858823529412,ATP1A1
PITX2,860.2391304347825,PITX2
JAZF1,430.47058823529403,JAZF1
SNAP47,1089.1470588235297,SNAP47
RAPGEF2,3403.85593220339,RAPGEF2
DOHH,909.0,DOHH
LYZL6,403.8461538461538,LYZL6
NCAPH2,1315.020618556701,NCAPH2
FSHB,390.0,FSHB
PANK4,1617.179190751445,PANK4
GLP2R,993.0243902439024,GLP2R
EML2,1378.014705882353,EML2
SLC25A46,929.7428571428572,SLC25A46
USP13,2035.7142857142856,USP13
TVP23B,394.69565217391306,TVP23B
ZNF676,1758.7894736842104,ZNF676
OR5C1,963.0,OR5C1
TXK,954.9032258064516,TXK
MYO5A,4790.327586206897,MYO5A
ANGEL2,1310.52,ANGEL2
MLF1,650.4437086092714,MLF1
GU182353.4,1047.0,GU182353.4
DISC1,1674.854838709677,DISC1
USH1C,1723.125,USH1C
SLC1A4,1181.8,SLC1A4
MAK16,670.421052631579,MAK16
NIPSNAP2,493.33333333333326,NIPSNAP2
MRPL37,1158.2173913043478,MRPL37
METTL27,526.6363636363636,METTL27
GIMAP4,825.0,GIMAP4
PTPDC1,2338.384615384615,PTPDC1
CHL1,2355.7272727272725,CHL1
WNT9A,1098.0,WNT9A
TARS2,1373.4065934065934,TARS2
ZNF75A,1036.68,ZNF75A
ZC2HC1A,840.1428571428571,ZC2HC1A
C10orf142,393.0,C10orf142
RAD23A,742.8032786885246,RAD23A
LRRC71,1680.0,LRRC71
ARPC1B,911.192,ARPC1B
UGT2B15,1296.0,UGT2B15
AL117348.2,1080.0,AL117348.2
SPATA24,592.7878787878788,SPATA24
EVI2B,1347.0,EVI2B
CYP26B1,1109.904761904762,CYP26B1
ESAM,766.0454545454545,ESAM
PPAT,984.6818181818179,PPAT
AC084121.6,1395.0,AC084121.6
PHF24,1203.0,PHF24
ATPSCKMT,455.76,ATPSCKMT
EXOC3,1707.433962264151,EXOC3
SHOC1,3950.181818181818,SHOC1
TADA1,1008.0,TADA1
IFI44L,993.9375,IFI44L
IL4,428.75,IL4
NDUFA9,887.7647058823529,NDUFA9
ZNF77,1638.0,ZNF77
BUD13,1441.666666666667,BUD13
ZBTB25,894.0,ZBTB25
TCF12,1682.1445086705207,TCF12
SLC25A29,452.1081081081081,SLC25A29
CBWD1,643.2032085561498,CBWD1
DMKN,498.1197478991597,DMKN
CROCC2,4968.0,CROCC2
LIAS,665.530303030303,LIAS
GZMM,715.5,GZMM
CTSF,903.5151515151517,CTSF
CHURC1,352.48,CHURC1
EIF5A2,366.66666666666674,EIF5A2
SP3,1924.9512195121952,SP3
HAGHL,577.5,HAGHL
IMPACT,720.3409090909091,IMPACT
SH3BP5,734.6808510638298,SH3BP5
AC058822.1,2550.0,AC058822.1
RADIL,2112.0,RADIL
SYF2,673.8461538461537,SYF2
NRTN,594.0,NRTN
UNCX,1596.0,UNCX
RAP2C,477.75,RAP2C
TRIML1,1407.0,TRIML1
PNPLA3,1055.357142857143,PNPLA3
RASL11A,729.0,RASL11A
SPPL2B,1106.409090909091,SPPL2B
C2orf81,1188.5,C2orf81
STAP2,820.8166666666667,STAP2
ARF3,383.6923076923077,ARF3
CCT8L2,1674.0,CCT8L2
KMT2D,13120.797101449274,KMT2D
ANKRD40CL,342.0,ANKRD40CL
IREB2,1300.8088235294115,IREB2
KCNG3,1294.5,KCNG3
BTNL9,1159.2352941176468,BTNL9
ARHGEF15,2045.055555555556,ARHGEF15
GGTLC2,560.4047619047619,GGTLC2
PPDPF,378.4285714285714,PPDPF
KDM5D,4140.065573770492,KDM5D
KRT8,1095.1935483870966,KRT8
BFSP1,1727.88,BFSP1
MFSD1,835.1625,MFSD1
GALNT11,1015.6507936507936,GALNT11
ITGA3,2069.694117647058,ITGA3
P2RY14,725.0,P2RY14
ITGAE,3033.4054054054054,ITGAE
EMP1,330.38461538461536,EMP1
AC139768.1,1364.0833333333333,AC139768.1
SMYD4,1403.645161290323,SMYD4
HDAC8,733.7939110070257,HDAC8
COQ6,869.9,COQ6
BTG4,595.0666666666667,BTG4
HMBOX1,1110.340206185567,HMBOX1
ZNF705B,895.0,ZNF705B
MON1A,1697.34375,MON1A
SAA1,337.23529411764713,SAA1
WDR89,970.4,WDR89
TRAPPC6B,303.4,TRAPPC6B
MTG1,916.9354838709676,MTG1
TCF23,645.0,TCF23
STRA8,1020.0,STRA8
RAE1,905.3866666666668,RAE1
TFPI2,565.1818181818181,TFPI2
SLC39A1,862.3414634146343,SLC39A1
TRAF5,1674.0,TRAF5
SLC6A5,1508.516129032258,SLC6A5
FAT4,12472.40625,FAT4
BAZ1A,3947.829787234042,BAZ1A
CCNE1,1028.108695652174,CCNE1
LDLR,2357.4848484848485,LDLR
MALT1,1630.718309859155,MALT1
RNF222,663.0,RNF222
ELF2,1308.892857142857,ELF2
IGFL3,378.0,IGFL3
TMEM134,425.75,TMEM134
GNB1,733.75,GNB1
RABEPK,817.1304347826087,RABEPK
DEFB116,309.0,DEFB116
KRTAP3-1,297.0,KRTAP3-1
TBC1D7,648.8073394495412,TBC1D7
LACTB2,867.0,LACTB2
TPBGL,1149.0,TPBGL
FNDC3B,3151.8461538461543,FNDC3B
ADGRA3,2143.0588235294117,ADGRA3
AP5M1,957.1379310344827,AP5M1
PDGFRA,2056.3606557377047,PDGFRA
DDX56,1048.404761904762,DDX56
RNPEP,1296.6904761904761,RNPEP
SLC34A1,1364.7307692307693,SLC34A1
RFC5,605.188679245283,RFC5
DGKD,2617.9578947368427,DGKD
NRDE2,1392.5,NRDE2
ART5,763.578947368421,ART5
GPSM3,406.01204819277115,GPSM3
NR2E1,1017.7727272727273,NR2E1
NTF4,470.6,NTF4
PLIN5,1060.6363636363637,PLIN5
HDGF,729.48,HDGF
AC241401.1,3162.0,AC241401.1
CACNA1F,5782.561643835616,CACNA1F
SPSB1,778.8,SPSB1
CELSR1,8513.921052631578,CELSR1
DLX5,752.4,DLX5
GDF7,1353.0,GDF7
SCARB2,1053.1258278145694,SCARB2
HOXC13,993.0,HOXC13
EPHB6,1834.0471698113208,EPHB6
IQSEC1,2919.1304347826085,IQSEC1
ZSWIM6,3648.0,ZSWIM6
RAB7A,434.90322580645164,RAB7A
SRBD1,2988.0,SRBD1
ZBTB16,1249.44,ZBTB16
TMEM177,661.9090909090909,TMEM177
TULP3,705.09375,TULP3
NAB1,1022.3181818181821,NAB1
FHDC1,3432.0,FHDC1
AC010531.1,713.0,AC010531.1
PARP12,1152.8684210526314,PARP12
NDN,966.0,NDN
ADGRD1,1895.0659340659342,ADGRD1
CLDN16,758.5714285714287,CLDN16
MYL10,598.4,MYL10
ATP5MC1,363.46153846153845,ATP5MC1
CTAGE6,2334.0,CTAGE6
RIPK2,856.75,RIPK2
LHX9,788.1818181818181,LHX9
CDR1,789.0,CDR1
METTL24,1101.0,METTL24
KATNBL1,488.8148148148149,KATNBL1
RGL3,1223.891304347826,RGL3
TBC1D16,1124.095238095238,TBC1D16
ZNF804B,3943.285714285714,ZNF804B
NXT1,423.0,NXT1
SHANK3,4973.40594059406,SHANK3
SRPX,1275.3243243243246,SRPX
PTGES,459.0,PTGES
CHRNA2,841.4285714285713,CHRNA2
TNNI1,488.0163934426229,TNNI1
IZUMO4,564.2075471698113,IZUMO4
WSCD1,1279.111111111111,WSCD1
RUNX1,782.723076923077,RUNX1
GRPR,1155.0,GRPR
CTHRC1,584.7692307692307,CTHRC1
NKRF,2093.0,NKRF
RFX2,1308.99,RFX2
LAMTOR3,364.5,LAMTOR3
LINC02218,597.0,LINC02218
HTRA3,1236.0,HTRA3
SEPSECS,612.1951219512197,SEPSECS
TAMM41,633.2530120481928,TAMM41
ZNF226,658.6944444444445,ZNF226
FAT2,9917.264705882353,FAT2
NAA16,1942.5,NAA16
GCOM1,1374.0338983050847,GCOM1
IL18R1,1508.842105263158,IL18R1
ARHGAP42,2111.0588235294117,ARHGAP42
KAT2B,2499.0,KAT2B
AC026464.4,1284.0,AC026464.4
SCIN,1406.2131147540986,SCIN
DNM1,2276.651260504201,DNM1
FAM205C,677.0,FAM205C
WDCP,1701.666666666667,WDCP
EMC8,443.1428571428572,EMC8
TNS1,4016.359621451104,TNS1
ADAT2,505.5,ADAT2
BCAP29,657.7093023255812,BCAP29
HMGA1,304.4444444444445,HMGA1
CREBZF,684.7,CREBZF
ZNF497,976.5555555555555,ZNF497
SOWAHD,948.0,SOWAHD
RMDN1,565.96875,RMDN1
HSD17B8,786.0,HSD17B8
CS,584.6772151898733,CS
PYGO1,1260.0,PYGO1
SLC25A1,781.5,SLC25A1
KRTAP2-4,387.0,KRTAP2-4
PLEKHO2,1404.8181818181818,PLEKHO2
FAM25A,270.0,FAM25A
HMGB1,591.0,HMGB1
AKT2,611.3282051282051,AKT2
VCAM1,1627.571428571429,VCAM1
KLK2,366.48076923076917,KLK2
ABCB8,1206.25,ABCB8
EBLN1,1101.0,EBLN1
CPLANE1,7707.55,CPLANE1
MAPK4,1199.1666666666667,MAPK4
SKI,2187.0,SKI
EEF1AKMT2,524.3928571428571,EEF1AKMT2
PLCB3,3641.641304347826,PLCB3
ORC6,491.76923076923083,ORC6
AL021546.1,505.0,AL021546.1
LPIN3,2236.1632653061224,LPIN3
DNAJC11,1393.9574468085107,DNAJC11
TUB,1584.8108108108108,TUB
ZNF708,610.0,ZNF708
ABCC5,2363.5563909774437,ABCC5
AGAP5,1750.0740740740741,AGAP5
C1QTNF9,1002.0,C1QTNF9
PCDHGB5,2709.0,PCDHGB5
C1QTNF12,909.0,C1QTNF12
FIG4,1720.547619047619,FIG4
GP1BA,1912.2,GP1BA
KIR2DL1,1068.4111675126903,KIR2DL1
OR5L1,936.0,OR5L1
NUF2,983.9733333333335,NUF2
SPDYE2,1091.1818181818182,SPDYE2
USP49,1447.4375,USP49
TANC1,5586.0,TANC1
GUCA2A,348.0,GUCA2A
POLR2A,5582.578125,POLR2A
CCDC25,280.07462686567163,CCDC25
PARN,1311.7688524590167,PARN
ASXL2,3836.057142857143,ASXL2
DCLK3,2200.5,DCLK3
PCDHA3,2777.4,PCDHA3
NIM1K,1311.0,NIM1K
TYR,1590.0,TYR
EQTN,747.4736842105265,EQTN
PDHX,1068.7142857142858,PDHX
UBE2E2,464.1428571428572,UBE2E2
ALDH5A1,1597.1,ALDH5A1
DNAJC15,453.0,DNAJC15
SERF1B,229.46153846153842,SERF1B
WASF1,1233.8717948717951,WASF1
JPH4,1713.0,JPH4
GRASP,884.7727272727273,GRASP
FCRL1,1229.90625,FCRL1
TAF7,446.66666666666674,TAF7
HSPE1-MOB4,786.0,HSPE1-MOB4
PCYOX1,837.92,PCYOX1
CLCN6,2333.840425531915,CLCN6
KRTAP21-2,252.0,KRTAP21-2
C1orf167,2966.833333333333,C1orf167
PLEKHH3,2100.8863636363635,PLEKHH3
GALNT13,974.8541666666665,GALNT13
MAGEB6,1224.0,MAGEB6
GJA4,939.5,GJA4
SH2D4A,1231.4545454545455,SH2D4A
MAP3K12,2210.406779661017,MAP3K12
POTEG,1313.057142857143,POTEG
TRERF1,3382.3411764705884,TRERF1
GLA,1009.8620689655173,GLA
SRGAP1,3132.9692307692308,SRGAP1
FAM118A,712.9722222222223,FAM118A
AKAP3,1755.7368421052633,AKAP3
C10orf82,595.9090909090909,C10orf82
MEGF9,1809.0,MEGF9
TMEM68,544.3,TMEM68
ECH1,535.8717948717949,ECH1
HDDC2,346.03846153846155,HDDC2
HMCES,875.8510638297873,HMCES
EPPIN,327.8181818181818,EPPIN
SASH1,2404.809523809524,SASH1
TEX13C,2982.0,TEX13C
COPG1,1600.6046511627908,COPG1
LRRC10B,879.0,LRRC10B
TUSC3,932.9076923076924,TUSC3
CDC37,765.7941176470587,CDC37
CHI3L1,953.4285714285713,CHI3L1
DCAF12,973.8421052631579,DCAF12
LOXHD1,4577.521929824561,LOXHD1
ITM2B,410.075,ITM2B
PRSS42P,882.0,PRSS42P
SPDYE3,1650.0,SPDYE3
RBBP4,783.2727272727273,RBBP4
CHMP6,526.6206896551723,CHMP6
CT45A7,570.0,CT45A7
RAB6C,765.0,RAB6C
CT476828.5,1272.0,CT476828.5
PMP22,378.375,PMP22
DENND5A,2320.061224489796,DENND5A
PEBP4,594.4444444444445,PEBP4
Z84492.2,153.0,Z84492.2
SPEG,4449.504950495048,SPEG
ABCB4,3007.0110497237565,ABCB4
CHMP5,592.8,CHMP5
LY6G6C,296.0487804878049,LY6G6C
CLEC4D,540.0,CLEC4D
FGF22,505.5,FGF22
XIRP2,6244.403225806452,XIRP2
P4HA3,1064.7931034482758,P4HA3
CC2D2B,2065.496240601504,CC2D2B
VMO1,383.1818181818182,VMO1
AXL,2431.767857142857,AXL
PTGR2,971.3684210526317,PTGR2
TAF1L,5481.0,TAF1L
GTF2A2,281.2857142857143,GTF2A2
GPR18,804.5454545454545,GPR18
ZNF398,1534.3846153846155,ZNF398
CCR9,851.5384615384614,CCR9
SYT7,1210.2577319587629,SYT7
DUSP5,1155.0,DUSP5
OR6S1,996.0,OR6S1
MYH15,5841.0,MYH15
ITPKA,1106.3076923076924,ITPKA
PLEKHF2,750.0,PLEKHF2
SUPV3L1,1912.142857142857,SUPV3L1
MYO10,4739.6024844720505,MYO10
IVNS1ABP,1440.1363636363635,IVNS1ABP
KLRC3,746.5384615384614,KLRC3
METAP1,399.66666666666674,METAP1
BLCAP,228.82608695652172,BLCAP
BCLAF3,1491.948717948718,BCLAF3
SERINC1,1362.0,SERINC1
CAB39L,864.7,CAB39L
CHSY3,2649.0,CHSY3
PMPCB,794.5652173913044,PMPCB
PHOSPHO2,512.4333333333333,PHOSPHO2
ZCCHC12,1209.0,ZCCHC12
KLC2,1510.622807017544,KLC2
GOLGA8Q,1899.0,GOLGA8Q
NT5C2,992.3827160493828,NT5C2
TRAK2,1984.2307692307693,TRAK2
AMZ2,816.7446808510637,AMZ2
POTEC,1332.3103448275865,POTEC
CD200R1,828.4615384615386,CD200R1
OR8H2,938.4,OR8H2
UTY,3916.5808383233534,UTY
MATR3,1643.434262948207,MATR3
GPR15,1083.0,GPR15
CLSPN,3928.0,CLSPN
CNFN,339.0,CNFN
NUP133,3471.0,NUP133
H2AFB1,348.0,H2AFB1
ZNF467,1114.5,ZNF467
AC022506.1,105.0,AC022506.1
CFAP69,1600.5,CFAP69
DCAF12L1,1392.0,DCAF12L1
GSTA3,535.1176470588234,GSTA3
EPS8L1,1759.0568181818182,EPS8L1
GPD1,810.1428571428571,GPD1
BPIFB1,1213.8095238095239,BPIFB1
TNR,3799.5882352941176,TNR
RNF152,450.0,RNF152
WDR5,709.4347826086956,WDR5
NWD2,5229.0,NWD2
AGPAT3,958.4567901234567,AGPAT3
ITGA2,1916.4204545454545,ITGA2
JMJD1C,6655.0465116279065,JMJD1C
EYS,7142.252032520325,EYS
IGSF9,3175.5,IGSF9
JAG1,2799.2571428571428,JAG1
MIF4GD,635.3380281690141,MIF4GD
ANKRD26,4790.756756756758,ANKRD26
CACNA2D3,2356.6111111111113,CACNA2D3
FAM133B,578.9038461538463,FAM133B
SYN2,1393.2903225806451,SYN2
PRKCG,1102.027027027027,PRKCG
AC270272.2,273.0,AC270272.2
GTF2A1,753.75,GTF2A1
IL1RL1,956.0208333333335,IL1RL1
KRT5,925.9655172413792,KRT5
CASP10,1220.2153846153847,CASP10
VAMP4,425.04,VAMP4
LRRC17,967.2727272727273,LRRC17
FOXL2,1131.0,FOXL2
ZNF808,1344.0666666666666,ZNF808
TMEM207,441.0,TMEM207
CALB2,657.9736842105264,CALB2
ASGR2,790.1212121212121,ASGR2
RGS8,493.4516129032258,RGS8
KCNH8,1956.0,KCNH8
OPRM1,1136.4935064935064,OPRM1
KCNA10,1536.0,KCNA10
AOC2,2230.5,AOC2
BX255925.3,606.0,BX255925.3
AGTPBP1,3697.470588235294,AGTPBP1
GTF3C4,1711.875,GTF3C4
CELF1,1165.8030303030305,CELF1
WASHC2A,3238.491620111732,WASHC2A
UBE2Z,512.925925925926,UBE2Z
VNN1,1542.0,VNN1
KRT3,1887.0,KRT3
SAE1,628.3584905660377,SAE1
NRAS,570.0,NRAS
C6orf132,2341.875,C6orf132
CYP1B1,1169.0,CYP1B1
BBOF1,1004.7272727272727,BBOF1
PIGY,216.0,PIGY
OBP2B,549.0,OBP2B
ADAM9,1917.8842105263159,ADAM9
CXCL3,324.0,CXCL3
ATP5MC2,363.1153846153846,ATP5MC2
LNP1,428.0,LNP1
GRPEL2,498.0,GRPEL2
PAXBP1,1887.6349206349207,PAXBP1
CH25H,819.0,CH25H
ELF5,643.2857142857142,ELF5
PRDM10,3048.8,PRDM10
PTGFRN,2640.0,PTGFRN
EFCC1,1797.0,EFCC1
ZFP91-CNTF,1349.375,ZFP91-CNTF
FAM160A2,2824.6363636363635,FAM160A2
STXBP2,1207.2230769230769,STXBP2
DIRAS3,690.0,DIRAS3
GRID2,2188.098360655738,GRID2
MED28,538.8,MED28
STAC3,750.5777777777777,STAC3
S100B,281.6666666666667,S100B
GAL,372.0,GAL
ZBTB34,1511.0,ZBTB34
NUDCD1,1017.6153846153846,NUDCD1
ATP6V0D2,616.4,ATP6V0D2
GHRL,312.3958333333333,GHRL
ESRP2,1405.0,ESRP2
FGF5,496.5,FGF5
CENPU,1002.6774193548387,CENPU
POLH,1516.08,POLH
OR4F5,965.25,OR4F5
CRIP1,234.0,CRIP1
CLUL1,1329.7301587301588,CLUL1
RFX8,1154.084745762712,RFX8
LIMD2,308.53846153846155,LIMD2
ALPP,1608.0,ALPP
TGM3,2082.0,TGM3
HLA-DOA,568.125,HLA-DOA
EIF2B2,706.56,EIF2B2
OR10G8,936.0,OR10G8
RAB40C,617.5970149253732,RAB40C
RAB12,879.0,RAB12
SPHKAP,5061.391304347826,SPHKAP
OR11G2,956.4,OR11G2
CLCN3,2121.711111111111,CLCN3
TIAM2,3605.6918918918923,TIAM2
HSP90B1,1265.58,HSP90B1
REG3G,487.4117647058823,REG3G
RAB15,536.7833333333333,RAB15
OR9Q2,945.0,OR9Q2
FGFR2,1987.053872053872,FGFR2
ZNF554,741.3529411764706,ZNF554
FLOT1,750.6974063400577,FLOT1
PGBD2,1402.5,PGBD2
NUP210L,4860.191489361702,NUP210L
L1CAM,3110.125925925926,L1CAM
SLITRK6,2526.0,SLITRK6
MRPL57,309.0,MRPL57
ATRN,4071.944444444444,ATRN
DNAH12,8337.80769230769,DNAH12
PM20D1,1509.0,PM20D1
NOTCH2NLA,701.1818181818181,NOTCH2NLA
LAMA2,9228.492307692308,LAMA2
ANKRD36C,2609.670212765957,ANKRD36C
C5orf15,798.0,C5orf15
ARID4B,3188.6716417910447,ARID4B
PLIN3,971.9285714285713,PLIN3
SCARF2,2608.5,SCARF2
ZKSCAN2,1801.5,ZKSCAN2
AC106886.5,9162.0,AC106886.5
PTPRQ,5092.192307692308,PTPRQ
LSM8,243.0,LSM8
SHCBP1,1587.333333333333,SHCBP1
MS4A10,804.0,MS4A10
ATP5F1A,882.2155172413792,ATP5F1A
FAM169A,1008.7846153846153,FAM169A
TNFRSF10D,1161.0,TNFRSF10D
KCNQ4,1899.175,KCNQ4
CD84,918.7714285714287,CD84
PITX1,678.2307692307693,PITX1
UBE2E3,535.3703703703703,UBE2E3
SPTBN4,6553.753623188406,SPTBN4
LRRC53,3744.0,LRRC53
ASIC4,1974.0,ASIC4
CNTN6,1871.0126582278479,CNTN6
KRTAP2-3,387.0,KRTAP2-3
SLC25A35,883.275,SLC25A35
FAM71F2,847.7307692307692,FAM71F2
GK3P,1662.0,GK3P
IGFALS,1382.0,IGFALS
GLRA1,978.0,GLRA1
TMEM198,903.529411764706,TMEM198
P4HA1,1594.7837837837835,P4HA1
FTHL17,552.0,FTHL17
MAGED4,2248.0,MAGED4
ANAPC4,2024.875,ANAPC4
NPIPB6,1251.0,NPIPB6
IL4I1,954.3,IL4I1
XPNPEP3,777.6521739130435,XPNPEP3
POTEB,1306.95,POTEB
OOSP1,579.0,OOSP1
HLTF,2872.723214285714,HLTF
CACUL1,1005.7894736842104,CACUL1
ACTR3B,1105.3636363636363,ACTR3B
BMP15,1179.0,BMP15
CLEC12A,703.6551724137931,CLEC12A
RFFL,891.5090909090909,RFFL
VDR,953.0298507462686,VDR
SEMA5B,3166.6476683937817,SEMA5B
VEGFA,906.9337016574583,VEGFA
HNRNPH2,1350.0,HNRNPH2
USP17L10,1656.0,USP17L10
SOX8,1341.0,SOX8
MIS12,427.57142857142856,MIS12
CFAP57,2506.385542168675,CFAP57
AC091304.7,78.0,AC091304.7
ENO2,1024.1304347826087,ENO2
WASHC2C,3738.2287234042547,WASHC2C
HLA-DRB5,801.0,HLA-DRB5
AMOTL1,2405.1666666666665,AMOTL1
CSF2RA,1030.1278195488721,CSF2RA
DERL3,655.56,DERL3
CA6,786.65625,CA6
MAGEA4,790.6666666666665,MAGEA4
KCTD17,690.972972972973,KCTD17
ESYT2,2648.868131868132,ESYT2
SLC17A8,1698.2608695652175,SLC17A8
ERBB3,2455.6887417218545,ERBB3
EGLN1,638.0,EGLN1
GVQW3,666.6666666666666,GVQW3
OIT3,1321.7647058823532,OIT3
NUP160,3338.3504273504273,NUP160
OGDHL,2776.5,OGDHL
EIF4E3,345.3684210526316,EIF4E3
DUT,531.1228070175439,DUT
PDX1,852.0,PDX1
STYK1,592.1935483870968,STYK1
GMPPA,1115.5092592592594,GMPPA
GIPC3,2494.5,GIPC3
CDKN2AIPNL,313.8,CDKN2AIPNL
FBXO28,709.1538461538463,FBXO28
TRAPPC1,286.875,TRAPPC1
RAB27B,455.2,RAB27B
C12orf42,671.0,C12orf42
POLR3A,2937.5957446808507,POLR3A
FRY,8689.395638629283,FRY
RASSF4,527.1935483870968,RASSF4
AL807752.6,284.77777777777777,AL807752.6
ZFP64,1421.8490566037735,ZFP64
AC087632.1,257.10714285714283,AC087632.1
KRTAP4-9,588.0,KRTAP4-9
FGD2,1113.909090909091,FGD2
MRGPRE,939.0,MRGPRE
CCL17,285.0,CCL17
LDLRAP1,927.0,LDLRAP1
FAM163A,504.0,FAM163A
NPIPA8,953.695652173913,NPIPA8
UBE2J2,415.07,UBE2J2
GOLGA6L6,2175.0,GOLGA6L6
PRAMEF5,1431.0,PRAMEF5
TMSB10,135.0,TMSB10
RAB39B,642.0,RAB39B
C1orf194,363.3,C1orf194
CFAP99,1900.090909090909,CFAP99
WDR97,3716.5531914893622,WDR97
PMVK,579.0,PMVK
BRINP1,1719.0,BRINP1
CLCNKB,1599.5192307692307,CLCNKB
AC098588.1,360.0,AC098588.1
RNASE3,483.0,RNASE3
ZNF502,1365.0,ZNF502
SLC5A6,1079.2837837837835,SLC5A6
PDE3A,3426.0,PDE3A
SRF,1527.0,SRF
DEFB123,204.0,DEFB123
MTNR1B,511.1428571428572,MTNR1B
AL022238.4,429.0,AL022238.4
PTH1R,1587.516129032258,PTH1R
GUCD1,661.1304347826087,GUCD1
AF241726.2,840.0,AF241726.2
PRY2,319.6363636363636,PRY2
TCP11X2,732.4285714285713,TCP11X2
PIN4,334.7142857142857,PIN4
MAP3K8,1160.8285714285714,MAP3K8
CLDN3,663.0,CLDN3
ZNF621,891.28,ZNF621
POLR1B,2124.75,POLR1B
AL160269.1,616.0,AL160269.1
SMARCA4,3947.9248658318425,SMARCA4
CNKSR2,2305.447976878613,CNKSR2
GU182355.1,915.0,GU182355.1
ZNF512,1593.2608695652175,ZNF512
CPLANE2,581.0,CPLANE2
TMEM256,230.14285714285717,TMEM256
KLRC4,477.0,KLRC4
BCOR,3740.161904761905,BCOR
SCX,606.0,SCX
HOXB6,675.0,HOXB6
AC004223.3,605.6086956521739,AC004223.3
GOSR1,632.4406779661018,GOSR1
TSPY9P,945.0,TSPY9P
CHRAC1,289.5,CHRAC1
ZNF22,675.0,ZNF22
