Genes,Average No. of Exons per Transcript,Norm_Symbol
KRTAP4-11,1.0,KRTAP4-11
DNLZ,2.5,DNLZ
KRTAP4-12,1.0,KRTAP4-12
GPSM1,8.0,GPSM1
KRTAP29-1,1.0,KRTAP29-1
AC209539.2,1.0,AC209539.2
KRTAP9-9,1.25,KRTAP9-9
KRTAP9-4,1.0,KRTAP9-4
KRTAP9-3,1.0,KRTAP9-3
KRTAP9-2,1.0,KRTAP9-2
ITPK1,7.75,ITPK1
SLC16A7,5.0,SLC16A7
KRTAP9-7,1.0,KRTAP9-7
KRTAP9-6,1.0,KRTAP9-6
PIGO,6.75,PIGO
ZNF395,5.0,ZNF395
FBXO16,5.8181818181818175,FBXO16
DYNC1LI1,6.875,DYNC1LI1
PBX1,5.409090909090909,PBX1
ZFP42,2.6666666666666665,ZFP42
MOAP1,2.5,MOAP1
AL110118.2,5.333333333333333,AL110118.2
TMEM251,2.0,TMEM251
GON7,2.0,GON7
UBR7,6.928571428571429,UBR7
TRIML2,4.571428571428571,TRIML2
TRIML1,4.333333333333333,TRIML1
STOML2,7.0,STOML2
AC091304.7,1.0,AC091304.7
AC136352.3,3.0,AC136352.3
ARHGAP11B,11.0,ARHGAP11B
AC012314.17,13.5,AC012314.17
BX248413.1,3.0,BX248413.1
AC012314.6,13.5,AC012314.6
AP000351.3,2.0,AP000351.3
CCL4,2.125,CCL4
AC136612.1,2.0,AC136612.1
AC012314.1,4.0,AC012314.1
AC244489.2,8.0,AC244489.2
CAMKK2,12.411764705882351,CAMKK2
GCNT4,2.5,GCNT4
ACAP2,8.0,ACAP2
MELK,13.214285714285715,MELK
TXNIP,5.0,TXNIP
GOLGA6L10,8.11111111111111,GOLGA6L10
SLC38A3,6.4444444444444455,SLC38A3
GPR31,1.0,GPR31
RELN,29.42857142857143,RELN
PADI6,16.0,PADI6
TCP10L2,4.714285714285714,TCP10L2
PRKCH,4.964285714285714,PRKCH
B3GNT5,2.333333333333333,B3GNT5
KRTDAP,5.666666666666668,KRTDAP
EXD3,9.666666666666666,EXD3
PTBP3,10.375,PTBP3
FGD2,8.0,FGD2
ZNF479,5.0,ZNF479
QRICH2,15.2,QRICH2
HSD17B10,5.0,HSD17B10
GALNT2,6.6,GALNT2
ZNF703,2.0,ZNF703
DDX23,5.333333333333333,DDX23
TECTB,10.75,TECTB
IL26,5.0,IL26
HSD11B1,6.5,HSD11B1
G0S2,2.0,G0S2
PCDHGA11,3.0,PCDHGA11
SEC23IP,5.75,SEC23IP
PCDHGA3,3.333333333333333,PCDHGA3
IFNG,4.0,IFNG
NFKBIA,4.0,NFKBIA
AMIGO2,2.6666666666666665,AMIGO2
PCDHGB6,2.5,PCDHGB6
PCDHGA7,2.5,PCDHGA7
ZNF783,9.4,ZNF783
GNAT1,5.6,GNAT1
PCDHGB5,2.5,PCDHGB5
UBALD2,2.6666666666666665,UBALD2
LGALS8,7.0,LGALS8
PCED1B,2.833333333333333,PCED1B
ACPP,6.222222222222222,ACPP
MCF2L2,11.928571428571427,MCF2L2
PCDHGC4,2.75,PCDHGC4
SECISBP2L,7.090909090909091,SECISBP2L
PCDHGA9,2.5,PCDHGA9
C1orf112,16.77777777777778,C1orf112
GPAM,12.25,GPAM
PKD2L1,9.25,PKD2L1
PLAT,8.5,PLAT
POLE,9.681818181818182,POLE
PCDHGA4,2.5,PCDHGA4
METTL18,2.0,METTL18
APPL1,10.666666666666666,APPL1
PCDHGA2,2.5,PCDHGA2
MCMBP,11.4,MCMBP
DYRK2,2.333333333333333,DYRK2
ASB14,8.666666666666666,ASB14
PCDHGA6,2.5,PCDHGA6
PCDHGB2,2.5,PCDHGB2
LAMP3,4.4,LAMP3
CCNE2,7.75,CCNE2
PCDHGA1,2.5,PCDHGA1
PCDHGB7,2.5,PCDHGB7
NUAK1,4.5,NUAK1
HEATR1,19.6,HEATR1
XXYLT1,3.4166666666666665,XXYLT1
SELE,9.142857142857142,SELE
GPR171,2.0,GPR171
BOLL,8.625,BOLL
CBWD5,8.454545454545455,CBWD5
GPR87,2.0,GPR87
MARS2,1.0,MARS2
OPTN,9.5,OPTN
BLOC1S2,4.0,BLOC1S2
P2RY12,2.5,P2RY12
P2RY13,2.0,P2RY13
CCDC3,5.0,CCDC3
DECR1,6.157894736842105,DECR1
PCDHGC3,3.125,PCDHGC3
IGSF10,2.8,IGSF10
SCYL3,12.6,SCYL3
PCDHGA8,2.5,PCDHGA8
APOL5,5.0,APOL5
PCDHGB1,2.5,PCDHGB1
PCDHGB4,2.5,PCDHGB4
SELL,5.571428571428571,SELL
PCDHGA10,2.5,PCDHGA10
FAM43A,1.0,FAM43A
HPGDS,4.333333333333333,HPGDS
PCDHGA5,2.5,PCDHGA5
PCDHGB3,2.5,PCDHGB3
LRMP,12.285714285714285,LRMP
NDUFAF6,7.5555555555555545,NDUFAF6
ME3,7.666666666666668,ME3
ASPSCR1,8.238095238095237,ASPSCR1
PCDHGA12,2.5,PCDHGA12
NR1I2,7.428571428571429,NR1I2
RFTN2,5.5,RFTN2
AC069444.2,18.0,AC069444.2
PCDHGC5,2.5,PCDHGC5
APOL6,3.0,APOL6
HILPDA,2.0,HILPDA
C7orf61,2.5,C7orf61
NBN,7.636363636363638,NBN
CCL4L2,2.763157894736842,CCL4L2
THEM4,4.6,THEM4
TSC22D4,4.0,TSC22D4
COL14A1,25.0,COL14A1
ZDHHC1,6.666666666666668,ZDHHC1
CPNE4,10.214285714285714,CPNE4
MED12L,14.0,MED12L
METTL2B,6.428571428571429,METTL2B
NPIPB12,5.5555555555555545,NPIPB12
P2RY14,3.333333333333333,P2RY14
CAMK1D,8.0,CAMK1D
ZNF212,3.8,ZNF212
MCCC1,11.533333333333333,MCCC1
THEM5,4.5,THEM5
CCL3L3,2.7142857142857144,CCL3L3
C2CD4D,2.0,C2CD4D
URB2,6.5,URB2
MAATS1,8.3125,MAATS1
PLXDC2,13.333333333333336,PLXDC2
SERPINA12,5.5,SERPINA12
MB,3.6,MB
ASAP1,11.6875,ASAP1
ZNF282,5.5,ZNF282
LENG8,8.925925925925926,LENG8
LENG9,1.0,LENG9
CASC1,10.846153846153848,CASC1
LAMB3,15.6,LAMB3
RPUSD4,4.777777777777779,RPUSD4
ALDH16A1,11.125,ALDH16A1
UCHL3,6.166666666666668,UCHL3
AC010619.1,6.0,AC010619.1
LCN2,5.571428571428571,LCN2
INPP5F,14.61904761904762,INPP5F
NRARP,1.0,NRARP
FAM241B,3.6666666666666665,FAM241B
DCUN1D1,6.0,DCUN1D1
INTS8,10.6,INTS8
TOR4A,2.0,TOR4A
IQCE,13.529411764705882,IQCE
MFSD5,2.0,MFSD5
P2RX2,10.25,P2RX2
AC021072.1,1.0,AC021072.1
ZNF398,5.8,ZNF398
NELFB,13.0,NELFB
ILF3,9.5,ILF3
TAF5L,4.0,TAF5L
LINGO4,2.0,LINGO4
MYD88,4.055555555555555,MYD88
TP53INP1,4.5,TP53INP1
TBC1D3B,7.461538461538463,TBC1D3B
RPL13A,5.571428571428571,RPL13A
SENP7,15.625,SENP7
SERPINA11,5.0,SERPINA11
MGAT4C,5.727272727272728,MGAT4C
LRIG1,9.222222222222221,LRIG1
CPXCR1,2.6666666666666665,CPXCR1
CAND1,5.875,CAND1
SLC38A4,10.4,SLC38A4
NTS,3.0,NTS
RORC,7.5,RORC
PADI4,6.2,PADI4
RASSF9,2.0,RASSF9
APPL2,9.625,APPL2
SLC4A4,17.333333333333332,SLC4A4
VEGFA,6.34375,VEGFA
SERPINA9,4.625,SERPINA9
GMCL1,6.5,GMCL1
ALX1,4.0,ALX1
ALKBH5,3.333333333333333,ALKBH5
SLC25A26,9.5,SLC25A26
CWF19L1,8.375,CWF19L1
BAG3,4.5,BAG3
ZNF425,3.0,ZNF425
XKR8,3.0,XKR8
C12orf75,4.875,C12orf75
ZNF786,3.5,ZNF786
HDAC8,8.133333333333333,HDAC8
DHODH,5.4444444444444455,DHODH
TMEM44,6.928571428571429,TMEM44
LRRIQ1,9.0,LRRIQ1
ARHGEF39,7.166666666666668,ARHGEF39
COP1,12.818181818181818,COP1
SH3BP2,6.4642857142857135,SH3BP2
METTL7B,2.5,METTL7B
ERCC6L,2.5,ERCC6L
RNFT1,5.5555555555555545,RNFT1
AL133500.1,12.0,AL133500.1
RARG,4.9444444444444455,RARG
AC005702.1,4.0,AC005702.1
AC009779.3,3.75,AC009779.3
CYP2C18,8.5,CYP2C18
KIAA1217,11.294117647058822,KIAA1217
PIH1D1,5.541666666666668,PIH1D1
STPG3,5.285714285714286,STPG3
AL583836.1,14.0,AL583836.1
SIAH2,2.333333333333333,SIAH2
SMPDL3B,7.0,SMPDL3B
LSG1,5.375,LSG1
CA9,7.25,CA9
AC020636.2,7.0,AC020636.2
P2RX4,8.785714285714286,P2RX4
SUSD1,9.1,SUSD1
DOCK7,13.567567567567568,DOCK7
CYP2C19,6.333333333333332,CYP2C19
SAXO2,2.875,SAXO2
ZNF408,2.8,ZNF408
HESX1,4.25,HESX1
TPPP3,3.6,TPPP3
CCDC107,4.833333333333333,CCDC107
CLRN1,3.625,CLRN1
FFAR2,1.6666666666666667,FFAR2
MINDY4B,7.0,MINDY4B
LGALS13,3.5,LGALS13
SPEN,6.0,SPEN
NCK2,3.8333333333333335,NCK2
PHC3,6.294117647058822,PHC3
CROCC,10.0,CROCC
EDF1,4.666666666666667,EDF1
SH3BP4,4.0,SH3BP4
ZNF709,3.333333333333333,ZNF709
EPHX2,11.166666666666664,EPHX2
AC010422.6,4.0,AC010422.6
IFIH1,8.833333333333334,IFIH1
SF3B5,1.0,SF3B5
SLC1A5,6.666666666666668,SLC1A5
AC008758.5,4.0,AC008758.5
STX11,2.0,STX11
PLS3,10.7,PLS3
AC008758.1,4.0,AC008758.1
LGALS16,4.0,LGALS16
ZNF564,3.6,ZNF564
ZNF517,4.375,ZNF517
OR10K2,1.5,OR10K2
HCST,4.0,HCST
TRIB1,2.5,TRIB1
ERP44,12.0,ERP44
SRP68,6.538461538461537,SRP68
PSEN2,7.636363636363638,PSEN2
TECRL,7.166666666666668,TECRL
ZNF791,3.6666666666666665,ZNF791
C2CD4A,2.0,C2CD4A
STON2,4.7,STON2
TACC1,6.620689655172414,TACC1
TEAD2,9.5,TEAD2
RNF121,6.142857142857142,RNF121
RIIAD1,4.666666666666667,RIIAD1
NFKBID,6.8181818181818175,NFKBID
PSORS1C1,2.921052631578948,PSORS1C1
AC008758.6,5.0,AC008758.6
HCRTR1,7.4,HCRTR1
TRAF2,5.375,TRAF2
HSPH1,11.888888888888891,HSPH1
ZNF490,5.25,ZNF490
PBLD,6.857142857142858,PBLD
PCYT1B,8.0,PCYT1B
PSORS1C2,2.0,PSORS1C2
CDSN,2.0,CDSN
MST1R,8.8,MST1R
CELF3,9.428571428571429,CELF3
COL16A1,16.0,COL16A1
OR10K1,1.8333333333333333,OR10K1
SFT2D2,7.0,SFT2D2
RPUSD3,4.647058823529412,RPUSD3
STX12,5.0,STX12
HCFC1R1,3.6666666666666665,HCFC1R1
OR10R2,1.3333333333333333,OR10R2
GPR173,2.5,GPR173
GIPR,8.555555555555555,GIPR
KRT82,9.0,KRT82
ZACN,5.333333333333333,ZACN
AMBN,13.333333333333336,AMBN
NYAP2,6.5,NYAP2
HNRNPH3,6.545454545454546,HNRNPH3
KRT84,9.0,KRT84
C2CD4B,2.0,C2CD4B
KLF15,2.5,KLF15
PLD6,2.0,PLD6
PRMT3,10.5,PRMT3
ZC3HAV1L,5.0,ZC3HAV1L
PIANP,4.166666666666667,PIANP
NDRG4,7.363636363636362,NDRG4
MPRIP,7.6190476190476195,MPRIP
POF1B,16.5,POF1B
KRT75,9.0,KRT75
IL1RL2,9.25,IL1RL2
CMAS,5.4,CMAS
BACH2,4.9,BACH2
GPR137C,6.25,GPR137C
TJP2,13.46875,TJP2
CFAP100,6.75,CFAP100
SMUG1,3.92,SMUG1
MSLNL,11.666666666666664,MSLNL
ADAD2,6.0,ADAD2
KCNV1,3.5,KCNV1
LETMD1,4.7631578947368425,LETMD1
RUFY2,9.307692307692307,RUFY2
PRKCI,5.428571428571429,PRKCI
THOC6,8.2,THOC6
CHST12,2.0,CHST12
RNF4,5.363636363636363,RNF4
TBK1,13.857142857142858,TBK1
BTG3,3.0,BTG3
IFNAR1,7.142857142857142,IFNAR1
SRP54,7.0,SRP54
MMP23B,4.8,MMP23B
C2CD5,12.777777777777779,C2CD5
OGG1,4.666666666666667,OGG1
RASA1,22.66666666666667,RASA1
ANKRD34C,1.0,ANKRD34C
TAF1C,8.391304347826088,TAF1C
CCHCR1,7.052173913043478,CCHCR1
ZXDC,6.75,ZXDC
LGALS14,4.0,LGALS14
PPP1R8,5.8,PPP1R8
SH2D3C,7.461538461538463,SH2D3C
GAL3ST4,3.0,GAL3ST4
SOGA1,11.0,SOGA1
SUCO,13.0,SUCO
LHX1,3.0,LHX1
DKKL1,3.8333333333333335,DKKL1
ABHD11,4.357142857142857,ABHD11
CDK11B,19.11111111111111,CDK11B
GALP,4.333333333333333,GALP
MON1A,4.888888888888889,MON1A
SKIL,4.2,SKIL
GPC2,5.8,GPC2
MACC1,4.6,MACC1
ZSCAN5B,4.0,ZSCAN5B
GABRA1,7.9,GABRA1
CDKN2D,2.5,CDKN2D
COL17A1,18.2,COL17A1
TSPYL2,4.333333333333333,TSPYL2
TCL1B,3.333333333333333,TCL1B
C21orf91,4.166666666666667,C21orf91
SCN7A,18.75,SCN7A
GRIFIN,4.0,GRIFIN
BICDL2,8.166666666666666,BICDL2
SND1,5.6875,SND1
HECTD3,8.428571428571429,HECTD3
TATDN3,6.882352941176472,TATDN3
ZCCHC14,10.4,ZCCHC14
MAP2K5,11.916666666666664,MAP2K5
AC026316.4,4.0,AC026316.4
VAMP1,4.125,VAMP1
YWHAE,3.3846153846153846,YWHAE
CLDN11,3.571428571428572,CLDN11
DBF4B,7.7,DBF4B
PEF1,3.75,PEF1
ZNF655,3.84,ZNF655
COQ8A,9.444444444444443,COQ8A
SLC6A5,13.0,SLC6A5
ZSCAN5C,4.5,ZSCAN5C
HDAC10,10.227272727272727,HDAC10
ESX1,4.0,ESX1
SLC7A14,5.0,SLC7A14
SGSM1,20.83333333333333,SGSM1
UROD,6.333333333333332,UROD
MMP25,5.75,MMP25
KDM8,3.928571428571429,KDM8
CFAP99,7.142857142857142,CFAP99
LRRC4,2.5,LRRC4
ACTL7B,1.0,ACTL7B
ANXA4,7.083333333333332,ANXA4
TBX19,5.25,TBX19
ACTL7A,1.0,ACTL7A
DNAAF1,6.2,DNAAF1
LY6G6E,2.75,LY6G6E
RPE,6.0625,RPE
SCN2B,3.6,SCN2B
WDR47,10.0,WDR47
LY6G6F-LY6G6D,6.0,LY6G6F-LY6G6D
FAM193A,15.909090909090908,FAM193A
CNTFR,9.0,CNTFR
LY6G6F,6.0,LY6G6F
RAD51C,5.277777777777779,RAD51C
OR13J1,1.0,OR13J1
LY6G6D,3.083333333333333,LY6G6D
TAPBPL,5.375,TAPBPL
RAMP1,3.25,RAMP1
KRT6B,9.0,KRT6B
RPH3A,9.25925925925926,RPH3A
ZC3HAV1,10.25,ZC3HAV1
KRT6C,5.5,KRT6C
GNAO1,5.461538461538462,GNAO1
TEX13A,3.0,TEX13A
SIDT1,7.833333333333332,SIDT1
CCNH,5.928571428571429,CCNH
IL1RAPL2,6.666666666666668,IL1RAPL2
CD27,5.5,CD27
UROC1,20.5,UROC1
CSRNP2,3.625,CSRNP2
HRCT1,1.0,HRCT1
JPH3,4.25,JPH3
SPAAR,3.4,SPAAR
CDK18,7.173913043478262,CDK18
FLCN,4.4,FLCN
BYSL,4.8,BYSL
TOM1L2,9.214285714285714,TOM1L2
TTLL3,5.8181818181818175,TTLL3
KLHDC4,6.148148148148147,KLHDC4
CBWD6,10.944444444444445,CBWD6
AC005020.2,6.0,AC005020.2
MPZ,4.333333333333333,MPZ
USF3,5.5,USF3
AAK1,6.9230769230769225,AAK1
FAM200A,2.0,FAM200A
DCSTAMP,2.625,DCSTAMP
TMEM225B,5.333333333333333,TMEM225B
NUDT2,4.25,NUDT2
ENAM,5.5,ENAM
MZT1,3.0,MZT1
AC055811.2,12.0,AC055811.2
POU5F1B,3.5,POU5F1B
LILRB2,8.616666666666667,LILRB2
DPYS,3.75,DPYS
FBXW5,6.125,FBXW5
KRT6A,4.6,KRT6A
PIBF1,7.75,PIBF1
CHST13,3.5,CHST13
OLA1,6.888888888888888,OLA1
MTFMT,5.7142857142857135,MTFMT
JCHAIN,4.666666666666667,JCHAIN
C3orf22,5.0,C3orf22
LRATD2,1.6666666666666667,LRATD2
ITIH5,7.4444444444444455,ITIH5
SFR1,3.333333333333333,SFR1
MYORG,2.0,MYORG
NAA50,4.0,NAA50
CHRNA2,4.538461538461538,CHRNA2
CFAP43,16.714285714285715,CFAP43
TEX14,23.33333333333333,TEX14
DIS3,17.6,DIS3
NFATC2,9.428571428571429,NFATC2
ZSCAN5A,3.3529411764705883,ZSCAN5A
OR6Y1,1.6666666666666667,OR6Y1
FEZF2,5.0,FEZF2
KRT5,4.636363636363637,KRT5
SPATA33,2.5,SPATA33
IRS1,2.0,IRS1
FXN,5.0,FXN
OR6P1,2.0,OR6P1
ICAM4,2.6666666666666665,ICAM4
ZDHHC8,7.0,ZDHHC8
ST8SIA1,3.733333333333333,ST8SIA1
PALM2,6.0,PALM2
CHMP1A,4.8,CHMP1A
OR10X1,1.0,OR10X1
ANKRD1,9.0,ANKRD1
C8G,4.333333333333333,C8G
BCKDHB,6.0,BCKDHB
MRPL4,6.909090909090909,MRPL4
EDDM13,5.75,EDDM13
CHM,5.4,CHM
RPP25L,2.0,RPP25L
GEMIN6,4.333333333333333,GEMIN6
AKAP2,3.125,AKAP2
C1orf94,7.0,C1orf94
AL358113.1,14.0,AL358113.1
ABCC10,8.2,ABCC10
TXNRD3,10.428571428571429,TXNRD3
LCN12,4.2,LCN12
OR10Z1,1.5,OR10Z1
SPTA1,8.666666666666666,SPTA1
CDK9,4.2,CDK9
ZNF582,4.857142857142857,ZNF582
CFAP126,5.0,CFAP126
TSTA3,5.375,TSTA3
SKA1,6.2,SKA1
PALM2-AKAP2,10.0,PALM2-AKAP2
SDHC,4.666666666666667,SDHC
ADAMTS20,27.0,ADAMTS20
ALG1L2,6.333333333333332,ALG1L2
KANSL1L,6.636363636363638,KANSL1L
N4BP2L2,5.933333333333334,N4BP2L2
ODF2,12.95,ODF2
DOCK11,39.5,DOCK11
SLC6A20,7.142857142857142,SLC6A20
KRT71,9.0,KRT71
ADGRG3,7.428571428571429,ADGRG3
E2F7,7.571428571428571,E2F7
GPR52,1.0,GPR52
EVI5L,8.857142857142858,EVI5L
UTY,22.0625,UTY
POM121L12,1.0,POM121L12
DLK2,5.25,DLK2
NPHS2,7.5,NPHS2
XCL2,3.0,XCL2
RABGAP1L,7.954545454545454,RABGAP1L
MCU,6.1818181818181825,MCU
KRT74,7.333333333333332,KRT74
BORA,9.5,BORA
OR2S2,1.0,OR2S2
TMED3,3.0,TMED3
GCOM1,12.2,GCOM1
CR1,24.08333333333333,CR1
SEL1L,7.333333333333332,SEL1L
AXDND1,11.0,AXDND1
SKA2,3.3,SKA2
ICAM1,4.0,ICAM1
MAPK12,9.545454545454543,MAPK12
ADCY3,8.384615384615385,ADCY3
ZNF7,4.4444444444444455,ZNF7
XCL1,3.0,XCL1
KRT72,8.0,KRT72
RPL22L1,3.6666666666666665,RPL22L1
PTPRR,9.181818181818182,PTPRR
TEX10,9.25,TEX10
AC005666.1,2.0,AC005666.1
DRC7,8.5,DRC7
N4BP2L1,5.5,N4BP2L1
TRIM62,4.0,TRIM62
SEPT4,7.206896551724138,SEPT4
ARPC4-TTLL3,7.25,ARPC4-TTLL3
TRIM37,10.285714285714286,TRIM37
LRRCC1,14.5,LRRCC1
DCTN3,4.545454545454546,DCTN3
AATF,4.0,AATF
FAM83C,4.0,FAM83C
EIF5A2,4.2,EIF5A2
KRT73,7.666666666666668,KRT73
TADA3,6.166666666666668,TADA3
CACNA1A,17.25,CACNA1A
PDP1,2.5,PDP1
ZBTB17,5.8125,ZBTB17
TRIM36,4.9,TRIM36
MINAR1,4.0,MINAR1
BMS1,23.0,BMS1
SYNGR1,3.571428571428572,SYNGR1
RHBDD1,3.8,RHBDD1
CASP7,6.666666666666668,CASP7
INVS,8.571428571428571,INVS
GJC2,2.0,GJC2
NLRP12,8.666666666666666,NLRP12
IBA57,3.0,IBA57
SLC2A2,7.4,SLC2A2
IL18R1,8.0,IL18R1
CENPO,5.5555555555555545,CENPO
PAPPA,9.666666666666666,PAPPA
DCBLD2,6.5,DCBLD2
ERO1A,7.454545454545454,ERO1A
MPPED1,4.0,MPPED1
IL1RL1,6.5555555555555545,IL1RL1
SEMA4D,8.791666666666666,SEMA4D
PTRHD1,2.1666666666666665,PTRHD1
DNAJA3,5.296296296296297,DNAJA3
CAMK1,6.666666666666668,CAMK1
DPT,4.0,DPT
C9orf24,4.142857142857143,C9orf24
PPM1E,7.0,PPM1E
MRGPRX1,1.5,MRGPRX1
SPTLC3,4.833333333333333,SPTLC3
SCN5A,18.5,SCN5A
NUCB2,7.571428571428571,NUCB2
ARL14EPL,4.0,ARL14EPL
SLC39A7,5.5588235294117645,SLC39A7
COMMD5,2.0,COMMD5
FOXD4L6,1.0,FOXD4L6
OR6K2,1.0,OR6K2
C2orf40,3.6666666666666665,C2orf40
UTP3,1.0,UTP3
LVRN,12.2,LVRN
MRGPRX2,2.0,MRGPRX2
AL451007.3,1.0,AL451007.3
STMN2,5.333333333333333,STMN2
LEP,3.0,LEP
SRARP,2.0,SRARP
AL049779.1,4.0,AL049779.1
QARS,8.923076923076922,QARS
EFCAB6,11.6,EFCAB6
OR6K3,1.5,OR6K3
ARG2,5.25,ARG2
ICAM5,5.2,ICAM5
CDH5,7.222222222222222,CDH5
ARPC4,5.5,ARPC4
ATP6V1A,8.5,ATP6V1A
COL6A5,21.2,COL6A5
OAS3,4.571428571428571,OAS3
GDE1,4.4,GDE1
CDK10,7.3181818181818175,CDK10
OR6N1,1.6666666666666667,OR6N1
AP000944.2,20.0,AP000944.2
VTI1B,4.166666666666667,VTI1B
OR6K6,1.0,OR6K6
RXRB,6.567567567567568,RXRB
POLA2,9.5,POLA2
ISM1,6.0,ISM1
OR7A5,1.5,OR7A5
FAM207A,4.8,FAM207A
RUFY3,7.333333333333332,RUFY3
AC005255.1,3.6,AC005255.1
ST3GAL6,6.678571428571429,ST3GAL6
RETREG3,5.666666666666668,RETREG3
PSMB3,4.333333333333333,PSMB3
AC004551.1,3.8181818181818175,AC004551.1
RDH11,4.818181818181818,RDH11
FAM229B,4.0,FAM229B
FAM185A,6.375,FAM185A
ARHGEF12,14.214285714285715,ARHGEF12
SLC51B,4.0,SLC51B
CCN6,5.2727272727272725,CCN6
MYADM,2.8181818181818183,MYADM
GATAD2B,5.461538461538462,GATAD2B
HEY1,3.125,HEY1
RASL12,4.666666666666667,RASL12
ICAM3,4.5,ICAM3
COL4A4,31.5,COL4A4
PITPNM3,13.4,PITPNM3
CCL2,1.75,CCL2
C12orf49,3.25,C12orf49
AC084121.9,4.0,AC084121.9
TMEM211,3.6666666666666665,TMEM211
AC084121.11,4.0,AC084121.11
PLEKHS1,8.555555555555555,PLEKHS1
OR7A10,1.5,OR7A10
ZNF469,2.5,ZNF469
AC084121.6,4.0,AC084121.6
C9orf152,2.0,C9orf152
TUBG1,7.0,TUBG1
C1GALT1,3.0,C1GALT1
CDC42EP2,2.0,CDC42EP2
METTL14,6.666666666666668,METTL14
ZFPM1,5.6,ZFPM1
KIF26B,8.571428571428571,KIF26B
LILRA3,7.411764705882352,LILRA3
AC011511.4,8.0,AC011511.4
OAS2,6.857142857142858,OAS2
PSPH,5.166666666666667,PSPH
ZGLP1,4.0,ZGLP1
MMS19,14.210526315789476,MMS19
AC084121.12,4.0,AC084121.12
BMP2K,9.875,BMP2K
ZNF362,5.2,ZNF362
RAVER1,8.857142857142858,RAVER1
GPR89A,8.461538461538463,GPR89A
CCR9,3.0,CCR9
LY6G6C,3.5,LY6G6C
MAPK4,3.6666666666666665,MAPK4
RNFT2,7.4444444444444455,RNFT2
KCNJ6,4.5,KCNJ6
TUBE1,6.363636363636362,TUBE1
MPIG6B,5.220338983050848,MPIG6B
TXN,3.6666666666666665,TXN
GJB4,2.0,GJB4
C7orf33,3.0,C7orf33
COX20,3.8,COX20
GJB5,2.0,GJB5
RAB22A,5.5,RAB22A
LZTFL1,6.875,LZTFL1
TCL1A,3.6666666666666665,TCL1A
GJA4,2.0,GJA4
FDX2,4.0,FDX2
AC084121.8,4.0,AC084121.8
KIF21A,18.428571428571427,KIF21A
UBIAD1,3.0,UBIAD1
SLC9A5,9.555555555555557,SLC9A5
AC011195.2,2.0,AC011195.2
PIMREG,5.111111111111111,PIMREG
GJB3,2.0,GJB3
PPM1A,4.875,PPM1A
DTX1,4.8,DTX1
PAQR3,5.666666666666668,PAQR3
ADAMTSL1,8.8,ADAMTSL1
HNRNPU,8.903225806451612,HNRNPU
SMIM12,2.6666666666666665,SMIM12
HRK,3.0,HRK
LPCAT3,5.846153846153847,LPCAT3
AC011511.1,9.0,AC011511.1
GSTO1,5.142857142857143,GSTO1
STOX1,4.0,STOX1
ADAR,9.619047619047619,ADAR
CCL7,2.6666666666666665,CCL7
LAGE3,3.0,LAGE3
DUX4,2.25,DUX4
BCAR3,6.416666666666668,BCAR3
CSMD1,29.944444444444446,CSMD1
PLXNA3,6.111111111111112,PLXNA3
OR7A17,2.333333333333333,OR7A17
RASAL1,16.4,RASAL1
FBXW8,8.75,FBXW8
RECK,13.666666666666664,RECK
OBSCN,31.17241379310345,OBSCN
OIT3,8.5,OIT3
MYZAP,9.0,MYZAP
ITGA11,11.571428571428573,ITGA11
CLCNKA,14.428571428571427,CLCNKA
NAV3,12.5625,NAV3
PGM2,9.166666666666666,PGM2
UPF2,16.75,UPF2
CCDC188,7.5,CCDC188
NRK,15.75,NRK
ERBIN,12.647058823529413,ERBIN
FHOD1,7.6,FHOD1
SARS,5.666666666666668,SARS
SPATA45,3.0,SPATA45
RIOK3,6.909090909090909,RIOK3
CHCHD6,5.75,CHCHD6
TXNDC8,5.25,TXNDC8
TESC,5.5,TESC
XIRP2,8.857142857142858,XIRP2
PLA2G12B,4.0,PLA2G12B
EMG1,5.5,EMG1
KBTBD13,1.0,KBTBD13
RET,9.142857142857142,RET
TMCO6,5.7857142857142865,TMCO6
A3GALT2,5.0,A3GALT2
PHC2,7.083333333333332,PHC2
CDH17,12.0,CDH17
PCGF5,7.2,PCGF5
USF2,5.8125,USF2
SEMA3C,7.222222222222222,SEMA3C
GSTO2,5.0,GSTO2
TRIM71,4.0,TRIM71
FBXO21,8.25,FBXO21
TLDC2,5.0,TLDC2
TTI2,6.333333333333332,TTI2
HSPB7,3.0,HSPB7
ZNF623,1.6666666666666667,ZNF623
SF3B1,9.642857142857142,SF3B1
C1S,6.095238095238094,C1S
POLR2M,3.4444444444444446,POLR2M
SAMHD1,10.407407407407408,SAMHD1
NELL2,10.4,NELL2
PAM,8.888888888888891,PAM
RAPGEF5,10.153846153846152,RAPGEF5
ITPRIP,2.6,ITPRIP
KIAA1671,8.166666666666666,KIAA1671
HECTD2,11.0,HECTD2
MAK16,6.0,MAK16
SAXO1,5.2,SAXO1
MRPL9,4.818181818181818,MRPL9
UNC79,41.833333333333336,UNC79
CFAP58,10.5,CFAP58
CD14,2.8,CD14
SPEF2,14.0,SPEF2
OR6N2,1.5,OR6N2
FUT10,3.5454545454545454,FUT10
ARHGAP27,8.339285714285714,ARHGAP27
TPP2,12.352941176470587,TPP2
IK,7.1818181818181825,IK
AGTR2,3.0,AGTR2
TUBA3D,4.0,TUBA3D
