Genes,Phosphosite_hu_no,Norm_Symbol
RSL1D1,44,RSL1D1
CSK,15,CSK
CSMD1,9,CSMD1
CSMD2,17,CSMD2
CSMD3,16,CSMD3
CSN1S1,8,CSN1S1
CSN2,6,CSN2
CSNK2A3,12,CSNK2A3
VCAN,25,VCAN
NCAN,2,NCAN
CSPG5,3,CSPG5
CSPP1,31,CSPP1
SCARA3,3,SCARA3
CSRP1,18,CSRP1
CSRP2,7,CSRP2
KAT14,18,KAT14
CSRP3,10,CSRP3
CHSY3,5,CHSY3
CST11,1,CST11
CST3,1,CST3
CST4,8,CST4
CST6,1,CST6
CST7,5,CST7
CST9L,3,CST9L
CSTB,9,CSTB
CSTF2T,20,CSTF2T
CSTF3,18,CSTF3
CSTF1,5,CSTF1
CSTF2,18,CSTF2
CT45A1,5,CT45A1
CT45A2,2,CT45A2
CT45A10,1,CT45A10
CT45A3,7,CT45A3
CT45A5,2,CT45A5
CT45A6,1,CT45A6
CT45A7,1,CT45A7
CT45A8,1,CT45A8
CT45A9,1,CT45A9
CT55,1,CT55
CT62,4,CT62
CTAG1B,2,CTAG1B
CTAG2,3,CTAG2
CTAGE1,17,CTAGE1
CTAGE15,10,CTAGE15
CTAGE4,14,CTAGE4
MIA2,57,MIA2
CTAGE6,18,CTAGE6
CTAGE8,13,CTAGE8
CTAGE9,12,CTAGE9
CTBP1,7,CTBP1
CTBP2,16,CTBP2
CTBS,3,CTBS
CTC1,6,CTC1
CTCF,33,CTCF
CTDP1,34,CTDP1
CTDSP1,6,CTDSP1
CTDSP2,1,CTDSP2
CTDSPL,8,CTDSPL
CTDSPL2,26,CTDSPL2
CTF1,1,CTF1
CHTF18,23,CHTF18
CTGF,8,CTGF
AGAP6,7,AGAP6
AGAP7P,10,AGAP7P
AGAP9,3,AGAP9
CTH,3,CTH
CTHRC1,1,CTHRC1
CTIF,11,CTIF
RBBP8,39,RBBP8
MATK,10,MATK
CTLA4,4,CTLA4
THEM4,4,THEM4
CTNNA1,55,CTNNA1
CTNNA2,20,CTNNA2
CTNNA3,14,CTNNA3
CTNNAL1,10,CTNNAL1
CTNNB1,49,CTNNB1
CTNNBIP1,3,CTNNBIP1
CTNNBL1,9,CTNNBL1
CTNND1,164,CTNND1
CTNND2,45,CTNND2
JUP,45,JUP
CTNS,4,CTNS
CTPS1,29,CTPS1
CTPS2,14,CTPS2
CTRB1,1,CTRB1
CTRB2,5,CTRB2
CTRL,1,CTRL
CTSA,4,CTSA
CTSB,6,CTSB
CTSC,9,CTSC
CTSD,11,CTSD
CTSE,1,CTSE
CTSF,4,CTSF
CTSG,1,CTSG
CTSH,4,CTSH
CTSK,2,CTSK
CTSL,3,CTSL
CTSV,1,CTSV
CTSO,1,CTSO
CTSS,7,CTSS
CTSZ,1,CTSZ
CTTNBP2,17,CTTNBP2
CTTNBP2NL,34,CTTNBP2NL
CTU2,6,CTU2
CTXN1,3,CTXN1
CTXN3,2,CTXN3
CUBN,21,CUBN
CUEDC1,14,CUEDC1
CUEDC2,3,CUEDC2
CUL1,5,CUL1
CUL2,7,CUL2
CUL3,20,CUL3
CUL4A,13,CUL4A
CUL4B,73,CUL4B
CUL5,12,CUL5
CUL7,19,CUL7
CUL9,25,CUL9
CUTA,3,CUTA
CUTC,7,CUTC
CUX1,76,CUX1
CUX2,16,CUX2
CUZD1,3,CUZD1
CWF19L1,6,CWF19L1
CWF19L2,30,CWF19L2
CWH43,4,CWH43
CX3CL1,3,CX3CL1
CX3CR1,4,CX3CR1
CXADR,24,CXADR
CXCL11,2,CXCL11
CXCL12,3,CXCL12
CXCL13,2,CXCL13
CXCL14,2,CXCL14
CXCL16,4,CXCL16
CXCL5,1,CXCL5
CXCL6,1,CXCL6
CXCR3,1,CXCR3
CXCR4,20,CXCR4
CXCR5,1,CXCR5
CXCR6,1,CXCR6
CXORF1,1,CXORF1
CXORF21,1,CXORF21
CXORF23,13,CXORF23
CXORF36,1,CXORF36
CXORF38,5,CXORF38
CXORF49,10,CXORF49
CXORF51A,2,CXORF51A
CXORF56,7,CXORF56
CXORF57,10,CXORF57
CXORF58,4,CXORF58
CXORF66,3,CXORF66
CXXC1,19,CXXC1
CXXC4,2,CXXC4
CXXC5,4,CXXC5
CYB561,3,CYB561
CYB561D1,3,CYB561D1
CYB561D2,2,CYB561D2
CYB5A,5,CYB5A
CYB5B,6,CYB5B
CYB5D1,2,CYB5D1
CYB5D2,2,CYB5D2
CYB5R1,7,CYB5R1
CYB5R2,3,CYB5R2
CYB5R3,14,CYB5R3
CYB5R4,7,CYB5R4
CYB5RL,1,CYB5RL
CYBA,6,CYBA
CYBB,6,CYBB
CYBRD1,11,CYBRD1
CYC1,6,CYC1
CYCS,10,CYCS
CYFIP1,28,CYFIP1
CYFIP2,16,CYFIP2
CYGB,2,CYGB
CYHR1,6,CYHR1
CYLC1,18,CYLC1
CYLC2,9,CYLC2
CYLD,33,CYLD
CLIP2,38,CLIP2
CYP11A1,2,CYP11A1
CYP11B1,4,CYP11B1
CYP11B2,2,CYP11B2
CYP17A1,5,CYP17A1
CYP19A1,10,CYP19A1
CYP1A1,3,CYP1A1
CYP1A2,8,CYP1A2
CYP1B1,1,CYP1B1
CYP20A1,6,CYP20A1
CYP21A2,3,CYP21A2
CYP24A1,8,CYP24A1
CYP26A1,2,CYP26A1
CYP26B1,5,CYP26B1
CYP26C1,3,CYP26C1
CYP27A1,3,CYP27A1
CYP27C1,1,CYP27C1
CYP2A13,6,CYP2A13
CYP2A6,12,CYP2A6
CYP2A7,7,CYP2A7
CYP2B6,1,CYP2B6
CYP2C18,4,CYP2C18
CYP2C19,4,CYP2C19
CYP2C8,4,CYP2C8
CYP2C9,7,CYP2C9
CYP2D6,5,CYP2D6
CYP2E1,19,CYP2E1
CYP2F1,4,CYP2F1
CYP2J2,8,CYP2J2
CYP2R1,2,CYP2R1
CYP2S1,9,CYP2S1
CYP2U1,2,CYP2U1
CYP2W1,2,CYP2W1
CYP39A1,6,CYP39A1
CYP3A4,18,CYP3A4
CYP3A43,2,CYP3A43
CYP3A5,8,CYP3A5
CYP3A7,7,CYP3A7
CYP46A1,5,CYP46A1
CYP4A11,5,CYP4A11
CYP4A22,10,CYP4A22
CYP4B1,4,CYP4B1
CYP4F11,4,CYP4F11
CYP4F12,4,CYP4F12
CYP4F2,3,CYP4F2
CYP4F22,3,CYP4F22
CYP4F3,1,CYP4F3
CYP4F30P,1,CYP4F30P
CYP4F8,6,CYP4F8
CYP4V2,1,CYP4V2
CYP4X1,2,CYP4X1
CYP4Z1,3,CYP4Z1
CYP51A1,14,CYP51A1
CYP7A1,8,CYP7A1
CYP7B1,9,CYP7B1
CYP8B1,12,CYP8B1
CYR61,8,CYR61
CYS1,4,CYS1
CYSLTR1,8,CYSLTR1
CYSRT1,8,CYSRT1
CYSTM1,1,CYSTM1
CYTL1,1,CYTL1
CYTH1,3,CYTH1
CYTH2,8,CYTH2
CYTH3,5,CYTH3
CYTH4,4,CYTH4
NSG1,3,NSG1
DAAM1,21,DAAM1
DAAM2,6,DAAM2
DAB1,6,DAB1
DAB2,45,DAB2
DAB2IP,50,DAB2IP
DACH1,25,DACH1
DACH2,4,DACH2
DACT1,16,DACT1
DACT2,5,DACT2
DACT3,24,DACT3
DAD1,4,DAD1
DAG1,22,DAG1
DAGLB,12,DAGLB
TKFC,11,TKFC
DALRD3,5,DALRD3
DAND5,1,DAND5
DAO,1,DAO
DAP,8,DAP
DAP3,18,DAP3
DAPK1,26,DAPK1
DAPK2,9,DAPK2
DAPK3,15,DAPK3
DAPL1,5,DAPL1
CCDC88C,65,CCDC88C
DAPP1,5,DAPP1
PPP1R1B,17,PPP1R1B
DARS,24,DARS
DARS2,2,DARS2
SLC6A3,12,SLC6A3
DIDO1,92,DIDO1
DAXX,50,DAXX
DAZ1,6,DAZ1
DAZ2,22,DAZ2
DAZ3,1,DAZ3
DAZ4,2,DAZ4
DAZAP1,8,DAZAP1
DAZAP2,4,DAZAP2
DAZL,2,DAZL
CCAR2,33,CCAR2
BRINP1,1,BRINP1
DBF4,45,DBF4
DBF4B,9,DBF4B
DBH,8,DBH
DBI,9,DBI
DBN1,41,DBN1
DBNDD1,5,DBNDD1
DBNDD2,1,DBNDD2
DBNL,55,DBNL
DBP,5,DBP
DBR1,10,DBR1
DBT,11,DBT
DBX1,6,DBX1
DBX2,2,DBX2
DCAF15,14,DCAF15
DCAF16,2,DCAF16
DCAF17,7,DCAF17
DCAF8L1,1,DCAF8L1
DCAKD,3,DCAKD
DCLK1,38,DCLK1
DCLK2,27,DCLK2
DCLK3,7,DCLK3
DCANP1,3,DCANP1
DCBLD1,19,DCBLD1
DCBLD2,33,DCBLD2
DCC,17,DCC
DSCC1,3,DSCC1
DCD,1,DCD
DCDC1,15,DCDC1
DCDC2,18,DCDC2
DCDC2B,9,DCDC2B
DCDC2C,6,DCDC2C
DCHS1,29,DCHS1
DCHS2,16,DCHS2
ECI1,3,ECI1
DCK,14,DCK
DCLRE1A,22,DCLRE1A
DCLRE1B,5,DCLRE1B
DCN,3,DCN
DCP1A,41,DCP1A
DCP1B,26,DCP1B
DCP2,19,DCP2
DCPS,5,DCPS
DCST1,2,DCST1
DCST2,3,DCST2
DCTD,6,DCTD
DCUN1D1,2,DCUN1D1
DCUN1D2,2,DCUN1D2
DCUN1D3,5,DCUN1D3
DCUN1D4,3,DCUN1D4
DCUN1D5,4,DCUN1D5
DCXR,10,DCXR
DDX11L8,8,DDX11L8
DDA1,8,DDA1
DDAH1,6,DDAH1
DDAH2,10,DDAH2
DDB1,30,DDB1
DDB2,8,DDB2
CEP295NL,4,CEP295NL
ASAP1,40,ASAP1
ASAP2,25,ASAP2
ASAP3,15,ASAP3
DDHD1,23,DDHD1
DDHD2,10,DDHD2
DDI1,5,DDI1
DDI2,11,DDI2
DDIT3,9,DDIT3
DDIT4,4,DDIT4
DDIT4L,2,DDIT4L
DDN,6,DDN
DDO,4,DDO
DDOST,11,DDOST
DDR1,17,DDR1
DDR2,17,DDR2
DDRGK1,12,DDRGK1
DDT,3,DDT
DDTL,2,DDTL
DDX1,27,DDX1
DDX10,34,DDX10
DDX11,14,DDX11
DDX12P,7,DDX12P
DHX15,26,DHX15
DHX16,17,DHX16
DDX17,44,DDX17
DDX18,28,DDX18
DDX19A,11,DDX19A
DDX19B,11,DDX19B
DDX21,42,DDX21
DDX23,30,DDX23
DDX24,26,DDX24
DDX25,4,DDX25
INTS6L,16,INTS6L
DDX27,31,DDX27
DDX28,8,DDX28
DHX29,26,DHX29
DDX3X,64,DDX3X
DHX30,30,DHX30
DDX31,14,DDX31
DDX39A,17,DDX39A
DDX3Y,35,DDX3Y
DDX4,14,DDX4
DDX41,16,DDX41
DDX42,35,DDX42
DDX43,10,DDX43
DDX46,44,DDX46
DDX47,11,DDX47
EIF4A3,15,EIF4A3
DDX49,6,DDX49
DDX5,39,DDX5
DDX50,24,DDX50
DDX51,9,DDX51
DDX52,11,DDX52
DDX53,6,DDX53
DDX54,34,DDX54
DDX55,11,DDX55
DDX56,12,DDX56
DDX58,15,DDX58
DDX59,13,DDX59
DDX6,18,DDX6
DDX60,18,DDX60
DDX60L,11,DDX60L
DHX8,30,DHX8
DHX9,56,DHX9
DEAF1,12,DEAF1
DECR1,4,DECR1
DECR2,7,DECR2
CLEC7A,7,CLEC7A
DEDD,3,DEDD
DEDD2,6,DEDD2
DIEXF,14,DIEXF
DEF6,19,DEF6
DEF8,4,DEF8
DEFB110,4,DEFB110
DEFB118,4,DEFB118
DEFB121,1,DEFB121
DEFA1,4,DEFA1
DEFA3,4,DEFA3
DEFA6,1,DEFA6
DEFB115,1,DEFB115
DEFB116,5,DEFB116
DEFB119,3,DEFB119
DEFB123,3,DEFB123
DEFB125,1,DEFB125
DEGS1,2,DEGS1
DEGS2,2,DEGS2
DEK,43,DEK
EXO5,6,EXO5
DMTN,54,DMTN
DENND1A,38,DENND1A
DENND1B,27,DENND1B
DENND1C,11,DENND1C
DENND2A,15,DENND2A
ST5,53,ST5
DENND2C,13,DENND2C
DENND2D,3,DENND2D
DENND3,15,DENND3
DENND4A,67,DENND4A
DENND4B,18,DENND4B
DENND4C,121,DENND4C
DENND5B,17,DENND5B
DENND6A,1,DENND6A
DENND6B,5,DENND6B
DENR,9,DENR
DEPDC1,15,DEPDC1
DEPDC1B,12,DEPDC1B
DEPDC5,30,DEPDC5
DEPDC7,15,DEPDC7
DEPP1,2,DEPP1
DEPTOR,35,DEPTOR
DERA,7,DERA
DERL1,5,DERL1
DERL2,2,DERL2
ELP5,5,ELP5
DES,41,DES
DSP,150,DSP
DSTN,11,DSTN
DET1,3,DET1
DFFA,18,DFFA
DFFB,4,DFFB
GSDME,7,GSDME
PJVK,1,PJVK
DGAT1,6,DGAT1
DGAT2,6,DGAT2
AWAT2,2,AWAT2
ESS2,31,ESS2
DGCR2,8,DGCR2
DGCR6,1,DGCR6
DGCR6L,1,DGCR6L
DGCR8,30,DGCR8
DGKA,13,DGKA
DGKB,6,DGKB
DGKD,11,DGKD
DGKE,2,DGKE
DGKG,2,DGKG
DGKH,17,DGKH
DGKI,7,DGKI
DGKK,15,DGKK
DGKQ,6,DGKQ
DGKZ,49,DGKZ
DGLUCY,5,DGLUCY
DGUOK,1,DGUOK
DHCR7,9,DHCR7
DHDDS,4,DHDDS
DHFR,5,DHFR
DHFR2,4,DHFR2
DHH,1,DHH
DHODH,10,DHODH
DHPS,6,DHPS
DHRS1,4,DHRS1
DHRS13,6,DHRS13
DHRS2,2,DHRS2
DHRS3,1,DHRS3
DHRS4,5,DHRS4
DHRS4L1,4,DHRS4L1
DHRS4L2,1,DHRS4L2
BDH2,3,BDH2
DHRS7,7,DHRS7
DHRS7B,8,DHRS7B
DHRS7C,2,DHRS7C
DHTKD1,2,DHTKD1
DHX32,6,DHX32
DHX33,18,DHX33
DHX34,9,DHX34
DHX35,7,DHX35
DHX36,24,DHX36
DHX37,14,DHX37
DHX38,30,DHX38
DHX40,14,DHX40
DHX57,20,DHX57
DHX58,3,DHX58
DIABLO,8,DIABLO
DIAPH1,32,DIAPH1
DIAPH2,12,DIAPH2
DIAPH3,21,DIAPH3
DICER1,37,DICER1
DHCR24,11,DHCR24
DIMT1,1,DIMT1
DIO1,1,DIO1
DIO3,1,DIO3
GRAMD4,16,GRAMD4
DIP2A,25,DIP2A
DIP2B,53,DIP2B
DIP2C,27,DIP2C
DIRAS1,1,DIRAS1
DIRAS3,2,DIRAS3
DIRC2,2,DIRC2
DIS3,13,DIS3
DIS3L,17,DIS3L
DIS3L2,15,DIS3L2
DISC1,12,DISC1
DISP1,14,DISP1
DISP2,20,DISP2
DIXDC1,18,DIXDC1
PARK7,7,PARK7
LOC100271840,22,LOC100271840
PKI55,1,PKI55
PARM1,4,PARM1
DKFZP686G21220,2,DKFZP686G21220
LIN54,19,LIN54
CCDC149,7,CCDC149
C18ORF63,9,C18ORF63
DKK1,8,DKK1
DKK2,7,DKK2
DKK3,2,DKK3
DKKL1,2,DKKL1
DLAT,16,DLAT
DLC1,45,DLC1
DLD,7,DLD
DLEC1,7,DLEC1
DLEU7,5,DLEU7
DLG1,66,DLG1
DLG3,38,DLG3
DLG5,80,DLG5
MPP4,3,MPP4
DLGAP5,64,DLGAP5
MAP3K12,14,MAP3K12
DLK1,2,DLK1
DLL1,5,DLL1
DLL3,6,DLL3
DLL4,1,DLL4
SKIDA1,12,SKIDA1
DLST,5,DLST
DLX1,4,DLX1
DLX2,6,DLX2
DLX3,2,DLX3
DLX4,5,DLX4
DLX5,2,DLX5
DLX6,4,DLX6
DMAP1,21,DMAP1
DMBT1,8,DMBT1
DMBX1,3,DMBX1
DMGDH,9,DMGDH
DMKN,3,DMKN
SYNM,57,SYNM
DMP1,1,DMP1
DMPK,4,DMPK
CDC42BPG,25,CDC42BPG
DMRT1,2,DMRT1
DMRT2,9,DMRT2
DMRT3,21,DMRT3
DMRTA1,3,DMRTA1
DMRTA2,4,DMRTA2
DMRTB1,1,DMRTB1
DMRTC2,2,DMRTC2
DMTF1,2,DMTF1
DMWD,20,DMWD
DMXL1,64,DMXL1
DNA2,15,DNA2
DNAAF3,4,DNAAF3
DNAH1,25,DNAH1
DNAH10,35,DNAH10
DNAH11,29,DNAH11
DNAH14,33,DNAH14
DNAH17,28,DNAH17
DNAH2,42,DNAH2
DNAH3,28,DNAH3
DNAH5,40,DNAH5
DNAH6,42,DNAH6
DNAH7,33,DNAH7
DNAH8,33,DNAH8
DNAH9,21,DNAH9
DNAH12,27,DNAH12
DNAI1,7,DNAI1
DNAI2,7,DNAI2
DNAJA1,19,DNAJA1
DNAJA2,10,DNAJA2
DNAJA3,12,DNAJA3
DNAJA4,13,DNAJA4
DNAJC21,16,DNAJC21
DNAJB11,7,DNAJB11
DNAJB12,11,DNAJB12
DNAJB13,6,DNAJB13
DNAJB14,5,DNAJB14
DNAJB2,18,DNAJB2
DNAJB3,3,DNAJB3
DNAJB4,12,DNAJB4
DNAJB5,2,DNAJB5
DNAJB6,12,DNAJB6
DNAJB7,4,DNAJB7
DNAJB8,2,DNAJB8
DNAJB9,5,DNAJB9
DNAJC1,16,DNAJC1
DNAJC10,6,DNAJC10
DNAJC11,13,DNAJC11
DNAJC12,2,DNAJC12
DNAJC13,32,DNAJC13
DNAJC14,10,DNAJC14
DNAJC15,5,DNAJC15
DNAJC16,1,DNAJC16
DNAJC17,4,DNAJC17
DNAJC18,7,DNAJC18
DNAJC19,2,DNAJC19
DNAJC2,15,DNAJC2
DNAJC24,1,DNAJC24
DNAJC25,5,DNAJC25
DNAJC27,3,DNAJC27
DNAJC28,4,DNAJC28
DNAJC3,12,DNAJC3
DNAJC30,6,DNAJC30
DNAJC4,1,DNAJC4
DNAJC5,10,DNAJC5
DNAJC5B,1,DNAJC5B
DNAJC5G,6,DNAJC5G
DNAJC6,16,DNAJC6
DNAJC7,10,DNAJC7
DNAJC8,9,DNAJC8
DNAJC9,4,DNAJC9
DNAL1,4,DNAL1
DNAL4,1,DNAL4
DNALI1,1,DNALI1
CD226,8,CD226
PRKDC,140,PRKDC
SPATS2L,24,SPATS2L
DNASE1,4,DNASE1
DNASE1L1,1,DNASE1L1
DNASE1L2,1,DNASE1L2
DNASE1L3,4,DNASE1L3
DNASE2,4,DNASE2
DNASE2B,3,DNASE2B
DYNC1H1,109,DYNC1H1
DYNC1LI1,40,DYNC1LI1
DYNC1LI2,30,DYNC1LI2
DND1,3,DND1
DNER,11,DNER
DNHD1,16,DNHD1
DNLZ,5,DNLZ
DNM1P46,4,DNM1P46
DNMBP,56,DNMBP
DNMT1,55,DNMT1
DNMT3A,20,DNMT3A
DNMT3B,50,DNMT3B
DNMT3L,3,DNMT3L
DNPEP,14,DNPEP
DNPH1,11,DNPH1
DNTT,7,DNTT
DNTTIP1,6,DNTTIP1
DOC2A,6,DOC2A
DOC2B,7,DOC2B
DOCK1,47,DOCK1
DOCK10,57,DOCK10
DOCK11,52,DOCK11
DOCK2,63,DOCK2
DOCK3,16,DOCK3
DOCK4,41,DOCK4
DOCK5,52,DOCK5
DOCK6,40,DOCK6
DOCK7,97,DOCK7
DOCK8,43,DOCK8
DOCK9,53,DOCK9
DOHH,4,DOHH
DOK1,35,DOK1
DOK2,26,DOK2
DOK3,21,DOK3
DOK4,14,DOK4
DOK5,1,DOK5
DOK6,5,DOK6
DOK7,6,DOK7
DOLK,3,DOLK
DXO,3,DXO
DONSON,5,DONSON
DOPEY1,22,DOPEY1
DOPEY2,46,DOPEY2
OPRD1,5,OPRD1
CBARP,46,CBARP
DOT1L,74,DOT1L
DCX,23,DCX
ANKRD34B,8,ANKRD34B
DPAGT1,1,DPAGT1
DPCD,3,DPCD
DPCR1,34,DPCR1
DPEP1,5,DPEP1
DPEP2,1,DPEP2
DPEP3,2,DPEP3
DPF1,3,DPF1
DPF3,11,DPF3
DPH1,6,DPH1
DPH2,14,DPH2
DPH5,6,DPH5
DPH6,6,DPH6
DPM1,9,DPM1
DPM3,1,DPM3
DPP10,13,DPP10
DPP3,18,DPP3
DPP4,6,DPP4
DPP6,13,DPP6
DPP7,5,DPP7
DPP8,11,DPP8
DPP9,15,DPP9
DPPA2,1,DPPA2
DPPA3,4,DPPA3
DPPA4,5,DPPA4
DPRX,1,DPRX
PDSS1,1,PDSS1
DPT,2,DPT
DPY19L1,12,DPY19L1
DPY19L2,5,DPY19L2
DPY19L2P1,1,DPY19L2P1
DPY19L3,3,DPY19L3
DPY19L4,4,DPY19L4
DPY30,2,DPY30
DPYD,20,DPYD
DPYS,2,DPYS
DQX1,1,DQX1
DR1,9,DR1
TNFRSF21,28,TNFRSF21
STK17A,8,STK17A
STK17B,3,STK17B
DRAM1,2,DRAM1
DRAP1,7,DRAP1
DRAXIN,1,DRAXIN
RBM45,12,RBM45
DRC1,2,DRC1
DRD1,3,DRD1
DRD2,10,DRD2
DRD3,11,DRD3
DRD4,4,DRD4
DRD5P2,1,DRD5P2
DRG1,9,DRG1
DRG2,12,DRG2
DRGX,3,DRGX
DRICH1,1,DRICH1
UTP20,45,UTP20
DROSHA,21,DROSHA
DNM1L,38,DNM1L
DRP2,13,DRP2
ATN1,43,ATN1
DSC1,11,DSC1
DSC2,25,DSC2
DSC3,27,DSC3
DSCAM,20,DSCAM
DSCAML1,18,DSCAML1
PSMG1,12,PSMG1
DSCR3,1,DSCR3
DSCR4,7,DSCR4
DSEL,14,DSEL
DSG1,22,DSG1
DSG2,61,DSG2
DSG3,15,DSG3
DSG4,8,DSG4
DSN1,28,DSN1
DSPP,50,DSPP
DSTYK,7,DSTYK
DTD1,9,DTD1
DTD2,1,DTD2
DTHD1,8,DTHD1
DTNA,20,DTNA
DTNB,28,DTNB
DTNBP1,11,DTNBP1
DTWD1,3,DTWD1
DTWD2,8,DTWD2
DTX1,6,DTX1
DTX2,15,DTX2
DTX3,1,DTX3
DTX3L,36,DTX3L
DTX4,10,DTX4
DTYMK,5,DTYMK
USP17L2,8,USP17L2
CTDNEP1,3,CTDNEP1
DUOX1,17,DUOX1
DUOX2,13,DUOX2
DUOXA1,1,DUOXA1
DUOXA2,1,DUOXA2
DUS1L,4,DUS1L
DUSP27,14,DUSP27
DUS2,8,DUS2
DUS3L,13,DUS3L
DUS4L,4,DUS4L
DUSP1,8,DUSP1
DUSP10,5,DUSP10
DUSP11,6,DUSP11
DUSP12,6,DUSP12
DUSP13,1,DUSP13
DUSP14,7,DUSP14
DUSP15,6,DUSP15
DUSP16,10,DUSP16
DUSP19,3,DUSP19
DUSP21,5,DUSP21
DUSP22,5,DUSP22
DUSP23,1,DUSP23
DUSP26,3,DUSP26
DUPD1,1,DUPD1
DUSP28,1,DUSP28
DUSP3,8,DUSP3
DUSP4,18,DUSP4
DUSP5,6,DUSP5
DUSP5P1,1,DUSP5P1
DUSP6,10,DUSP6
DUSP7,8,DUSP7
DUSP8,2,DUSP8
DUSP9,11,DUSP9
DUT,18,DUT
DUX4L1,4,DUX4L1
DUX4L2,4,DUX4L2
DUX4L3,4,DUX4L3
DUX4L4,4,DUX4L4
DUX4L5,4,DUX4L5
DUX4L6,4,DUX4L6
DUX4L7,4,DUX4L7
DUX4L9,4,DUX4L9
DUXA,1,DUXA
DVL1,26,DVL1
DVL1P1,9,DVL1P1
DVL2,48,DVL2
DVL3,61,DVL3
DYDC2,2,DYDC2
DYM,5,DYM
DNM1,29,DNM1
DNM2,36,DNM2
DNM3,23,DNM3
DCTN1,38,DCTN1
DCTN2,21,DCTN2
DCTN3,5,DCTN3
DCTN4,11,DCTN4
DCTN5,1,DCTN5
DCTN6,1,DCTN6
DYNC1I1,11,DYNC1I1
DYNC1I2,31,DYNC1I2
DYNC2H1,39,DYNC2H1
DYNC2LI1,3,DYNC2LI1
DYNLL2,7,DYNLL2
DYNLRB1,4,DYNLRB1
DYNLRB2,2,DYNLRB2
DYNLT1,5,DYNLT1
DYNLT3,2,DYNLT3
DYRK1A,31,DYRK1A
DYRK1B,11,DYRK1B
DYRK2,14,DYRK2
DYRK3,17,DYRK3
DYRK4,12,DYRK4
DYSF,42,DYSF
PPP1R27,1,PPP1R27
DKC1,19,DKC1
DMD,72,DMD
DYTN,9,DYTN
DNAAF4,4,DNAAF4
DZANK1,9,DZANK1
DZIP1,4,DZIP1
DZIP1L,2,DZIP1L
DZIP3,12,DZIP3
HNRNPUL1,22,HNRNPUL1
TCF3,41,TCF3
E2F1,12,E2F1
E2F2,5,E2F2
E2F3,10,E2F3
E2F4,14,E2F4
E2F5,8,E2F5
E2F6,7,E2F6
E2F7,26,E2F7
E2F8,29,E2F8
NFIL3,11,NFIL3
E4F1,15,E4F1
EAF1,9,EAF1
EAF2,13,EAF2
TEX33,1,TEX33
IRF2BPL,36,IRF2BPL
EAPP,20,EAPP
NR2F6,8,NR2F6
EARS2,6,EARS2
MAPRE1,16,MAPRE1
MAPRE3,8,MAPRE3
EBF1,1,EBF1
EBF2,2,EBF2
EBF3,3,EBF3
EBF4,6,EBF4
EBLN1,5,EBLN1
EBLN2,3,EBLN2
EBNA1BP2,14,EBNA1BP2
EBP,2,EBP
PA2G4,24,PA2G4
ECE1,15,ECE1
ECE2,3,ECE2
ECEL1,9,ECEL1
TYMP,10,TYMP
ECH1,16,ECH1
ECHDC1,8,ECHDC1
ECHDC2,2,ECHDC2
ECHDC3,2,ECHDC3
ECHS1,9,ECHS1
ECM1,6,ECM1
ECM2,9,ECM2
KIAA0368,46,KIAA0368
VOPP1,2,VOPP1
ECSIT,4,ECSIT
ECSCR,4,ECSCR
ECT2,50,ECT2
ECT2L,8,ECT2L
EDA,1,EDA
EDA2R,3,EDA2R
EDAR,11,EDAR
EDARADD,5,EDARADD
EDC3,24,EDC3
EDC4,67,EDC4
EDEM1,2,EDEM1
EDEM2,1,EDEM2
EDEM3,5,EDEM3
EDF1,5,EDF1
S1PR1,8,S1PR1
LPAR2,5,LPAR2
S1PR2,3,S1PR2
LPAR3,7,LPAR3
S1PR5,5,S1PR5
EDIL3,6,EDIL3
EDN1,3,EDN1
EDN3,1,EDN3
EDNRA,18,EDNRA
EDRF1,11,EDRF1
EEA1,41,EEA1
EED,17,EED
EEF1A1,47,EEF1A1
EEF1A2,30,EEF1A2
EEF1AKMT1,4,EEF1AKMT1
EEF1AKMT3,1,EEF1AKMT3
EEF1AKMT4,1,EEF1AKMT4
EEF1AKMT4-ECE2,9,EEF1AKMT4-ECE2
EEF1B2,19,EEF1B2
EEF1D,42,EEF1D
EEF1E1,6,EEF1E1
EEF1G,12,EEF1G
EEF2,49,EEF2
EEF2K,48,EEF2K
EEFSEC,9,EEFSEC
EEPD1,28,EEPD1
EFCAB1,1,EFCAB1
EFCAB11,2,EFCAB11
EFCAB12,7,EFCAB12
EFCAB13,17,EFCAB13
EFCAB14,9,EFCAB14
EFCAB3,8,EFCAB3
CRACR2B,7,CRACR2B
CRACR2A,24,CRACR2A
EFCAB5,11,EFCAB5
EFCAB6,11,EFCAB6
EFCAB7,6,EFCAB7
EFCAB8,3,EFCAB8
EFCAB9,3,EFCAB9
EFEMP1,7,EFEMP1
EFEMP2,1,EFEMP2
GFM1,16,GFM1
EFHB,4,EFHB
EFHC1,6,EFHC1
EFHC2,4,EFHC2
EFHD1,6,EFHD1
EFHD2,12,EFHD2
EFNA1,5,EFNA1
EFNA4,3,EFNA4
EFNA5,1,EFNA5
EFNB1,16,EFNB1
EFNB2,14,EFNB2
EFNB3,7,EFNB3
EFR3A,12,EFR3A
EFR3B,9,EFR3B
EFS,19,EFS
TSFM,9,TSFM
TUFM,20,TUFM
EFL1,10,EFL1
EFTUD2,33,EFTUD2
SPATA31D1,15,SPATA31D1
EGF,2,EGF
EGFEM1P,3,EGFEM1P
EGFL6,1,EGFL6
