Genes,Domains,Norm_Symbol
SCAF4,"['PF00076', 'PF04818']",SCAF4
IER2,['PF05760'],IER2
BACE1,['PF00026'],BACE1
CAPSL,"['PF13499', 'PF13405']",CAPSL
CHUK,"['PF12179', 'PF18397', 'PF00069']",CHUK
PPP2R3C,['PF17958'],PPP2R3C
HLA-DRB5,"['PF00969', 'PF07654']",HLA-DRB5
RBM14-RBM4,"['PF00076', 'PF00098']",RBM14-RBM4
MAGEB6,"['PF01454', 'PF12440']",MAGEB6
CDC42,['PF00071'],CDC42
OCEL1,['PF07303'],OCEL1
MAGEB5,['PF01454'],MAGEB5
LRP12,"['PF00057', 'PF00431']",LRP12
IRAK2,"['PF00069', 'PF00531']",IRAK2
FOS,['PF00170'],FOS
GPCPD1,"['PF00686', 'PF03009']",GPCPD1
MYH11,"['PF02736', 'PF00063', 'PF01576']",MYH11
FAM177A1,['PF14774'],FAM177A1
FAM184A,['PF15665'],FAM184A
POMZP3,['PF00100'],POMZP3
CELA3A,['PF00089'],CELA3A
KLF11,['PF00096'],KLF11
MED9,['PF07544'],MED9
OR9Q1,['PF13853'],OR9Q1
TFR2,"['PF04389', 'PF02225']",TFR2
USP4,"['PF06337', 'PF14836', 'PF00443']",USP4
OR9I1,['PF13853'],OR9I1
CCDC81,"['PF18289', 'PF14908']",CCDC81
DHCR7,['PF01222'],DHCR7
OR6Q1,['PF13853'],OR6Q1
TFAP4,['PF00010'],TFAP4
SEPTIN8,['PF00735'],SEPTIN8
HEPACAM2,['PF13927'],HEPACAM2
PAPOLG,"['PF01909', 'PF04928', 'PF04926']",PAPOLG
ABCF1,"['PF12848', 'PF00005']",ABCF1
MCM9,"['PF17207', 'PF00493', 'PF17855']",MCM9
DLGAP2,['PF03359'],DLGAP2
PLEKHM3,"['PF00169', 'PF13901']",PLEKHM3
RBMX,"['PF00076', 'PF08081']",RBMX
DNMT3B,"['PF00855', 'PF17980', 'PF00145']",DNMT3B
L3MBTL3,"['PF00536', 'PF02820']",L3MBTL3
NDE1,['PF04880'],NDE1
CRYGD,['PF00030'],CRYGD
CDC25A,"['PF06617', 'PF00581']",CDC25A
MICALL2,"['PF12130', 'PF00307', 'PF00412']",MICALL2
MAN1A1,['PF01532'],MAN1A1
ASF1A,['PF04729'],ASF1A
PRORP,['PF16953'],PRORP
AC084121.5,['PF15288'],AC084121.5
AC084121.13,['PF15288'],AC084121.13
CD44,['PF00193'],CD44
PXK,"['PF02205', 'PF00787']",PXK
RBM4,"['PF00076', 'PF00098']",RBM4
SPATA31A1,"['PF15371', 'PF14650']",SPATA31A1
FGF20,['PF00167'],FGF20
AP3B2,"['PF14796', 'PF01602']",AP3B2
FBXL17,"['PF12937', 'PF13516']",FBXL17
SFRP5,"['PF01392', 'PF01759']",SFRP5
RRP12,['PF08161'],RRP12
RAB3GAP1,['PF13890'],RAB3GAP1
IL2RA,['PF00084'],IL2RA
UNC45A,"['PF13432', 'PF11701', 'PF13181']",UNC45A
THOC2,"['PF11732', 'PF16134', 'PF11262']",THOC2
RASSF7,['PF00788'],RASSF7
ME3,"['PF00390', 'PF03949']",ME3
RAB24,['PF00071'],RAB24
SEL1L,"['PF00040', 'PF08238']",SEL1L
DNMT3A,"['PF00855', 'PF17980', 'PF00145']",DNMT3A
SLC35B4,['PF08449'],SLC35B4
PRR23D2,['PF10630'],PRR23D2
DEFB107A,['PF13841'],DEFB107A
GPR20,['PF00001'],GPR20
B4GALT6,"['PF13733', 'PF02709']",B4GALT6
MLXIPL,['PF00010'],MLXIPL
RRM2B,['PF00268'],RRM2B
RBM14,['PF00076'],RBM14
LEF1,"['PF00505', 'PF08347']",LEF1
NEU1,['PF13088'],NEU1
GNPTG,"['PF13015', 'PF07915']",GNPTG
PLGLB2,['PF00024'],PLGLB2
PRELID1,['PF04707'],PRELID1
UGT3A1,['PF00201'],UGT3A1
ZNF337,"['PF00096', 'PF01352']",ZNF337
CCL5,['PF00048'],CCL5
IBTK,"['PF00415', 'PF00651', 'PF12796']",IBTK
LMNTD2,['PF00932'],LMNTD2
PPP4R3C,['PF04802'],PPP4R3C
AP3M1,"['PF00928', 'PF01217']",AP3M1
NYX,['PF13855'],NYX
PAK3,"['PF00786', 'PF00069']",PAK3
SH2D6,['PF00017'],SH2D6
ZRANB3,"['PF01844', 'PF00176', 'PF00641', 'PF00271']",ZRANB3
RGPD2,"['PF00638', 'PF16704', 'PF01465']",RGPD2
RPS17,['PF00833'],RPS17
UNKL,"['PF13920', 'PF18384', 'PF00642']",UNKL
LIPN,['PF00561'],LIPN
CSF2RA,"['PF18611', 'PF09240']",CSF2RA
RTTN,['PF14726'],RTTN
ERAL1,['PF01926'],ERAL1
RBM47,['PF00076'],RBM47
RPL18A,['PF01775'],RPL18A
MXD3,['PF00010'],MXD3
TWF2,['PF00241'],TWF2
MYBL2,"['PF13921', 'PF09316', 'PF00249']",MYBL2
TLR9,"['PF13516', 'PF13855', 'PF18837', 'PF01582']",TLR9
AC097637.1,"['PF13516', 'PF18837', 'PF01582', 'PF00241', 'PF13855']",AC097637.1
UBE2L5,['PF00179'],UBE2L5
MAD2L1BP,['PF06581'],MAD2L1BP
CRYGC,['PF00030'],CRYGC
ARSD,"['PF00884', 'PF14707']",ARSD
FKBP15,['PF00254'],FKBP15
PRKDC,"['PF02259', 'PF02260', 'PF08163', 'PF00454']",PRKDC
DDX27,"['PF00270', 'PF00271']",DDX27
HSD17B8,['PF13561'],HSD17B8
CRYGB,['PF00030'],CRYGB
AMPH,"['PF03114', 'PF14604']",AMPH
SLC34A2,['PF02690'],SLC34A2
RASD1,['PF00071'],RASD1
SLC31A2,['PF04145'],SLC31A2
FAM222B,['PF15258'],FAM222B
KCNE4,['PF02060'],KCNE4
SEC13,['PF00400'],SEC13
VCL,['PF01044'],VCL
UQCC3,['PF15141'],UQCC3
FMC1-LUC7L2,['PF03194'],FMC1-LUC7L2
DEFB105A,['PF13841'],DEFB105A
ETV1,"['PF04621', 'PF00178']",ETV1
AP001458.2,['PF17719'],AP001458.2
TRPV6,"['PF00023', 'PF00520', 'PF12796']",TRPV6
TUBA3E,"['PF03953', 'PF00091']",TUBA3E
ZNF782,"['PF00096', 'PF01352']",ZNF782
CSKMT,['PF13847'],CSKMT
ANKRD22,"['PF13857', 'PF12796']",ANKRD22
JMJD7,['PF13621'],JMJD7
AC012309.1,['PF01352'],AC012309.1
SCN1B,['PF07686'],SCN1B
HDHD5,['PF13344'],HDHD5
CPA5,"['PF02244', 'PF00246']",CPA5
RHOT1,"['PF08355', 'PF08356', 'PF00071']",RHOT1
NOCT,['PF03372'],NOCT
SEC31A,['PF12931'],SEC31A
LBHD1,['PF15317'],LBHD1
GOLGA7B,['PF10256'],GOLGA7B
CRYGA,['PF00030'],CRYGA
ZNF420,"['PF00096', 'PF13465', 'PF01352']",ZNF420
LUC7L2,['PF03194'],LUC7L2
LILRA3,['PF13895'],LILRA3
SLC25A52,['PF00153'],SLC25A52
EHD4,"['PF18150', 'PF12763', 'PF16880', 'PF00350']",EHD4
RHPN2,"['PF03097', 'PF02185']",RHPN2
INTS5,"['PF14837', 'PF14838']",INTS5
RAP1GDS1,['PF00514'],RAP1GDS1
FAM170A,['PF17734'],FAM170A
CALHM2,['PF14798'],CALHM2
C11orf98,['PF17719'],C11orf98
PLA2G4B,"['PF00168', 'PF01735', 'PF18695']",PLA2G4B
LIPM,['PF00561'],LIPM
ZNF585A,"['PF00096', 'PF01352']",ZNF585A
ZFPM2,['PF12874'],ZFPM2
CALHM1,['PF14798'],CALHM1
FAM153B,['PF15722'],FAM153B
KAZALD1,"['PF00219', 'PF07679', 'PF07648']",KAZALD1
CRTAC1,"['PF07645', 'PF07593', 'PF13517']",CRTAC1
SLC25A14,['PF00153'],SLC25A14
PON2,['PF01731'],PON2
ELF2,"['PF12310', 'PF00178']",ELF2
TSPY2,['PF00956'],TSPY2
PEMT,['PF04191'],PEMT
GHRL,"['PF04643', 'PF04644']",GHRL
ZNF383,"['PF00096', 'PF13465', 'PF01352']",ZNF383
DEFB106A,['PF13841'],DEFB106A
TTC3,['PF13639'],TTC3
SPTBN5,"['PF00307', 'PF00435']",SPTBN5
FHAD1,['PF00498'],FHAD1
DEFB104A,['PF13841'],DEFB104A
LIMD1,['PF00412'],LIMD1
MIF,['PF01187'],MIF
RFLNB,['PF15068'],RFLNB
TCF19,['PF00498'],TCF19
TCP11,['PF05794'],TCP11
ZNF585B,"['PF00096', 'PF01352']",ZNF585B
ZNF561,"['PF00096', 'PF01352']",ZNF561
PHF8,"['PF00628', 'PF02373', 'PF17811']",PHF8
C6orf47,['PF15576'],C6orf47
MTRNR2L7,['PF15040'],MTRNR2L7
JDP2,['PF00170'],JDP2
ACTL6B,['PF00022'],ACTL6B
OR9Q2,['PF13853'],OR9Q2
C2orf80,['PF17718'],C2orf80
CALHM3,['PF14798'],CALHM3
OR1S2,['PF13853'],OR1S2
OR1S1,['PF13853'],OR1S1
OR10Q1,['PF13853'],OR10Q1
JMJD7-PLA2G4B,"['PF00168', 'PF13621', 'PF01735', 'PF18695']",JMJD7-PLA2G4B
OR10W1,['PF13853'],OR10W1
ARHGAP11A,['PF00620'],ARHGAP11A
PAFAH1B1,"['PF08513', 'PF00400']",PAFAH1B1
TATDN2,['PF01026'],TATDN2
BATF,"['PF07716', 'PF00170']",BATF
ZSCAN12,"['PF00096', 'PF02023']",ZSCAN12
APEX1,['PF03372'],APEX1
NEURL1,"['PF13920', 'PF07177']",NEURL1
MYO3B,"['PF00612', 'PF00063', 'PF00069']",MYO3B
SRBD1,"['PF17674', 'PF00575', 'PF09371', 'PF12836', 'PF16921']",SRBD1
EIF4G3,"['PF02847', 'PF02020', 'PF02854']",EIF4G3
ZNF248,"['PF00096', 'PF01352']",ZNF248
GOLGA8N,['PF15070'],GOLGA8N
HSD17B4,"['PF01575', 'PF00106', 'PF02036', 'PF13452']",HSD17B4
RSPH3,['PF06098'],RSPH3
ZSCAN23,"['PF02023', 'PF00096']",ZSCAN23
CWF19L1,"['PF04677', 'PF04676']",CWF19L1
SMARCA4,"['PF07533', 'PF00439', 'PF00271', 'PF07529', 'PF14619', 'PF08880', 'PF00176']",SMARCA4
TRPV5,"['PF13637', 'PF00023', 'PF00520', 'PF12796']",TRPV5
TAGAP,['PF00620'],TAGAP
LILRA5,['PF13895'],LILRA5
KBTBD2,"['PF07707', 'PF00651', 'PF01344']",KBTBD2
SACM1L,['PF02383'],SACM1L
ARPP19,['PF04667'],ARPP19
MICU3,['PF13833'],MICU3
LILRA4,"['PF13895', 'PF00047']",LILRA4
PAM16,['PF03656'],PAM16
VIPR1,"['PF02793', 'PF00002']",VIPR1
ANKRD62,"['PF13857', 'PF14915']",ANKRD62
ZG16B,['PF01419'],ZG16B
GPX5,['PF00255'],GPX5
PIP4P1,['PF09788'],PIP4P1
ERG28,['PF03694'],ERG28
PTP4A3,['PF00782'],PTP4A3
FAM167A,['PF11652'],FAM167A
PPP1R10,"['PF00642', 'PF08711']",PPP1R10
SLC2A11,['PF00083'],SLC2A11
GPX6,['PF00255'],GPX6
MGAM,"['PF00088', 'PF01055', 'PF16863']",MGAM
TGFB3,"['PF00688', 'PF00019']",TGFB3
CXCR2,['PF00001'],CXCR2
VASN,"['PF00008', 'PF13855']",VASN
RPUSD4,['PF00849'],RPUSD4
EGFL6,"['PF07645', 'PF00629']",EGFL6
VKORC1L1,['PF07884'],VKORC1L1
GLIS2,['PF00096'],GLIS2
SLC5A5,['PF00474'],SLC5A5
EIF1B,['PF01253'],EIF1B
GALNT10,"['PF00535', 'PF00652', 'PF02709']",GALNT10
MRPS18B,['PF01084'],MRPS18B
HARS,"['PF13393', 'PF00458', 'PF03129']",HARS
NRXN1,"['PF00008', 'PF02210', 'PF01034']",NRXN1
PRR14L,['PF15386'],PRR14L
IFT43,['PF15305'],IFT43
LLCFC1,['PF15838'],LLCFC1
PSMB5,['PF00227'],PSMB5
UBASH3A,"['PF00300', 'PF14604']",UBASH3A
CFAP36,['PF11527'],CFAP36
CXCR1,['PF00001'],CXCR1
MEF2B,['PF00319'],MEF2B
PSMB11,['PF00227'],PSMB11
MIA2,['PF07653'],MIA2
INTS1,['PF12432'],INTS1
CYB561A3,['PF03188'],CYB561A3
SLC13A4,['PF00939'],SLC13A4
ZNF562,"['PF00096', 'PF01352']",ZNF562
MYO18B,['PF00063'],MYO18B
SERP2,['PF06624'],SERP2
FREM2,"['PF16184', 'PF03160']",FREM2
PHF2,"['PF17811', 'PF02373', 'PF00628']",PHF2
FAM180A,['PF15173'],FAM180A
AP000350.4,['PF00083'],AP000350.4
RBM17,"['PF00076', 'PF01585']",RBM17
LRRC4C,"['PF13306', 'PF13855', 'PF07679']",LRRC4C
PDCL2,['PF02114'],PDCL2
THAP7,['PF05485'],THAP7
STMP1,['PF15054'],STMP1
WDR55,"['PF12894', 'PF00400']",WDR55
TMEM138,['PF14935'],TMEM138
FLVCR2,['PF07690'],FLVCR2
NSDHL,['PF01073'],NSDHL
BORCS8,['PF10167'],BORCS8
VPS53,['PF04100'],VPS53
SMTN,"['PF00307', 'PF12510']",SMTN
MFAP3,['PF00047'],MFAP3
CDH24,"['PF00028', 'PF01049']",CDH24
MAPRE1,"['PF03271', 'PF00307']",MAPRE1
BUB3,['PF00400'],BUB3
CR753842.1,['PF01214'],CR753842.1
CCKBR,['PF00001'],CCKBR
NFATC4,"['PF00554', 'PF16179']",NFATC4
ZBED9,['PF02023'],ZBED9
EGFR,"['PF00757', 'PF07714', 'PF14843', 'PF01030']",EGFR
REL,"['PF00554', 'PF16179']",REL
MSN,"['PF00769', 'PF09379', 'PF09380', 'PF00373']",MSN
NFKB2,"['PF00554', 'PF16179', 'PF00531', 'PF12796']",NFKB2
SCN3B,['PF07686'],SCN3B
P2RX6,['PF00864'],P2RX6
NUP210,['PF02368'],NUP210
CRMP1,['PF01979'],CRMP1
RSPH1,['PF02493'],RSPH1
GPANK1,"['PF01585', 'PF13637']",GPANK1
RASA4B,"['PF00168', 'PF00616', 'PF00169', 'PF00779']",RASA4B
MYRIP,"['PF04698', 'PF02318']",MYRIP
SDCBP,"['PF17820', 'PF00595']",SDCBP
RPS27L,['PF01667'],RPS27L
FKBP9,"['PF13202', 'PF00254']",FKBP9
ARSE,"['PF00884', 'PF14707']",ARSE
SH3PXD2A,"['PF00787', 'PF00018']",SH3PXD2A
SLC6A1,['PF00209'],SLC6A1
LY75,"['PF00040', 'PF00059']",LY75
BORCS8-MEF2B,['PF00319'],BORCS8-MEF2B
MCOLN1,['PF08016'],MCOLN1
AC020907.6,['PF02038'],AC020907.6
LACTB,['PF00144'],LACTB
CEMIP2,"['PF10162', 'PF15711']",CEMIP2
SLC7A4,"['PF13520', 'PF13906']",SLC7A4
CD302,['PF00059'],CD302
SLC37A1,['PF07690'],SLC37A1
LAMA4,"['PF00053', 'PF02210', 'PF06009', 'PF06008']",LAMA4
TTLL5,['PF03133'],TTLL5
KEL,"['PF01431', 'PF05649']",KEL
IER3IP1,['PF08571'],IER3IP1
POU5F1,"['PF00157', 'PF00046']",POU5F1
HLA-DRB1,"['PF00969', 'PF07654']",HLA-DRB1
RING1,"['PF16207', 'PF13923']",RING1
HMBOX1,"['PF00046', 'PF04814']",HMBOX1
GTSF1L,['PF05253'],GTSF1L
ANKRD44,"['PF12796', 'PF00023', 'PF13637']",ANKRD44
CORO7,"['PF08953', 'PF16300', 'PF00400']",CORO7
AL365214.3,"['PF15227', 'PF00097']",AL365214.3
SPAG11A,"['PF05324', 'PF00711']",SPAG11A
HARS2,"['PF13393', 'PF03129']",HARS2
RFPL4B,"['PF15227', 'PF00622']",RFPL4B
TLX1,['PF00046'],TLX1
GPATCH1,"['PF01585', 'PF07713']",GPATCH1
DDB1,"['PF10433', 'PF03178']",DDB1
HLA-DMB,"['PF00969', 'PF07654']",HLA-DMB
MLLT3,"['PF17793', 'PF03366']",MLLT3
ANKRD34B,"['PF12796', 'PF13637']",ANKRD34B
CSNK2B,['PF01214'],CSNK2B
ASB4,"['PF13637', 'PF07525', 'PF12796']",ASB4
OR5B17,['PF13853'],OR5B17
STN1,"['PF01336', 'PF09170']",STN1
HLA-G,"['PF07654', 'PF00129']",HLA-G
AL157392.5,['PF02840'],AL157392.5
HDHD2,"['PF13242', 'PF13344']",HDHD2
MARCH7,['PF12906'],MARCH7
OR9A2,['PF13853'],OR9A2
OR6V1,['PF13853'],OR6V1
HLA-A,"['PF00129', 'PF06623', 'PF07654']",HLA-A
FXYD3,['PF02038'],FXYD3
PIP,['PF05326'],PIP
PDK4,"['PF02518', 'PF10436']",PDK4
FZD7,"['PF01392', 'PF01534']",FZD7
OR5B3,['PF13853'],OR5B3
ZMAT2,['PF12171'],ZMAT2
OR5B2,['PF13853'],OR5B2
CLN8,['PF03798'],CLN8
OR5B12,['PF13853'],OR5B12
CWC22,"['PF02847', 'PF02854']",CWC22
HMGB1,"['PF00505', 'PF09011']",HMGB1
CRABP1,['PF00061'],CRABP1
RFXANK,"['PF13606', 'PF13637', 'PF12796']",RFXANK
SEC11C,['PF00717'],SEC11C
DND1,"['PF00076', 'PF14709']",DND1
OR5B21,['PF13853'],OR5B21
TMEM120A,['PF07851'],TMEM120A
FAM166B,['PF10629'],FAM166B
KIF13A,"['PF12473', 'PF12423', 'PF00498', 'PF00225', 'PF16183']",KIF13A
POLDIP2,"['PF04379', 'PF08755']",POLDIP2
FBXW11,"['PF12937', 'PF00400', 'PF12125']",FBXW11
GPR101,['PF00001'],GPR101
LRFN3,"['PF00041', 'PF13855', 'PF07679']",LRFN3
KMT5B,['PF00856'],KMT5B
TNFRSF9,['PF00020'],TNFRSF9
RUSC2,"['PF07653', 'PF02759']",RUSC2
LY75-CD302,"['PF00040', 'PF00059']",LY75-CD302
TNFAIP1,['PF02214'],TNFAIP1
TMEM184A,['PF03619'],TMEM184A
HPN,"['PF00089', 'PF09272']",HPN
WWC1,"['PF00168', 'PF00397']",WWC1
HLA-DQA1,"['PF00993', 'PF07654']",HLA-DQA1
ZIC3,"['PF00096', 'PF18366']",ZIC3
USHBP1,['PF10506'],USHBP1
PRPF18,"['PF08799', 'PF02840']",PRPF18
CCDC124,['PF06244'],CCDC124
CPA1,"['PF02244', 'PF00246']",CPA1
CAMP,"['PF00666', 'PF12153']",CAMP
CENPS-CORT,"['PF03002', 'PF15630']",CENPS-CORT
FNDC1,['PF00041'],FNDC1
TKFC,"['PF02733', 'PF02734']",TKFC
SLC5A6,['PF00474'],SLC5A6
DOCK3,"['PF16172', 'PF06920', 'PF14429']",DOCK3
MAFK,['PF03131'],MAFK
CENPS,['PF15630'],CENPS
LPXN,['PF00412'],LPXN
GRSF1,['PF00076'],GRSF1
CORT,['PF03002'],CORT
SDHAF1,['PF05347'],SDHAF1
NR2F6,"['PF00105', 'PF00104']",NR2F6
BRD2,"['PF17035', 'PF00439']",BRD2
CIDEA,['PF02017'],CIDEA
CYB5R2,"['PF00175', 'PF00970']",CYB5R2
GRP,['PF02044'],GRP
DEFB103A,['PF00711'],DEFB103A
RPS18,['PF00416'],RPS18
EFHD2,['PF13405'],EFHD2
KIAA2012,['PF15709'],KIAA2012
DEFB4A,['PF00711'],DEFB4A
FRMD4A,"['PF11819', 'PF09379', 'PF09380', 'PF00373']",FRMD4A
UBR5,"['PF00658', 'PF00632', 'PF11547']",UBR5
MANF,['PF10208'],MANF
MTPAP,"['PF03828', 'PF17797']",MTPAP
CORO7-PAM16,"['PF03656', 'PF08953', 'PF16300', 'PF00400']",CORO7-PAM16
RHBDL1,['PF01694'],RHBDL1
SLC4A9,"['PF00955', 'PF07565']",SLC4A9
PRSS22,['PF00089'],PRSS22
HLA-DMA,"['PF00993', 'PF07654']",HLA-DMA
GTDC1,"['PF00534', 'PF12038']",GTDC1
VWA3B,"['PF15057', 'PF13768']",VWA3B
ZDHHC5,['PF01529'],ZDHHC5
VPS37D,['PF07200'],VPS37D
RPL34,['PF01199'],RPL34
PPA2,['PF00719'],PPA2
PGAM1,['PF00300'],PGAM1
POR,"['PF00175', 'PF00667', 'PF00258']",POR
CDY1B,"['PF00378', 'PF00385']",CDY1B
ANKLE1,"['PF03020', 'PF12796']",ANKLE1
MED24,['PF11277'],MED24
ZSCAN25,"['PF00096', 'PF02023']",ZSCAN25
DFFA,"['PF02017', 'PF09033']",DFFA
PPIA,['PF00160'],PPIA
FAM114A2,['PF05334'],FAM114A2
USP22,"['PF02148', 'PF00443']",USP22
FLRT2,"['PF13855', 'PF01463']",FLRT2
ZNF202,"['PF02023', 'PF00096', 'PF01352']",ZNF202
RSPH9,['PF04712'],RSPH9
SKI,"['PF02437', 'PF08782']",SKI
PEX14,['PF04695'],PEX14
GPR119,['PF00001'],GPR119
COL9A3,['PF01391'],COL9A3
MALRD1,"['PF00008', 'PF00629', 'PF00057']",MALRD1
CAPN5,"['PF01067', 'PF00648', 'PF00168']",CAPN5
IMP4,['PF04427'],IMP4
MARCH2,['PF12906'],MARCH2
MRPS18A,['PF01084'],MRPS18A
OMP,['PF06554'],OMP
EFCAB8,['PF00400'],EFCAB8
HDAC11,['PF00850'],HDAC11
PNPLA6,"['PF01734', 'PF00027']",PNPLA6
MORN1,['PF02493'],MORN1
ENTPD3,['PF01150'],ENTPD3
CATSPERG,['PF15064'],CATSPERG
EMX2,['PF00046'],EMX2
ALKBH6,['PF13532'],ALKBH6
TCFL5,['PF00010'],TCFL5
ADORA2B,['PF00001'],ADORA2B
SLC49A3,['PF07690'],SLC49A3
CNGB3,['PF00027'],CNGB3
PRSS23,['PF00089'],PRSS23
CNTF,['PF01110'],CNTF
PTPRK,"['PF00041', 'PF00629', 'PF00102', 'PF07679']",PTPRK
THYN1,['PF01878'],THYN1
TRAPPC8,['PF12739'],TRAPPC8
VPS52,['PF04129'],VPS52
FZD4,"['PF01392', 'PF01534']",FZD4
TAS2R39,['PF05296'],TAS2R39
SRPRA,"['PF02881', 'PF04086', 'PF00448']",SRPRA
TRPT1,['PF01885'],TRPT1
EXOSC1,"['PF14382', 'PF10447']",EXOSC1
TAS2R40,['PF05296'],TAS2R40
ZFP91,['PF00096'],ZFP91
MYL5,"['PF13405', 'PF13833']",MYL5
SYNE4,['PF10541'],SYNE4
EPC2,"['PF06752', 'PF10513']",EPC2
RAB8A,['PF00071'],RAB8A
XIAP,"['PF13920', 'PF00653']",XIAP
BUD23,"['PF12589', 'PF13649', 'PF08241']",BUD23
BARX1,['PF00046'],BARX1
KCNN1,"['PF03530', 'PF07885', 'PF02888']",KCNN1
NUTM2G,['PF12881'],NUTM2G
ATP5ME,['PF05680'],ATP5ME
RAX,"['PF00046', 'PF03826']",RAX
PRPF8,"['PF08083', 'PF12134', 'PF10596', 'PF10597', 'PF08082', 'PF01398', 'PF08084', 'PF10598']",PRPF8
ZNF705B,"['PF00096', 'PF01352']",ZNF705B
FERMT3,"['PF18124', 'PF00169', 'PF00373']",FERMT3
FAM181A,['PF15238'],FAM181A
CTNND2,['PF00514'],CTNND2
FOXRED1,['PF01266'],FOXRED1
AQP7,['PF00230'],AQP7
USP17L8,['PF00443'],USP17L8
USP17L3,['PF00443'],USP17L3
ITPR3,"['PF01365', 'PF08709', 'PF02815', 'PF08454', 'PF00520']",ITPR3
UGT3A2,['PF00201'],UGT3A2
EIF5,"['PF01873', 'PF02020']",EIF5
CPNE3,"['PF00168', 'PF07002']",CPNE3
HSH2D,['PF00017'],HSH2D
NME6,['PF00334'],NME6
OTUD5,['PF02338'],OTUD5
HASPIN,['PF12330'],HASPIN
ZNRD1,['PF01096'],ZNRD1
TSC22D1,['PF01166'],TSC22D1
DCAF8L2,['PF00400'],DCAF8L2
NR1D1,"['PF00104', 'PF00105']",NR1D1
GRIK4,"['PF10613', 'PF00060', 'PF01094']",GRIK4
DNAJC30,['PF00226'],DNAJC30
MAGEB10,"['PF01454', 'PF12440']",MAGEB10
STOML3,['PF01145'],STOML3
RBM15B,"['PF00076', 'PF07744']",RBM15B
CTRC,['PF00089'],CTRC
TNFRSF11A,"['PF18278', 'PF00020']",TNFRSF11A
WDR88,"['PF01011', 'PF00400']",WDR88
BLOC1S2,['PF10046'],BLOC1S2
DNAJC4,['PF00226'],DNAJC4
C21orf58,['PF15248'],C21orf58
CYP1A1,['PF00067'],CYP1A1
THRA,"['PF00104', 'PF00105']",THRA
EXOC3,['PF06046'],EXOC3
OSTC,['PF04756'],OSTC
ITGAE,"['PF00092', 'PF08441', 'PF00357', 'PF01839']",ITGAE
OR6X1,['PF13853'],OR6X1
LMBRD2,['PF04791'],LMBRD2
SLC44A4,['PF04515'],SLC44A4
PLCD4,"['PF00169', 'PF13202', 'PF00388', 'PF00387', 'PF00168', 'PF09279']",PLCD4
DCAF8L1,['PF00400'],DCAF8L1
ZNF589,"['PF00096', 'PF01352', 'PF13894']",ZNF589
STX1A,"['PF05739', 'PF00804']",STX1A
ZNF846,"['PF00096', 'PF13465', 'PF01352']",ZNF846
HNRNPM,"['PF00076', 'PF11532']",HNRNPM
GTF2I,"['PF02946', 'PF03221', 'PF04218']",GTF2I
FAM118B,['PF13289'],FAM118B
PPM1M,['PF00481'],PPM1M
ARHGEF10,['PF00621'],ARHGEF10
RAB6D,['PF00071'],RAB6D
ADA2,"['PF08451', 'PF00962']",ADA2
SCG2,['PF01271'],SCG2
NPAT,['PF15712'],NPAT
CELA2A,['PF00089'],CELA2A
OR2A4,['PF13853'],OR2A4
ARSJ,['PF00884'],ARSJ
SLC9A3,['PF00999'],SLC9A3
CELA2B,['PF00089'],CELA2B
PRKAG2,['PF00571'],PRKAG2
FLYWCH2,['PF15423'],FLYWCH2
ZDHHC20,['PF01529'],ZDHHC20
BHLHA9,['PF00010'],BHLHA9
WNT4,['PF00110'],WNT4
TCEANC,"['PF08711', 'PF07500']",TCEANC
ANO1,"['PF04547', 'PF16178']",ANO1
LITAF,['PF10601'],LITAF
UGT8,['PF00201'],UGT8
CABP7,['PF13499'],CABP7
GPALPP1,['PF12572'],GPALPP1
PCDH7,"['PF08374', 'PF08266', 'PF00028']",PCDH7
PKM,"['PF02887', 'PF00224']",PKM
ZMAT5,"['PF00642', 'PF06220']",ZMAT5
UQCR10,['PF05365'],UQCR10
PTPN5,['PF00102'],PTPN5
NUFIP1,"['PF12171', 'PF10453']",NUFIP1
TRARG1,['PF04505'],TRARG1
WDR19,"['PF15911', 'PF12894']",WDR19
MTPN,['PF12796'],MTPN
U2AF1L5,"['PF00076', 'PF00642']",U2AF1L5
NUCB2,"['PF13499', 'PF13405']",NUCB2
PARP8,['PF00644'],PARP8
TOX2,['PF00505'],TOX2
NAA35,['PF04112'],NAA35
RCAN3,['PF04847'],RCAN3
CASP9,"['PF00656', 'PF00619']",CASP9
ABCA7,"['PF12698', 'PF13304', 'PF00005']",ABCA7
CD72,['PF00059'],CD72
C15orf41,['PF14811'],C15orf41
RAB8B,['PF00071'],RAB8B
PARK7,['PF01965'],PARK7
ENPP3,"['PF01033', 'PF01663', 'PF01223']",ENPP3
PTPDC1,['PF00782'],PTPDC1
ATM,"['PF02259', 'PF02260', 'PF00454', 'PF11640']",ATM
RAB9A,['PF00071'],RAB9A
IMPA1,['PF00459'],IMPA1
USPL1,"['PF15509', 'PF15499']",USPL1
NMU,['PF02070'],NMU
MEF2A,"['PF00319', 'PF12347']",MEF2A
NSUN7,['PF01189'],NSUN7
GPC5,['PF01153'],GPC5
TMEM86A,['PF07947'],TMEM86A
VPS41,['PF00637'],VPS41
PRPF4,"['PF08799', 'PF00400']",PRPF4
HLA-DRB3,"['PF00969', 'PF07654']",HLA-DRB3
BTG3,['PF07742'],BTG3
FLYWCH1,"['PF15423', 'PF16662', 'PF04500']",FLYWCH1
DPY30,['PF05186'],DPY30
PEX13,"['PF04088', 'PF14604']",PEX13
