Genes,Protein_Mass (Daltons),Norm_Symbol
SLC5A10,64342,SLC5A10
HTR5A,40255,HTR5A
PLAC8L1,19885,PLAC8L1
TFEB,52865,TFEB
SPIN2A,29188,SPIN2A
TNFRSF11A,66034,TNFRSF11A
ZNF497,54721,ZNF497
PCDHGA9,101687,PCDHGA9
HNRNPU,90584,HNRNPU
SPTSSA,8466,SPTSSA
DLX1,27320,DLX1
HDGFL1,27234,HDGFL1
ZMYM5,74817,ZMYM5
SLC9A2,91520,SLC9A2
NOL3,22629,NOL3
ZNF714,63883,ZNF714
TSPAN13,22147,TSPAN13
ESX1,44297,ESX1
VDAC3,30659,VDAC3
OR12D2,34813,OR12D2
VMA21,11354,VMA21
AP3S2,22017,AP3S2
OPN5,39727,OPN5
VCX3A,20020,VCX3A
DACH1,78562,DACH1
NOP53,54389,NOP53
BRD3,79542,BRD3
KIR2DL3,37886,KIR2DL3
LCP1,70288,LCP1
ERP27,30480,ERP27
THRB,52788,THRB
IGSF11,46120,IGSF11
COX17,6915,COX17
CDADC1,58455,CDADC1
FAM160B2,82340,FAM160B2
UGT1A10,59810,UGT1A10
DLGAP4,108012,DLGAP4
ASB3,57745,ASB3
ZDHHC15,39331,ZDHHC15
LEUTX,18626,LEUTX
NPBWR1,36103,NPBWR1
SLC1A7,60658,SLC1A7
ZMYM6,148089,ZMYM6
SAXO2,45933,SAXO2
ZFP1,47516,ZFP1
TMEM106A,28920,TMEM106A
CSRP1,20567,CSRP1
TCIRG1,92968,TCIRG1
FMR1,71174,FMR1
GNB2,37331,GNB2
MX2,82089,MX2
HDAC10,71445,HDAC10
OR5M10,35592,OR5M10
SPINT2,28228,SPINT2
PCF11,173050,PCF11
OR2AP1,34902,OR2AP1
TAF6,72668,TAF6
IL32,26676,IL32
ADORA2B,36333,ADORA2B
ALDH6A1,57840,ALDH6A1
MFNG,36202,MFNG
SNX22,22068,SNX22
CCNK,64240,CCNK
CUZD1,68153,CUZD1
FSD1L,59578,FSD1L
CRYGD,20738,CRYGD
CDC42BPA,197307,CDC42BPA
TCF7,41642,TCF7
NELFA,57277,NELFA
PLPPR2,36880,PLPPR2
ZNF426,63106,ZNF426
MCRIP1,10920,MCRIP1
POFUT2,49976,POFUT2
IL20,20072,IL20
CYP7B1,58256,CYP7B1
SIGLEC1,182624,SIGLEC1
TSLP,18141,TSLP
MZT2B,16226,MZT2B
TRABD,42321,TRABD
OR10C1,34384,OR10C1
SNX1,59070,SNX1
GGTLC3,24102,GGTLC3
MLIP,50429,MLIP
MYO18B,285215,MYO18B
CCDC34,43225,CCDC34
SRSF12,30512,SRSF12
ATP2A1,110252,ATP2A1
CACNA2D3,123011,CACNA2D3
ZNF891,63592,ZNF891
SCX,21596,SCX
TPD52L2,22238,TPD52L2
RNF44,47728,RNF44
FGF18,23989,FGF18
HTR1A,46107,HTR1A
SAA2,13527,SAA2
CLEC2L,23927,CLEC2L
IRF9,43696,IRF9
ODF3L2,30781,ODF3L2
EPM2AIP1,70370,EPM2AIP1
HK2,102380,HK2
CDC37L1,38835,CDC37L1
PAOX,70290,PAOX
RGS7BP,28962,RGS7BP
GRB10,67231,GRB10
SHISA4,21522,SHISA4
NUP54,55435,NUP54
TECPR2,153848,TECPR2
EEF1G,50119,EEF1G
ADPRM,39529,ADPRM
HUS1B,30982,HUS1B
BCL2L13,52723,BCL2L13
MRPL54,15819,MRPL54
TNNT2,35924,TNNT2
FASLG,31485,FASLG
DRD1,49293,DRD1
CAPZA1,32923,CAPZA1
MUC20,71982,MUC20
STOML1,42968,STOML1
CYB5B,16695,CYB5B
PGRMC2,23818,PGRMC2
MTRNR2L1,2691,MTRNR2L1
EXPH5,222519,EXPH5
KIAA0556,180918,KIAA0556
TMEM170A,15250,TMEM170A
KCNC2,70226,KCNC2
PAQR9,42692,PAQR9
INSL4,15445,INSL4
C9orf152,26314,C9orf152
ANKLE1,66890,ANKLE1
ACOT4,46327,ACOT4
TARS,83435,TARS
ANKRD27,116984,ANKRD27
DEFB126,12174,DEFB126
FUNDC1,17178,FUNDC1
ZNF260,47222,ZNF260
RAB43,23339,RAB43
HSPA1A,70052,HSPA1A
SERINC2,50742,SERINC2
LBX2,21482,LBX2
RBM11,32179,RBM11
ARR3,42778,ARR3
ELOA,89909,ELOA
CD58,28147,CD58
MICU3,60711,MICU3
IPP,65261,IPP
DCAF15,66463,DCAF15
WAS,52913,WAS
APLNR,42660,APLNR
TWISTNB,37432,TWISTNB
SLC22A13,60862,SLC22A13
TMEM178B,33409,TMEM178B
ETV6,53000,ETV6
ATP8B2,137440,ATP8B2
LHFPL2,24486,LHFPL2
AHSA1,38274,AHSA1
MFSD4A,56265,MFSD4A
DZANK1,82192,DZANK1
RCHY1,30110,RCHY1
PHF3,229481,PHF3
UGT1A6,60751,UGT1A6
POR,76690,POR
PALLD,150564,PALLD
TAS2R13,35118,TAS2R13
SIX1,32210,SIX1
PLA2G4F,95082,PLA2G4F
RAB20,26277,RAB20
VCL,123799,VCL
RAD9B,47832,RAD9B
RNF19A,90696,RNF19A
B3GNT9,43751,B3GNT9
HECTD1,289384,HECTD1
LRRC14B,56758,LRRC14B
BCAS1,61709,BCAS1
ZNF282,74295,ZNF282
OR8D2,34857,OR8D2
ARL14EPL,17712,ARL14EPL
OR5M3,35156,OR5M3
SULT1C2,34880,SULT1C2
ENC1,66130,ENC1
SNRNP27,18860,SNRNP27
GPRIN3,82439,GPRIN3
ADAT3,38071,ADAT3
NLGN4X,91915,NLGN4X
ABHD16A,63243,ABHD16A
ZBTB7C,69017,ZBTB7C
RFTN2,55922,RFTN2
TMEM155,14221,TMEM155
GPNMB,63923,GPNMB
FCRL3,80856,FCRL3
NBPF26,103816,NBPF26
NDUFS7,23564,NDUFS7
LY75,198311,LY75
TUFT1,44264,TUFT1
ACSF2,68125,ACSF2
IRAK4,51530,IRAK4
C2,83268,C2
LRRTM4,67217,LRRTM4
CABP1,39838,CABP1
HYOU1,111335,HYOU1
TRPC6,106326,TRPC6
BROX,46476,BROX
IGSF8,65034,IGSF8
RGPD4,197289,RGPD4
TYW3,29794,TYW3
EFNB1,38007,EFNB1
NREP,7909,NREP
ICK,71427,ICK
PAX5,42149,PAX5
C12orf76,14959,C12orf76
RNF7,12683,RNF7
IGKV1D-12,12620,IGKV1D-12
DPH3,9240,DPH3
CSF2RB,97336,CSF2RB
HKDC1,102545,HKDC1
HES4,23523,HES4
IL13,15816,IL13
ARHGAP10,89375,ARHGAP10
PCDHGC4,101214,PCDHGC4
SLC6A17,81001,SLC6A17
CFAP57,144961,CFAP57
HOXB1,32193,HOXB1
C11orf45,15559,C11orf45
DMRT2,61814,DMRT2
SIT1,21126,SIT1
LYZL4,16433,LYZL4
SLC2A3,53924,SLC2A3
CD151,28295,CD151
RELL2,32405,RELL2
TPRKB,19661,TPRKB
JARID2,138734,JARID2
PSMB4,29204,PSMB4
PRR20C,23262,PRR20C
TBL2,49798,TBL2
KRTAP1-3,18184,KRTAP1-3
CCDC74B,41826,CCDC74B
NCDN,78864,NCDN
RAB3C,25952,RAB3C
PTK2,119233,PTK2
ASMT,38453,ASMT
GCNT2,45873,GCNT2
GRM1,132357,GRM1
IL34,27482,IL34
NR2C1,67315,NR2C1
USP47,157311,USP47
SSC4D,60819,SSC4D
TMEM45B,31826,TMEM45B
NCALD,22245,NCALD
ZNF474,40315,ZNF474
CHMP1B,22109,CHMP1B
PPIAL4G,18166,PPIAL4G
TLR5,97834,TLR5
ATP6V1E2,26074,ATP6V1E2
CLVS1,40788,CLVS1
YBEY,19298,YBEY
ACAD10,118834,ACAD10
HIST1H2AI,14091,HIST1H2AI
SAFB2,107473,SAFB2
PCDHB10,87621,PCDHB10
ATP6V0E1,9374,ATP6V0E1
KLHL31,70246,KLHL31
CREB3L3,49077,CREB3L3
GSTT2B,27507,GSTT2B
RAB25,23496,RAB25
NXPH2,29938,NXPH2
MTHFD1L,105790,MTHFD1L
C5orf49,16991,C5orf49
TAF7L,52588,TAF7L
BTG2,17416,BTG2
CAPZB,31350,CAPZB
WBP1L,37828,WBP1L
CD69,22559,CD69
GUCY1A3,77452,GUCY1A3
IQSEC3,127621,IQSEC3
HHLA3,12913,HHLA3
GLYATL1,35101,GLYATL1
MT1H,6039,MT1H
RAB38,23712,RAB38
LCE1D,11230,LCE1D
RPS6KC1,118682,RPS6KC1
IL23A,20730,IL23A
PLEKHA8,58261,PLEKHA8
LRRC6,54255,LRRC6
PLEKHJ1,17551,PLEKHJ1
S100A6,10180,S100A6
GMFB,16713,GMFB
KRT27,49822,KRT27
MED24,110305,MED24
CSTL1,16989,CSTL1
TRAV8-2,12429,TRAV8-2
NAA15,101272,NAA15
MYO1C,121682,MYO1C
PVALEF,15275,PVALEF
PCDHA8,103051,PCDHA8
PLEKHM1,117443,PLEKHM1
SLC27A4,72064,SLC27A4
ADAMTSL5,53193,ADAMTSL5
ZNF83,59710,ZNF83
DEFB128,10650,DEFB128
ZC3H12A,65699,ZC3H12A
SSC5D,165743,SSC5D
FAM222A,46792,FAM222A
PGM2L1,70442,PGM2L1
IQCA1L,95061,IQCA1L
B4GALNT2,63258,B4GALNT2
XRCC4,38287,XRCC4
AAAS,59574,AAAS
FAM189A1,56544,FAM189A1
FN1,262625,FN1
MT-ATP8,7992,MT-ATP8
OR5B12,35182,OR5B12
RARRES1,33285,RARRES1
ARNTL,68762,ARNTL
MYL12A,19794,MYL12A
ACAD8,45070,ACAD8
LRRN4CL,25262,LRRN4CL
MINOS1,8808,MINOS1
MTMR11,79545,MTMR11
TBC1D10C,49712,TBC1D10C
ANKRD28,112966,ANKRD28
N4BP2,198801,N4BP2
ALAS1,70581,ALAS1
RBBP4,47656,RBBP4
GLP2R,63001,GLP2R
LIMK1,72585,LIMK1
SOX30,81854,SOX30
LIPE,116598,LIPE
NRG2,91679,NRG2
FAM213A,25764,FAM213A
RHBDF2,96686,RHBDF2
NRROS,76366,NRROS
DCAF12L1,51201,DCAF12L1
SLPI,14326,SLPI
ACVR2A,57848,ACVR2A
MOGS,91918,MOGS
SMG5,113928,SMG5
SLC2A12,66966,SLC2A12
PTPA,40668,PTPA
POLB,38178,POLB
ZBTB32,52963,ZBTB32
SLC25A2,32580,SLC25A2
STRIP1,95576,STRIP1
UBE2E3,22913,UBE2E3
ASPN,43417,ASPN
TBC1D2B,109880,TBC1D2B
TRUB2,36694,TRUB2
ZNF597,48076,ZNF597
NMB,13252,NMB
ZNF721,105084,ZNF721
WDR12,47708,WDR12
ALG5,36946,ALG5
PYROXD1,55793,PYROXD1
SHOC2,64888,SHOC2
IGHV3-64,12891,IGHV3-64
RHOB,22123,RHOB
HDHD5,46321,HDHD5
DDB1,126968,DDB1
SPRR2B,7975,SPRR2B
PMS2,95797,PMS2
GPR153,65361,GPR153
MYC,48804,MYC
INO80,176753,INO80
ZNF337,86875,ZNF337
POLR1E,47260,POLR1E
CES5A,63926,CES5A
SAR1A,22367,SAR1A
POLL,63482,POLL
MMEL1,89367,MMEL1
ING5,27751,ING5
ALDH1A1,54862,ALDH1A1
IGLV3-27,12165,IGLV3-27
F13A1,83267,F13A1
GPX1,22088,GPX1
BOD1L1,330466,BOD1L1
TRMT11,53421,TRMT11
FTMT,27538,FTMT
DNMBP,177347,DNMBP
TNP1,6424,TNP1
PITPNM1,134848,PITPNM1
HRNR,282390,HRNR
CYP2B6,56278,CYP2B6
AUP1,45787,AUP1
BCR,142819,BCR
OR52J3,35091,OR52J3
PRRC2B,242967,PRRC2B
EML5,219427,EML5
C8orf37,23381,C8orf37
EGR3,42613,EGR3
NRK,178479,NRK
FAHD2B,34613,FAHD2B
PSMC4,47366,PSMC4
PLEKHG1,155439,PLEKHG1
MYOM2,164896,MYOM2
TMEM114,24166,TMEM114
SIRT5,33881,SIRT5
GBX2,37348,GBX2
INTS1,244297,INTS1
CHMP3,25073,CHMP3
MFSD2B,53743,MFSD2B
CFAP58,103417,CFAP58
HOXC5,24976,HOXC5
MDK,15585,MDK
WHRN,96558,WHRN
FOLH1,84331,FOLH1
STX4,34180,STX4
MYBL2,78764,MYBL2
RAB1A,22678,RAB1A
CHRDL1,52026,CHRDL1
MTMR8,78919,MTMR8
CD200R1L,29920,CD200R1L
HHIPL1,86731,HHIPL1
ESRRA,45510,ESRRA
SLC16A6,57393,SLC16A6
MAPK8IP1,77524,MAPK8IP1
XRN1,194107,XRN1
EXOC3L2,45859,EXOC3L2
HTRA4,50979,HTRA4
TPI1,30791,TPI1
SECISBP2,95462,SECISBP2
NUDT12,52076,NUDT12
PTH,12861,PTH
ASB6,47136,ASB6
HOPX,8260,HOPX
FHOD3,158613,FHOD3
TTC14,88319,TTC14
STX2,33341,STX2
TOMM5,6035,TOMM5
IGKV4-1,13380,IGKV4-1
COMP,82860,COMP
HMGCS1,57294,HMGCS1
PLPP2,32574,PLPP2
MROH2B,180781,MROH2B
PHLPP1,184672,PHLPP1
ADAMTS19,134048,ADAMTS19
OSBPL7,95432,OSBPL7
ZNF281,96915,ZNF281
APBB1IP,73183,APBB1IP
CLUH,146670,CLUH
ST8SIA6,44836,ST8SIA6
TRIM49C,52933,TRIM49C
AFTPH,102113,AFTPH
GPR25,38779,GPR25
PRDM15,169269,PRDM15
ECI1,32816,ECI1
GP5,60959,GP5
DLX2,34243,DLX2
NBPF10,96426,NBPF10
DYNC2LI1,39625,DYNC2LI1
GSTA4,25704,GSTA4
MRPL52,13664,MRPL52
TMEM186,24893,TMEM186
CASC4,49498,CASC4
SPTBN2,271325,SPTBN2
ARHGEF1,102435,ARHGEF1
TARSL2,92646,TARSL2
FAM237A,20560,FAM237A
CCDC12,19181,CCDC12
HTRA1,51287,HTRA1
C16orf92,14383,C16orf92
G6PC2,40580,G6PC2
SLC2A6,54539,SLC2A6
XCL2,12567,XCL2
FAM83G,90835,FAM83G
UNC93B1,66631,UNC93B1
ITIH6,143187,ITIH6
TSACC,13670,TSACC
NT5E,63368,NT5E
PSORS1C1,16580,PSORS1C1
TNFAIP8,23003,TNFAIP8
CEP72,71718,CEP72
TMEM183A,42826,TMEM183A
CBR4,25301,CBR4
KRTAP7-1,9288,KRTAP7-1
TRBV4-2,12890,TRBV4-2
KCTD15,31942,KCTD15
BTBD6,53411,BTBD6
FADD,23279,FADD
OBSCN,868484,OBSCN
OR4K13,34261,OR4K13
NWD2,197466,NWD2
GRIK3,104037,GRIK3
CLEC4C,25038,CLEC4C
AOC3,84622,AOC3
EI24,38965,EI24
DNAJB5,39133,DNAJB5
OVCA2,24418,OVCA2
RGR,31874,RGR
CUL4B,103982,CUL4B
DDX25,54692,DDX25
MSTO1,61835,MSTO1
PDLIM5,63945,PDLIM5
FUBP3,61640,FUBP3
CAPRIN2,125925,CAPRIN2
MARCH9,37772,MARCH9
TLN1,269767,TLN1
DGCR6,24989,DGCR6
ADAMTSL3,188692,ADAMTSL3
IGLV3-19,12042,IGLV3-19
FAM200B,76034,FAM200B
ANKRD2,39859,ANKRD2
FAM162B,17685,FAM162B
DENND2A,113853,DENND2A
ITM2B,30338,ITM2B
LGALS4,35941,LGALS4
VPS52,82221,VPS52
SHANK3,184667,SHANK3
TEPSIN,55137,TEPSIN
ZNF20,61567,ZNF20
RHBG,47231,RHBG
SIGLEC11,75795,SIGLEC11
LINGO4,63774,LINGO4
HOOK1,84648,HOOK1
EME2,41178,EME2
ASPA,35735,ASPA
CARS2,62224,CARS2
CDKN2AIP,61125,CDKN2AIP
JOSD1,23198,JOSD1
PSIP1,60103,PSIP1
STK25,48112,STK25
IFNGR1,54405,IFNGR1
P2RX3,44289,P2RX3
UPK3B,33882,UPK3B
TAS1R2,95183,TAS1R2
RNF113B,36259,RNF113B
SBNO2,150275,SBNO2
ARHGAP22,76779,ARHGAP22
CLDN19,23229,CLDN19
NOTCH1,272505,NOTCH1
LSM4,15350,LSM4
WDR54,35891,WDR54
TARM1,29474,TARM1
ACTL7A,48644,ACTL7A
KIAA2013,69157,KIAA2013
FAM107A,17455,FAM107A
WRAP53,59309,WRAP53
LPA,501319,LPA
TUBGCP2,102534,TUBGCP2
FCGR2C,35578,FCGR2C
ZNF606,91812,ZNF606
IFNA8,21989,IFNA8
MYEF2,64122,MYEF2
GGH,35964,GGH
RCN1,38890,RCN1
SAMD9L,184533,SAMD9L
NEURL1,61860,NEURL1
OARD1,17025,OARD1
GAS1,35693,GAS1
RGS13,19135,RGS13
NDFIP1,24899,NDFIP1
PKD2,109691,PKD2
SSMEM1,28167,SSMEM1
CCL7,11200,CCL7
MRPS21,10689,MRPS21
FCRL1,46936,FCRL1
GPI,63147,GPI
FRMD3,68772,FRMD3
VAMP1,12902,VAMP1
TLE1,83201,TLE1
VSX1,38431,VSX1
ST3GAL1,39075,ST3GAL1
PRAM1,73969,PRAM1
MTFR2,43384,MTFR2
DNTT,58536,DNTT
IGFL2,13248,IGFL2
GFOD1,43158,GFOD1
LY6G5B,22572,LY6G5B
CTDSPL2,52999,CTDSPL2
ZNF280D,109285,ZNF280D
NXF3,60102,NXF3
NKAIN4,23240,NKAIN4
UCHL5,37607,UCHL5
SLC25A5,32852,SLC25A5
LRP11,53311,LRP11
ARRDC3,46395,ARRDC3
LCN9,20285,LCN9
SLC25A23,52378,SLC25A23
TSC22D2,79228,TSC22D2
PRKCD,77505,PRKCD
PF4V1,11553,PF4V1
MYL4,21565,MYL4
ZNF335,144893,ZNF335
CPA3,48670,CPA3
B3GAT1,38256,B3GAT1
SPINK13,11051,SPINK13
LIMA1,85226,LIMA1
PLA2G4E,99190,PLA2G4E
ZNF507,105767,ZNF507
SPOCK1,49124,SPOCK1
PIK3AP1,90398,PIK3AP1
RPF2,35583,RPF2
ZNF556,51581,ZNF556
EFL1,125430,EFL1
CCDC166,48709,CCDC166
MCM3AP,218405,MCM3AP
PCDHB1,90491,PCDHB1
ERLEC1,54858,ERLEC1
HIST1H2AJ,13936,HIST1H2AJ
NCR3LG1,50827,NCR3LG1
SHTN1,71640,SHTN1
NKX3-2,34814,NKX3-2
ARG1,34735,ARG1
PANK3,41094,PANK3
RPRM,11774,RPRM
TRAV17,12500,TRAV17
C2orf72,30481,C2orf72
HOOK3,83126,HOOK3
SLAIN2,62543,SLAIN2
TGFB1I1,49814,TGFB1I1
SLC35G1,39836,SLC35G1
TMEM37,20932,TMEM37
XRRA1,89864,XRRA1
MRPL9,30243,MRPL9
CNIH1,16699,CNIH1
UTP4,76890,UTP4
ART1,36335,ART1
FSD2,85385,FSD2
SOX11,46679,SOX11
RPUSD2,61311,RPUSD2
C1orf167,162423,C1orf167
CLPP,30180,CLPP
SLC16A2,59511,SLC16A2
ANKRD20A2,94087,ANKRD20A2
PPP5C,56879,PPP5C
ABCB1,141479,ABCB1
RNF169,77194,RNF169
NBN,84959,NBN
CCNT2,81029,CCNT2
CKMT2,47504,CKMT2
ABHD17A,33990,ABHD17A
ASB5,36341,ASB5
CYP21A2,55887,CYP21A2
TMEM35A,18440,TMEM35A
GGCX,87561,GGCX
CMTM3,19714,CMTM3
IQCF3,18251,IQCF3
TBC1D3L,62187,TBC1D3L
RNF14,53837,RNF14
UPK3BL1,28385,UPK3BL1
DOCK11,237671,DOCK11
RBM24,24776,RBM24
DTX1,67368,DTX1
CXCR6,39280,CXCR6
HYAL1,48368,HYAL1
OR4D1,35240,OR4D1
PRICKLE3,68609,PRICKLE3
ABCA12,293237,ABCA12
SLC23A2,70337,SLC23A2
ZNF648,62341,ZNF648
NTRK2,91999,NTRK2
F5,251703,F5
ARHGAP29,142064,ARHGAP29
RAB3GAP2,155985,RAB3GAP2
SPECC1L,124602,SPECC1L
NEUROG2,28621,NEUROG2
SRPX,51572,SRPX
DEFB119,9822,DEFB119
KDM2B,152615,KDM2B
HSF1,57260,HSF1
ODF1,28366,ODF1
RPL9,21863,RPL9
MOB2,26927,MOB2
EIF2S1,36112,EIF2S1
SACS,521126,SACS
VRTN,78260,VRTN
ZFP36L1,36314,ZFP36L1
HOXB5,29434,HOXB5
ZCCHC17,27570,ZCCHC17
ZNF442,72863,ZNF442
SCAPER,158287,SCAPER
TSEN54,58819,TSEN54
TSPAN31,23053,TSPAN31
DDB2,47864,DDB2
TCF25,76667,TCF25
CYP2S1,55817,CYP2S1
WAC,70724,WAC
C11orf1,17785,C11orf1
FAM118A,40269,FAM118A
UNC5CL,57818,UNC5CL
UBLCP1,36805,UBLCP1
PRSS53,58410,PRSS53
DUSP16,73102,DUSP16
SNRPB,24610,SNRPB
TRAV7,12598,TRAV7
C4orf17,39644,C4orf17
ENSA,13389,ENSA
MRPL13,20692,MRPL13
CFLAR,55344,CFLAR
KIF26A,194590,KIF26A
AMBRA1,142507,AMBRA1
AUNIP,40253,AUNIP
EPB41L4B,99712,EPB41L4B
ZNF251,75763,ZNF251
LYPD2,13115,LYPD2
ZNF439,58395,ZNF439
KRTAP6-2,6654,KRTAP6-2
PNLIPRP1,51848,PNLIPRP1
OR52A5,35955,OR52A5
MCIDAS,41720,MCIDAS
ICA1,54645,ICA1
NDUFA4L2,9966,NDUFA4L2
CHAF1A,106910,CHAF1A
CYYR1,16626,CYYR1
AGTR1,41061,AGTR1
KHDC1,27160,KHDC1
IGFL1,12363,IGFL1
THSD1,94584,THSD1
SERPINF1,46312,SERPINF1
CDC20B,57335,CDC20B
KIF5A,117378,KIF5A
SPRR1B,9888,SPRR1B
KIF13A,202308,KIF13A
D2HGDH,56416,D2HGDH
CCZ1B,55866,CCZ1B
POU5F1B,38588,POU5F1B
ZNF175,81609,ZNF175
CYP4F2,59853,CYP4F2
MTMR1,74678,MTMR1
UNC13A,193014,UNC13A
MROH6,77186,MROH6
TACC1,87794,TACC1
LHFPL3,25769,LHFPL3
ARC,45316,ARC
TRIM71,93385,TRIM71
PCIF1,80670,PCIF1
CCDC81,76084,CCDC81
STX3,33155,STX3
ABI3,39035,ABI3
KNL1,265391,KNL1
PLA2G4C,60939,PLA2G4C
VCAM1,81276,VCAM1
BAIAP2L2,58987,BAIAP2L2
TAMM41,51067,TAMM41
KLF17,42577,KLF17
ZSWIM6,133470,ZSWIM6
HSBP1L1,8384,HSBP1L1
ICOSLG,33349,ICOSLG
MAF,38492,MAF
PLPP6,32194,PLPP6
PXN,64505,PXN
SPATA31A1,148561,SPATA31A1
LIPN,45534,LIPN
TPO,102963,TPO
AEBP2,54467,AEBP2
TPH2,56057,TPH2
HIST1H2BD,13936,HIST1H2BD
BOK,23280,BOK
MATN3,52817,MATN3
CENPN,39555,CENPN
ARHGEF10L,140379,ARHGEF10L
C6orf58,37926,C6orf58
KCNMB2,27130,KCNMB2
MYO15B,167088,MYO15B
PNN,81628,PNN
TMEM101,28795,TMEM101
GABRB1,54235,GABRB1
LRWD1,70861,LRWD1
ZNF84,85457,ZNF84
ST6GALNAC3,35395,ST6GALNAC3
UBXN7,54862,UBXN7
ZBTB26,49953,ZBTB26
SLC28A2,71926,SLC28A2
ZNF570,62330,ZNF570
TRBV5-1,12600,TRBV5-1
NARS,62943,NARS
SIGLECL1,21283,SIGLECL1
ZSCAN23,44955,ZSCAN23
KIAA1549L,198999,KIAA1549L
KHNYN,74534,KHNYN
VEZF1,56931,VEZF1
KDM4D,58603,KDM4D
LCMT1,38379,LCMT1
LEO1,75404,LEO1
GAD2,65411,GAD2
TKFC,58947,TKFC
OR10J3,36549,OR10J3
GFAP,49880,GFAP
TXNDC11,110529,TXNDC11
AKR1A1,36573,AKR1A1
LYRM9,9374,LYRM9
SLC12A1,121450,SLC12A1
SCHIP1,53480,SCHIP1
PPDPF,11777,PPDPF
SLC6A11,70606,SLC6A11
ARF4,20511,ARF4
CADM1,48509,CADM1
CRCP,16871,CRCP
CASP2,50685,CASP2
SPTB,246468,SPTB
TRIM47,69532,TRIM47
FAM160B1,86558,FAM160B1
CYR61,42027,CYR61
BPIFB1,52442,BPIFB1
B4GALT3,43928,B4GALT3
ITGB1BP1,21782,ITGB1BP1
NUP88,83542,NUP88
ARRDC4,45479,ARRDC4
KRTAP9-6,16800,KRTAP9-6
CHN2,53924,CHN2
FCGR1A,42632,FCGR1A
CIZ1,100045,CIZ1
COBL,135617,COBL
PAPPA,180973,PAPPA
SLC25A41,40795,SLC25A41
CORIN,116486,CORIN
LAPTM4A,26801,LAPTM4A
PUM2,114216,PUM2
DYRK4,59608,DYRK4
ACTL6B,46877,ACTL6B
INTS12,48808,INTS12
LRRC57,26754,LRRC57
MKRN3,55645,MKRN3
DTNB,71356,DTNB
SWT1,103222,SWT1
ZNF835,59631,ZNF835
CFAP61,141349,CFAP61
QRICH2,180827,QRICH2
TRAPPC11,128881,TRAPPC11
AQP11,30203,AQP11
SLC22A23,73748,SLC22A23
RAB3IP,53021,RAB3IP
UBL5,8547,UBL5
ACTRT2,41702,ACTRT2
EGFR,134277,EGFR
KAT5,58582,KAT5
PRTN3,27807,PRTN3
ZNF552,46198,ZNF552
OR52N1,35785,OR52N1
FOCAD,200072,FOCAD
RPA1,68138,RPA1
OR2H1,35339,OR2H1
DEC1,7542,DEC1
PARD6B,41182,PARD6B
PIGQ,84082,PIGQ
PCOLCE2,45717,PCOLCE2
BTD,61133,BTD
GGT5,62261,GGT5
MFSD8,57628,MFSD8
PARM1,32289,PARM1
OR2B2,40412,OR2B2
ERMARD,77788,ERMARD
ECD,72758,ECD
C16orf91,15004,C16orf91
MYCN,49561,MYCN
TUBB1,50327,TUBB1
NECAB3,44350,NECAB3
PPP1R12C,84881,PPP1R12C
GSK3A,50981,GSK3A
SPHK2,69217,SPHK2
PRAG1,149624,PRAG1
TIMM44,51356,TIMM44
APOBEC4,41581,APOBEC4
OXA1L,48548,OXA1L
MYO1G,116442,MYO1G
HK3,99025,HK3
GH1,24847,GH1
TIGD3,52027,TIGD3
SLC38A7,49966,SLC38A7
PTPRB,224301,PTPRB
DNAJC17,34687,DNAJC17
OR14A2,34780,OR14A2
CRKL,33777,CRKL
HIGD2A,11529,HIGD2A
ERMN,32783,ERMN
ETDB,6991,ETDB
CD63,25637,CD63
CPT1C,90989,CPT1C
HEPACAM,46026,HEPACAM
ZNF738,15884,ZNF738
HIST1H2AC,14105,HIST1H2AC
TRAV8-1,12788,TRAV8-1
SELL,42187,SELL
PHF20L1,115010,PHF20L1
TRBV4-1,12859,TRBV4-1
ZBTB47,82760,ZBTB47
TMEM64,39665,TMEM64
FBXL15,32998,FBXL15
GRIP1,122422,GRIP1
MLH1,84601,MLH1
FAM236A,8715,FAM236A
IFITM5,14378,IFITM5
PRPF39,78430,PRPF39
MRPL22,23641,MRPL22
OR2M3,34827,OR2M3
RASL10A,22541,RASL10A
HLA-DPB1,29159,HLA-DPB1
BCHE,68418,BCHE
METTL1,31471,METTL1
CSTF1,48358,CSTF1
PLOD2,84686,PLOD2
FOXN2,47161,FOXN2
TEX49,15631,TEX49
GMNC,37887,GMNC
IRAK2,69433,IRAK2
GTF2IRD1,106057,GTF2IRD1
SLC27A6,70112,SLC27A6
IKBKE,80462,IKBKE
PTDSS1,55528,PTDSS1
ARHGAP24,84258,ARHGAP24
B4GALT6,44914,B4GALT6
OTOA,128533,OTOA
SIAE,58315,SIAE
VMO1,21534,VMO1
CXCL9,14019,CXCL9
CHD6,305412,CHD6
MOV10,113671,MOV10
DLEU7,23924,DLEU7
CD2,39448,CD2
OCM,12184,OCM
RIPK2,61195,RIPK2
SEMA3F,88381,SEMA3F
PIK3C2G,165715,PIK3C2G
METAP1D,37088,METAP1D
SEC11C,21542,SEC11C
PRLHR,41121,PRLHR
C2orf91,14825,C2orf91
CSTA,11006,CSTA
OSBPL10,83970,OSBPL10
COMMD1,21178,COMMD1
PARP12,79064,PARP12
BTBD2,55931,BTBD2
CELA3A,29489,CELA3A
PPP2R2C,51515,PPP2R2C
KDM2A,132793,KDM2A
MKX,39331,MKX
MAFG,17850,MAFG
