Genes,Transcript_Length,Norm_Symbol
PML,2572.8888888888887,PML
CLCF1,1336.0,CLCF1
SORT1,3148.4,SORT1
TRAPPC3,1090.5714285714287,TRAPPC3
APOOL,6463.666666666668,APOOL
N4BP2L1,1933.75,N4BP2L1
TIFA,2466.0,TIFA
SLIRP,529.25,SLIRP
KRTAP10-8,876.0,KRTAP10-8
KRT9,1894.5,KRT9
AC138696.1,2897.0,AC138696.1
OR4Q2,921.0,OR4Q2
LRRTM1,1390.0,LRRTM1
CYP4A22,2030.2,CYP4A22
PPL,5237.0,PPL
ULK2,4550.333333333333,ULK2
CYP3A5,3171.0,CYP3A5
PYM1,848.5,PYM1
GPSM1,2441.833333333333,GPSM1
UBE2G2,2044.0,UBE2G2
NDUFB5,1882.5,NDUFB5
KIF2C,1633.8,KIF2C
ALOXE3,3206.0,ALOXE3
EIF2AK4,3040.0,EIF2AK4
SGTB,3167.5,SGTB
SOWAHB,3220.0,SOWAHB
MEX3C,3753.666666666666,MEX3C
GCNT2,3314.333333333333,GCNT2
SLC8A3,3800.125,SLC8A3
PRR26,631.5,PRR26
LRMP,1825.1,LRMP
IQANK1,2270.0,IQANK1
FER1L5,6430.5,FER1L5
PRKG2,3682.0,PRKG2
TSSK3,649.5,TSSK3
GTF3C6,788.0,GTF3C6
C17orf49,829.8,C17orf49
SPATA6L,1369.5,SPATA6L
DDC,1588.8,DDC
KERA,2162.0,KERA
ZNF224,1419.75,ZNF224
CMBL,3893.0,CMBL
RBM11,1955.0,RBM11
WDCP,2703.333333333333,WDCP
SLC13A4,1349.0,SLC13A4
ZNF596,1385.4444444444446,ZNF596
PLK4,2873.833333333333,PLK4
PLEKHG2,1766.4615384615383,PLEKHG2
ZIM2,1806.8,ZIM2
CRNN,1902.0,CRNN
AC007383.6,378.0,AC007383.6
SLC28A1,2230.25,SLC28A1
SAE1,1252.5555555555557,SAE1
UQCR10,750.0,UQCR10
OBSCN,15011.923076923076,OBSCN
TFB2M,1784.0,TFB2M
FKBP1B,962.6666666666665,FKBP1B
COL11A1,4097.9,COL11A1
MORF4L1,1112.2307692307693,MORF4L1
FOXQ1,2661.0,FOXQ1
CLDN18,3394.5,CLDN18
ARSD,2862.5,ARSD
GGACT,1187.3333333333333,GGACT
SAMM50,1692.0,SAMM50
KLHL23,1521.666666666667,KLHL23
MROH8,2041.571428571429,MROH8
TPM2,1057.8333333333333,TPM2
BHMT2,1554.666666666667,BHMT2
FBXL4,5434.0,FBXL4
C9orf64,1718.333333333333,C9orf64
XKR5,3003.0,XKR5
RNF4,1564.4545454545455,RNF4
GJA5,2417.0,GJA5
MRPS34,1032.0,MRPS34
RAC2,896.2,RAC2
IGHV3-72,303.0,IGHV3-72
GPHB5,468.0,GPHB5
SAMD11,2039.692307692308,SAMD11
GRAP,1443.666666666667,GRAP
ZNF114,1351.1666666666667,ZNF114
LHFPL3,1548.5,LHFPL3
FAM234B,3361.0,FAM234B
DKKL1,742.0,DKKL1
FGF3,1540.0,FGF3
EFNB3,3216.0,EFNB3
TEX45,971.75,TEX45
RIMBP3C,5629.5,RIMBP3C
CCNB1IP1,1297.5555555555557,CCNB1IP1
HSD3B1,1152.3333333333333,HSD3B1
MFSD4B,5958.0,MFSD4B
WDR35,5167.333333333333,WDR35
SMCHD1,4843.0,SMCHD1
ADGRG5,2621.333333333333,ADGRG5
PLEKHA5,3448.1111111111113,PLEKHA5
CHRNB1,1433.5,CHRNB1
ARHGEF9,2774.8214285714284,ARHGEF9
NPNT,2046.0,NPNT
KHDRBS3,1074.8,KHDRBS3
SPATA31D1,4833.0,SPATA31D1
NEURL1B,2925.333333333333,NEURL1B
SNRPC,820.0,SNRPC
RAET1E,1078.4,RAET1E
PPRC1,4023.666666666666,PPRC1
NOSIP,759.2,NOSIP
MGAT4C,5280.142857142857,MGAT4C
PIK3R3,3685.2,PIK3R3
VGLL2,1970.0,VGLL2
SLC38A8,915.6666666666665,SLC38A8
IKBKG,1340.2307692307693,IKBKG
YWHAE,1200.0,YWHAE
ALG14,9375.0,ALG14
HNF1B,1857.166666666667,HNF1B
NOLC1,2614.6666666666665,NOLC1
CD8B,1538.833333333333,CD8B
LONRF1,2187.0,LONRF1
MRPS18C,782.2,MRPS18C
RCAN3,2213.7,RCAN3
ARHGEF2,2046.0,ARHGEF2
NFKBIA,1176.75,NFKBIA
PGAM1,1802.0,PGAM1
KLHL25,3650.0,KLHL25
FMNL1,1919.5,FMNL1
CLEC4C,876.8333333333335,CLEC4C
ZNF560,2654.0,ZNF560
NT5C3A,1333.4285714285713,NT5C3A
SMU1,7136.0,SMU1
CXCL2,1115.0,CXCL2
CDK9,1582.5,CDK9
SERTM1,3099.0,SERTM1
RPS6KA6,8317.0,RPS6KA6
NEK3,1459.0,NEK3
SYCP2L,2672.5,SYCP2L
ECE1,2624.777777777778,ECE1
ENTPD5,2394.0,ENTPD5
GSTM3,2096.333333333333,GSTM3
DRC3,1109.0,DRC3
OR5M3,1225.5,OR5M3
FAM83A,3139.0,FAM83A
MRPL35,1567.0,MRPL35
SLC38A2,2939.333333333333,SLC38A2
QPRT,1338.6666666666667,QPRT
MDFI,1039.25,MDFI
OLAH,1048.0,OLAH
PTX4,1351.6666666666667,PTX4
ZNF124,1541.25,ZNF124
AC084121.11,1395.0,AC084121.11
DROSHA,3235.4285714285716,DROSHA
KCNJ9,4202.0,KCNJ9
PPP2R5C,1716.4117647058827,PPP2R5C
ASPM,6914.0,ASPM
CDH13,2648.333333333333,CDH13
SOBP,3887.5,SOBP
BANF2,505.5,BANF2
ZC3HAV1,4155.5,ZC3HAV1
C6orf226,557.0,C6orf226
AC115220.1,1453.0,AC115220.1
PLXNA4,8041.25,PLXNA4
ZGPAT,1651.666666666667,ZGPAT
OSM,1109.6666666666667,OSM
CNNM4,4783.0,CNNM4
KRTAP3-3,704.0,KRTAP3-3
BMP2K,4437.25,BMP2K
ERI1,3919.333333333334,ERI1
POP5,857.0,POP5
LFNG,2014.166666666667,LFNG
EPB41L1,2512.5,EPB41L1
STAT5B,2831.0,STAT5B
RAB36,1772.666666666667,RAB36
AKAP10,1669.75,AKAP10
NPHP3-ACAD11,695.0,NPHP3-ACAD11
APOA1,1022.8,APOA1
UQCR11,852.0,UQCR11
PLPP2,979.3333333333335,PLPP2
ANKS4B,4323.0,ANKS4B
TET3,8281.0,TET3
LAMB4,4224.25,LAMB4
PCDHB16,2947.5,PCDHB16
NBPF26,2929.0,NBPF26
REXO2,819.2857142857142,REXO2
RANBP17,1835.666666666667,RANBP17
SIK3,3948.8,SIK3
TSN,2155.25,TSN
HIST1H3B,506.0,HIST1H3B
XPO5,3040.5,XPO5
KRTAP1-4,408.0,KRTAP1-4
SLC35G6,1697.0,SLC35G6
ARL14EPL,1278.0,ARL14EPL
MAML1,5748.0,MAML1
MTIF2,1167.6,MTIF2
MAP4K3,3234.25,MAP4K3
ZCCHC7,2222.0,ZCCHC7
AL593848.2,249.0,AL593848.2
SLC18A2,3831.0,SLC18A2
AGPAT1,2172.2619047619046,AGPAT1
ALMS1,9973.0,ALMS1
GGTLC2,772.5,GGTLC2
MCM3,2605.0,MCM3
RGN,1794.0,RGN
PSMC5,1083.2222222222224,PSMC5
CBFA2T3,1524.0,CBFA2T3
ZXDB,5894.0,ZXDB
PNPLA7,4628.0,PNPLA7
UBE2Q1,3239.0,UBE2Q1
TRIO,5266.0,TRIO
FKBP6,1357.5,FKBP6
ALPK1,4926.25,ALPK1
SLC35E3,9224.0,SLC35E3
RNF24,4764.5,RNF24
ZNF667,2972.833333333333,ZNF667
KBTBD7,4734.0,KBTBD7
CCDC78,1102.5,CCDC78
ZNF467,1878.0,ZNF467
TRMT10A,2469.4,TRMT10A
SPANXB1,466.0,SPANXB1
LMO3,1816.142857142857,LMO3
DRAM1,1584.666666666667,DRAM1
NKIRAS1,1812.4444444444446,NKIRAS1
STAT6,1891.4375,STAT6
ABHD1,1055.3333333333333,ABHD1
UBE2E3,933.1,UBE2E3
ZADH2,2978.5,ZADH2
SNX4,2512.0,SNX4
ISCA1,1125.75,ISCA1
ZNF285,2933.25,ZNF285
PEX19,1730.333333333333,PEX19
CEP250,3057.875,CEP250
FAM71B,2515.0,FAM71B
PRPS1L1,1017.0,PRPS1L1
SLC6A12,2170.5,SLC6A12
AC270272.1,255.0,AC270272.1
WASF1,1844.5,WASF1
KLF7,2950.625,KLF7
NCK1,1337.2222222222224,NCK1
KATNB1,1044.5,KATNB1
ZNF780A,2966.25,ZNF780A
OCSTAMP,2043.0,OCSTAMP
AGO4,7272.0,AGO4
OVOL1,2381.0,OVOL1
MMS22L,3498.5,MMS22L
CCT8,1433.4,CCT8
TRAF7,1471.25,TRAF7
CD226,4382.857142857143,CD226
SMIM28,855.0,SMIM28
PRAMEF5,1753.75,PRAMEF5
USP5,2234.0,USP5
UBR2,6045.666666666668,UBR2
SLC12A5,2231.2727272727275,SLC12A5
DHX57,2111.75,DHX57
PKM,1591.0,PKM
MSH4,3270.0,MSH4
LIN7A,2521.0,LIN7A
NCBP2,1312.0,NCBP2
OR13H1,1081.0,OR13H1
C14orf177,1289.0,C14orf177
GNLY,753.75,GNLY
AC270264.1,1158.0,AC270264.1
NASP,1253.5,NASP
ZNF691,1571.111111111111,ZNF691
AGPAT2,1431.333333333333,AGPAT2
NCAPG,2697.0,NCAPG
KIAA2026,5506.666666666668,KIAA2026
NMNAT1,1771.0,NMNAT1
LIPE,1243.7142857142858,LIPE
WDR91,4540.0,WDR91
PHYH,1325.4,PHYH
AC013394.1,808.0,AC013394.1
PITX3,1306.5,PITX3
CAPN3,1590.857142857143,CAPN3
ABHD12B,1646.0,ABHD12B
CBLC,1508.5,CBLC
SSTR2,7685.0,SSTR2
ACAA1,1461.0,ACAA1
PTN,1606.5,PTN
TNPO1,4398.75,TNPO1
SRSF8,4028.0,SRSF8
OR52K1,3854.0,OR52K1
ADAM20,2793.0,ADAM20
ITIH4,2872.75,ITIH4
WFDC11,605.6666666666666,WFDC11
PLXNC1,2568.8,PLXNC1
IFNW1,1932.0,IFNW1
GAS6,2508.0,GAS6
ZNF195,1532.470588235294,ZNF195
PPP1R2,1490.0,PPP1R2
SLC51B,924.0,SLC51B
REEP4,1172.5,REEP4
OTOS,608.0,OTOS
TAC1,1015.6666666666665,TAC1
CLEC20A,1271.0,CLEC20A
POLA1,5453.333333333333,POLA1
CYBA,709.5,CYBA
TAB3,4357.25,TAB3
BNIP3,2329.6666666666665,BNIP3
CBLN1,1580.0,CBLN1
CCDC185,2054.0,CCDC185
ZNF721,2691.0,ZNF721
GRIK1,3255.4285714285716,GRIK1
PRR13,778.0909090909091,PRR13
FGF20,1137.0,FGF20
RANBP10,3789.0,RANBP10
OLIG2,2104.6666666666665,OLIG2
ARSH,1875.0,ARSH
MSN,2264.0,MSN
CACNB3,1544.333333333333,CACNB3
OPRPN,983.0,OPRPN
SPATA48,2028.0,SPATA48
AC012314.25,2412.0,AC012314.25
WNT16,2190.0,WNT16
SSR2,763.8333333333335,SSR2
C1QC,1143.3333333333333,C1QC
OR9Q1,2311.0,OR9Q1
RABL2B,1870.25,RABL2B
AC012314.20,2412.0,AC012314.20
LRP8,3201.555555555556,LRP8
SCYGR4,1658.0,SCYGR4
COL3A1,3228.0,COL3A1
KRT31,1605.5,KRT31
SEC61A1,2299.5,SEC61A1
FREM1,6630.333333333332,FREM1
MRPS23,2235.0,MRPS23
SERP1,2110.75,SERP1
WDR24,3103.0,WDR24
TCEANC,2067.0,TCEANC
PDE3A,7576.0,PDE3A
CKAP4,1847.0,CKAP4
TLE6,1224.5,TLE6
PIK3CD,4636.0,PIK3CD
DYM,1172.5,DYM
KCNA2,5430.818181818182,KCNA2
STON1,5577.0,STON1
BOLA2B,601.5,BOLA2B
FBXO22,2803.2,FBXO22
LCE2D,609.0,LCE2D
INPPL1,1956.4444444444446,INPPL1
IL2,1029.0,IL2
YIPF6,4404.666666666667,YIPF6
ERICH4,946.0,ERICH4
STT3B,4248.0,STT3B
HMX2,1628.0,HMX2
IFIT2,3378.0,IFIT2
FAM170B,1401.0,FAM170B
PDE2A,1893.7857142857144,PDE2A
CLEC18C,1613.2857142857142,CLEC18C
PNMA3,2529.5,PNMA3
ARL2BP,1310.6666666666667,ARL2BP
GPR63,5967.0,GPR63
BECN2,1296.0,BECN2
CUL7,5379.0,CUL7
NKG7,566.6,NKG7
SLC6A11,3521.5,SLC6A11
PCNA,1317.5,PCNA
TTC39A,1683.0,TTC39A
BLNK,1364.4,BLNK
RAB11B,898.25,RAB11B
KLC1,2579.85,KLC1
PTGES3L-AARSD1,1468.666666666667,PTGES3L-AARSD1
HTATIP2,1027.5,HTATIP2
SAMD9,5839.0,SAMD9
VSTM4,4292.0,VSTM4
ZNF280C,3304.0,ZNF280C
ZFP69B,2100.6666666666665,ZFP69B
CD163,2767.5,CD163
SNRPB2,1999.5,SNRPB2
CLPB,3161.818181818182,CLPB
FGF18,1998.0,FGF18
GAL3ST1,961.3181818181821,GAL3ST1
RNF141,2055.333333333333,RNF141
ZNF420,1305.8333333333333,ZNF420
CFC1B,1547.0,CFC1B
MAFG,2458.0,MAFG
ABHD14A,856.2,ABHD14A
NPIPA1,776.3333333333335,NPIPA1
IDE,4251.5,IDE
MICOS10,2685.333333333333,MICOS10
COL6A6,5179.5,COL6A6
LRRIQ1,1724.8,LRRIQ1
DLL4,3426.0,DLL4
ZNF792,3317.5,ZNF792
PDIA6,2232.714285714286,PDIA6
SNX27,3573.8,SNX27
ANKFY1,4891.75,ANKFY1
SIGMAR1,1418.333333333333,SIGMAR1
NOVA1,1882.4444444444446,NOVA1
PCDHGA2,4678.0,PCDHGA2
FAM209A,921.0,FAM209A
ANKRD40,2507.0,ANKRD40
LOXHD1,3384.0,LOXHD1
SERPINA9,1441.5,SERPINA9
HSPH1,3608.0,HSPH1
TNFRSF14,957.5714285714287,TNFRSF14
P4HA1,2786.4,P4HA1
WDR47,2558.1111111111113,WDR47
ZNF844,3113.333333333333,ZNF844
MCEMP1,1246.5,MCEMP1
ZYG11A,4031.0,ZYG11A
TRIM64B,2689.0,TRIM64B
MRTO4,2049.0,MRTO4
TANGO2,1702.333333333333,TANGO2
SSU72P4,585.0,SSU72P4
AP3B2,2888.6470588235293,AP3B2
KDM7A,9220.0,KDM7A
LMO7,2865.722222222222,LMO7
TEX28,1435.666666666667,TEX28
GUSB,1970.5,GUSB
TRIM56,4206.666666666667,TRIM56
MISP3,1222.3333333333333,MISP3
TACR3,5359.0,TACR3
NDEL1,1028.0,NDEL1
NCOA4,2543.714285714286,NCOA4
ANG,982.0,ANG
EPC1,2519.4,EPC1
LITAFD,783.0,LITAFD
CD200R1L,1101.25,CD200R1L
GAGE12B,117.0,GAGE12B
ZNF649,1463.0,ZNF649
CDC26,871.0,CDC26
TSTA3,868.5,TSTA3
ZNF69,1339.0,ZNF69
GRM7,2433.833333333333,GRM7
GRHL1,2007.0,GRHL1
NPHP4,3979.5,NPHP4
SUPT7L,3244.6,SUPT7L
RIT1,1446.0,RIT1
OR6Q1,1002.0,OR6Q1
FRY,8913.42857142857,FRY
SPRY1,1830.125,SPRY1
TMEM92,2730.0,TMEM92
OR13G1,1807.0,OR13G1
TCTE3,778.0,TCTE3
SEC23A,1397.8181818181818,SEC23A
UBAP2L,2192.4166666666665,UBAP2L
GIGYF2,2227.913043478261,GIGYF2
SMG9,1541.2857142857142,SMG9
HSDL1,1321.2,HSDL1
ADARB2,3662.666666666666,ADARB2
PAPSS1,2513.0,PAPSS1
REEP6,998.0,REEP6
MYEOV,2324.6666666666665,MYEOV
CPA2,1330.0,CPA2
KCNJ1,2373.333333333333,KCNJ1
RNF10,1098.3,RNF10
GAGE13,530.0,GAGE13
EIF4G1,3213.4230769230767,EIF4G1
MC2R,2116.0,MC2R
PLEKHA1,4865.833333333333,PLEKHA1
CHRNA5,1533.5,CHRNA5
COQ8A,3710.666666666666,COQ8A
CARHSP1,1597.3125,CARHSP1
SERPINI2,1335.5714285714287,SERPINI2
SLC20A1,1534.333333333333,SLC20A1
CRYGS,988.0,CRYGS
METAP1D,3049.0,METAP1D
TMEM125,1404.666666666667,TMEM125
HSPB9,1922.0,HSPB9
TM4SF1,2335.0,TM4SF1
PYGO2,2243.0,PYGO2
TAS2R39,1017.0,TAS2R39
THEM6,2239.0,THEM6
OR6C76,939.0,OR6C76
SEL1L3,1809.666666666667,SEL1L3
BIVM,2521.833333333333,BIVM
TAF3,4875.0,TAF3
CTSV,4340.5,CTSV
CCDC47,1867.0,CCDC47
TBC1D15,2583.6,TBC1D15
ABCC9,3187.4285714285716,ABCC9
AL035078.4,859.0,AL035078.4
AC008764.4,222.0,AC008764.4
BAG1,1194.4285714285713,BAG1
SNX3,1165.6666666666667,SNX3
JAK1,5092.0,JAK1
RGMA,2923.777777777778,RGMA
METRN,1343.0,METRN
HUS1B,1025.0,HUS1B
BLOC1S1,738.6,BLOC1S1
LZIC,1997.75,LZIC
OSGIN1,1390.666666666667,OSGIN1
PDRG1,1957.0,PDRG1
OSBPL11,4598.0,OSBPL11
TMEM144,1228.1666666666667,TMEM144
PECR,1867.0,PECR
DSC1,4248.0,DSC1
KCNJ5,3050.666666666666,KCNJ5
ARNTL2,2537.625,ARNTL2
H1FOO,974.0,H1FOO
NTSR2,1600.0,NTSR2
IGSF1,2971.909090909091,IGSF1
ZIC1,2899.5,ZIC1
LZTS2,1948.333333333333,LZTS2
SHF,1322.1,SHF
ZNF433,985.1111111111113,ZNF433
TBC1D9B,2490.833333333333,TBC1D9B
ART3,920.75,ART3
MAGEB1,1786.0,MAGEB1
SPINK14,225.5,SPINK14
FBXL12,1189.8,FBXL12
EFEMP1,1059.9,EFEMP1
BARX1,1417.0,BARX1
TNFAIP3,2362.6,TNFAIP3
LENG1,963.2,LENG1
CNOT6L,4838.8,CNOT6L
RPS27,352.0,RPS27
C22orf46,4975.0,C22orf46
KCNJ15,1900.4285714285716,KCNJ15
MEI1,1890.5,MEI1
TIGD5,5390.0,TIGD5
RAB24,1193.0,RAB24
E4F1,2002.25,E4F1
KAAG1,1382.0,KAAG1
DENR,1885.5,DENR
ZBTB6,4099.0,ZBTB6
PYROXD1,3857.0,PYROXD1
ITPRID2,3923.4,ITPRID2
GTF3A,1270.5,GTF3A
AL512310.1,1553.5,AL512310.1
TMEM47,4040.0,TMEM47
CAPN11,1651.5,CAPN11
USP4,2295.8,USP4
MTHFD1L,1593.666666666667,MTHFD1L
C2orf66,1669.0,C2orf66
TNKS2,6242.0,TNKS2
CUL1,2773.8461538461543,CUL1
SRI,1191.6,SRI
RHBDD2,1624.333333333333,RHBDD2
CCER1,2962.0,CCER1
MSMB,597.3333333333334,MSMB
CDRT15,710.5,CDRT15
EMG1,2744.5,EMG1
PHKG2,1847.166666666667,PHKG2
CD163L1,2226.6,CD163L1
CYP2C18,1890.5,CYP2C18
OR13C3,1108.0,OR13C3
PLEKHA6,4655.25,PLEKHA6
GIMAP2,876.0,GIMAP2
SPDYE17,2281.0,SPDYE17
ZNF791,3847.333333333334,ZNF791
DYNAP,1718.666666666667,DYNAP
TLE2,1574.3636363636365,TLE2
SBNO2,2821.8461538461543,SBNO2
ZNFX1,4948.4,ZNFX1
AC210544.1,372.0,AC210544.1
STEAP1B,1127.25,STEAP1B
CD36,1549.235294117647,CD36
POLE,7320.0,POLE
CAMKV,2105.375,CAMKV
NXPE1,1721.6,NXPE1
RMND1,1376.333333333333,RMND1
GPX5,1188.5,GPX5
BTN1A1,2580.5,BTN1A1
KLHL6,6295.0,KLHL6
FAT1,5650.333333333332,FAT1
C10orf67,2288.5,C10orf67
AC012309.1,389.0,AC012309.1
TSHZ3,2808.5,TSHZ3
MAP3K9,6111.0,MAP3K9
DUPD1,663.0,DUPD1
KCNJ8,1845.5,KCNJ8
ITGAV,4491.5,ITGAV
HCFC1,6958.333333333332,HCFC1
AXIN2,1946.375,AXIN2
LRRD1,1992.75,LRRD1
CD24,1210.5714285714287,CD24
MDK,810.4444444444445,MDK
CHORDC1,2428.0,CHORDC1
HDGF,1878.25,HDGF
DNMT3B,3644.166666666666,DNMT3B
FAM129B,3851.0,FAM129B
GNB3,1110.4,GNB3
CCDC71L,4187.0,CCDC71L
ERP27,1270.0,ERP27
CCDC88A,5006.206896551725,CCDC88A
ARIH1,7631.666666666668,ARIH1
OLFML1,1600.25,OLFML1
MTHFD2L,1753.75,MTHFD2L
HIGD1A,1005.25,HIGD1A
SEPT5,1371.75,SEPT5
VWA2,4223.0,VWA2
MORC1,3410.0,MORC1
EIF5A,1159.3333333333333,EIF5A
POMT2,1678.5,POMT2
UMPS,3440.0,UMPS
LRRTM4,2333.6666666666665,LRRTM4
HMG20A,1410.25,HMG20A
KCNU1,1679.666666666667,KCNU1
DUSP14,1757.166666666667,DUSP14
KRTAP6-1,500.0,KRTAP6-1
APOBEC3G,1564.0,APOBEC3G
ZBTB7C,1178.5714285714287,ZBTB7C
AC171558.6,1084.0,AC171558.6
KIF21A,4050.333333333334,KIF21A
PDCD4,2665.6666666666665,PDCD4
ZFP82,1991.5,ZFP82
MPG,1080.25,MPG
CEP128,1648.6,CEP128
CSNK2B,1129.86,CSNK2B
FUT6,1489.1,FUT6
SKA3,2807.0,SKA3
COMMD2,3694.0,COMMD2
C9orf152,2717.0,C9orf152
DEFA6,465.0,DEFA6
CLSTN2,14202.0,CLSTN2
LMBRD2,8116.0,LMBRD2
HTN3,615.3333333333334,HTN3
KIF6,4091.5,KIF6
BRCC3,1446.4444444444446,BRCC3
APOBEC4,2782.0,APOBEC4
CATSPERD,2556.0,CATSPERD
F2RL3,2043.0,F2RL3
TBX3,4470.5,TBX3
MAEA,1393.4444444444446,MAEA
ARL6IP5,1791.5,ARL6IP5
TPRA1,1665.4444444444446,TPRA1
MAL2,1217.25,MAL2
S100A3,660.5,S100A3
C22orf31,995.0,C22orf31
PRKAR2B,3689.0,PRKAR2B
TRIM48,1445.0,TRIM48
BMP8A,5636.0,BMP8A
PAICS,3594.0,PAICS
KP420439.1,1011.0,KP420439.1
MT4,294.0,MT4
VAMP3,1566.0,VAMP3
CLRN1,1315.75,CLRN1
LOX,3351.0,LOX
KRTAP9-6,1303.0,KRTAP9-6
SLC35G4,1017.0,SLC35G4
DICER1,5346.444444444444,DICER1
PDCD6IP,4137.333333333333,PDCD6IP
TEF,3106.0,TEF
WRAP73,1202.4,WRAP73
CRACR2B,1184.5714285714287,CRACR2B
PURB,9189.0,PURB
FPGS,1709.428571428571,FPGS
RECQL,1328.125,RECQL
SLC15A3,1026.0,SLC15A3
RPS20,766.4444444444445,RPS20
CAMKK2,3594.4285714285716,CAMKK2
LHFPL2,4828.5,LHFPL2
NKAP,3668.0,NKAP
SLC25A19,1090.9285714285713,SLC25A19
CELF6,2071.5,CELF6
ZNF641,2037.0,ZNF641
PLP1,1423.5555555555554,PLP1
SLC25A17,1814.0,SLC25A17
GDF10,2677.0,GDF10
HOXD8,1682.25,HOXD8
L3MBTL3,3119.125,L3MBTL3
SNURF,490.5,SNURF
TMCC3,3572.666666666666,TMCC3
HCRT,577.0,HCRT
MS4A5,473.66666666666674,MS4A5
SMPD4,2159.1111111111113,SMPD4
PLEKHM1,1773.833333333333,PLEKHM1
NUP210,7206.0,NUP210
ODF3B,739.5,ODF3B
FXYD1,570.75,FXYD1
TRIM74,1318.0,TRIM74
HSD17B13,2318.5,HSD17B13
AL355916.3,779.0,AL355916.3
OR2T34,957.0,OR2T34
HCFC2,3203.0,HCFC2
HERC1,3285.333333333333,HERC1
VWA8,5324.5,VWA8
COPRS,793.3333333333335,COPRS
CYB5R2,1014.8571428571428,CYB5R2
BCAS3,1878.2857142857144,BCAS3
NCOR2,3446.2,NCOR2
RHOT2,1095.25,RHOT2
SSX4B,1156.5,SSX4B
SAMD13,894.5714285714287,SAMD13
CHSY1,4662.0,CHSY1
SPI1,1130.5,SPI1
PHF13,3632.0,PHF13
ZNF781,2644.0,ZNF781
PLCB4,3202.555555555556,PLCB4
NPIPB4,1120.5,NPIPB4
SCIN,2802.4,SCIN
SLC2A3,2202.0,SLC2A3
NSUN6,1372.0,NSUN6
MATR3,1816.321428571429,MATR3
UXS1,1141.0,UXS1
RGS21,1794.0,RGS21
CSNKA2IP,2706.0,CSNKA2IP
MEIG1,594.5,MEIG1
FLACC1,1288.7142857142858,FLACC1
PMIS2,628.5,PMIS2
MFAP3L,1771.9,MFAP3L
KCNS2,4779.5,KCNS2
SYCP3,1102.3333333333333,SYCP3
NUDT16,4534.333333333333,NUDT16
TAF11L9,597.0,TAF11L9
HNRNPCL1,1108.0,HNRNPCL1
EFCAB12,1636.666666666667,EFCAB12
IAH1,1080.2857142857142,IAH1
TRIM35,2005.666666666667,TRIM35
DOK5,1708.0,DOK5
FBXO28,3380.5,FBXO28
STT3A,1949.125,STT3A
TANGO6,4893.0,TANGO6
DUXA,1006.0,DUXA
RAG2,1380.2,RAG2
SCPEP1,888.6,SCPEP1
ANKUB1,2320.5,ANKUB1
OR2I1P,4948.0,OR2I1P
SOS2,3915.333333333334,SOS2
SMCO1,1790.0,SMCO1
TIGD3,2028.0,TIGD3
BDH2,1371.3333333333333,BDH2
MECOM,2576.555555555556,MECOM
BTBD18,2182.6666666666665,BTBD18
CREB5,2375.125,CREB5
VDR,2885.5714285714284,VDR
FMC1,1014.0,FMC1
RRM2,2556.0,RRM2
THPO,1602.166666666667,THPO
RYBP,2861.0,RYBP
RNF146,1479.666666666667,RNF146
JPH4,3316.0,JPH4
IL17RA,8556.5,IL17RA
AKIRIN1,1494.75,AKIRIN1
FAM216A,1101.0,FAM216A
PNMA8A,2530.333333333333,PNMA8A
ZCCHC8,2597.5,ZCCHC8
GBP7,2021.0,GBP7
CA13,3884.0,CA13
INPP4A,4640.5,INPP4A
PAGR1,3874.0,PAGR1
ZNF367,3687.0,ZNF367
CYB5RL,2051.5,CYB5RL
GU182339.1,1193.0,GU182339.1
HEPHL1,5345.0,HEPHL1
MTUS1,3705.25,MTUS1
MFSD2A,1796.75,MFSD2A
LTO1,1291.5714285714287,LTO1
TRIM27,2115.3636363636365,TRIM27
ICAM3,1007.4285714285713,ICAM3
BPGM,1566.75,BPGM
PNPLA6,2022.571428571429,PNPLA6
KCNQ4,2895.0,KCNQ4
CYP27B1,1350.0,CYP27B1
FZD1,6963.0,FZD1
NSMAF,3472.5,NSMAF
PTGS1,2267.142857142857,PTGS1
CA7,1615.5,CA7
RAP2A,5540.0,RAP2A
FCRL5,4203.0,FCRL5
GNPDA2,1915.0,GNPDA2
ZFPM1,1826.25,ZFPM1
NXPH3,1854.5,NXPH3
ABCA4,4724.333333333333,ABCA4
SLC4A3,3478.4,SLC4A3
CYFIP2,3481.1111111111113,CYFIP2
WDR20,1915.090909090909,WDR20
MERTK,2923.6,MERTK
FTMT,952.0,FTMT
ZNF112,1735.8,ZNF112
SPRYD7,2809.333333333333,SPRYD7
EZH2,2544.5,EZH2
B3GNT4,2282.5,B3GNT4
BUB3,2656.5,BUB3
GRIN1,3914.857142857143,GRIN1
PCDHB4,3825.0,PCDHB4
SLC7A13,1742.5,SLC7A13
MICAL1,2378.2,MICAL1
ERMP1,5377.0,ERMP1
BPIFB4,2159.0,BPIFB4
BTK,2502.75,BTK
ABRAXAS1,1651.333333333333,ABRAXAS1
EIF3K,806.375,EIF3K
SYNJ2,3890.166666666666,SYNJ2
SNRPA1,760.0,SNRPA1
TM4SF4,1261.5,TM4SF4
BST2,1001.0,BST2
COX6A1,537.0,COX6A1
PPP5C,2019.0,PPP5C
TREML4,1419.0,TREML4
SLC4A9,3116.25,SLC4A9
TAS2R46,930.0,TAS2R46
XDH,5715.0,XDH
NEU2,1143.0,NEU2
ACTL8,1755.5,ACTL8
DNAJC5,5249.0,DNAJC5
