Genes,Phosphosite_mouse_no,Norm_Symbol
MINPP1,2,MINPP1
MIOS,6,MIOS
MIPOL1,1,MIPOL1
MICALL1,20,MICALL1
MIS12,2,MIS12
MIS18A,3,MIS18A
9130017N09RIK,7,9130017N09RIK
AMHR2,2,AMHR2
MAPK1IP1L,1,MAPK1IP1L
CLNK,3,CLNK
MITD1,1,MITD1
MITF,14,MITF
MAP2K3,5,MAP2K3
MAP2K4,9,MAP2K4
MAP2K6,3,MAP2K6
MAP2K7,9,MAP2K7
MKKS,3,MKKS
MKL1,29,MKL1
MKL2,15,MKL2
MKLN1,4,MKLN1
MKRN2,5,MKRN2
MKRN3,1,MKRN3
MKS1,3,MKS1
MKX,1,MKX
MLANA,4,MLANA
MLC1,7,MLC1
MLEC,3,MLEC
MLF1,9,MLF1
MLF2,13,MLF2
MLH1,5,MLH1
MLH3,2,MLH3
MLIP,6,MLIP
MAP3K9,8,MAP3K9
MAP3K10,11,MAP3K10
MAP3K11,16,MAP3K11
MLK4,8,MLK4
MLKL,11,MLKL
KMT2A,65,KMT2A
KMT2B,41,KMT2B
KMT2C,19,KMT2C
KMT2D,59,KMT2D
KMT2E,15,KMT2E
MLLT1,8,MLLT1
MLLT10,11,MLLT10
MLLT11,1,MLLT11
MLLT3,5,MLLT3
MLLT6,13,MLLT6
MARCKSL1,26,MARCKSL1
MLPH,23,MLPH
FAR2,2,FAR2
MLX,10,MLX
MLXIP,6,MLXIP
MLYCD,1,MLYCD
MMACHC,2,MMACHC
MMADHC,1,MMADHC
MMD,1,MMD
MMD2,4,MMD2
MMGT2,2,MMGT2
MMP10,1,MMP10
MMP12,1,MMP12
MMP14,1,MMP14
MMP17,2,MMP17
MMP19,3,MMP19
MMP1B,3,MMP1B
MMP23,1,MMP23
MMP24,1,MMP24
MMP27,1,MMP27
MMRN1,4,MMRN1
APIP,2,APIP
MMS19,4,MMS19
MMTAG2,3,MMTAG2
MN1,1,MN1
RC3H2,4,RC3H2
MNAT1,4,MNAT1
MND1,1,MND1
MNDAL,17,MNDAL
MKNK1,11,MKNK1
MKNK2,16,MKNK2
MNS1,3,MNS1
MNT,3,MNT
MNX1,3,MNX1
MOBKL1B,6,MOBKL1B
MOBKL1A,4,MOBKL1A
MOBKL2A,1,MOBKL2A
MOBKL2C,1,MOBKL2C
MOBP,8,MOBP
MOCOS,2,MOCOS
MOCS1,6,MOCS1
MOCS2,2,MOCS2
MOCS3,1,MOCS3
MSN,18,MSN
MOGAT1,2,MOGAT1
MOGAT2,3,MOGAT2
MOK,2,MOK
GAG-POL,7,GAG-POL
MON1A,10,MON1A
MON2,5,MON2
OPRM1,9,OPRM1
MORC1,4,MORC1
MORC2A,16,MORC2A
MORC2B,5,MORC2B
MORC3,9,MORC3
MORC4,4,MORC4
MORF4L1,1,MORF4L1
MORF4L2,4,MORF4L2
MOS,5,MOS
MOSC1,3,MOSC1
MOSC2,6,MOSC2
MOSPD2,1,MOSPD2
MOV10,8,MOV10
MOV10L1,4,MOV10L1
BRP44L,1,BRP44L
BRP44,1,BRP44
MPDZ,23,MPDZ
MSLNL,3,MSLNL
MPG,4,MPG
MPHOSPH10,10,MPHOSPH10
MPHOSPH6,1,MPHOSPH6
MPHOSPH8,18,MPHOSPH8
MPHOSPH9,9,MPHOSPH9
MPI,1,MPI
MPL,11,MPL
MPND,5,MPND
MPO,4,MPO
MPP2,9,MPP2
MPP3,5,MPP3
MPP5,5,MPP5
MPP7,8,MPP7
MPPED1,3,MPPED1
MPRIP,49,MPRIP
MPST,1,MPST
MPTX1,2,MPTX1
MPZL2,1,MPZL2
MRAP,2,MRAP
MRAS,1,MRAS
MRC2,12,MRC2
CDC42BPA,25,CDC42BPA
CDC42BPB,31,CDC42BPB
MRE11A,7,MRE11A
MREG,2,MREG
MYRF,10,MYRF
ARID5B,9,ARID5B
MRGBP,5,MRGBP
1600027N09RIK,3,1600027N09RIK
MRGPRA7,1,MRGPRA7
MRGPRB8,3,MRGPRB8
MRGPRB2,1,MRGPRB2
MYL9,3,MYL9
MYL12B,6,MYL12B
MYL2,7,MYL2
MYL12A,5,MYL12A
MRNIP,3,MRNIP
MROH6,2,MROH6
GM1027,3,GM1027
4921528O07RIK,2,4921528O07RIK
MRPL1,1,MRPL1
MRPL11,1,MRPL11
MRPL12,1,MRPL12
MRPL15,3,MRPL15
MRPL17,4,MRPL17
MRPL2,1,MRPL2
MRPL20,1,MRPL20
MRPL23,1,MRPL23
MRPL24,1,MRPL24
MRPL30,1,MRPL30
MRPL35,1,MRPL35
MRPL37,2,MRPL37
MRPL40,1,MRPL40
MRPL43,1,MRPL43
MRPL44,4,MRPL44
MRPL45,3,MRPL45
MRPL46,2,MRPL46
MRPL55,2,MRPL55
MRPS11,1,MRPS11
MRPS17,1,MRPS17
MRPS2,1,MRPS2
MRPS22,2,MRPS22
MRPS23,1,MRPS23
MRPS26,2,MRPS26
MRPS27,2,MRPS27
MRPS28,4,MRPS28
MRPS30,2,MRPS30
MRPS31,2,MRPS31
MRPS33,1,MRPS33
MRPS34,2,MRPS34
MRPS36,4,MRPS36
MRPS6,1,MRPS6
MRPS9,6,MRPS9
MRS2,3,MRS2
MRTO4,4,MRTO4
MRVI1,9,MRVI1
MS4A1,4,MS4A1
MS4A14,3,MS4A14
MS4A4C,3,MS4A4C
MS4A6D,6,MS4A6D
MS4A7,1,MS4A7
BC024479,6,BC024479
5730528L13RIK,3,5730528L13RIK
8430410K20RIK,7,8430410K20RIK
MSH3,4,MSH3
MSH5,5,MSH5
MSH6,32,MSH6
RPS6KA5,20,RPS6KA5
RPS6KA4,14,RPS6KA4
MSL1,10,MSL1
MSL2,6,MSL2
MSL3L2,2,MSL3L2
MSL3,10,MSL3
MST1,2,MST1
MSR1,10,MSR1
MSRA,3,MSRA
MSRB2,1,MSRB2
MSRB3,3,MSRB3
STK4,14,STK4
STK3,11,STK3
STK24,11,STK24
STK26,12,STK26
MSTN,4,MSTN
MSTO1,4,MSTO1
DCAF6,10,DCAF6
MSX2,3,MSX2
MT-ATP8,1,MT-ATP8
MT-ND5,6,MT-ND5
MT1,3,MT1
MT2,4,MT2
MTA1,18,MTA1
MTA2,12,MTA2
MTA3,11,MTA3
TC2N,3,TC2N
MTBP,3,MTBP
MTCH1,6,MTCH1
MTCH2,6,MTCH2
MTERF,4,MTERF
MTERFD1,2,MTERFD1
MTERFD2,2,MTERFD2
MTERFD3,1,MTERFD3
MTF1,5,MTF1
MTF2,5,MTF2
MTFR1,4,MTFR1
MTHFD1,5,MTHFD1
MTHFD1L,4,MTHFD1L
MTHFD2,1,MTHFD2
MTHFR,5,MTHFR
MTHFS,2,MTHFS
MTHFSD,1,MTHFSD
MTIF2,3,MTIF2
MTM1,6,MTM1
MTMR1,8,MTMR1
MTMR10,8,MTMR10
MTMR11,1,MTMR11
MTMR12,6,MTMR12
SBF2,8,SBF2
MTMR14,9,MTMR14
MTMR2,9,MTMR2
MTMR3,11,MTMR3
MTMR4,8,MTMR4
SBF1,22,SBF1
MTMR6,4,MTMR6
MTMR7,11,MTMR7
MTO1,1,MTO1
MTOR,19,MTOR
MTPN,2,MTPN
MTR,6,MTR
MTRR,3,MTRR
MTSS1,47,MTSS1
MTSS1L,30,MTSS1L
MTTP,1,MTTP
MTUS1,33,MTUS1
MTUS2,9,MTUS2
MTX1,1,MTX1
MTX2,4,MTX2
MTX3,4,MTX3
MUC13,1,MUC13
MUC15,1,MUC15
MUC20,1,MUC20
MUC4,7,MUC4
MUC5AC,1,MUC5AC
MUC6,8,MUC6
CDHR5,3,CDHR5
MUC5B,11,MUC5B
MCOLN1,10,MCOLN1
MUG1,8,MUG1
MUG2,4,MUG2
MUL1,1,MUL1
MUM1,5,MUM1
MUM1L1,3,MUM1L1
MUP4,1,MUP4
CAVIN4,20,CAVIN4
TRIM63,3,TRIM63
MSI1,6,MSI1
MSI2,3,MSI2
MUSK,7,MUSK
MUSTN1,3,MUSTN1
MUT,1,MUT
MUTED,1,MUTED
MVD,1,MVD
MX1,3,MX1
MX2,1,MX2
MXRA7,5,MXRA7
MXRA8,1,MXRA8
MYADM,5,MYADM
MYB,9,MYB
MYBBP1A,47,MYBBP1A
MYBPC1,11,MYBPC1
MYBPC2,9,MYBPC2
MYBPC3,38,MYBPC3
MYBPH,3,MYBPH
MYBPHL,1,MYBPHL
MYC,9,MYC
MYCBP,1,MYCBP
MYCBP2,51,MYCBP2
MYCBPAP,2,MYCBPAP
MYCT1,13,MYCT1
MYD88,7,MYD88
MYEF2,8,MYEF2
MPZ,9,MPZ
MYF5,1,MYF5
MYF6,2,MYF6
MYG1,2,MYG1
MYH1,42,MYH1
MYH10,25,MYH10
MYH11,9,MYH11
MYH13,18,MYH13
MYH14,25,MYH14
MYH15,7,MYH15
MYH2,36,MYH2
MYH3,22,MYH3
MYH4,56,MYH4
MYH6,68,MYH6
MYH7,48,MYH7
MYH7B,11,MYH7B
MYH8,30,MYH8
MYH9,33,MYH9
MYL1,6,MYL1
MYL10,1,MYL10
MYL3,5,MYL3
MYL4,2,MYL4
MYL6,6,MYL6
MYL6B,1,MYL6B
MYL7,2,MYL7
MYLPF,3,MYLPF
MYNN,1,MYNN
MYO10,15,MYO10
MYO15A,9,MYO15A
MYO15,1,MYO15
MYO16,8,MYO16
MYO18A,62,MYO18A
MYO18B,32,MYO18B
MYO19,3,MYO19
MYO1B,2,MYO1B
MYO1C,11,MYO1C
MYO1D,2,MYO1D
MYO1E,15,MYO1E
MYO1F,13,MYO1F
MYO1G,9,MYO1G
MYO3A,6,MYO3A
MYO3B,5,MYO3B
MYO5A,22,MYO5A
MYO5B,2,MYO5B
MYO6,13,MYO6
MYO7A,3,MYO7A
MYO7B,4,MYO7B
MYO9A,28,MYO9A
MYO9B,53,MYO9B
MYOCD,15,MYOCD
MYOD1,13,MYOD1
MYOF,7,MYOF
MYOG,1,MYOG
MYOM1,26,MYOM1
MYOM2,24,MYOM2
MYOM3,2,MYOM3
KIAA1161,1,KIAA1161
MYOT,4,MYOT
MYOZ1,3,MYOZ1
MYOZ2,12,MYOZ2
MYPN,9,MYPN
MYPOP,5,MYPOP
PPP1R12A,60,PPP1R12A
GM239,4,GM239
MYRIP,4,MYRIP
MYSM1,3,MYSM1
MYST1,4,MYST1
MYST2,34,MYST2
MYST3,20,MYST3
MYST4,15,MYST4
PKMYT1,4,PKMYT1
MYT1L,16,MYT1L
MZF1,5,MZF1
MZT2,8,MZT2
NCOR1,79,NCOR1
MYCN,5,MYCN
GLYR1,11,GLYR1
WASL,6,WASL
N4BP1,8,N4BP1
N4BP2L1,2,N4BP2L1
N4BP2L2,5,N4BP2L2
NAA10,12,NAA10
NAA11,3,NAA11
NAA15,9,NAA15
NAA16,1,NAA16
NAA20,1,NAA20
NAA25,3,NAA25
NAA30,7,NAA30
NAA40,1,NAA40
NAA50,2,NAA50
NAALADL1,4,NAALADL1
NAALADL2,3,NAALADL2
NAB1,11,NAB1
NAB2,12,NAB2
NACC1,5,NACC1
NACA,76,NACA
NACAD,17,NACAD
CHRNA1,1,CHRNA1
CHRNA10,2,CHRNA10
CHRNA2,1,CHRNA2
CHRNA4,9,CHRNA4
CHRNA7,3,CHRNA7
CHRNA9,1,CHRNA9
CHRNB1,1,CHRNB1
CHRNB2,1,CHRNB2
CHRND,2,CHRND
NADK,9,NADK
NADKD1,4,NADKD1
NAF1,4,NAF1
NBAS,14,NBAS
NAGK,1,NAGK
NAGS,5,NAGS
NAIF1,1,NAIF1
NAIP2,5,NAIP2
NAIP5,5,NAIP5
NAIP6,2,NAIP6
NAIP7,4,NAIP7
NLRP10,2,NLRP10
NLRP4C,1,NLRP4C
NANOG,1,NANOG
NANOS1,1,NANOS1
NANOS3,2,NANOS3
NANS,8,NANS
NAP1L1,7,NAP1L1
NAP1L4,13,NAP1L4
NCKAP5,4,NCKAP5
NAPB,4,NAPB
NAPEPLD,4,NAPEPLD
NAPRT1,4,NAPRT1
NARF,1,NARF
NARFL,1,NARFL
NARG2,6,NARG2
NARS,3,NARS
NASP,18,NASP
NAT14,1,NAT14
NAA60,4,NAA60
NAT6,8,NAT6
NAV1,76,NAV1
NAV2,47,NAV2
NAV3,18,NAV3
BABAM1,5,BABAM1
NBEAL1,15,NBEAL1
NBEAL2,12,NBEAL2
NBR1,8,NBR1
NBN,11,NBN
NCALD,1,NCALD
L1CAM,20,L1CAM
NCAM1,26,NCAM1
NCAM2,9,NCAM2
NCAPD3,4,NCAPD3
NCAPG,13,NCAPG
NCAPH,16,NCAPH
NCAPH2,4,NCAPH2
NCBP1,6,NCBP1
NCBP2,1,NCBP2
NCCRP1,5,NCCRP1
SLC12A3,13,SLC12A3
NCDN,6,NCDN
NCK1,15,NCK1
NCK2,11,NCK2
NCKAP1,4,NCKAP1
NCKAP5L,19,NCKAP5L
NCKIPSD,21,NCKIPSD
NCL,33,NCL
NCLN,2,NCLN
CWC22,19,CWC22
NCOA4,9,NCOA4
NCOA5,24,NCOA5
NCOA6,19,NCOA6
NCOA7,11,NCOA7
SLC8A1,9,SLC8A1
NDEL1,13,NDEL1
NDFIP1,5,NDFIP1
NDFIP2,1,NDFIP2
NME7,3,NME7
NDN,2,NDN
NDOR1,2,NDOR1
STK38,7,STK38
STK38L,6,STK38L
NDRG1,28,NDRG1
NDRG2,28,NDRG2
NDRG3,17,NDRG3
NDRG4,11,NDRG4
NDST1,2,NDST1
NDST2,2,NDST2
NDST3,1,NDST3
NDUFA10,2,NDUFA10
NDUFA2,1,NDUFA2
NDUFA4,2,NDUFA4
NDUFA5,1,NDUFA5
NDUFA8,3,NDUFA8
NDUFAF2,5,NDUFAF2
NDUFAF5,3,NDUFAF5
NDUFB10,5,NDUFB10
NDUFB11,1,NDUFB11
NDUFB4,2,NDUFB4
NDUFB5,3,NDUFB5
NDUFB6,1,NDUFB6
NDUFB7,4,NDUFB7
NDUFB8,3,NDUFB8
NDUFS1,7,NDUFS1
NDUFS4,1,NDUFS4
NDUFS7,3,NDUFS7
NDUFV1,6,NDUFV1
NDUFV3,10,NDUFV3
NEB,67,NEB
NEBL,21,NEBL
NECAB1,1,NECAB1
NECAP1,1,NECAP1
NECAP2,9,NECAP2
PVRL1,6,PVRL1
PVRL2,10,PVRL2
PVRL4,7,PVRL4
NEDD1,9,NEDD1
NEDD4,8,NEDD4
N4BP2,5,N4BP2
N4BP3,6,N4BP3
NEDD4L,21,NEDD4L
NEDD8,3,NEDD8
NEGR1,1,NEGR1
NEIL3,6,NEIL3
NEK1,15,NEK1
NEK11,4,NEK11
NEK2,4,NEK2
NEK3,2,NEK3
NEK4,9,NEK4
NEK5,1,NEK5
NEK6,6,NEK6
NEK7,5,NEK7
NEK9,23,NEK9
NEO1,12,NEO1
NEPRO,2,NEPRO
NES,55,NES
NET1,8,NET1
NETO1,3,NETO1
NETO2,5,NETO2
NEU2,3,NEU2
NEU3,2,NEU3
NEU4,3,NEU4
RBFOX3,2,RBFOX3
PPP1R9A,23,PPP1R9A
NEURL1,3,NEURL1
NEURL1B,3,NEURL1B
LINCR,1,LINCR
NEURL4,6,NEURL4
NBEA,21,NBEA
NEUROD1,4,NEUROD1
NEUROD2,1,NEUROD2
NFASC,17,NFASC
NEUROG1,1,NEUROG1
NEUROG2,5,NEUROG2
NEUROG3,2,NEUROG3
NRGN,1,NRGN
NEXN,17,NEXN
NFE2,1,NFE2
NF1,32,NF1
NFAM1,9,NFAM1
NFATC2,43,NFATC2
NFATC1,11,NFATC1
NFATC4,17,NFATC4
NFATC3,17,NFATC3
NFAT5,20,NFAT5
ILF3,25,ILF3
NFATC2IP,9,NFATC2IP
NFE2L1,5,NFE2L1
NEFH,80,NEFH
NFIA,16,NFIA
NFIB,24,NFIB
NFIC,20,NFIC
NFIX,18,NFIX
NFKB2,12,NFKB2
NFKB1,29,NFKB1
RELA,18,RELA
NFKBID,4,NFKBID
TONSL,6,TONSL
NEFL,31,NEFL
NEFM,45,NEFM
NFRKB,14,NFRKB
NFS1,2,NFS1
NFX1,12,NFX1
NFXL1,8,NFXL1
NFYA,2,NFYA
CSPG4,1,CSPG4
NGDN,4,NGDN
NGFR,3,NGFR
NGP,1,NGP
NGRN,5,NGRN
SLC9A1,29,SLC9A1
SLC9A10,1,SLC9A10
SLC9A2,8,SLC9A2
SLC9A3,8,SLC9A3
SLC9A4,4,SLC9A4
SLC9A5,5,SLC9A5
SLC9A6,9,SLC9A6
SLC9A7,4,SLC9A7
SLC9A8,5,SLC9A8
NHEDC1,1,NHEDC1
NHEJ1,5,NHEJ1
SLC9A3R1,18,SLC9A3R1
SLC9A3R2,10,SLC9A3R2
NHLRC2,4,NHLRC2
NHP2L1,2,NHP2L1
NHS,7,NHS
NHSL1,24,NHSL1
NHSL2,43,NHSL2
TRAPPC9,15,TRAPPC9
4933434E20RIK,2,4933434E20RIK
UBAP2L,44,UBAP2L
NICN1,3,NICN1
NID1,3,NID1
NID2,2,NID2
NIF3L1,3,NIF3L1
MKI67IP,12,MKI67IP
MAP3K14,17,MAP3K14
NIM1K,1,NIM1K
NIN,14,NIN
FAM192A,2,FAM192A
ZC3HC1,35,ZC3HC1
NIPA2,1,NIPA2
NIPBL,85,NIPBL
PPP1R8,3,PPP1R8
NIPSNAP1,5,NIPSNAP1
NISCH,14,NISCH
NIT1,4,NIT1
NIT2,1,NIT2
NKAIN3,1,NKAIN3
NKAP,14,NKAP
AU019823,11,AU019823
NKAPL,1,NKAPL
SLC12A2,14,SLC12A2
SLC12A1,14,SLC12A1
NKD1,2,NKD1
NKD2,1,NKD2
NKG7,1,NKG7
NKIRAS2,2,NKIRAS2
NKTR,60,NKTR
NKX1-2,1,NKX1-2
NKX2-1,1,NKX2-1
NKX2-2,6,NKX2-2
NKX2-3,4,NKX2-3
NKX2-5,2,NKX2-5
NKX2-6,1,NKX2-6
NKX3-2,3,NKX3-2
NKX6-1,5,NKX6-1
NKX6-2,1,NKX6-2
NKX6-3,1,NKX6-3
NLRP1B,4,NLRP1B
NLE1,5,NLE1
NLGN1,3,NLGN1
NLGN2,4,NLGN2
NLGN3,1,NLGN3
NLK,4,NLK
NLN,2,NLN
NINL,4,NINL
NLRC4,1,NLRC4
NLRC5,3,NLRC5
NLRP14,2,NLRP14
NLRP3,3,NLRP3
NLRP4A,5,NLRP4A
NLRP4B,1,NLRP4B
NLRP4F,1,NLRP4F
NLRP5,1,NLRP5
NMBR,2,NMBR
NMD3,6,NMD3
GRIN1,9,GRIN1
GRIN2A,38,GRIN2A
GRIN2B,42,GRIN2B
GRIN2C,6,GRIN2C
GRIN2D,4,GRIN2D
GRIN3A,4,GRIN3A
GRIN3B,1,GRIN3B
NME1,6,NME1
NME2,8,NME2
NME3,3,NME3
NMI,1,NMI
NMNAT1,1,NMNAT1
NMNAT2,1,NMNAT2
NMT1,9,NMT1
NMT2,8,NMT2
NMU,3,NMU
NMUR1,1,NMUR1
AGTPBP1,4,AGTPBP1
NNAT,1,NNAT
NOS1,10,NOS1
NNT,4,NNT
NO66,3,NO66
NOB1,5,NOB1
NOBOX,3,NOBOX
NOC2L,14,NOC2L
NOC3L,2,NOC3L
NOG,2,NOG
RTN4,55,RTN4
NOL10,8,NOL10
NOL4,6,NOL4
NOL4L,7,NOL4L
8430427H17RIK,2,8430427H17RIK
NOP56,21,NOP56
NOL6,4,NOL6
NOL7,3,NOL7
NOL8,26,NOL8
NOL9,4,NOL9
GAR1,2,GAR1
NOLC1,41,NOLC1
NOM1,6,NOM1
NOMO1,3,NOMO1
NONO,10,NONO
NOP10,1,NOP10
NOP14,5,NOP14
NOP2,12,NOP2
NOP58,14,NOP58
2610027L16RIK,3,2610027L16RIK
IGDCC4,5,IGDCC4
NOS1AP,9,NOS1AP
NOSIP,4,NOSIP
NOSTRIN,8,NOSTRIN
CNOT1,6,CNOT1
CNOT2,14,CNOT2
CNOT3,8,CNOT3
NOTCH1,5,NOTCH1
NOTCH2,7,NOTCH2
NOTCH3,2,NOTCH3
NOTCH4,1,NOTCH4
NOVA1,4,NOVA1
NOVA2,1,NOVA2
NOX1,1,NOX1
NOX4,1,NOX4
PMAIP1,2,PMAIP1
NOXA1,1,NOXA1
NOXO1,2,NOXO1
4933437F05RIK,3,4933437F05RIK
PNP,1,PNP
NIPAL3,1,NIPAL3
NPAS3,5,NPAS3
NPAT,8,NPAT
NPB,2,NPB
NPBWR1,2,NPBWR1
NPC1,2,NPC1
NPC1L1,8,NPC1L1
NPC2,4,NPC2
NPDC1,9,NPDC1
NPEPL1,1,NPEPL1
NPEPPS,11,NPEPPS
NPHP1,2,NPHP1
NPHP3,1,NPHP3
NPHP4,7,NPHP4
NPHS1,4,NPHS1
NPL,5,NPL
NPM1,29,NPM1
NPM3,4,NPM3
NPNT,2,NPNT
NPPA,1,NPPA
TUSC4,2,TUSC4
MARE,3,MARE
NPTX2,1,NPTX2
NPTXR,1,NPTXR
NPW,1,NPW
NPY,2,NPY
NPY1R,2,NPY1R
NQO1,1,NQO1
NQO2,3,NQO2
NR0B2,2,NR0B2
NR1D1,8,NR1D1
NR1H4,2,NR1H4
NR1I3,3,NR1I3
NR2C1,7,NR2C1
NR2C2,10,NR2C2
NR2C2AP,2,NR2C2AP
NR2E1,2,NR2E1
NR2E3,1,NR2E3
NR2F1,4,NR2F1
NR2F2,1,NR2F2
NR4A2,6,NR4A2
NR5A2,2,NR5A2
NRADD,3,NRADD
MAGED1,4,MAGED1
NRAP,5,NRAP
NRAS,1,NRAS
NRBF2,7,NRBF2
NRBP1,12,NRBP1
NRBP2,7,NRBP2
NRCAM,19,NRCAM
NRD1,9,NRD1
BC002230,5,BC002230
NRF1,7,NRF1
NFE2L2,12,NFE2L2
NRG1,8,NRG1
NRG2,8,NRG2
NRG3,5,NRG3
ITGB3BP,8,ITGB3BP
NRIP3,1,NRIP3
NRK,5,NRK
NRL,1,NRL
NRM,2,NRM
NRP1,3,NRP1
NRP2,2,NRP2
LRRC33,5,LRRC33
NRSN2,1,NRSN2
NRXN1,14,NRXN1
NRXN2,7,NRXN2
NRXN3,2,NRXN3
SYNCRIP,6,SYNCRIP
HMGN5,8,HMGN5
NSD1,18,NSD1
DAGLA,26,DAGLA
NSDHL,3,NSDHL
NSF,11,NSF
NSFL1C,8,NSFL1C
NSG2,5,NSG2
NSL1,3,NSL1
NSMAF,2,NSMAF
NSMCE1,2,NSMCE1
NSMCE2,2,NSMCE2
NSMCE4A,7,NSMCE4A
NSMF,10,NSMF
NSUN2,8,NSUN2
NSUN4,1,NSUN4
NSUN5,6,NSUN5
NSUN6,1,NSUN6
NTF3,4,NTF3
NT5C,2,NT5C
NT5C1A,2,NT5C1A
NT5C1B,6,NT5C1B
NT5C2,5,NT5C2
NT5C3,1,NT5C3
NT5DC2,1,NT5DC2
NT5DC3,1,NT5DC3
NT5E,1,NT5E
SLC10A1,2,SLC10A1
PNPLA6,11,PNPLA6
NTHL1,2,NTHL1
NTN5,1,NTN5
NTSR1,2,NTSR1
NTSR2,5,NTSR2
NUAK1,8,NUAK1
NUAK2,5,NUAK2
NUCB1,9,NUCB1
NUCB2,6,NUCB2
NUCKS1,27,NUCKS1
NUDC,7,NUDC
NUDCD1,1,NUDCD1
NUDCD2,5,NUDCD2
NUDCD3,4,NUDCD3
NDE1,11,NDE1
NUDT1,4,NUDT1
NUDT10,1,NUDT10
NUDT11,2,NUDT11
NUDT12OS,1,NUDT12OS
NUDT13,2,NUDT13
NUDT14,2,NUDT14
NUDT15,1,NUDT15
NUDT19,1,NUDT19
NUDT2,1,NUDT2
NUDT3,1,NUDT3
NUDT5,8,NUDT5
NUDT7,2,NUDT7
NUDT9,5,NUDT9
NDUFA9,3,NDUFA9
NUF2,2,NUF2
NUFIP1,9,NUFIP1
NUGGC,1,NUGGC
NUMA1,46,NUMA1
NUMB,22,NUMB
NUMBL,18,NUMBL
NUP107,8,NUP107
NUP133,26,NUP133
NUP153,35,NUP153
NUP155,14,NUP155
NUP160,6,NUP160
NUP188,9,NUP188
NUP205,11,NUP205
NUP210,16,NUP210
NUP210L,5,NUP210L
NUP214,13,NUP214
NUP35,20,NUP35
NUP50,6,NUP50
NUP54,1,NUP54
NUP62,1,NUP62
NUP62CL,1,NUP62CL
NUP85,8,NUP85
NUP88,12,NUP88
NUP93,16,NUP93
NUP98,39,NUP98
NUPL1,1,NUPL1
NUPL2,1,NUPL2
NR4A1,3,NR4A1
NUSAP1,5,NUSAP1
NUTF2,1,NUTF2
NUT,1,NUT
NVL,13,NVL
NWD2,2,NWD2
NXF2,2,NXF2
NXF1,9,NXF1
NXF3,1,NXF3
NXPH3,2,NXPH3
6430598A04RIK,8,6430598A04RIK
NYAP2,22,NYAP2
NYNRIN,1,NYNRIN
NUB1,1,NUB1
NYX,3,NYX
OAS1E,2,OAS1E
OAS1F,3,OAS1F
OAS1H,1,OAS1H
OAS2,2,OAS2
OAS3,3,OAS3
OASL2,1,OASL2
OAT,6,OAT
OAZ1,1,OAZ1
OAZ2,1,OAZ2
OAZ3,2,OAZ3
STN1,3,STN1
OBOX2,1,OBOX2
OBOX5,2,OBOX5
OBP1A,1,OBP1A
LCN13,1,LCN13
OBSCN,51,OBSCN
OBSL1,3,OBSL1
OC90,1,OC90
OCA2,2,OCA2
OCLN,14,OCLN
OCIAD1,12,OCIAD1
OCIAD2,2,OCIAD2
OCRL,2,OCRL
4833422F24RIK,1,4833422F24RIK
POU2F1,14,POU2F1
POU2F3,2,POU2F3
POU2F2,5,POU2F2
POU5F1,3,POU5F1
POU3F2,4,POU3F2
POU3F3,1,POU3F3
POU3F4,1,POU3F4
ODC1,2,ODC1
OSR1,2,OSR1
ODF2,17,ODF2
ODF2L,1,ODF2L
ODF3,3,ODF3
ODF1,10,ODF1
ODZ1,12,ODZ1
ODZ2,8,ODZ2
ODZ3,8,ODZ3
ODZ4,17,ODZ4
OFD1,10,OFD1
MGEA5,5,MGEA5
OGDH,9,OGDH
OGDHL,6,OGDHL
OGFOD1,2,OGFOD1
1110031I02RIK,4,1110031I02RIK
OGFR,22,OGFR
OGFRL1,12,OGFRL1
OGN,1,OGN
OGT,3,OGT
OIP5,1,OIP5
OLA1,1,OLA1
OLFML2A,2,OLFML2A
OLFML2B,3,OLFML2B
OLFML3,1,OLFML3
OLFR1016,1,OLFR1016
OLFR1018,1,OLFR1018
OLFR1043,1,OLFR1043
OLFR1053,1,OLFR1053
OLFR1054,1,OLFR1054
OLFR1076,1,OLFR1076
OLFR1101,1,OLFR1101
OLFR1105,1,OLFR1105
OLFR1106,2,OLFR1106
OLFR1126,1,OLFR1126
OLFR1129,1,OLFR1129
OLFR1132,1,OLFR1132
OLFR1140,2,OLFR1140
OLFR1141,3,OLFR1141
OLFR1154,1,OLFR1154
OLFR1174-PS,3,OLFR1174-PS
OLFR1180,3,OLFR1180
OLFR1195,1,OLFR1195
OLFR1205,3,OLFR1205
OLFR1209,1,OLFR1209
OLFR1229,1,OLFR1229
OLFR1232,1,OLFR1232
OLFR1233,2,OLFR1233
OLFR1234,3,OLFR1234
OLFR1248,1,OLFR1248
OLFR126,1,OLFR126
OLFR1265,1,OLFR1265
OLFR1277,3,OLFR1277
OLFR1279,4,OLFR1279
OLFR1284,1,OLFR1284
OLFR1289,1,OLFR1289
OLFR1305,1,OLFR1305
OLFR131,2,OLFR131
OLFR1316,2,OLFR1316
OLFR1322,3,OLFR1322
OLFR1339,1,OLFR1339
OLFR1340,1,OLFR1340
OLFR1341,3,OLFR1341
OLFR1344,1,OLFR1344
OLFR1347,1,OLFR1347
OLFR1348,1,OLFR1348
OLFR1352,1,OLFR1352
OLFR1377,2,OLFR1377
OLFR139,1,OLFR139
OLFR1390,1,OLFR1390
OLFR1394,1,OLFR1394
OLFR141,1,OLFR141
OLFR1411,2,OLFR1411
