Parent	Child	EdgeType
modulation of chemical synaptic transmission	BAIAP3	Gene-Term
synapse maturation	BCAN	Gene-Term
modulation of chemical synaptic transmission	BCR	Gene-Term
trans-synaptic signaling by BDNF, modulating synaptic transmission	BDNF	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	BEGAIN	Gene-Term
synaptic vesicle endocytosis	BIN1	Gene-Term
regulation of synaptic vesicle cycle	BSN	Gene-Term
synaptic vesicle clustering	BSN	Gene-Term
structural constituent of active zone	BSN	Gene-Term
modulation of chemical synaptic transmission	BTBD9	Gene-Term
regulation of synapse disassembly	C1QL1	Gene-Term
postsynaptic density assembly	C1QL2	Gene-Term
regulation of synapse maturation	C1QL2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	C1QL2	Gene-Term
postsynaptic density assembly	C1QL3	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	C1QL3	Gene-Term
modification of postsynaptic actin cytoskeleton	CABP1	Gene-Term
postsynapse to nucleus signaling pathway	CABP1	Gene-Term
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	CACNA1A	Gene-Term
voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	CACNA1B	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	CACNA1B	Gene-Term
voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	CACNA1D	Gene-Term
regulation of synaptic vesicle exocytosis	CACNA1E	Gene-Term
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	CACNA1E	Gene-Term
voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	CACNB2	Gene-Term
voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	CACNB4	Gene-Term
regulation of synaptic vesicle exocytosis	CACNB4	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	CACNG2	Gene-Term
postsynaptic neurotransmitter receptor diffusion trapping	CACNG2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	CACNG2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	CACNG3	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	CACNG4	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	CACNG5	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	CACNG7	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	CACNG8	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	CADM1	Gene-Term
presynapse assembly	CADM1	Gene-Term
synapse adhesion between pre- and post-synapse	CADM1	Gene-Term
synapse assembly	CADM1	Gene-Term
maintenance of postsynaptic specialization structure	CADM1	Gene-Term
presynaptic dense core vesicle exocytosis	CADPS	Gene-Term
synaptic vesicle priming	CADPS	Gene-Term
synaptic vesicle priming	CADPS2	Gene-Term
calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels	CALB1	Gene-Term
calcium ion binding involved in regulation of presynaptic cytosolic calcium levels	CALB1	Gene-Term
calcium ion binding involved in regulation of presynaptic cytosolic calcium levels	CALB2	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	CALY	Gene-Term
regulation of synapse organization	CAMK1	Gene-Term
regulation of synaptic vesicle docking	CAMK2A	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	CAMK2A	Gene-Term
regulation of synapse maturation	CAMK2B	Gene-Term
structural constituent of postsynaptic actin cytoskeleton	CAMK2B	Gene-Term
postsynapse to nucleus signaling pathway	CAMK4	Gene-Term
postsynaptic modulation of chemical synaptic transmission	CAMK4	Gene-Term
regulation of modification of postsynaptic structure	CAMKV	Gene-Term
modulation of chemical synaptic transmission	CAMKV	Gene-Term
synaptic vesicle endocytosis	CANX	Gene-Term
regulation of synaptic vesicle exocytosis	CASK	Gene-Term
regulation of presynapse assembly	CBLN1	Gene-Term
regulation of postsynaptic density assembly	CBLN1	Gene-Term
regulation of presynapse assembly	CBLN2	Gene-Term
regulation of modification of postsynaptic structure	CDC42	Gene-Term
regulation of postsynapse organization	CDC42	Gene-Term
regulation of protein catabolic process at postsynapse, modulating synaptic transmission	CDH1	Gene-Term
synapse adhesion between pre- and post-synapse	CDH10	Gene-Term
modulation of chemical synaptic transmission	CDH11	Gene-Term
modulation of chemical synaptic transmission	CDH2	Gene-Term
synapse adhesion between pre- and post-synapse	CDH6	Gene-Term
regulation of synapse organization	CDH8	Gene-Term
synapse assembly	CDH9	Gene-Term
synapse adhesion between pre- and post-synapse	CDH9	Gene-Term
regulation of synapse disassembly	CDK5	Gene-Term
regulation of presynaptic cytosolic calcium levels	CDK5	Gene-Term
regulation of synaptic vesicle cycle	CDK5R1	Gene-Term
regulation of postsynapse organization	CDKL5	Gene-Term
modulation of chemical synaptic transmission	CDKL5	Gene-Term
modification of postsynaptic actin cytoskeleton	CFL1	Gene-Term
modulation of chemical synaptic transmission	CFL1	Gene-Term
regulation of synapse assembly	CHD4	Gene-Term
regulation of modification of postsynaptic structure	CHMP2B	Gene-Term
regulation of postsynapse organization	CHMP2B	Gene-Term
modulation of chemical synaptic transmission	CHMP2B	Gene-Term
regulation of postsynapse organization	CHMP4BP1	Gene-Term
regulation of postsynaptic membrane potential	CHRM1	Gene-Term
postsynaptic modulation of chemical synaptic transmission	CHRM1	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRM2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNA1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNA10	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNA3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNA3	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNA4	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNA4	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNA5	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNA6	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNA7	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNA7	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNA9	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNB1	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNB2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNB2	Gene-Term
presynaptic modulation of chemical synaptic transmission	CHRNB3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNB4	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRND	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNE	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	CHRNG	Gene-Term
synaptic vesicle proton loading	CLCN3	Gene-Term
presynapse assembly	CLEC3B	Gene-Term
presynapse assembly	CLEC3A	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	CLPTM1	Gene-Term
neurotransmitter receptor transport to postsynaptic membrane	CLSTN1	Gene-Term
regulation of synapse maturation	CLSTN1	Gene-Term
regulation of presynapse assembly	CLSTN3	Gene-Term
synaptic vesicle endocytosis	CLTC	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	CNIH2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	CNIH3	Gene-Term
postsynapse organization	CNKSR2	Gene-Term
regulation of ATP metabolic process in the presynapse	CNR1	Gene-Term
retrograde trans-synaptic signaling by endocannabinoid	CNR1	Gene-Term
regulation of presynaptic cytosolic calcium levels	CNR1	Gene-Term
presynapse assembly	CNTN5	Gene-Term
regulation of synapse organization	CNTNAP4	Gene-Term
modulation of chemical synaptic transmission	CNTNAP4	Gene-Term
neurotransmitter catabolic process	COMT	Gene-Term
regulation of translation at synapse, modulating synaptic transmission	CPEB1	Gene-Term
modulation of chemical synaptic transmission	CPEB1	Gene-Term
regulation of translation at synapse, modulating synaptic transmission	CPEB2	Gene-Term
regulation of synaptic vesicle fusion to presynaptic active zone membrane	CPLX1	Gene-Term
regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane	CPLX1	Gene-Term
regulation of synaptic vesicle fusion to presynaptic active zone membrane	CPLX2	Gene-Term
regulation of synaptic vesicle fusion to presynaptic active zone membrane	CPLX3	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	CPT1C	Gene-Term
regulation of postsynaptic density assembly	CRIPT	Gene-Term
postsynaptic specialization assembly	CRK	Gene-Term
postsynaptic specialization assembly	CRKL	Gene-Term
postsynapse to nucleus signaling pathway	CRTC1	Gene-Term
regulation of synapse organization	CSNK2B	Gene-Term
regulation of synaptic vesicle exocytosis	CSPG5	Gene-Term
presynapse to nucleus signaling pathway	CTBP1	Gene-Term
synaptic vesicle docking	CTBP2	Gene-Term
structural constituent of active zone	CTBP2	Gene-Term
modification of postsynaptic actin cytoskeleton	CTNNA2	Gene-Term
synaptic vesicle clustering	CTNNB1	Gene-Term
regulation of synapse assembly	CTNNB1	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	CTNND1	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	CTNND2	Gene-Term
structural constituent of postsynaptic density	CTNND2	Gene-Term
modification of postsynaptic actin cytoskeleton	CTTN	Gene-Term
modification of postsynaptic structure	CTTN	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	CTTNBP2	Gene-Term
regulation of synapse organization	CTTNBP2	Gene-Term
regulation of protein catabolic process at postsynapse	CUL3	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	CYFIP1	Gene-Term
regulation of translation at postsynapse, modulating synaptic transmission	CYFIP1	Gene-Term
presynaptic modulation of chemical synaptic transmission	CYTH1	Gene-Term
regulation of postsynapse organization	DACT1	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	DAG1	Gene-Term
regulation of synapse organization	DAG1	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	DAG1	Gene-Term
retrograde trans-synaptic signaling by endocannabinoid	DAGLA	Gene-Term
postsynaptic actin cytoskeleton organization	DBN1	Gene-Term
postsynaptic actin cytoskeleton organization	DBNL	Gene-Term
structural constituent of postsynaptic actin cytoskeleton	DBNL	Gene-Term
postsynaptic modulation of chemical synaptic transmission	DCC	Gene-Term
regulation of postsynapse organization	DGKB	Gene-Term
modulation of chemical synaptic transmission	DGKB	Gene-Term
modulation of chemical synaptic transmission	DGKE	Gene-Term
presynaptic modulation of chemical synaptic transmission	DGKI	Gene-Term
regulation of synaptic vesicle endocytosis	DGKQ	Gene-Term
maintenance of postsynaptic density structure	DGKZ	Gene-Term
synaptic vesicle endocytosis	DIAPH1	Gene-Term
regulation of postsynapse organization	DISC1	Gene-Term
structural constituent of postsynaptic density	DLG1	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	DLG1	Gene-Term
structural constituent of postsynaptic density	DLG2	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	DLG2	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	DLG3	Gene-Term
structural constituent of postsynaptic density	DLG3	Gene-Term
structural constituent of postsynaptic density	DLG4	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	DLG4	Gene-Term
postsynapse organization	DLG5	Gene-Term
structural constituent of postsynaptic density	DLGAP1	Gene-Term
modulation of chemical synaptic transmission	DLGAP1	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	DLGAP2	Gene-Term
modulation of chemical synaptic transmission	DLGAP2	Gene-Term
modulation of chemical synaptic transmission	DLGAP3	Gene-Term
modification of synaptic structure	DLGAP3	Gene-Term
regulation of synaptic vesicle cycle	DNAJC5	Gene-Term
presynaptic chaperone-mediated protein folding	DNAJC5	Gene-Term
synaptic vesicle uncoating	DNAJC6	Gene-Term
synaptic vesicle endocytosis	DNM1	Gene-Term
modulation of chemical synaptic transmission	DNM1	Gene-Term
synaptic vesicle endocytosis	DNM1L	Gene-Term
synaptic vesicle endocytosis	DNM2	Gene-Term
structural constituent of postsynapse	DNM3	Gene-Term
synaptic vesicle endocytosis	DNM3	Gene-Term
calcium-dependent activation of synaptic vesicle fusion	DOC2A	Gene-Term
calcium-dependent activation of synaptic vesicle fusion	DOC2B	Gene-Term
synaptic vesicle clustering	DOCK1	Gene-Term
postsynaptic specialization assembly	DOCK7	Gene-Term
transport	DPYSL2	Gene-Term
presynaptic modulation of chemical synaptic transmission	DRD1	Gene-Term
modification of postsynaptic structure	DRD1	Gene-Term
postsynaptic modulation of chemical synaptic transmission	DRD1	Gene-Term
regulation of neurotransmitter uptake	DRD2	Gene-Term
presynaptic modulation of chemical synaptic transmission	DRD2	Gene-Term
postsynaptic modulation of chemical synaptic transmission	DRD2	Gene-Term
regulation of neurotransmitter uptake	DRD3	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	DRD3	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	DRD4	Gene-Term
presynaptic modulation of chemical synaptic transmission	DRD4	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	DRD4	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	DRD5	Gene-Term
regulation of synaptic vesicle exocytosis	DTNBP1	Gene-Term
regulation of postsynapse organization	DVL1	Gene-Term
postsynapse organization	DVL1	Gene-Term
regulation of synaptic vesicle exocytosis	DVL1	Gene-Term
presynapse assembly	DVL1	Gene-Term
protein translation at postsynapse	EEF2	Gene-Term
regulation of protein translation at postsynapse	EEF2K	Gene-Term
synapse adhesion between pre- and post-synapse	EFNA5	Gene-Term
presynapse assembly	EFNB1	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	EFNB2	Gene-Term
presynapse assembly	EFNB2	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	EFNB2	Gene-Term
trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission	EFNB3	Gene-Term
regulation of modification of postsynaptic structure	EGLN1	Gene-Term
regulation of protein catabolic process at postsynapse	EGLN1	Gene-Term
synaptic vesicle endocytosis	EHD1	Gene-Term
regulation of translation at postsynapse, modulating synaptic transmission	EIF4A3	Gene-Term
trans-synaptic signaling	EIF4E	Gene-Term
regulation of translation at postsynapse, modulating synaptic transmission	EIF4E	Gene-Term
regulation of translation at presynapse, modulating synaptic transmission	EIF4EBP1	Gene-Term
regulation of synapse assembly	ELAVL2	Gene-Term
regulation of protein translation at postsynapse	ELAVL4	Gene-Term
synapse adhesion between pre- and post-synapse	EPHA3	Gene-Term
synapse disassembly	EPHA4	Gene-Term
regulation of synapse disassembly	EPHA4	Gene-Term
regulation of postsynapse organization	EPHA7	Gene-Term
modulation of chemical synaptic transmission	EPHA7	Gene-Term
modulation of chemical synaptic transmission	EPHB1	Gene-Term
postsynaptic membrane assembly	EPHB2	Gene-Term
regulation of synapse assembly	EPHB2	Gene-Term
synaptic vesicle endocytosis	EPN1	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	EPS15	Gene-Term
synaptic vesicle endocytosis	EPS15L1	Gene-Term
synaptic vesicle endocytosis	EPS15	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	EPS8	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	ERBB2	Gene-Term
synapse assembly	ERBB4	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	ERBB4	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	ERBIN	Gene-Term
structural constituent of active zone	ERC1	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	ERC1	Gene-Term
synaptic vesicle priming	ERC1	Gene-Term
regulation of presynaptic cytosolic calcium levels	ERC1	Gene-Term
regulation of presynaptic cytosolic calcium levels	ERC2	Gene-Term
regulation of calcium-dependent activation of synaptic vesicle fusion	ERC2	Gene-Term
synaptic vesicle priming	ERC2	Gene-Term
structural constituent of active zone	ERC2	Gene-Term
regulation of synapse maturation	EXOC2	Gene-Term
anterograde axonal protein transport	EXOC2	Gene-Term
regulation of presynapse assembly	FARP1	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	FARP1	Gene-Term
postsynaptic actin cytoskeleton organization	FARP1	Gene-Term
regulation of protein catabolic process at presynapse, modulating synaptic transmission	FBXL20	Gene-Term
regulation of synaptic vesicle exocytosis	FBXL20	Gene-Term
regulation of protein catabolic process at postsynapse, modulating synaptic transmission	FBXO2	Gene-Term
regulation of synaptic vesicle exocytosis	FBXO45	Gene-Term
anterograde axonal protein transport	FEZ1	Gene-Term
modification of postsynaptic structure	FILIP1	Gene-Term
synapse organization	FLNA	Gene-Term
regulation of neurotransmitter uptake	FLOT1	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	FLOT2	Gene-Term
anterograde dendritic transport	FLOT2	Gene-Term
synapse adhesion between pre- and post-synapse	FLRT3	Gene-Term
regulation of translation at presynapse, modulating synaptic transmission	FMR1	Gene-Term
regulation of translation at postsynapse, modulating synaptic transmission	FMR1	Gene-Term
postsynaptic actin cytoskeleton organization	FRMPD4	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	FRRS1L	Gene-Term
modulation of chemical synaptic transmission	FYN	Gene-Term
regulation of presynapse assembly	FZD1	Gene-Term
presynapse assembly	FZD5	Gene-Term
postsynapse organization	FZD9	Gene-Term
regulation of postsynaptic cytosolic calcium levels	FZD9	Gene-Term
G-protein coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential	GABBR1	Gene-Term
G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	GABBR1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRA1	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GABRA1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRA2	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GABRA2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRA3	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GABRA3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRA4	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRA5	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GABRA5	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRA6	Gene-Term
G-protein coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential	GABRB1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRB1	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GABRB1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRB2	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GABRB2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRB3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRD	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRE	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRG2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRG3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRR1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GABRR2	Gene-Term
neurotransmitter biosynthetic process	GAD1	Gene-Term
neurotransmitter biosynthetic process	GAD2	Gene-Term
regulation of postsynaptic specialization assembly	GAP43	Gene-Term
regulation of synaptic vesicle neurotransmitter loading	GAPDH	Gene-Term
ATP metabolic process in the postsynapse	GAPDH	Gene-Term
regulation of postsynapse organization	GHRL	Gene-Term
postsynaptic modulation of chemical synaptic transmission	GHRL	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	GHSR	Gene-Term
regulation of postsynapse organization	GHSR	Gene-Term
postsynaptic modulation of chemical synaptic transmission	GHSR	Gene-Term
presynaptic modulation of chemical synaptic transmission	GIPC1	Gene-Term
regulation of synaptic vesicle exocytosis	GIT1	Gene-Term
structural constituent of postsynaptic specialization	GIT1	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	GIT1	Gene-Term
regulation of synaptic vesicle exocytosis	GIT2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GLRA1	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GLRA1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GLRA2	Gene-Term
presynaptic modulation of chemical synaptic transmission	GLRA3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GLRB	Gene-Term
regulation of presynapse assembly	GPC4	Gene-Term
synapse adhesion between pre- and post-synapse	GPC4	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	GPC4	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	GPC6	Gene-Term
modulation of chemical synaptic transmission	GPER1	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	GPHN	Gene-Term
regulation of synapse organization	GPM6A	Gene-Term
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	GRASP	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIA1	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIA1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIA2	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIA2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIA3	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIA3	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIA4	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIA4	Gene-Term
regulation of postsynapse organization	GRID1	Gene-Term
regulation of presynapse assembly	GRID2	Gene-Term
regulation of postsynaptic density assembly	GRID2	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIK1	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIK1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIK2	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIK2	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIK3	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIK4	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIK5	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIK5	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIN1	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIN1	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIN2A	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIN2A	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIN2B	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIN2B	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIN2C	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIN2D	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIN2D	Gene-Term
presynaptic modulation of chemical synaptic transmission	GRIN3A	Gene-Term
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	GRIN3A	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	GRIN3B	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	GRIP1	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	GRIP2	Gene-Term
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	GRIPAP1	Gene-Term
regulation of recycling endosome localization within postsynapse	GRIPAP1	Gene-Term
G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels	GRM1	Gene-Term
presynaptic modulation of chemical synaptic transmission	GRM4	Gene-Term
modulation of chemical synaptic transmission	GRM5	Gene-Term
presynaptic modulation of chemical synaptic transmission	GRM7	Gene-Term
presynaptic modulation of chemical synaptic transmission	GRM8	Gene-Term
maintenance of synapse structure	GRN	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	GSG1L	Gene-Term
regulation of modification of postsynaptic structure	GSK3B	Gene-Term
presynaptic modulation of chemical synaptic transmission	GSK3B	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	GSK3B	Gene-Term
retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission	GUCY1A1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	HAP1	Gene-Term
presynaptic modulation of chemical synaptic transmission	HIP1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	HIP1	Gene-Term
postsynapse organization	HIP1R	Gene-Term
regulation of postsynapse organization	HNRNPK	Gene-Term
modulation of chemical synaptic transmission	HNRNPK	Gene-Term
regulation of postsynapse organization	HNRNPM	Gene-Term
dendritic transport of messenger ribonucleoprotein complex	HNRNPU	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	HOMER1	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	HOMER3	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	HPCA	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	HRAS	Gene-Term
regulation of postsynapse organization	HSPA8	Gene-Term
synaptic vesicle uncoating	HSPA8	Gene-Term
maintenance of postsynaptic specialization structure	HSPA8	Gene-Term
presynaptic chaperone-mediated protein folding	HSPA8	Gene-Term
presynaptic modulation of chemical synaptic transmission	HTR1A	Gene-Term
presynaptic modulation of chemical synaptic transmission	HTR1B	Gene-Term
regulation of synaptic vesicle exocytosis	HTR1B	Gene-Term
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	HTR1B	Gene-Term
presynaptic modulation of chemical synaptic transmission	HTR2A	Gene-Term
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	HTR3A	Gene-Term
presynaptic modulation of chemical synaptic transmission	HTR7	Gene-Term
postsynapse to nucleus signaling pathway	HTT	Gene-Term
postsynaptic modulation of chemical synaptic transmission	IGF1	Gene-Term
postsynaptic modulation of chemical synaptic transmission	IGF1R	Gene-Term
synapse adhesion between pre- and post-synapse	IGSF9B	Gene-Term
regulation of presynapse assembly	IL1RAP	Gene-Term
regulation of postsynaptic density assembly	IL1RAP	Gene-Term
trans-synaptic signaling by trans-synaptic complex	IL1RAP	Gene-Term
synapse adhesion between pre- and post-synapse	IL1RAP	Gene-Term
regulation of presynapse assembly	IL1RAPL1	Gene-Term
regulation of postsynapse organization	IL1RAPL1	Gene-Term
trans-synaptic signaling by trans-synaptic complex	IL1RAPL1	Gene-Term
regulation of presynapse assembly	IL1RAPL2	Gene-Term
structural constituent of postsynaptic intermediate filament cytoskeleton	INA	Gene-Term
postsynaptic modulation of chemical synaptic transmission	INA	Gene-Term
postsynaptic modulation of chemical synaptic transmission	IQSEC1	Gene-Term
