,genes,description,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile
4681,MAPRE3,microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892],4.876444492436574,0,1,1,1,1,1,1,2,4,6,yes,old,98.48634744756627
4095,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],4.874477055042383,0,0,0,0,0,0,1,0,1,1,yes,new,98.47645429362879
222,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],4.872163733397135,0,0,0,1,1,0,1,0,3,3,yes,new,98.46656113969135
3719,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]",4.871254708053595,0,0,0,1,1,1,1,0,4,4,yes,new,98.45666798575384
4682,MAPT,microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893],4.871182189120408,0,1,1,1,1,1,1,2,4,6,yes,old,98.44677483181637
4538,LSAMP,limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705],4.871131716591269,0,1,1,1,1,1,1,2,4,6,yes,old,98.43688167787892
2524,EPB41L1,erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378],4.870618175104052,0,0,1,1,1,1,1,1,4,5,yes,old,98.42698852394145
2222,DOCK9,dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132],4.8687233318381065,0,1,0,0,0,0,0,1,0,1,yes,old,98.41709537000395
8102,SPTBN1,"spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]",4.86818100476956,1,1,1,1,1,1,1,3,4,7,yes,old,98.40720221606648
8340,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918],4.867984903015542,0,1,0,1,1,1,1,1,4,5,yes,old,98.397309062129
9077,TUBB3,tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772],4.867716507673327,0,1,1,1,1,1,1,2,4,6,yes,old,98.38741590819151
5266,NCL,nucleolin [Source:HGNC Symbol;Acc:HGNC:7667],4.866446179148594,0,0,0,1,1,1,1,0,4,4,yes,new,98.37752275425406
8412,TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571],4.8663230479135455,0,0,0,1,0,1,1,0,3,3,yes,new,98.36762960031658
1612,CNOT1,CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877],4.865686054137921,0,0,0,0,0,1,1,0,2,2,yes,new,98.35773644637909
7970,SNW1,SNW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16696],4.86380492233697,0,0,0,1,0,0,0,0,1,1,yes,new,98.34784329244161
8659,TLN2,talin 2 [Source:HGNC Symbol;Acc:HGNC:15447],4.862718188588922,0,1,1,1,1,1,1,2,4,6,yes,old,98.33795013850416
8358,SYT7,synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514],4.857429290176439,1,1,1,0,1,0,1,3,2,5,yes,old,98.32805698456669
1012,CADM2,cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849],4.856417753591083,0,0,1,1,0,1,1,1,3,4,yes,old,98.3181638306292
7194,RPL19,ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312],4.85585832950093,1,1,0,1,1,1,1,2,4,6,yes,old,98.30827067669172
5329,NEDD4,NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727],4.853269090158582,1,1,0,1,0,0,0,2,1,3,yes,old,98.29837752275424
7885,SMAD2,SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768],4.849058052344773,0,0,0,0,0,0,0,0,0,0,yes,new,98.28848436881678
6632,PTBP3,polypyrimidine tract binding protein 3 [Source:HGNC Symbol;Acc:HGNC:10253],4.8486876311353795,0,0,0,0,0,0,1,0,1,1,yes,new,98.2785912148793
699,ATP2B4,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],4.847000305792936,1,1,1,0,0,0,1,3,1,4,yes,old,98.26869806094184
9170,UBE3A,ubiquitin protein ligase E3A [Source:HGNC Symbol;Acc:HGNC:12496],4.846465906343043,0,0,0,1,0,0,1,0,2,2,yes,new,98.25880490700436
3599,HNRNPK,heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:HGNC:5044],4.844304609278328,1,1,0,1,1,1,1,2,4,6,yes,old,98.24891175306688
4667,MAPK3,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877],4.844184023735456,0,1,1,1,1,0,1,2,3,5,yes,old,98.23901859912941
3492,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",4.8437618198615215,0,1,0,1,0,0,0,1,1,2,yes,old,98.22912544519191
4484,LRBA,LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742],4.843544543535597,0,0,0,0,0,0,1,0,1,1,yes,new,98.21923229125444
7224,RPS16,ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396],4.843524782660084,1,0,1,1,1,0,1,2,3,5,yes,old,98.20933913731695
1439,CHD3,chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918],4.840915365306179,0,0,0,0,0,0,0,0,0,0,yes,new,98.19944598337949
9520,XRCC6,X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055],4.840514454551053,0,0,0,0,0,1,1,0,2,2,yes,new,98.18955282944202
2385,EFTUD2,elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858],4.840082665924092,0,0,0,0,0,1,1,0,2,2,yes,new,98.17965967550457
4634,MAP2K4,mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844],4.839273201281562,0,0,0,1,0,0,1,0,2,2,yes,new,98.16976652156708
7963,SNRPN,small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164],4.837884368040728,0,0,0,0,0,1,1,0,2,2,yes,new,98.15987336762959
5182,MYT1L,myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623],4.837809307716566,0,0,0,0,0,0,0,0,0,0,yes,new,98.14998021369213
7208,RPL8,ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368],4.836752756162769,1,1,0,1,1,1,1,2,4,6,yes,old,98.14008705975463
7371,SBF2,SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135],4.836253139875927,0,1,0,0,0,1,1,1,2,3,yes,old,98.13019390581718
677,ATM,ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795],4.834803045939519,0,0,1,0,0,0,1,1,1,2,yes,old,98.12030075187971
4452,LMNA,lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636],4.834715813472105,0,1,0,0,0,1,1,1,2,3,yes,old,98.11040759794224
2316,DYNLL1,dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476],4.834181212303621,0,1,1,1,1,0,0,2,2,4,yes,old,98.10051444400473
132,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166],4.831600245894665,0,0,0,1,1,1,1,0,4,4,yes,new,98.09062129006728
7190,RPL12,ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302],4.831111410617677,1,1,0,1,1,1,1,2,4,6,yes,old,98.08072813612979
6505,PRKCB,protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395],4.82991800287489,1,1,0,1,1,0,0,2,2,4,yes,old,98.07083498219231
2201,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],4.829668539949829,1,1,1,1,1,0,1,3,3,6,yes,old,98.06094182825485
1603,CNKSR2,connector enhancer of kinase suppressor of Ras 2 [Source:HGNC Symbol;Acc:HGNC:19701],4.828906865840512,1,0,1,1,1,1,1,2,4,6,yes,old,98.05104867431736
822,BCLAF1,BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863],4.826624997184979,0,0,0,0,0,0,1,0,1,1,yes,new,98.0411555203799
4115,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]",4.825863960854534,0,0,0,0,0,1,1,0,2,2,yes,new,98.03126236644242
5950,PDE4DIP,phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580],4.8249325071589215,0,0,0,0,0,0,1,0,1,1,yes,new,98.02136921250496
996,CACNA1C,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390],4.82484809428531,1,0,1,0,0,0,0,2,0,2,yes,old,98.01147605856748
8003,SOD1,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179],4.824304587470663,0,1,0,0,0,0,0,1,0,1,yes,old,98.00158290463001
8790,TNK2,tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297],4.823359496937559,0,0,0,0,0,0,0,0,0,0,yes,new,97.99168975069252
6631,PTBP1,polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583],4.821998945584757,0,0,0,1,1,1,1,0,4,4,yes,new,97.98179659675505
4661,MAPK10,mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872],4.821155619182251,1,1,0,1,1,0,1,2,3,5,yes,old,97.97190344281755
610,ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]",4.820075991724508,0,0,0,1,1,1,1,0,4,4,yes,new,97.9620102888801
3594,HNRNPD,heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036],4.81915380429174,1,0,0,0,1,1,1,1,3,4,yes,old,97.95211713494264
1037,CAND1,cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688],4.81905088186262,0,1,1,1,1,1,1,2,4,6,yes,old,97.94222398100513
8202,STAT1,signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362],4.819048942210773,0,1,0,0,0,0,1,1,1,2,yes,old,97.93233082706767
4377,LDHB,lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541],4.818105797329395,0,1,0,1,1,1,1,1,4,5,yes,old,97.9224376731302
6439,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302],4.817583268429593,1,1,1,1,1,1,1,3,4,7,yes,old,97.91254451919272
6507,PRKCE,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401],4.817100756123483,1,1,1,1,1,0,1,3,3,6,yes,old,97.90265136525524
3945,ITCH,itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890],4.8170035834826495,0,0,0,0,0,0,1,0,1,1,yes,new,97.89275821131777
4304,KSR1,kinase suppressor of ras 1 [Source:HGNC Symbol;Acc:HGNC:6465],4.815652996149443,0,0,0,0,0,0,1,0,1,1,yes,new,97.88286505738027
3808,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960],4.8153718518828414,0,0,0,0,0,0,0,0,0,0,yes,new,97.87297190344282
7206,RPL5,ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360],4.8148633154479965,1,1,0,1,1,1,1,2,4,6,yes,old,97.86307874950536
9177,UBL4A,ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505],4.813937380366256,0,0,0,0,1,0,0,0,1,1,yes,new,97.85318559556788
8493,TCF4,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634],4.813761967082415,0,0,0,0,0,0,0,0,0,0,yes,new,97.8432924416304
6418,PPP1R12A,protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618],4.813262882509324,0,1,0,1,0,1,1,1,3,4,yes,old,97.83339928769293
8644,TJP1,tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827],4.812882266975115,0,1,0,1,1,0,1,1,3,4,yes,old,97.82350613375543
4326,LAMP1,lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499],4.8120099956219935,1,0,1,0,0,0,1,2,1,3,yes,old,97.81361297981796
9156,UBE2I,ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485],4.811874043524828,0,0,0,0,0,0,0,0,0,0,yes,new,97.80371982588049
7594,SHANK2,SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295],4.811761524741444,1,1,1,1,1,1,1,3,4,7,yes,old,97.793826671943
4420,LIMA1,LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636],4.811665490924329,0,1,0,0,0,1,1,1,2,3,yes,old,97.78393351800554
7164,ROBO2,roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250],4.811307452295384,0,0,1,1,1,1,1,1,4,5,yes,old,97.77404036406807
5016,MSH2,mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325],4.810786043819982,0,0,0,0,0,0,1,0,1,1,yes,new,97.7641472101306
5238,NBEAL2,neurobeachin like 2 [Source:HGNC Symbol;Acc:HGNC:31928],4.810726705615503,0,0,0,0,0,0,0,0,0,0,yes,new,97.75425405619312
8011,SORL1,sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185],4.810035149225309,0,0,0,0,0,0,0,0,0,0,yes,new,97.74436090225565
2214,DOCK11,dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483],4.809727124158555,0,0,0,0,0,0,1,0,1,1,yes,new,97.73446774831815
5536,NR3C1,nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978],4.8091893510737975,1,0,0,0,0,0,0,1,0,1,yes,old,97.72457459438068
3597,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041],4.808903101903209,1,0,0,1,0,1,1,1,3,4,yes,old,97.71468144044321
6821,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]",4.808014011686314,0,1,0,1,0,1,1,1,3,4,yes,old,97.70478828650572
7205,RPL4,ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353],4.806997310571191,1,1,1,1,1,1,1,3,4,7,yes,old,97.69489513256826
781,BARD1,BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952],4.806547694951513,0,0,0,0,0,0,0,0,0,0,yes,new,97.6850019786308
768,BAG3,BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939],4.80612514022592,0,1,0,0,0,0,0,1,0,1,yes,old,97.67510882469331
5267,NCOA1,nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668],4.8060836082257525,0,0,0,0,0,0,0,0,0,0,yes,new,97.66521567075584
3479,HDAC6,histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064],4.805521210084295,0,0,0,1,0,0,1,0,2,2,yes,new,97.65532251681836
1423,CFTR,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],4.805039813105894,0,0,0,0,0,0,0,0,0,0,yes,new,97.64542936288088
3694,HSPB1,heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246],4.80418747403095,0,1,0,0,0,1,1,1,2,3,yes,old,97.6355362089434
4729,MCM7,minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950],4.803880043052076,0,0,0,0,0,0,1,0,1,1,yes,new,97.62564305500594
7232,RPS3A,ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421],4.802843953283643,1,1,1,1,1,1,1,3,4,7,yes,old,97.61574990106844
5949,PDE4D,phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783],4.802288790902948,0,1,0,1,0,1,0,1,2,3,yes,old,97.605856747131
64,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],4.800734274335493,1,1,0,1,0,0,1,2,2,4,yes,old,97.59596359319352
5330,NEDD4L,NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728],4.800578383202461,0,0,0,1,0,1,1,0,3,3,yes,new,97.58607043925603
3897,IPO5,importin 5 [Source:HGNC Symbol;Acc:HGNC:6402],4.7992570035699265,0,1,0,1,0,1,1,1,3,4,yes,old,97.57617728531856
6686,PTPRK,protein tyrosine phosphatase receptor type K [Source:HGNC Symbol;Acc:HGNC:9674],4.798411293002312,0,0,0,0,0,0,1,0,1,1,yes,new,97.56628413138107
1310,CDIP1,cell death inducing p53 target 1 [Source:HGNC Symbol;Acc:HGNC:13234],4.797989856946081,0,0,0,0,0,0,0,0,0,0,yes,new,97.5563909774436
700,ATP2C1,ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211],4.797854580973714,0,0,0,1,0,0,1,0,2,2,yes,new,97.54649782350613
8923,TRIM27,tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975],4.795592671541512,0,0,0,0,0,0,1,0,1,1,yes,new,97.53660466956865
2590,ESR2,estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468],4.7947238400710965,0,0,0,0,0,0,0,0,0,0,yes,new,97.52671151563118
716,ATP9A,ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540],4.794323315073081,0,0,0,1,1,1,1,0,4,4,yes,new,97.51681836169372
838,BEX1,brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036],4.79399226570635,0,0,0,0,0,0,0,0,0,0,yes,new,97.50692520775624
4744,MDH1,malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970],4.793833392459474,0,1,1,1,0,1,1,2,3,5,yes,old,97.49703205381876
2030,DDX5,DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746],4.793797618571865,0,1,0,1,0,1,1,1,3,4,yes,old,97.48713889988129
3703,HSPG2,heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273],4.790740363698719,0,0,0,0,0,0,1,0,1,1,yes,new,97.47724574594379
7445,SEC23A,"Sec23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]",4.790064698036914,0,1,0,1,1,1,1,1,4,5,yes,old,97.46735259200634
2503,ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],4.788753277392222,0,1,1,1,1,1,1,2,4,6,yes,old,97.45745943806885
6199,PLCB1,phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917],4.788681230111519,0,1,1,1,0,0,1,2,2,4,yes,old,97.44756628413137
696,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812],4.788671452434491,0,1,1,1,1,1,1,2,4,6,yes,old,97.4376731301939
3967,ITGB5,integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160],4.788418894447706,1,0,0,0,0,0,0,1,0,1,yes,old,97.42777997625645
9244,UPF1,UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962],4.787429179518498,0,0,0,1,1,1,1,0,4,4,yes,new,97.41788682231895
308,ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",4.7870193788680595,0,1,0,1,1,1,1,1,4,5,yes,old,97.40799366838148
4578,MACROD2,mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126],4.784732505223164,0,0,0,1,0,0,1,0,2,2,yes,new,97.39810051444401
3982,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]",4.784570926542527,0,0,0,1,0,0,0,0,1,1,yes,new,97.38820736050651
6796,RAC1,Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801],4.784061949382068,1,1,1,1,1,1,1,3,4,7,yes,old,97.37831420656906
7607,SHMT2,serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852],4.783249658964235,0,1,0,0,0,0,1,1,1,2,yes,old,97.36842105263158
7228,RPS27,ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416],4.782546750283272,1,1,0,1,0,0,0,2,1,3,yes,old,97.35852789869409
6497,PRKACB,protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381],4.781896411232451,0,1,1,1,1,1,1,2,4,6,yes,old,97.34863474475662
4177,KLC1,kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387],4.781838137998367,0,1,1,1,1,1,1,2,4,6,yes,old,97.33874159081915
7899,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]",4.781789930805402,0,0,0,0,0,0,1,0,1,1,yes,new,97.3288484368817
4138,KIF1A,kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888],4.7816611713216295,0,1,1,1,0,1,1,2,3,5,yes,old,97.3189552829442
2618,EWSR1,EWS RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3508],4.78154723671111,0,0,0,0,0,1,1,0,2,2,yes,new,97.3090621290067
5479,NOTCH1,notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881],4.7811539164560575,0,0,0,0,0,0,0,0,0,0,yes,new,97.29916897506924
7191,RPL13A,ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304],4.7811144278671485,1,0,0,1,0,1,1,1,3,4,yes,old,97.28927582113178
802,BCAR1,"BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]",4.780555873061633,0,0,0,1,0,0,1,0,2,2,yes,new,97.27938266719428
6502,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388],4.779868558085538,1,1,1,1,0,1,1,3,3,6,yes,old,97.26948951325683
4602,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:946]",4.779079623513726,1,0,0,1,0,0,1,1,2,3,yes,old,97.25959635931936
9278,USP15,ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613],4.778935684143951,0,1,0,0,0,0,1,1,1,2,yes,old,97.24970320538188
5585,NTRK3,neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033],4.778801452382736,1,0,0,1,0,0,1,1,2,3,yes,old,97.2398100514444
654,ATF2,activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784],4.778751119687173,0,0,0,0,0,0,0,0,0,0,yes,new,97.22991689750693
3660,HSCB,HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913],4.778482911537242,0,0,0,0,0,0,0,0,0,0,yes,new,97.22002374356946
3521,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897],4.7778060014954775,0,1,0,1,0,0,1,1,2,3,yes,old,97.21013058963196
3951,ITGA4,integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140],4.7774846629758425,0,0,0,0,0,0,0,0,0,0,yes,new,97.2002374356945
1315,CDK14,cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883],4.777428354079163,0,0,0,1,0,0,0,0,1,1,yes,new,97.190344281757
594,ARRB1,arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711],4.777413515011268,0,1,0,1,0,0,1,1,2,3,yes,old,97.18045112781955
6550,PRPF8,pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340],4.7767941689893565,0,0,0,0,0,1,1,0,2,2,yes,new,97.17055797388208
5910,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728],4.776283565161499,0,1,0,1,1,1,1,1,4,5,yes,old,97.16066481994459
7222,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],4.7762758866415504,1,1,0,1,1,1,1,2,4,6,yes,old,97.15077166600712
6533,PRNP,prion protein [Source:HGNC Symbol;Acc:HGNC:9449],4.773779977276662,0,0,1,1,1,1,1,1,4,5,yes,old,97.14087851206965
70,ACACB,acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85],4.7727442478374495,0,0,0,0,0,0,0,0,0,0,yes,new,97.1309853581322
8007,SORBS1,sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565],4.771376888951576,0,1,1,1,1,1,1,2,4,6,yes,old,97.1210922041947
3108,GDI1,GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226],4.769982356079604,0,1,1,0,0,1,1,2,2,4,yes,old,97.11119905025723
7291,RUNDC3A,RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984],4.768908543940339,0,0,0,0,0,1,1,0,2,2,yes,new,97.10130589631973
4631,MAP2,microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839],4.767946020883214,0,1,1,0,0,1,1,2,2,4,yes,old,97.09141274238227
2480,EMD,emerin [Source:HGNC Symbol;Acc:HGNC:3331],4.767753273170529,0,0,0,1,0,1,1,0,3,3,yes,new,97.0815195884448
6110,PICALM,phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514],4.767649396491748,1,1,1,0,0,1,1,3,2,5,yes,old,97.07162643450731
7192,RPL15,ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306],4.766429442325074,1,0,0,1,1,1,1,1,4,5,yes,old,97.06173328056984
9366,VHL,von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687],4.766001747575063,1,0,0,0,0,0,0,1,0,1,yes,old,97.05184012663237
595,ARRB2,arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712],4.765348891783892,0,0,0,0,0,0,1,0,1,1,yes,new,97.04194697269492
1247,CD81,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701],4.76475415664958,0,1,0,0,0,0,1,1,1,2,yes,old,97.03205381875742
392,ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961],4.7639619466102685,0,0,0,0,0,0,1,0,1,1,yes,new,97.02216066481995
4802,MET,"MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]",4.763909767405414,0,0,0,0,0,0,0,0,0,0,yes,new,97.0122675108825
7904,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]",4.763064263231466,0,0,0,0,0,0,1,0,1,1,yes,new,97.002374356945
4075,KCNQ2,potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296],4.761250866817714,0,0,0,1,0,0,0,0,1,1,yes,new,96.9924812030075
5098,MVP,major vault protein [Source:HGNC Symbol;Acc:HGNC:7531],4.760780666508206,0,1,0,0,0,0,1,1,1,2,yes,old,96.98258804907006
7886,SMAD3,SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769],4.760586449483332,0,0,0,0,0,0,1,0,1,1,yes,new,96.97269489513256
